record_id,slope_id,district_id,rock_type,geological_age,rock_class,weathering_grade,rock_mass_rating,joint_dip_deg,joint_strike_deg,joint_spacing_m,joint_aperture_class,infill_material,ucs_mpa,discontinuity_persistence,structural_control_risk
36,151,43,Sandstone,Paleozoic,Igneous,4,3,2.6,92,8.82,Closed,Calcite,14.8,0.76,Moderate
37,251,21,Phyllite,Precambrian,Sedimentary,2,2,79.8,49,6.29,Closed,Clay,95.9,0.62,Low
38,170,32,Phyllite,Mesozoic,Sedimentary,0,1,47.4,154,4.3,Closed,None,76.8,0.4,Low
39,443,9,Gneiss,Mesozoic,Igneous,4,3,75.2,2,5.75,Tight,Calcite,131.0,0.71,High
40,366,16,Basalt,Precambrian,Igneous,3,4,3.3,64,8.55,Tight,Clay,169.9,0.4,High
41,154,46,Limestone,Mesozoic,Igneous,5,4,10.5,118,7.89,Very Tight,Calcite,51.9,0.27,Moderate
42,497,32,Sandstone,Paleozoic,Metamorphic,4,5,23.4,170,1.77,Very Tight,None,171.7,0.87,Low
43,50,58,Phyllite,Cenozoic,Sedimentary,1,4,77.7,125,2.66,Very Tight,Clay,166.1,0.4,Moderate
44,87,37,Sandstone,Mesozoic,Metamorphic,3,1,2.8,39,5.71,Closed,None,160.5,0.54,Moderate
45,471,58,Quartzite,Precambrian,Igneous,4,5,62.5,14,1.75,Closed,Iron Oxide,114.7,0.47,Very High
46,495,40,Phyllite,Mesozoic,Igneous,4,4,5.8,101,4.16,Tight,None,159.8,0.76,Moderate
47,206,9,Quartzite,Quaternary,Metamorphic,5,3,17.4,109,1.9,Tight,Iron Oxide,45.8,0.13,High
48,452,34,Shale,Precambrian,Metamorphic,3,5,66.4,132,3.38,Tight,Quartz,72.4,0.11,High
49,355,23,Shale,Mesozoic,Sedimentary,0,2,30.9,59,5.94,Closed,Iron Oxide,152.0,0.86,Very High
50,120,14,Schist,Cenozoic,Igneous,2,4,40.6,97,3.26,Tight,Iron Oxide,233.1,0.42,Low
51,285,41,Phyllite,Mesozoic,Metamorphic,1,5,88.7,24,5.0,Tight,Calcite,89.5,0.25,Very High
52,111,24,Shale,Quaternary,Sedimentary,5,2,71.2,129,7.05,Tight,None,237.1,0.54,Low
53,417,57,Granite,Paleozoic,Igneous,1,2,45.3,178,0.89,Very Tight,Quartz,203.3,0.17,High
54,327,20,Quartzite,Quaternary,Sedimentary,4,3,76.4,79,2.6,Very Tight,Iron Oxide,136.1,0.81,High
55,338,44,Limestone,Paleozoic,Sedimentary,5,2,29.6,29,9.41,Closed,None,98.4,0.96,Low
56,497,32,Granite,Cenozoic,Igneous,0,5,14.1,105,6.53,Closed,Iron Oxide,46.1,0.32,Low
57,209,48,Gneiss,Paleozoic,Igneous,4,2,34.8,145,7.57,Open,None,216.1,0.59,High
58,90,62,Granite,Quaternary,Igneous,5,5,11.8,171,9.82,Tight,Calcite,184.9,0.36,High
59,85,33,Granite,Precambrian,Sedimentary,5,2,59.6,160,9.21,Closed,None,149.1,0.51,Low
60,184,38,Quartzite,Paleozoic,Sedimentary,0,5,72.2,129,8.17,Open,Quartz,88.4,0.7,Very High
61,369,35,Shale,Paleozoic,Sedimentary,5,4,64.7,27,0.15,Closed,Clay,27.3,0.6,Low
62,218,28,Granite,Mesozoic,Igneous,2,3,4.6,163,2.83,Tight,None,96.3,0.31,Very High
63,9,21,Phyllite,Mesozoic,Metamorphic,4,2,44.5,78,6.35,Open,None,74.5,0.02,Low
64,485,57,Schist,Paleozoic,Igneous,2,5,2.4,110,8.13,Closed,Iron Oxide,227.0,0.08,High
65,186,38,Schist,Mesozoic,Igneous,3,4,13.1,171,0.34,Closed,None,67.3,0.41,High
66,145,47,Schist,Quaternary,Sedimentary,1,5,58.0,110,9.61,Closed,Clay,245.8,0.87,Very High
67,262,52,Shale,Paleozoic,Sedimentary,1,4,83.0,63,9.19,Very Tight,Calcite,166.2,0.31,High
68,459,55,Gneiss,Quaternary,Igneous,1,4,49.7,159,1.63,Closed,Iron Oxide,101.8,0.36,High
69,326,3,Sandstone,Quaternary,Sedimentary,3,1,75.9,162,0.8,Closed,Calcite,40.3,0.12,Very High
70,189,17,Gneiss,Paleozoic,Metamorphic,2,4,26.4,155,6.6,Open,Quartz,236.9,0.07,Low
71,207,34,Gneiss,Precambrian,Igneous,1,2,29.5,170,7.51,Closed,Calcite,153.6,0.93,High
72,353,3,Limestone,Quaternary,Igneous,1,5,27.5,73,6.13,Tight,None,129.1,0.99,High
73,47,61,Sandstone,Quaternary,Igneous,3,2,12.3,5,6.58,Open,Clay,97.9,0.72,Low
74,160,34,Limestone,Quaternary,Metamorphic,5,1,77.6,37,4.95,Closed,Clay,227.0,0.76,Moderate
75,351,12,Sandstone,Precambrian,Metamorphic,5,4,30.9,153,7.26,Closed,Calcite,212.3,0.83,Low
76,230,59,Limestone,Precambrian,Metamorphic,2,1,46.9,62,1.06,Tight,Quartz,189.5,0.59,Moderate
77,419,15,Shale,Mesozoic,Igneous,2,1,60.2,124,1.07,Closed,Calcite,13.2,0.82,Low
78,326,3,Shale,Cenozoic,Sedimentary,1,3,43.3,32,2.31,Closed,Clay,103.1,0.68,Very High
79,195,6,Gneiss,Mesozoic,Igneous,1,4,10.1,26,6.51,Closed,Calcite,244.9,0.59,Low
80,330,35,Basalt,Quaternary,Igneous,1,2,47.3,71,5.89,Open,None,180.6,0.66,Very High
81,331,24,Sandstone,Mesozoic,Igneous,1,2,36.5,119,8.65,Tight,Iron Oxide,237.5,0.78,Very High
82,162,25,Phyllite,Quaternary,Sedimentary,0,1,89.7,109,9.77,Tight,None,193.8,1.0,Low
83,123,54,Phyllite,Quaternary,Igneous,3,2,67.8,60,6.98,Tight,None,130.5,0.4,Moderate
84,186,38,Granite,Cenozoic,Metamorphic,0,3,88.5,8,8.91,Closed,Iron Oxide,229.4,0.98,High
85,87,37,Gneiss,Paleozoic,Sedimentary,0,1,87.9,73,1.99,Open,Quartz,48.2,0.16,Very High
86,70,32,Gneiss,Cenozoic,Sedimentary,1,4,33.0,167,2.42,Open,Quartz,153.8,0.56,Low
87,36,33,Quartzite,Precambrian,Metamorphic,4,5,27.8,157,1.15,Open,None,123.0,0.96,Low
88,453,58,Limestone,Precambrian,Metamorphic,4,1,59.1,77,2.5,Closed,None,112.6,0.02,High
89,132,29,Limestone,Precambrian,Igneous,0,1,84.2,8,0.8,Tight,Calcite,93.4,0.36,Moderate
90,177,17,Basalt,Quaternary,Sedimentary,1,4,74.9,74,6.96,Closed,Quartz,154.5,0.73,Very High
91,376,55,Quartzite,Precambrian,Sedimentary,2,4,67.3,77,1.88,Closed,Quartz,132.1,0.04,Moderate
92,458,31,Quartzite,Cenozoic,Igneous,1,3,20.9,155,4.46,Tight,Calcite,87.3,0.91,Low
93,476,22,Quartzite,Quaternary,Igneous,4,5,16.3,128,2.45,Closed,Quartz,39.8,0.92,High
94,338,44,Phyllite,Quaternary,Sedimentary,1,1,50.3,30,1.47,Tight,Quartz,105.5,0.17,Low
95,60,36,Limestone,Paleozoic,Igneous,4,1,83.6,133,3.29,Tight,Iron Oxide,36.3,0.58,Moderate
96,66,37,Basalt,Quaternary,Metamorphic,5,5,38.8,156,0.12,Closed,None,228.7,0.7,Very High
97,212,16,Granite,Quaternary,Igneous,5,4,18.3,37,3.31,Very Tight,Iron Oxide,79.5,0.92,Very High
98,150,17,Limestone,Quaternary,Sedimentary,2,4,53.1,81,2.87,Open,Iron Oxide,249.0,0.48,Moderate
99,156,3,Gneiss,Mesozoic,Sedimentary,5,4,61.9,62,2.96,Closed,Clay,217.8,0.22,Very High
100,166,39,Shale,Cenozoic,Igneous,4,5,47.7,171,2.82,Closed,Iron Oxide,130.2,0.93,Low
101,454,19,Sandstone,Cenozoic,Metamorphic,5,1,69.5,123,9.51,Tight,Quartz,169.7,0.2,Low
102,316,9,Quartzite,Mesozoic,Sedimentary,0,5,19.4,165,9.9,Very Tight,Clay,91.3,0.22,Low
103,69,58,Shale,Quaternary,Sedimentary,3,5,4.1,87,0.37,Open,Iron Oxide,102.5,0.32,High
104,366,16,Phyllite,Mesozoic,Sedimentary,4,5,28.6,65,5.91,Tight,Quartz,193.5,0.44,Very High
105,401,51,Phyllite,Quaternary,Igneous,4,1,69.7,55,8.38,Very Tight,None,60.3,0.08,Moderate
106,182,2,Granite,Cenozoic,Metamorphic,1,4,61.6,73,5.39,Open,Iron Oxide,158.7,0.1,Low
107,363,8,Schist,Mesozoic,Sedimentary,3,1,71.9,110,3.86,Closed,Iron Oxide,23.8,0.45,High
108,137,29,Granite,Mesozoic,Sedimentary,4,5,57.6,8,1.15,Very Tight,None,247.0,0.98,Low
109,76,7,Granite,Mesozoic,Sedimentary,4,1,51.7,162,9.93,Tight,Clay,172.3,0.36,Very High
110,210,17,Schist,Quaternary,Igneous,2,2,34.1,41,4.91,Closed,None,204.7,0.01,High
111,133,25,Basalt,Paleozoic,Igneous,1,3,72.8,147,5.28,Open,Clay,214.3,0.36,Low
112,6,1,Granite,Cenozoic,Igneous,0,5,17.0,47,5.92,Tight,Calcite,191.6,0.41,High
113,309,40,Granite,Paleozoic,Metamorphic,0,3,76.3,53,6.09,Open,Quartz,70.3,0.01,Low
114,324,43,Granite,Mesozoic,Igneous,5,4,3.5,151,3.23,Tight,Iron Oxide,142.7,0.27,High
115,377,24,Shale,Quaternary,Metamorphic,2,5,77.6,89,6.09,Very Tight,Calcite,61.4,0.11,Low
116,150,17,Quartzite,Precambrian,Igneous,1,4,58.1,77,1.72,Closed,Clay,116.5,0.33,Very High
117,64,11,Schist,Mesozoic,Sedimentary,1,2,79.3,126,3.98,Very Tight,Iron Oxide,238.5,0.37,Moderate
118,53,12,Schist,Paleozoic,Igneous,4,4,49.6,128,4.95,Very Tight,Iron Oxide,37.4,0.47,Low
119,62,43,Phyllite,Quaternary,Metamorphic,5,3,25.6,45,8.93,Tight,None,62.1,0.69,Moderate
120,351,12,Limestone,Quaternary,Sedimentary,0,3,37.9,67,5.76,Very Tight,Clay,38.7,0.8,Low
121,27,58,Quartzite,Precambrian,Metamorphic,5,5,48.5,45,8.46,Open,Quartz,160.3,0.04,Moderate
122,498,11,Schist,Cenozoic,Igneous,2,2,88.0,2,3.32,Open,Clay,12.3,0.66,Very High
123,402,22,Quartzite,Quaternary,Sedimentary,0,1,0.5,69,7.03,Tight,Iron Oxide,220.2,0.79,High
124,24,8,Schist,Precambrian,Metamorphic,3,1,29.2,120,8.31,Closed,None,197.3,0.4,High
125,26,28,Phyllite,Cenozoic,Igneous,1,4,7.6,124,7.12,Tight,Iron Oxide,47.4,0.71,Very High
126,225,42,Gneiss,Precambrian,Igneous,4,2,72.7,36,3.09,Closed,Clay,201.1,0.96,Low
127,79,42,Phyllite,Paleozoic,Metamorphic,0,4,48.8,138,1.39,Tight,Calcite,150.6,0.67,Low
128,448,12,Quartzite,Paleozoic,Sedimentary,0,4,13.5,109,4.67,Closed,Iron Oxide,143.3,0.74,Low
129,76,7,Sandstone,Paleozoic,Metamorphic,3,5,9.7,81,7.28,Tight,Quartz,249.1,0.76,Moderate
130,66,37,Gneiss,Cenozoic,Sedimentary,4,4,81.4,178,7.49,Open,Iron Oxide,207.3,0.97,Moderate
131,277,10,Gneiss,Precambrian,Igneous,4,5,45.2,113,4.92,Closed,None,23.7,0.69,Moderate
132,187,36,Quartzite,Cenozoic,Metamorphic,0,1,53.3,180,8.5,Closed,Iron Oxide,33.0,0.01,Low
133,410,11,Quartzite,Cenozoic,Sedimentary,4,2,72.8,61,6.6,Open,Iron Oxide,110.0,0.18,Moderate
134,230,59,Gneiss,Paleozoic,Igneous,4,5,70.4,120,2.33,Open,Iron Oxide,123.3,0.73,Low
135,271,46,Schist,Cenozoic,Igneous,0,4,85.7,92,6.09,Closed,None,129.7,0.46,Low
136,74,43,Basalt,Mesozoic,Metamorphic,2,5,16.4,149,2.69,Open,Calcite,180.0,0.35,Low
137,218,28,Limestone,Quaternary,Sedimentary,3,2,13.8,106,3.43,Very Tight,Iron Oxide,63.4,0.12,Very High
138,400,48,Sandstone,Paleozoic,Igneous,3,4,0.4,54,8.99,Very Tight,Calcite,62.0,0.53,High
139,350,18,Shale,Quaternary,Metamorphic,1,3,69.3,117,8.08,Open,Calcite,135.5,0.87,High
140,36,33,Quartzite,Mesozoic,Metamorphic,5,5,55.2,143,2.88,Very Tight,Quartz,166.3,0.64,Low
141,117,50,Gneiss,Precambrian,Igneous,1,3,40.7,148,2.02,Very Tight,Calcite,199.1,0.53,High
142,345,12,Sandstone,Quaternary,Sedimentary,2,5,88.3,161,7.97,Tight,Iron Oxide,135.3,0.37,Moderate
143,158,29,Limestone,Precambrian,Metamorphic,5,2,6.9,25,2.72,Very Tight,Calcite,215.3,0.39,Low
144,434,13,Sandstone,Paleozoic,Sedimentary,4,1,64.7,39,9.42,Very Tight,None,90.8,0.89,Very High
145,129,49,Phyllite,Mesozoic,Metamorphic,1,4,69.5,6,1.09,Closed,Calcite,203.2,0.78,Moderate
146,300,25,Phyllite,Cenozoic,Igneous,1,4,17.9,4,5.91,Closed,Iron Oxide,96.1,0.57,High
147,5,32,Gneiss,Paleozoic,Metamorphic,1,1,61.4,92,7.38,Very Tight,Calcite,56.3,0.72,Very High
148,367,29,Quartzite,Cenozoic,Metamorphic,1,4,60.1,150,1.92,Very Tight,Clay,212.8,0.22,Low
149,332,54,Quartzite,Precambrian,Metamorphic,2,2,19.0,101,7.62,Tight,Quartz,199.1,0.48,Moderate
150,500,17,Quartzite,Cenozoic,Igneous,5,2,75.5,156,2.83,Tight,Calcite,156.1,0.57,High
151,31,57,Phyllite,Cenozoic,Igneous,0,1,9.8,6,5.99,Tight,None,117.0,0.95,Very High
152,335,8,Shale,Mesozoic,Metamorphic,5,3,60.2,114,0.37,Closed,Calcite,82.2,0.66,Low
153,320,23,Schist,Cenozoic,Igneous,1,2,14.1,143,9.54,Closed,None,140.2,0.14,Moderate
154,383,6,Gneiss,Precambrian,Sedimentary,0,3,74.0,141,3.82,Closed,Calcite,144.2,0.84,High
155,56,45,Granite,Cenozoic,Igneous,5,1,34.4,134,9.99,Tight,Calcite,44.6,0.68,Moderate
156,455,18,Granite,Mesozoic,Metamorphic,2,4,82.2,27,0.44,Open,Clay,56.0,0.89,Moderate
157,77,47,Gneiss,Paleozoic,Igneous,2,5,78.0,36,4.19,Tight,Clay,137.2,0.57,Low
158,108,42,Sandstone,Precambrian,Sedimentary,1,4,48.3,158,1.79,Tight,Iron Oxide,210.6,0.92,High
159,371,53,Granite,Paleozoic,Igneous,3,2,28.5,143,6.25,Tight,Calcite,135.9,0.22,High
160,455,18,Basalt,Precambrian,Metamorphic,3,2,10.8,46,8.25,Very Tight,None,75.3,0.5,High
161,144,5,Gneiss,Quaternary,Sedimentary,5,4,49.9,51,6.24,Tight,Iron Oxide,216.0,0.24,Moderate
162,262,52,Sandstone,Cenozoic,Sedimentary,3,2,0.7,173,8.83,Tight,Calcite,146.0,0.51,Moderate
163,405,16,Quartzite,Cenozoic,Metamorphic,2,3,2.3,96,8.0,Tight,Iron Oxide,172.0,0.59,Moderate
164,112,20,Sandstone,Paleozoic,Metamorphic,4,2,4.5,70,8.94,Open,Quartz,180.6,0.9,Low
165,346,34,Phyllite,Quaternary,Igneous,5,3,33.1,100,5.0,Closed,Clay,241.2,0.83,Moderate
166,421,51,Basalt,Mesozoic,Sedimentary,1,4,25.7,32,6.13,Very Tight,Quartz,37.6,0.77,Very High
167,15,17,Phyllite,Quaternary,Igneous,5,1,70.0,39,7.77,Very Tight,Quartz,100.4,0.61,High
168,131,9,Basalt,Quaternary,Sedimentary,1,5,80.1,178,3.28,Closed,Iron Oxide,156.2,0.31,Very High
169,458,31,Limestone,Cenozoic,Igneous,0,3,22.3,163,9.77,Open,Clay,171.3,0.52,Very High
170,43,55,Gneiss,Precambrian,Sedimentary,4,1,19.1,72,1.1,Very Tight,Calcite,182.3,0.34,Low
171,139,3,Shale,Paleozoic,Metamorphic,0,3,49.6,52,7.95,Tight,None,88.9,0.26,Very High
172,371,53,Phyllite,Cenozoic,Igneous,4,3,80.8,40,4.69,Very Tight,Clay,78.3,0.59,High
173,4,19,Gneiss,Mesozoic,Igneous,2,4,39.9,73,9.8,Tight,Quartz,194.7,0.48,Very High
174,236,28,Granite,Paleozoic,Sedimentary,4,5,80.5,52,0.15,Tight,Calcite,235.6,0.94,High
175,359,40,Phyllite,Quaternary,Igneous,2,1,0.1,28,4.03,Open,Iron Oxide,38.0,0.08,Very High
176,242,17,Phyllite,Precambrian,Sedimentary,4,5,68.0,170,1.74,Tight,Clay,208.7,0.48,Very High
177,182,2,Sandstone,Cenozoic,Igneous,3,3,88.1,175,9.0,Closed,None,189.0,0.05,Low
178,423,20,Quartzite,Paleozoic,Igneous,0,3,27.2,104,4.25,Tight,Clay,68.2,0.17,Moderate
179,212,16,Sandstone,Precambrian,Metamorphic,2,3,58.3,22,0.4,Open,None,208.2,0.5,High
180,297,55,Shale,Paleozoic,Sedimentary,1,5,37.9,19,8.91,Open,Quartz,189.6,0.74,High
181,107,47,Limestone,Precambrian,Sedimentary,3,2,13.6,165,6.57,Tight,Quartz,168.4,0.16,Low
182,359,40,Limestone,Quaternary,Metamorphic,3,3,45.1,158,4.65,Open,Iron Oxide,165.1,0.21,Moderate
183,464,31,Shale,Quaternary,Metamorphic,0,3,61.9,71,4.85,Very Tight,Calcite,249.0,0.78,Moderate
184,49,36,Limestone,Quaternary,Igneous,3,1,64.8,116,3.49,Open,Quartz,179.1,0.94,Moderate
185,470,7,Basalt,Mesozoic,Igneous,3,3,34.5,175,3.51,Very Tight,Calcite,231.7,0.0,Low
186,7,33,Schist,Precambrian,Metamorphic,2,2,84.5,144,3.55,Tight,Calcite,217.9,0.41,Very High
187,375,28,Limestone,Paleozoic,Igneous,3,3,86.5,131,1.02,Open,Iron Oxide,20.7,0.52,Low
188,43,55,Limestone,Cenozoic,Igneous,4,3,10.3,179,4.16,Open,None,179.0,0.04,Very High
189,340,31,Limestone,Paleozoic,Igneous,0,3,30.8,53,5.67,Very Tight,Quartz,111.5,0.29,Moderate
190,119,18,Granite,Paleozoic,Sedimentary,0,4,27.7,80,4.46,Tight,Quartz,31.5,0.48,Moderate
191,436,18,Limestone,Precambrian,Igneous,4,4,39.2,14,6.85,Closed,Calcite,140.5,0.54,Very High
192,457,50,Shale,Quaternary,Metamorphic,3,2,19.1,50,2.33,Tight,Iron Oxide,90.4,0.89,Low
193,424,17,Sandstone,Precambrian,Sedimentary,0,1,67.4,125,4.23,Open,Clay,197.0,0.78,Low
194,426,27,Quartzite,Cenozoic,Igneous,4,4,18.3,134,6.37,Tight,None,100.8,0.75,Low
195,377,24,Quartzite,Paleozoic,Metamorphic,1,2,74.8,140,5.5,Open,Clay,70.3,0.45,Very High
196,41,34,Schist,Mesozoic,Metamorphic,1,4,16.8,143,6.03,Very Tight,Iron Oxide,97.3,0.87,Very High
197,229,62,Basalt,Paleozoic,Sedimentary,2,2,75.7,108,8.34,Tight,Clay,102.3,0.23,Moderate
198,361,43,Schist,Paleozoic,Igneous,4,3,5.5,119,6.88,Closed,Quartz,201.5,0.23,Low
199,165,26,Shale,Mesozoic,Igneous,5,4,84.9,38,4.18,Very Tight,Calcite,102.1,0.3,Moderate
200,117,50,Gneiss,Cenozoic,Sedimentary,0,2,20.2,163,9.41,Tight,Clay,39.4,0.46,Low
201,427,53,Sandstone,Quaternary,Metamorphic,3,3,33.9,180,2.62,Open,Calcite,194.3,0.99,Very High
202,323,27,Schist,Quaternary,Metamorphic,2,4,68.2,130,8.49,Tight,Calcite,240.2,0.33,Low
203,99,18,Quartzite,Mesozoic,Metamorphic,2,1,71.4,88,0.8,Closed,Calcite,121.2,0.35,High
204,296,41,Quartzite,Paleozoic,Metamorphic,2,1,48.3,179,7.78,Very Tight,Iron Oxide,202.3,0.45,Low
205,301,14,Quartzite,Precambrian,Metamorphic,1,1,20.1,43,1.05,Closed,None,68.3,0.71,High
206,181,10,Quartzite,Quaternary,Metamorphic,2,5,16.2,161,7.2,Tight,Iron Oxide,76.8,0.0,Moderate
207,251,21,Schist,Quaternary,Igneous,5,1,35.6,164,3.5,Closed,Calcite,18.1,0.06,Low
208,268,58,Sandstone,Quaternary,Igneous,1,1,55.6,49,6.0,Very Tight,Calcite,119.7,0.89,Moderate
209,256,59,Schist,Quaternary,Metamorphic,0,4,16.8,102,0.77,Open,Calcite,150.2,0.4,High
210,75,15,Phyllite,Mesozoic,Sedimentary,1,2,62.6,118,6.31,Open,Calcite,71.3,0.27,High
211,471,58,Shale,Cenozoic,Metamorphic,4,2,23.2,2,9.21,Tight,Calcite,232.5,0.23,High
212,202,36,Granite,Paleozoic,Sedimentary,2,5,10.9,42,4.03,Closed,Quartz,78.3,0.47,Low
213,473,11,Phyllite,Paleozoic,Sedimentary,2,2,34.9,150,8.84,Open,None,140.1,0.13,Moderate
214,422,28,Granite,Mesozoic,Sedimentary,4,1,4.1,115,4.58,Open,None,52.4,0.51,Low
215,208,34,Shale,Paleozoic,Sedimentary,4,2,35.9,51,4.66,Tight,Calcite,176.1,0.85,Low
216,483,39,Schist,Paleozoic,Sedimentary,5,5,38.8,31,1.64,Tight,None,177.9,0.63,Moderate
217,343,43,Quartzite,Paleozoic,Metamorphic,5,5,50.6,37,7.09,Tight,Quartz,24.4,0.87,Low
218,40,32,Granite,Mesozoic,Sedimentary,5,3,55.8,130,0.56,Open,Clay,89.1,0.06,High
219,371,53,Quartzite,Paleozoic,Sedimentary,0,4,71.9,110,2.82,Closed,Iron Oxide,126.3,0.52,Low
220,304,49,Granite,Precambrian,Metamorphic,1,1,74.9,1,8.68,Tight,Quartz,73.7,0.86,High
221,247,49,Quartzite,Paleozoic,Igneous,3,2,15.8,167,5.68,Open,Iron Oxide,75.6,0.77,High
222,147,29,Shale,Quaternary,Metamorphic,5,1,71.0,167,8.92,Tight,None,239.5,0.92,Very High
223,266,47,Basalt,Quaternary,Sedimentary,4,4,6.2,117,7.19,Tight,None,201.0,0.97,Very High
224,109,47,Sandstone,Paleozoic,Sedimentary,4,3,38.4,100,3.23,Tight,Iron Oxide,150.4,0.78,Moderate
225,311,5,Quartzite,Cenozoic,Sedimentary,3,3,27.0,108,8.54,Very Tight,Iron Oxide,139.5,0.46,Moderate
226,467,57,Phyllite,Mesozoic,Igneous,4,1,22.6,7,0.82,Tight,Calcite,122.7,0.4,Moderate
227,129,49,Schist,Quaternary,Sedimentary,5,1,72.3,164,7.47,Tight,Iron Oxide,39.5,0.87,High
228,25,29,Basalt,Cenozoic,Metamorphic,2,4,49.3,175,0.22,Very Tight,Calcite,113.9,0.13,Moderate
229,272,61,Gneiss,Cenozoic,Sedimentary,0,4,13.7,147,1.97,Very Tight,None,75.5,0.39,Moderate
230,363,8,Gneiss,Precambrian,Sedimentary,4,5,82.6,159,0.44,Open,None,111.5,0.04,Moderate
231,38,62,Sandstone,Precambrian,Sedimentary,1,3,83.6,122,3.95,Open,Quartz,39.9,0.79,Very High
232,211,39,Phyllite,Quaternary,Igneous,2,4,3.2,64,0.12,Tight,Quartz,105.8,0.22,Low
233,141,24,Shale,Precambrian,Igneous,5,1,11.8,130,5.1,Very Tight,None,213.3,0.66,Moderate
234,90,62,Sandstone,Precambrian,Igneous,3,5,3.1,12,8.01,Very Tight,Clay,127.1,0.86,Low
235,62,43,Phyllite,Quaternary,Sedimentary,4,2,86.8,56,7.02,Tight,Iron Oxide,124.9,0.02,Moderate
