record_id,district_id,state_id,year,total_population,population_density_per_sqkm,landslide_exposed_population,high_risk_zone_population,urbanization_pct,literacy_rate_pct,access_to_roads_pct
233,34,4,2019,165192,31.5,35048,14339,33.8,69.9,77.4
234,34,4,2020,170260,32.4,12832,7103,9.5,73.9,47.0
235,34,4,2021,174532,33.3,18580,7206,8.2,73.2,85.0
236,34,4,2022,166570,31.7,34015,3777,59.5,86.9,48.6
237,34,4,2023,169197,32.2,29986,15014,12.8,75.1,86.8
238,34,4,2024,196858,37.5,44339,5030,64.6,61.2,51.7
239,35,4,2018,763536,311.9,85430,35709,34.2,78.3,41.5
240,35,4,2019,786441,321.3,79939,17978,29.6,79.4,60.5
241,35,4,2020,781338,319.2,177093,12760,66.2,83.8,67.1
242,35,4,2021,795796,325.1,80225,29223,18.1,74.6,67.5
243,35,4,2022,846445,345.8,157055,14190,41.1,73.8,44.3
244,35,4,2023,793655,324.2,114374,66777,23.4,52.0,87.9
245,35,4,2024,866842,354.1,94202,56881,67.8,68.5,56.4
246,36,4,2018,450156,117.9,72559,37459,52.7,88.3,79.0
247,36,4,2019,460082,120.5,41144,20984,5.2,64.0,52.3
248,36,4,2020,475136,124.4,117000,38561,85.1,54.3,75.8
249,36,4,2021,451388,118.2,89855,14169,83.1,44.6,84.6
250,36,4,2022,492381,128.9,70439,6670,41.5,59.8,52.4
251,36,4,2023,462549,121.1,33823,29195,22.5,55.9,35.9
252,36,4,2024,502753,131.6,69084,14598,13.8,54.3,79.8
253,37,4,2018,313626,120.5,24776,28001,70.6,62.4,30.3
254,37,4,2019,311483,119.7,32346,10180,83.5,67.4,73.6
255,37,4,2020,320634,123.2,23317,28639,28.8,55.1,32.9
256,37,4,2021,320060,123.0,68031,23608,45.7,45.5,84.3
257,37,4,2022,331390,127.3,18723,24020,51.5,52.1,38.6
258,37,4,2023,325031,124.9,56543,14811,24.1,60.8,69.9
259,37,4,2024,301454,115.8,38704,5231,95.3,67.2,77.2
260,38,4,2018,62038,16.7,3434,3818,87.3,42.2,53.2
261,38,4,2019,62343,16.8,15361,756,35.7,43.4,44.5
262,38,4,2020,64074,17.3,4901,5406,73.5,56.6,32.7
263,38,4,2021,64267,17.3,13744,2076,83.0,74.2,88.8
264,38,4,2022,64337,17.3,6202,1747,6.3,78.8,57.5
265,38,4,2023,62578,16.8,3845,2259,88.6,55.8,48.6
266,38,4,2024,64277,17.3,12110,4520,25.3,77.7,41.5
267,39,4,2018,613054,331.4,132998,9262,86.6,56.6,37.5
268,39,4,2019,615948,332.9,147383,32374,74.3,84.7,53.2
269,39,4,2020,649062,350.8,97491,51845,49.8,86.2,61.2
270,39,4,2021,654500,353.8,128025,34365,7.9,70.1,79.3
271,39,4,2022,642554,347.3,74228,13148,8.0,73.0,48.4
272,39,4,2023,657526,355.4,144579,17496,69.0,57.6,32.5
273,39,4,2024,710128,383.9,127927,47395,99.8,53.7,88.8
274,40,5,2018,406699,113.7,30169,30687,36.3,80.1,70.8
275,40,5,2019,418131,116.9,39620,32897,3.5,43.4,76.7
276,40,5,2020,410492,114.8,70705,6226,60.5,74.0,86.9
277,40,5,2021,412682,115.4,30711,13149,52.9,59.9,69.0
278,40,5,2022,406673,113.7,35202,5764,73.6,65.0,53.2
279,40,5,2023,432690,121.0,55945,21384,70.4,50.7,66.7
280,40,5,2024,452005,126.4,86982,17638,12.3,82.6,57.1
281,41,5,2018,525763,115.9,84629,11010,81.1,88.4,89.2
282,41,5,2019,534550,117.8,119727,9600,55.0,54.5,48.0
283,41,5,2020,521879,115.1,119096,51107,63.8,79.7,60.5
284,41,5,2021,517688,114.1,52226,14277,23.7,64.7,51.7
285,41,5,2022,553402,122.0,88933,41686,13.0,84.2,33.9
286,41,5,2023,541528,119.4,121045,52526,47.9,60.5,54.6
287,41,5,2024,568115,125.2,44831,26457,64.2,62.5,70.8
288,42,5,2018,326183,102.4,73846,30427,78.0,72.0,40.9
289,42,5,2019,335528,105.3,73480,19832,91.1,42.8,37.4
290,42,5,2020,323657,101.6,26972,8543,32.3,75.5,50.8
291,42,5,2021,353980,111.1,54929,31258,7.9,49.8,87.4
292,42,5,2022,327460,102.8,57334,13196,61.4,44.7,68.5
293,42,5,2023,349099,109.6,37664,9099,65.9,76.0,66.3
294,42,5,2024,375405,117.9,92644,6453,82.5,41.4,32.7
295,43,5,2018,582342,409.8,104715,23167,65.1,78.3,55.0
296,43,5,2019,591403,416.2,94848,47015,54.6,72.1,48.1
297,43,5,2020,582103,409.6,134925,50712,40.6,62.7,71.3
298,43,5,2021,575942,405.3,83273,37494,46.4,57.0,38.6
299,43,5,2022,641441,451.4,73925,54530,98.8,57.3,53.9
300,43,5,2023,644298,453.4,99713,43250,10.6,52.1,37.4
301,43,5,2024,610800,429.8,49005,12452,5.1,87.3,81.8
302,44,5,2018,362942,262.6,39079,30285,32.7,68.9,48.8
303,44,5,2019,370391,268.0,83827,34296,49.9,55.4,31.4
304,44,5,2020,383409,277.4,85419,33799,96.7,50.8,51.2
305,44,5,2021,354324,256.4,82582,23122,88.2,72.7,58.2
306,44,5,2022,379878,274.9,33082,32039,13.4,53.2,51.9
307,44,5,2023,374203,270.8,24640,29994,5.1,68.1,51.8
308,44,5,2024,366317,265.1,68954,33177,76.4,54.0,89.3
309,45,5,2018,258573,85.5,20714,6801,97.5,59.7,77.7
310,45,5,2019,259494,85.8,36934,7321,19.9,65.5,60.0
311,45,5,2020,254356,84.1,21697,13456,80.4,66.0,38.9
312,45,5,2021,279046,92.2,23112,13536,93.1,55.9,53.6
313,45,5,2022,274072,90.6,33313,22195,33.6,81.4,61.9
314,45,5,2023,283183,93.6,33806,18392,81.6,58.4,70.4
315,45,5,2024,307306,101.6,53618,13154,79.7,76.3,71.3
316,46,5,2018,615579,240.7,92983,23556,96.7,79.1,76.6
317,46,5,2019,623646,243.9,125737,9601,58.4,48.5,67.7
318,46,5,2020,633921,247.9,141949,31255,14.8,74.0,31.9
319,46,5,2021,668608,261.5,62238,19189,1.9,55.7,39.1
320,46,5,2022,660125,258.2,140583,39488,77.5,86.0,82.4
321,46,5,2023,677763,265.1,50214,53030,13.8,50.4,49.5
322,46,5,2024,679047,265.6,132734,27352,95.7,63.0,62.0
323,47,6,2018,50599,34.6,6860,4471,19.2,52.3,63.5
324,47,6,2019,50548,34.6,7403,2872,70.5,74.5,59.3
325,47,6,2020,51533,35.2,11759,2755,28.8,68.7,62.6
326,47,6,2021,54622,37.3,9195,3373,95.5,80.2,47.4
327,47,6,2022,50904,34.8,3839,3346,92.4,72.8,74.8
328,47,6,2023,50235,34.3,11335,2723,93.3,74.8,38.2
329,47,6,2024,55205,37.7,12374,2512,24.2,73.5,61.9
330,48,6,2018,167301,180.5,11805,3314,41.3,75.9,36.0
331,48,6,2019,170785,184.2,8878,10723,97.8,47.9,69.2
332,48,6,2020,175848,189.7,39967,9580,65.1,77.8,47.2
333,48,6,2021,168013,181.2,12277,16555,76.9,72.6,43.9
334,48,6,2022,180770,195.0,11482,16769,92.1,60.9,80.3
335,48,6,2023,191471,206.5,11954,14922,78.8,49.3,74.9
336,48,6,2024,193894,209.2,28664,3165,0.9,68.4,36.4
337,49,6,2018,372451,230.6,55920,33500,98.9,67.2,59.6
338,49,6,2019,382709,237.0,85223,34499,27.3,80.4,49.8
339,49,6,2020,386924,239.6,53066,16071,1.4,56.9,47.7
340,49,6,2021,391743,242.6,44905,15418,61.1,71.9,54.3
341,49,6,2022,383154,237.2,62139,9515,40.1,44.8,88.9
342,49,6,2023,389705,241.3,51997,4344,26.1,51.8,75.2
343,49,6,2024,439984,272.4,61575,42571,72.3,40.6,69.2
344,50,6,2018,644916,396.1,40387,50213,11.8,55.3,54.3
345,50,6,2019,651430,400.1,149895,64696,70.4,55.5,37.0
346,50,6,2020,679741,417.5,111329,30884,61.5,51.0,38.0
347,50,6,2021,637452,391.6,129879,46071,37.4,75.1,84.8
348,50,6,2022,698883,429.3,92199,56917,24.7,77.7,82.4
349,50,6,2023,623519,383.0,89731,40849,70.4,43.9,63.9
350,50,6,2024,616322,378.6,102597,39290,20.2,66.8,39.9
351,51,6,2018,559597,445.9,85891,13212,68.0,75.8,59.3
352,51,6,2019,574121,457.5,87096,9387,45.3,65.7,57.4
353,51,6,2020,551022,439.1,88155,49600,80.7,76.2,53.8
354,51,6,2021,598503,476.9,127679,20265,57.8,42.3,50.7
355,51,6,2022,543107,432.8,35052,9954,98.6,63.6,47.2
356,51,6,2023,551804,439.7,45340,47560,97.8,72.3,55.2
357,51,6,2024,667076,531.5,133617,36065,87.0,85.3,52.5
358,52,6,2018,608582,300.4,117171,41428,13.3,83.0,37.1
359,52,6,2019,626665,309.3,82851,40924,12.7,88.9,80.1
360,52,6,2020,633475,312.7,70780,36677,67.3,67.2,61.9
361,52,6,2021,651422,321.5,65012,36701,34.6,53.8,86.2
362,52,6,2022,656171,323.9,62389,8672,80.9,61.0,76.0
363,52,6,2023,689731,340.4,38587,22669,20.6,45.0,32.0
364,52,6,2024,661179,326.3,45818,22649,74.1,60.1,44.1
365,53,6,2018,548369,129.7,129138,9182,14.0,89.7,44.0
366,53,6,2019,562986,133.2,103660,26528,57.7,78.6,79.1
367,53,6,2020,547794,129.6,46166,48744,52.1,60.7,46.5
368,53,6,2021,568801,134.5,105990,53870,91.2,71.3,55.6
369,53,6,2022,570239,134.9,73654,47862,67.1,79.3,49.1
370,53,6,2023,566854,134.1,47900,25321,37.6,77.7,58.4
371,53,6,2024,632128,149.5,71024,62520,70.8,80.3,84.9
372,54,6,2018,603306,337.8,84757,42555,53.0,59.4,45.3
373,54,6,2019,605242,338.9,40625,35529,84.7,44.6,73.5
374,54,6,2020,600436,336.2,65208,30722,67.4,70.1,82.4
375,54,6,2021,598840,335.3,129779,44495,72.4,67.9,58.8
376,54,6,2022,665362,372.5,120552,26522,95.7,40.8,86.2
377,54,6,2023,694262,388.7,65466,55889,100.0,63.9,44.6
378,54,6,2024,656474,367.6,86434,32557,91.5,67.6,76.5
379,55,7,2018,272086,285.2,48577,23977,35.9,53.1,60.8
380,55,7,2019,274777,288.0,20200,26419,46.9,82.0,84.9
381,55,7,2020,274719,288.0,40862,4245,56.3,51.1,38.8
382,55,7,2021,272437,285.6,51896,21701,72.0,54.8,41.8
383,55,7,2022,271217,284.3,50901,10764,49.9,72.7,71.1
384,55,7,2023,272484,285.6,67467,18735,96.7,72.1,59.4
385,55,7,2024,266790,279.7,65438,14207,16.9,76.0,59.3
386,56,7,2018,773378,663.3,180785,15431,52.4,82.0,34.5
387,56,7,2019,790949,678.3,52264,8745,41.2,82.1,43.9
388,56,7,2020,801921,687.8,42492,36687,50.6,58.7,67.1
389,56,7,2021,812703,697.0,202251,71461,65.9,40.8,61.9
390,56,7,2022,793536,680.6,44060,77326,72.2,66.8,47.2
391,56,7,2023,813184,697.4,153531,31627,10.7,44.8,38.9
392,56,7,2024,762662,654.1,176140,40710,81.5,53.4,53.8
393,57,7,2018,754314,178.5,144152,67704,56.5,89.5,43.6
394,57,7,2019,767410,181.6,59503,11826,9.4,59.0,63.2
395,57,7,2020,742659,175.7,39609,29889,8.3,82.3,68.7
396,57,7,2021,761694,180.2,63082,13193,23.0,85.1,71.5
397,57,7,2022,793279,187.7,110728,14034,92.4,74.2,46.8
398,57,7,2023,799569,189.2,48603,31503,92.9,55.7,87.7
399,57,7,2024,817423,193.4,145281,18258,29.9,68.2,64.0
400,58,7,2018,592717,790.3,118375,41353,33.2,77.8,38.4
401,58,7,2019,610225,813.6,125428,11241,50.1,88.7,33.2
402,58,7,2020,601621,802.2,140007,10997,34.1,78.5,87.3
403,58,7,2021,603212,804.3,131551,27421,3.0,53.7,89.6
404,58,7,2022,615866,821.2,77429,42401,94.1,61.6,70.8
405,58,7,2023,643025,857.4,43383,57034,61.9,79.9,72.8
406,58,7,2024,569221,759.0,48675,30595,71.2,71.7,74.4
