reading_id,sensor_id,sensor_code,sensor_type,datetime,value,raw_value,alert_level,data_quality_score,rate_of_change,noise_level,temperature_c,transmission_mode
49,165,SNS0165,Extensometer,2023-02-27 19:35:04,78.525,80.708,Fault,0.879,3.32,1.248,13.3,Manual
50,162,SNS0162,Piezometer,2022-06-05 22:48:33,66.123,63.504,Fault,0.885,0.31,0.025,-26.7,WiFi
51,207,SNS0207,Crack Gauge,2023-04-03 00:35:47,2.724,2.688,Fault,0.946,4.44,0.738,49.8,Manual
52,114,SNS0114,Piezometer,2020-04-24 20:14:47,55.176,56.84,Critical,0.886,1.67,0.285,53.7,LoRa
53,35,SNS0035,Accelerometer,2020-08-03 22:26:15,55.573,55.032,Normal,0.965,2.19,0.121,-9.0,WiFi
54,159,SNS0159,Inclinometer,2024-10-23 06:10:07,71.098,69.407,Critical,0.975,0.43,1.94,43.4,Manual
55,235,SNS0235,Inclinometer,2024-03-22 17:14:42,1.949,1.861,Warning,0.877,2.39,1.789,67.0,LoRa
56,44,SNS0044,Soil Moisture,2019-03-13 06:24:14,9.675,10.139,Critical,0.85,0.02,1.607,-28.8,LoRa
57,92,SNS0092,Extensometer,2019-08-28 14:16:15,51.046,51.391,Critical,0.926,4.33,1.313,-7.6,Satellite
58,131,SNS0131,Inclinometer,2023-12-18 01:54:46,10.847,11.365,Normal,0.94,3.31,1.091,23.4,Satellite
59,158,SNS0158,Inclinometer,2021-02-21 05:17:41,32.081,31.636,Critical,0.827,3.25,0.297,-19.7,WiFi
60,283,SNS0283,Tiltmeter,2020-06-24 12:36:22,85.889,85.806,Normal,0.857,3.92,0.458,14.6,4G
61,299,SNS0299,Inclinometer,2022-07-03 22:27:02,47.809,47.041,Normal,0.958,4.04,0.516,24.8,4G
62,173,SNS0173,Rain Gauge,2019-09-03 06:29:36,67.274,69.775,Fault,0.945,3.61,1.949,23.4,WiFi
63,293,SNS0293,Tiltmeter,2018-10-13 15:05:26,26.816,28.148,Normal,0.831,4.21,0.364,-1.3,WiFi
64,128,SNS0128,Accelerometer,2023-08-07 17:02:26,78.085,74.279,Fault,0.825,0.88,1.286,-25.7,Manual
65,113,SNS0113,Soil Moisture,2022-12-01 21:10:23,33.714,34.871,Fault,0.819,4.38,0.804,-31.4,Manual
66,271,SNS0271,Extensometer,2021-03-25 23:43:45,45.411,43.374,Critical,0.864,1.71,1.819,78.7,Manual
67,207,SNS0207,Crack Gauge,2023-10-02 05:58:19,34.105,34.483,Warning,0.967,1.23,0.01,-35.4,Manual
68,97,SNS0097,Inclinometer,2021-03-23 07:40:57,40.321,40.486,Critical,0.859,0.23,1.618,60.4,4G
69,152,SNS0152,Soil Moisture,2022-03-06 02:48:04,59.078,58.424,Warning,0.938,4.85,1.186,23.2,Satellite
70,277,SNS0277,Tiltmeter,2018-03-20 19:36:04,89.578,93.381,Normal,0.885,0.34,0.182,31.1,Manual
71,90,SNS0090,Extensometer,2022-10-23 01:33:10,94.847,93.182,Warning,0.943,4.9,0.916,38.9,LoRa
72,289,SNS0289,Crack Gauge,2023-11-22 12:54:00,98.707,102.143,Fault,0.997,2.17,1.361,-22.9,4G
73,121,SNS0121,Extensometer,2022-09-07 01:20:07,74.394,76.168,Critical,0.858,0.09,0.793,72.4,Manual
74,204,SNS0204,Inclinometer,2019-02-03 12:24:28,44.272,45.579,Normal,0.988,0.79,1.581,-37.0,WiFi
75,84,SNS0084,Rain Gauge,2019-10-09 16:36:08,97.028,101.002,Normal,0.892,2.12,0.165,-26.1,LoRa
76,176,SNS0176,Extensometer,2022-09-13 20:49:06,15.052,14.399,Normal,0.837,0.93,1.888,70.5,WiFi
77,242,SNS0242,Seismograph,2018-10-21 16:48:12,16.499,15.908,Warning,0.972,3.76,0.961,2.3,WiFi
78,67,SNS0067,Extensometer,2020-11-30 12:31:15,96.107,93.891,Warning,0.949,0.04,0.008,48.3,LoRa
79,28,SNS0028,GNSS,2024-11-21 17:51:48,33.184,31.577,Critical,0.834,2.29,0.239,-16.7,Manual
80,60,SNS0060,Seismograph,2021-01-20 18:05:37,17.829,18.042,Normal,0.839,2.5,1.027,-19.4,LoRa
81,261,SNS0261,Tiltmeter,2018-03-03 10:34:28,43.149,43.442,Fault,0.879,3.48,1.774,-12.5,Manual
82,259,SNS0259,Rain Gauge,2019-01-19 00:50:07,96.857,97.037,Fault,0.959,3.68,0.301,65.4,4G
83,48,SNS0048,Extensometer,2021-08-12 08:01:44,52.234,54.059,Critical,0.834,1.5,0.315,47.8,Manual
84,223,SNS0223,Extensometer,2018-06-10 06:37:21,58.176,59.875,Warning,0.893,0.67,0.558,35.5,4G
85,71,SNS0071,Soil Moisture,2022-07-04 16:23:50,87.511,83.6,Normal,0.833,4.43,0.848,78.6,4G
86,48,SNS0048,Extensometer,2023-05-14 21:37:00,68.402,69.646,Warning,0.977,0.09,0.064,53.9,Manual
87,247,SNS0247,Accelerometer,2018-04-11 10:42:27,13.924,14.047,Critical,0.968,4.19,0.231,55.7,Manual
88,229,SNS0229,Crack Gauge,2021-09-04 11:09:56,39.371,37.601,Critical,0.965,3.33,0.719,22.8,Manual
89,298,SNS0298,Seismograph,2023-09-04 07:32:52,39.71,40.275,Warning,0.874,2.59,1.586,-4.0,Satellite
90,281,SNS0281,Accelerometer,2022-07-25 19:08:06,32.636,33.254,Normal,0.956,1.96,1.31,79.7,Satellite
91,166,SNS0166,Inclinometer,2018-08-28 13:03:49,43.804,42.889,Critical,0.92,1.52,1.566,0.6,LoRa
92,151,SNS0151,Piezometer,2020-03-31 00:04:58,83.13,86.227,Warning,0.907,4.14,1.355,2.7,LoRa
93,126,SNS0126,Soil Moisture,2019-07-05 07:07:19,13.429,12.873,Fault,0.983,4.99,0.801,28.8,WiFi
94,8,SNS0008,Inclinometer,2022-02-12 08:16:13,55.523,55.972,Normal,0.924,4.33,1.213,-24.8,4G
95,50,SNS0050,Accelerometer,2023-03-12 16:31:33,83.465,86.06,Fault,0.804,0.42,1.524,52.1,Satellite
96,70,SNS0070,Extensometer,2023-10-23 13:42:21,59.246,57.914,Critical,0.909,1.77,0.03,-16.8,LoRa
97,179,SNS0179,Crack Gauge,2023-03-01 14:48:44,70.601,73.869,Warning,0.837,0.04,1.479,-36.0,Manual
98,259,SNS0259,Rain Gauge,2021-10-05 10:29:22,31.602,33.109,Critical,0.925,1.2,0.934,-21.3,Satellite
99,107,SNS0107,Extensometer,2019-10-05 04:06:37,82.099,84.268,Fault,0.945,3.42,1.061,-26.1,4G
100,180,SNS0180,Inclinometer,2024-12-19 19:00:59,52.042,53.951,Critical,0.926,3.29,1.185,19.2,Manual
101,33,SNS0033,Extensometer,2024-01-07 17:41:35,63.433,65.539,Fault,0.88,1.89,1.49,61.2,Satellite
102,128,SNS0128,Accelerometer,2024-03-07 11:37:33,74.852,71.966,Warning,0.966,4.61,1.299,75.9,Manual
103,74,SNS0074,Seismograph,2018-04-29 12:36:04,51.449,49.305,Fault,0.864,0.56,1.268,-39.4,WiFi
104,44,SNS0044,Soil Moisture,2021-02-15 22:28:31,69.521,67.625,Critical,0.829,1.25,1.338,6.6,4G
105,206,SNS0206,Crack Gauge,2018-11-12 16:12:45,10.473,10.81,Warning,0.966,1.13,0.248,66.2,WiFi
106,242,SNS0242,Seismograph,2021-01-08 20:54:20,59.402,56.955,Critical,0.823,4.09,1.597,-22.0,Satellite
107,209,SNS0209,Soil Moisture,2021-03-05 05:28:48,26.59,27.787,Warning,0.919,0.15,0.741,15.4,LoRa
108,6,SNS0006,Crack Gauge,2018-12-16 06:52:32,47.973,46.734,Fault,0.894,2.44,1.33,50.1,Satellite
109,79,SNS0079,Crack Gauge,2018-07-15 18:36:50,31.201,31.845,Critical,0.998,0.1,0.625,62.6,LoRa
110,71,SNS0071,Soil Moisture,2021-03-13 22:49:35,76.077,75.152,Fault,0.81,4.27,1.83,-1.9,Manual
111,223,SNS0223,Extensometer,2019-10-17 06:25:02,53.786,54.857,Fault,0.867,0.42,1.003,53.0,LoRa
112,298,SNS0298,Seismograph,2021-05-19 12:03:46,64.693,61.46,Fault,0.931,1.43,0.862,20.6,WiFi
113,234,SNS0234,GNSS,2021-03-11 03:29:09,7.565,7.432,Normal,0.934,0.92,0.61,36.5,WiFi
114,127,SNS0127,Inclinometer,2022-01-21 02:17:51,29.226,29.094,Normal,0.867,2.06,0.206,-12.4,Manual
115,137,SNS0137,Rain Gauge,2018-05-16 18:31:09,39.799,37.997,Critical,0.931,1.91,0.577,-18.4,Satellite
116,30,SNS0030,Piezometer,2023-04-18 21:34:13,32.725,33.496,Critical,0.978,1.74,1.917,11.4,LoRa
117,252,SNS0252,Soil Moisture,2023-10-18 07:56:08,31.296,30.975,Fault,0.947,2.73,0.259,11.1,Satellite
118,257,SNS0257,Extensometer,2022-12-31 03:12:02,81.238,82.586,Normal,0.881,4.62,0.797,-2.9,Manual
119,142,SNS0142,GNSS,2021-01-27 13:26:20,77.836,76.345,Warning,0.85,0.71,1.648,24.4,LoRa
120,128,SNS0128,Accelerometer,2021-07-31 01:49:26,5.547,5.686,Warning,0.948,0.41,1.361,74.1,LoRa
121,145,SNS0145,Seismograph,2022-10-24 00:43:34,86.141,82.692,Critical,0.856,2.3,1.573,8.3,4G
122,218,SNS0218,Inclinometer,2023-08-28 09:48:49,58.929,60.132,Warning,0.821,1.58,1.334,66.1,LoRa
123,102,SNS0102,Crack Gauge,2019-05-12 02:25:46,90.594,88.531,Fault,0.851,0.78,0.254,-29.4,WiFi
124,160,SNS0160,Soil Moisture,2019-05-24 09:15:09,12.262,12.461,Normal,0.839,3.19,0.971,49.8,Manual
125,142,SNS0142,GNSS,2021-10-11 03:53:06,93.474,93.549,Critical,0.888,3.41,0.883,57.8,WiFi
126,83,SNS0083,Tiltmeter,2022-10-29 13:23:27,21.658,21.627,Warning,0.82,2.61,1.028,2.7,WiFi
127,139,SNS0139,Inclinometer,2018-10-04 00:40:35,80.129,83.487,Fault,0.818,4.7,0.441,63.9,Satellite
128,291,SNS0291,Inclinometer,2021-08-26 08:58:01,36.663,37.84,Warning,0.801,2.82,1.981,36.0,LoRa
129,175,SNS0175,Seismograph,2022-07-04 06:11:13,97.453,95.202,Warning,0.955,4.35,1.446,74.3,LoRa
130,149,SNS0149,Soil Moisture,2022-12-31 07:31:13,56.596,57.991,Fault,0.995,4.83,0.453,-26.1,Manual
131,77,SNS0077,Rain Gauge,2019-10-27 10:48:43,3.939,3.899,Warning,0.945,2.86,1.606,3.3,Manual
132,155,SNS0155,Rain Gauge,2020-09-08 16:57:10,30.679,31.065,Normal,0.966,4.93,0.686,-26.8,4G
133,70,SNS0070,Extensometer,2023-01-26 23:35:43,30.25,31.671,Critical,0.927,2.44,1.752,42.2,4G
134,100,SNS0100,Rain Gauge,2023-09-05 10:05:40,22.636,21.666,Critical,0.896,1.61,1.125,74.9,4G
135,205,SNS0205,Piezometer,2024-06-27 04:48:06,62.364,62.007,Normal,0.872,2.88,0.143,31.3,WiFi
136,187,SNS0187,Crack Gauge,2018-01-15 22:53:17,98.363,99.59,Normal,0.91,2.5,0.624,79.4,LoRa
137,107,SNS0107,Extensometer,2022-11-19 15:29:44,68.471,70.717,Fault,0.919,4.22,1.842,-2.8,Manual
138,62,SNS0062,Piezometer,2019-09-24 03:53:37,19.333,18.47,Normal,0.995,2.83,1.313,-27.7,LoRa
139,139,SNS0139,Inclinometer,2020-02-07 16:30:46,43.62,42.654,Normal,0.929,2.27,1.713,-34.3,4G
140,248,SNS0248,Extensometer,2019-08-13 03:57:46,96.541,95.716,Normal,0.959,0.45,1.793,42.3,Satellite
141,72,SNS0072,Extensometer,2022-03-12 18:39:02,50.252,47.897,Fault,0.948,4.19,0.996,-37.6,LoRa
142,219,SNS0219,Piezometer,2021-08-25 10:00:39,93.012,88.874,Warning,0.909,4.36,1.196,-7.4,4G
143,5,SNS0005,Extensometer,2021-04-20 03:25:34,2.338,2.329,Critical,0.89,1.46,1.046,61.4,Manual
144,173,SNS0173,Rain Gauge,2020-07-03 04:45:33,1.754,1.839,Fault,0.908,4.9,1.868,-11.8,WiFi
145,28,SNS0028,GNSS,2023-06-18 08:24:21,23.458,22.448,Warning,0.851,0.31,0.69,72.2,WiFi
146,3,SNS0003,Seismograph,2021-06-15 15:44:13,70.534,72.955,Critical,0.819,1.31,0.582,47.3,WiFi
147,234,SNS0234,GNSS,2019-05-01 11:23:26,82.823,85.936,Fault,0.847,0.83,0.012,-20.6,WiFi
148,261,SNS0261,Tiltmeter,2024-01-08 03:37:53,31.073,30.339,Fault,0.932,2.32,1.264,42.5,WiFi
149,155,SNS0155,Rain Gauge,2023-06-27 04:17:50,21.82,21.498,Critical,0.999,1.92,0.47,12.0,WiFi
150,141,SNS0141,Crack Gauge,2019-04-28 18:43:12,46.539,47.453,Fault,0.921,4.48,1.128,-29.1,Satellite
151,286,SNS0286,Soil Moisture,2018-06-26 19:39:32,34.681,35.642,Normal,0.899,1.61,1.515,-27.1,Satellite
152,40,SNS0040,Seismograph,2018-02-03 08:14:44,20.534,20.799,Critical,0.973,2.88,1.632,31.7,Manual
153,41,SNS0041,Crack Gauge,2018-07-06 12:32:47,49.59,48.383,Critical,0.856,3.72,0.725,-2.3,Manual
154,266,SNS0266,Soil Moisture,2022-12-26 04:47:00,48.841,47.143,Fault,0.881,1.26,1.118,46.9,4G
155,33,SNS0033,Extensometer,2024-01-02 00:56:12,90.419,88.738,Critical,0.907,4.78,1.632,20.7,4G
156,42,SNS0042,GNSS,2024-02-02 13:48:48,56.485,56.404,Critical,0.972,0.54,0.009,19.0,Satellite
157,165,SNS0165,Extensometer,2023-10-25 08:02:42,37.006,36.372,Warning,0.946,3.86,1.402,24.0,WiFi
158,240,SNS0240,Extensometer,2023-05-21 04:02:13,49.122,49.968,Warning,0.868,4.89,1.002,-6.9,Manual
159,24,SNS0024,Inclinometer,2024-03-04 01:35:30,40.642,39.9,Fault,0.927,4.19,1.022,7.9,Satellite
160,167,SNS0167,Extensometer,2023-07-27 19:09:44,64.841,62.877,Normal,0.876,4.36,0.023,-30.9,WiFi
161,275,SNS0275,Tiltmeter,2018-01-30 14:36:45,79.6,81.624,Fault,0.931,0.84,0.591,-16.3,Satellite
162,169,SNS0169,Extensometer,2021-04-01 10:37:24,53.477,52.924,Critical,0.832,1.34,1.835,14.8,Satellite
163,92,SNS0092,Extensometer,2019-03-29 02:12:28,38.692,37.604,Critical,0.918,2.96,1.565,67.1,WiFi
164,235,SNS0235,Inclinometer,2020-02-02 00:55:23,0.442,0.426,Warning,0.846,2.35,1.503,75.4,4G
165,188,SNS0188,Soil Moisture,2024-11-09 15:29:44,78.129,76.391,Fault,0.825,0.66,0.258,-32.1,LoRa
166,22,SNS0022,Piezometer,2024-05-04 17:26:29,33.713,32.269,Fault,0.97,1.96,1.96,51.9,Satellite
167,235,SNS0235,Inclinometer,2023-02-28 04:00:07,44.581,45.056,Fault,0.853,3.8,1.794,50.2,Manual
168,173,SNS0173,Rain Gauge,2022-05-03 05:42:27,84.506,86.982,Critical,0.918,4.43,0.149,78.0,Satellite
169,257,SNS0257,Extensometer,2019-03-21 15:38:21,42.644,43.357,Fault,0.872,3.36,1.586,39.4,LoRa
170,182,SNS0182,GNSS,2020-09-15 08:20:53,39.496,39.551,Warning,0.947,3.05,0.876,8.1,WiFi
171,155,SNS0155,Rain Gauge,2024-04-16 17:43:50,63.141,62.6,Warning,0.868,4.6,1.361,21.4,LoRa
172,16,SNS0016,Crack Gauge,2018-05-05 14:06:54,98.596,96.986,Fault,0.978,0.24,0.368,65.3,WiFi
173,196,SNS0196,Inclinometer,2019-08-16 17:50:39,38.811,38.219,Fault,0.818,4.61,0.208,-25.1,LoRa
174,187,SNS0187,Crack Gauge,2018-04-06 23:03:18,6.454,6.534,Fault,0.816,0.05,1.604,11.9,WiFi
175,57,SNS0057,Inclinometer,2020-04-09 06:54:29,92.666,89.784,Fault,0.826,0.49,0.383,66.5,4G
176,187,SNS0187,Crack Gauge,2018-01-10 20:50:41,91.211,95.716,Warning,0.829,3.52,1.877,-2.8,4G
177,254,SNS0254,Rain Gauge,2019-07-12 13:23:39,33.103,32.715,Critical,0.973,1.01,0.589,-15.9,LoRa
178,99,SNS0099,Crack Gauge,2020-01-18 06:40:42,17.426,17.891,Fault,0.881,4.33,1.329,51.9,LoRa
179,157,SNS0157,Accelerometer,2022-09-13 05:01:28,35.054,35.89,Critical,0.955,2.27,0.253,-18.2,WiFi
180,120,SNS0120,Accelerometer,2021-09-18 02:13:54,26.509,25.676,Critical,0.99,3.5,0.197,12.3,WiFi
181,128,SNS0128,Accelerometer,2022-07-20 12:35:40,19.5,19.778,Warning,0.833,0.36,1.518,28.5,LoRa
182,255,SNS0255,Accelerometer,2024-05-26 04:09:37,43.933,44.294,Critical,0.921,2.41,1.721,-30.8,Satellite
183,238,SNS0238,Crack Gauge,2024-01-21 12:40:47,19.277,20.064,Warning,0.886,2.74,0.365,31.9,Manual
184,218,SNS0218,Inclinometer,2024-10-20 00:46:11,43.811,41.917,Fault,0.832,0.51,0.239,-11.7,4G
185,127,SNS0127,Inclinometer,2023-12-16 06:32:01,64.796,65.952,Warning,0.917,3.56,1.345,68.6,Satellite
186,13,SNS0013,Inclinometer,2020-02-27 04:15:02,8.382,8.218,Normal,0.806,2.74,0.765,7.2,Manual
187,66,SNS0066,Crack Gauge,2020-03-28 20:56:04,78.435,79.311,Normal,0.961,0.44,1.784,35.4,WiFi
188,159,SNS0159,Inclinometer,2024-11-26 23:47:09,33.734,32.515,Normal,0.853,4.08,1.103,66.5,4G
189,218,SNS0218,Inclinometer,2018-06-30 07:40:56,7.829,8.006,Fault,0.997,1.53,1.241,32.5,Satellite
190,201,SNS0201,Soil Moisture,2022-03-31 14:41:33,22.147,21.295,Critical,0.814,1.02,1.296,41.2,LoRa
191,232,SNS0232,Accelerometer,2022-12-31 17:10:48,33.572,34.264,Fault,0.822,2.06,0.223,2.6,LoRa
192,137,SNS0137,Rain Gauge,2022-11-13 13:58:47,24.317,24.261,Normal,0.94,1.76,0.585,-28.5,LoRa
193,107,SNS0107,Extensometer,2023-04-16 19:02:47,62.73,64.85,Fault,0.934,4.91,0.227,-39.5,Manual
194,17,SNS0017,Accelerometer,2020-02-02 14:28:45,34.406,33.479,Critical,0.962,2.38,1.696,61.4,LoRa
195,30,SNS0030,Piezometer,2021-09-01 10:16:41,58.113,60.692,Warning,0.854,3.67,1.61,-3.8,Manual
196,257,SNS0257,Extensometer,2019-01-15 20:06:38,49.289,48.75,Fault,0.867,3.18,0.791,-35.3,WiFi
197,71,SNS0071,Soil Moisture,2019-07-05 13:52:27,50.365,50.278,Normal,0.944,4.83,1.889,23.9,Satellite
198,16,SNS0016,Crack Gauge,2021-09-03 22:22:47,79.242,78.896,Fault,0.864,3.07,0.276,64.3,Manual
199,149,SNS0149,Soil Moisture,2022-12-11 17:27:45,44.373,45.511,Normal,0.948,2.54,0.355,59.6,LoRa
200,130,SNS0130,Accelerometer,2023-11-05 10:07:27,7.441,7.159,Fault,0.804,4.24,1.406,76.3,LoRa
201,20,SNS0020,Extensometer,2020-08-02 13:52:09,37.972,39.174,Normal,0.802,1.86,0.958,65.6,4G
202,245,SNS0245,Extensometer,2023-01-26 09:20:29,72.556,72.768,Critical,0.863,3.82,1.76,37.5,Manual
203,14,SNS0014,Tiltmeter,2018-04-30 00:44:49,28.956,29.487,Fault,0.969,1.59,0.396,-34.9,LoRa
204,127,SNS0127,Inclinometer,2023-02-26 10:54:29,59.409,57.049,Critical,0.985,0.01,0.113,16.7,Manual
205,227,SNS0227,Soil Moisture,2024-07-13 22:22:27,47.193,45.393,Warning,0.99,4.01,0.281,24.8,WiFi
206,127,SNS0127,Inclinometer,2022-02-14 03:50:06,0.207,0.206,Critical,0.931,3.68,0.6,52.5,WiFi
207,297,SNS0297,Rain Gauge,2024-02-09 01:00:24,79.53,75.761,Normal,0.959,3.56,0.85,-10.8,WiFi
208,92,SNS0092,Extensometer,2024-05-11 05:16:11,90.913,95.155,Fault,0.92,0.62,0.495,69.3,LoRa
209,148,SNS0148,Accelerometer,2020-11-23 15:22:45,51.515,49.262,Fault,0.964,2.96,0.916,12.7,Satellite
210,213,SNS0213,Soil Moisture,2024-05-19 10:19:52,12.594,12.98,Normal,0.936,4.72,0.594,-11.1,Manual
211,117,SNS0117,GNSS,2024-08-05 21:39:18,13.639,13.71,Critical,0.939,2.12,0.374,77.0,Satellite
212,83,SNS0083,Tiltmeter,2018-06-28 18:47:31,91.919,94.362,Fault,0.939,0.81,1.69,26.5,WiFi
213,259,SNS0259,Rain Gauge,2021-02-12 21:07:55,0.501,0.484,Critical,0.981,2.52,0.103,21.6,Satellite
214,66,SNS0066,Crack Gauge,2020-07-04 14:27:41,91.363,87.366,Warning,0.958,1.08,0.094,3.1,Manual
215,133,SNS0133,GNSS,2021-03-15 17:52:42,74.066,70.94,Critical,0.919,3.36,0.786,32.9,Satellite
216,109,SNS0109,Piezometer,2019-11-12 16:55:54,32.858,33.703,Critical,0.927,1.88,1.969,79.8,4G
217,94,SNS0094,Piezometer,2019-05-07 23:52:39,35.655,36.729,Fault,0.936,3.52,1.763,52.1,LoRa
218,270,SNS0270,Rain Gauge,2024-03-09 20:41:58,75.779,74.245,Normal,0.803,0.9,1.019,-2.1,Satellite
219,179,SNS0179,Crack Gauge,2023-07-24 10:30:23,97.354,94.653,Normal,0.96,1.29,0.522,40.5,LoRa
220,31,SNS0031,Extensometer,2022-10-01 06:16:09,15.366,16.009,Warning,0.812,4.99,1.581,28.7,Manual
