record_id,slope_id,district_id,datetime,stream_flow_cumec,water_table_depth_m,pore_pressure_kpa,seepage_rate_mm_day,groundwater_level_change_m,catchment_area_sq_m,runoff_coefficient,baseflow_index,stream_type,channel_gradient,infiltration_rate
62,392,54,2018-04-26 09:37:43,4984.8,4.86,6.2,12.17,0.64,17123.0,95.9,21.37,Seasonal,39.0,0.673
63,84,9,2021-12-08 20:54:50,1504.5,1.03,34.1,16.08,3.66,39321.0,48.5,81.18,None,262.8,0.715
64,400,48,2020-04-14 21:16:47,2424.3,9.52,25.8,11.0,6.64,7536.0,74.8,68.08,Ephemeral,374.1,0.397
65,446,57,2024-11-03 03:30:04,2120.5,0.78,8.2,7.99,-1.77,18211.0,80.7,44.05,None,190.1,0.761
66,85,33,2022-01-06 04:14:04,2679.5,8.56,2.1,0.84,6.03,30097.0,35.3,68.54,None,331.0,0.431
67,470,7,2020-02-25 19:24:56,2975.7,8.63,39.2,8.57,-1.9,3428.0,94.3,25.47,Ephemeral,368.5,0.196
68,332,54,2019-12-21 20:55:19,1509.6,6.32,24.6,13.62,9.26,38038.0,62.9,30.4,Perennial,300.2,0.941
69,94,33,2021-01-11 17:40:50,2959.0,1.47,32.2,15.14,-1.8,236.0,39.7,79.76,None,112.0,0.954
70,160,34,2020-04-29 00:13:18,10.7,4.6,69.7,10.74,5.51,47628.0,92.8,67.02,Seasonal,237.4,0.94
71,330,35,2021-07-18 14:47:12,4474.4,2.77,41.2,17.03,2.53,28859.0,27.4,94.56,Ephemeral,343.2,0.613
72,230,59,2022-06-05 00:19:04,2763.5,6.02,10.8,9.45,1.18,22263.0,63.0,57.66,Perennial,108.5,0.819
73,414,36,2022-08-11 14:40:25,3531.5,2.7,47.5,3.86,7.96,38836.0,96.1,13.92,Seasonal,170.3,0.132
74,276,62,2020-05-23 15:16:06,998.6,3.45,58.3,7.06,-0.36,34344.0,26.3,42.81,Ephemeral,148.5,0.278
75,462,13,2018-01-21 19:09:27,4041.9,2.13,25.3,0.05,7.11,16484.0,4.8,6.44,Seasonal,344.3,0.661
76,339,14,2020-02-12 12:09:45,1152.2,4.32,16.5,10.63,-1.79,25806.0,92.7,16.73,Ephemeral,382.7,0.405
77,359,40,2020-09-24 16:10:59,2419.2,4.51,12.8,6.93,1.39,40239.0,47.6,47.01,Ephemeral,100.0,0.322
78,84,9,2022-10-26 05:09:08,2103.7,2.09,61.8,5.13,5.77,40953.0,34.0,39.88,Seasonal,98.3,0.172
79,38,62,2023-07-17 10:54:23,1257.3,0.97,55.5,11.58,5.01,2291.0,95.7,8.25,Seasonal,11.6,0.079
80,59,29,2022-11-02 20:51:35,2070.6,9.85,32.7,0.5,0.54,44322.0,97.8,62.89,Perennial,84.6,0.065
81,456,7,2024-02-09 17:58:48,462.8,5.93,28.3,5.84,9.55,44994.0,84.0,73.19,Seasonal,192.2,0.381
82,159,55,2019-08-18 11:51:02,178.4,3.94,35.0,6.64,4.26,33494.0,0.8,55.99,Seasonal,375.7,0.539
83,107,47,2020-11-04 16:47:55,4701.8,6.31,61.9,15.29,7.68,20261.0,97.2,8.47,Perennial,126.7,0.456
84,427,53,2021-04-24 03:45:25,1454.7,1.79,26.3,2.83,8.66,4390.0,8.8,14.82,Perennial,151.0,0.351
85,367,29,2022-01-19 19:34:27,3297.4,3.65,2.3,9.75,0.53,43656.0,11.8,54.57,Ephemeral,283.0,0.582
86,85,33,2020-12-17 19:22:07,457.7,2.88,15.1,19.48,9.15,35280.0,2.6,10.76,None,281.5,0.495
87,132,29,2019-09-07 06:28:02,3327.0,4.04,37.1,15.49,2.23,23236.0,62.5,77.78,Perennial,152.0,0.461
88,202,36,2024-09-10 10:19:04,945.7,2.38,74.9,6.62,0.67,20493.0,86.6,91.75,None,382.2,0.19
89,46,15,2024-09-07 17:57:29,4768.1,6.3,64.5,9.82,-0.32,1763.0,28.5,51.5,Seasonal,402.7,0.349
90,293,43,2024-08-19 09:21:37,1819.5,1.76,28.2,18.81,4.45,41832.0,43.4,53.54,Perennial,292.7,0.501
91,339,14,2021-11-07 14:50:29,1026.5,8.09,29.8,4.46,7.47,22285.0,80.7,91.4,None,355.4,0.352
92,167,44,2024-02-01 06:39:16,1051.6,7.15,46.2,2.28,-1.55,34582.0,13.6,12.89,None,177.9,0.539
93,189,17,2023-10-15 18:56:57,800.3,0.37,69.8,14.91,7.06,18676.0,32.6,89.71,None,402.9,0.693
94,421,51,2018-01-04 08:00:49,2822.3,6.57,21.7,15.51,1.85,27265.0,23.2,48.44,Perennial,133.1,0.47
95,39,4,2021-04-26 22:14:52,145.3,2.35,24.7,9.45,9.65,39543.0,55.6,92.14,None,15.6,0.757
96,197,62,2023-08-03 02:52:49,907.9,9.99,44.9,12.99,7.94,40831.0,92.1,88.74,Ephemeral,276.7,0.035
97,53,12,2020-10-06 10:24:35,2466.4,8.18,81.8,12.01,8.06,26304.0,36.7,78.29,None,68.8,0.737
98,59,29,2021-05-13 04:45:56,1466.8,3.46,74.3,3.24,-1.12,34441.0,79.4,37.45,Seasonal,442.2,0.823
99,35,45,2019-03-25 04:10:43,2805.8,1.16,74.1,15.32,1.79,14849.0,52.7,82.64,None,446.1,0.921
100,490,11,2020-04-23 10:39:08,4275.5,8.85,70.3,4.48,1.34,28045.0,47.5,26.4,Ephemeral,133.7,0.244
101,4,19,2024-01-16 17:04:35,3539.0,1.38,36.0,17.87,0.38,26795.0,64.7,87.95,Ephemeral,177.3,0.213
102,410,11,2020-10-08 15:46:48,3962.6,4.55,55.6,16.34,3.48,20320.0,94.6,62.63,Seasonal,394.5,0.088
103,41,34,2021-05-31 18:58:42,4156.6,0.1,0.8,11.25,-0.64,30478.0,83.5,70.49,Seasonal,435.7,0.797
104,158,29,2022-10-26 16:47:56,4304.1,7.74,30.3,6.92,7.17,42073.0,15.8,54.8,Ephemeral,219.5,0.602
105,74,43,2020-07-16 20:13:13,2189.2,6.0,63.7,17.44,3.57,39599.0,47.4,89.37,Ephemeral,360.8,0.959
106,371,53,2023-10-12 15:08:18,4182.8,9.42,98.4,6.05,-1.68,31713.0,49.4,80.39,Ephemeral,486.4,0.446
107,40,32,2020-01-09 06:24:50,2767.7,5.6,93.4,15.44,1.1,774.0,30.8,18.58,Perennial,424.3,0.581
108,173,36,2024-02-02 08:19:36,2926.0,4.22,70.2,14.48,3.57,34803.0,99.9,88.95,Ephemeral,354.3,0.749
109,273,23,2019-07-30 09:32:11,2383.3,2.2,21.1,9.29,3.95,4885.0,29.6,10.7,Ephemeral,68.1,0.303
110,484,10,2022-05-19 13:24:56,3382.6,1.45,47.3,10.53,2.43,21892.0,63.7,69.97,Perennial,291.7,0.395
111,427,53,2024-07-06 17:22:52,548.5,9.11,81.9,13.09,7.77,21884.0,55.3,70.15,Ephemeral,26.9,0.682
112,285,41,2018-04-10 16:30:14,4319.0,2.52,93.5,6.98,7.67,30245.0,86.9,47.71,Perennial,357.6,0.728
113,271,46,2018-06-15 17:10:19,3538.2,5.66,97.8,9.87,0.49,49411.0,31.0,16.14,Perennial,491.9,0.051
114,362,55,2021-02-24 21:14:07,4739.5,8.16,54.1,18.59,4.13,4551.0,28.7,60.27,None,115.4,0.226
115,398,46,2019-04-01 06:20:57,4762.4,0.16,3.6,13.37,0.64,27698.0,90.0,58.85,Seasonal,338.8,0.676
116,157,27,2021-09-01 11:57:37,1607.5,9.25,78.9,8.87,5.01,43638.0,75.9,33.02,Perennial,245.6,0.348
117,125,58,2022-10-15 11:58:19,555.1,8.72,92.8,19.17,7.88,19848.0,90.9,38.05,Perennial,352.0,0.394
118,364,17,2022-05-19 23:14:23,704.8,1.63,80.9,15.42,4.91,42.0,93.6,32.21,None,16.3,0.442
119,19,30,2020-11-29 01:13:51,2758.8,4.57,65.7,18.7,4.16,34258.0,22.5,39.74,Perennial,92.0,0.315
120,93,29,2021-11-01 03:38:29,4925.2,4.88,66.6,19.3,5.2,47545.0,79.6,57.25,None,121.0,0.257
121,90,62,2018-06-27 08:42:02,3751.3,3.76,47.3,10.06,7.41,46972.0,30.2,6.5,None,354.7,0.305
122,463,56,2022-10-07 20:17:36,3372.5,8.32,97.6,10.82,3.63,977.0,25.9,16.07,Perennial,353.9,0.972
123,440,51,2024-07-01 09:35:46,1937.5,7.61,47.5,9.44,0.83,27290.0,5.1,39.14,Perennial,325.3,0.75
124,162,25,2018-11-13 05:48:23,2987.0,9.97,87.6,18.07,-1.48,22085.0,82.6,74.15,Seasonal,401.5,0.369
125,304,49,2023-05-04 01:30:03,640.0,1.76,93.8,5.55,5.83,41211.0,42.7,42.04,None,206.8,0.058
126,91,53,2022-03-25 21:33:34,4023.4,1.67,95.2,15.09,-1.36,32508.0,57.7,35.03,Seasonal,492.0,0.885
127,394,62,2018-05-28 21:04:26,1356.5,4.19,20.3,6.94,1.48,12345.0,75.3,98.64,None,424.1,0.584
128,56,45,2020-12-07 15:35:20,1709.5,0.0,68.8,15.57,8.03,22432.0,0.1,29.32,Perennial,6.3,0.623
129,455,18,2018-11-05 07:26:56,4036.1,1.09,3.9,4.47,4.8,21232.0,17.5,19.6,Ephemeral,340.4,0.889
130,500,17,2018-05-25 02:22:12,3702.8,0.68,65.2,9.5,-0.39,39312.0,69.4,47.32,Ephemeral,150.0,0.616
131,154,46,2022-04-20 01:22:09,2360.0,8.68,87.0,13.7,8.22,8789.0,37.5,63.62,Perennial,475.8,0.726
132,162,25,2019-09-13 20:36:27,3055.1,1.84,17.5,5.66,-0.03,6756.0,89.5,5.25,None,486.9,0.398
133,14,37,2021-12-19 02:10:27,1291.0,7.35,50.0,3.42,-0.18,18627.0,47.8,52.46,Perennial,153.8,0.942
134,194,8,2023-11-04 16:44:38,393.0,3.26,10.3,16.31,3.1,9546.0,34.2,70.68,Seasonal,277.1,0.193
135,492,16,2018-05-30 23:28:28,4436.1,2.04,37.3,16.75,1.75,4111.0,72.5,62.95,None,204.5,0.619
136,456,7,2023-01-21 15:49:14,2913.8,2.67,77.0,5.44,6.53,43044.0,33.8,46.32,Seasonal,274.1,0.899
137,494,56,2020-02-18 03:55:07,496.1,9.19,47.7,3.14,4.09,31557.0,62.2,43.95,Ephemeral,336.5,0.789
138,87,37,2021-12-05 06:46:14,504.6,7.86,3.6,1.24,5.42,44559.0,91.1,12.6,Seasonal,350.1,0.007
139,232,47,2018-12-28 19:59:12,4412.2,1.02,85.9,0.87,9.01,9193.0,95.6,27.83,Perennial,70.5,0.704
140,318,57,2021-11-13 21:41:23,3928.0,0.42,91.8,5.76,9.78,43184.0,28.0,59.64,Ephemeral,186.9,0.517
141,280,10,2024-09-15 10:09:08,3162.0,1.17,75.3,9.16,6.28,42428.0,12.0,0.34,None,255.7,0.641
142,200,32,2019-08-11 04:25:43,97.5,4.53,24.3,12.53,9.05,48458.0,97.2,79.43,Perennial,10.0,0.517
143,116,34,2022-04-04 10:30:14,1133.2,3.28,7.5,18.94,8.87,20851.0,62.0,44.08,Seasonal,469.2,0.271
144,378,36,2024-07-05 03:33:26,3708.6,8.34,22.8,5.97,5.5,25823.0,59.8,11.0,Perennial,410.7,0.238
145,221,23,2024-10-29 22:51:03,781.0,7.17,54.7,19.01,7.55,34359.0,1.8,1.99,Ephemeral,174.2,0.534
146,472,50,2019-02-21 02:27:57,2082.5,8.5,28.3,18.21,4.23,32608.0,85.2,63.07,Perennial,2.9,0.904
147,186,38,2023-04-16 15:10:25,1548.3,6.89,61.7,2.41,3.24,25378.0,12.9,61.04,Seasonal,155.3,0.103
148,264,39,2023-11-07 10:04:06,1943.7,9.09,82.3,16.66,-1.78,33323.0,24.5,28.07,None,328.9,0.811
149,49,36,2023-01-20 05:08:59,970.5,1.85,83.2,5.49,6.16,17937.0,10.4,3.55,Perennial,327.7,0.677
150,253,56,2019-08-31 09:36:39,2398.3,0.17,82.6,12.28,-1.42,32614.0,22.3,13.26,Seasonal,303.1,0.81
151,258,27,2021-04-09 11:10:27,1956.0,9.69,22.9,18.27,3.54,45843.0,62.1,78.44,Perennial,445.5,0.423
152,450,35,2024-03-08 07:02:03,4832.0,2.01,31.4,1.38,7.94,10936.0,24.6,99.61,Ephemeral,458.6,0.788
153,256,59,2021-12-15 20:55:18,3482.6,9.3,31.6,8.89,-1.1,1516.0,77.1,68.24,Ephemeral,421.4,0.38
154,407,21,2021-02-06 05:35:37,2257.2,7.19,2.5,9.7,7.88,40467.0,17.1,2.33,None,392.2,0.985
155,40,32,2021-06-12 02:05:33,2754.3,4.47,93.2,8.26,-1.52,32391.0,47.6,24.2,Ephemeral,454.6,0.565
156,302,59,2024-03-11 00:25:47,3694.2,3.9,17.3,9.56,0.19,5364.0,68.9,60.48,Ephemeral,42.7,0.629
157,383,6,2019-10-06 05:07:09,2996.9,5.69,4.3,14.08,8.07,18869.0,52.6,46.49,Perennial,186.4,0.134
158,138,54,2022-03-19 12:07:01,2660.0,0.64,27.5,8.9,4.94,49835.0,18.3,89.42,None,401.4,0.792
159,188,26,2019-11-24 15:54:02,4440.5,2.96,83.7,19.03,1.43,31795.0,54.1,17.94,None,324.5,0.323
160,269,36,2024-11-21 03:07:55,3794.5,6.4,0.6,9.59,-1.47,38316.0,83.4,0.33,Seasonal,134.3,0.39
161,248,28,2020-02-18 21:55:30,1486.5,3.64,66.6,6.07,0.51,18397.0,82.9,95.15,Perennial,195.3,0.999
162,398,46,2018-07-11 10:38:25,2880.0,4.89,55.2,8.22,1.44,6154.0,2.9,47.75,Ephemeral,27.4,0.369
163,44,60,2018-09-06 03:04:50,3568.5,3.5,5.7,1.27,2.19,3075.0,52.0,58.24,Perennial,295.7,0.935
164,217,47,2019-11-28 23:20:28,3844.2,3.86,60.2,15.4,4.83,47919.0,28.0,12.98,None,158.0,0.545
165,375,28,2020-02-01 18:36:55,3097.6,5.59,29.5,19.91,0.96,42691.0,11.3,64.76,Perennial,154.4,0.551
166,494,56,2018-03-08 08:25:15,1419.3,8.27,75.8,11.85,2.02,28899.0,81.9,24.89,Ephemeral,158.8,0.709
167,405,16,2021-08-23 01:51:26,234.3,9.34,80.3,18.48,9.55,35866.0,0.5,18.56,Seasonal,444.5,0.573
168,367,29,2019-08-16 01:40:56,844.3,2.42,42.8,10.61,6.38,28578.0,98.7,89.67,Perennial,83.1,0.907
169,457,50,2023-10-15 04:32:01,3659.3,1.76,35.4,15.27,9.57,8860.0,56.6,70.16,Ephemeral,54.7,0.655
170,398,46,2023-12-28 11:47:52,1437.2,4.93,70.1,10.93,9.23,20882.0,8.4,42.46,Seasonal,482.7,0.99
171,109,47,2018-11-24 03:57:46,1343.1,1.48,79.4,4.82,5.84,28876.0,91.4,23.64,None,214.0,0.073
172,171,46,2022-02-10 21:27:34,2497.3,1.55,13.6,13.75,1.29,15007.0,87.5,30.76,Seasonal,263.8,0.379
173,259,40,2022-05-25 21:06:51,820.2,2.48,60.3,16.95,4.15,4642.0,33.1,9.19,Perennial,372.1,0.584
174,29,60,2019-10-31 09:10:13,346.4,0.2,48.1,14.65,-1.2,19154.0,31.0,48.87,Seasonal,453.1,0.449
175,104,21,2021-05-18 09:21:48,2130.1,7.33,24.3,14.99,-0.88,27267.0,88.8,60.66,None,260.1,0.04
176,7,33,2023-12-14 04:46:35,3768.6,7.81,27.3,7.94,9.8,3546.0,17.5,57.76,None,492.2,0.404
177,343,43,2021-10-03 19:26:06,4155.2,3.83,54.8,0.47,-1.72,7352.0,60.3,3.04,Ephemeral,238.0,0.395
178,403,60,2019-09-10 20:29:34,3757.6,1.22,26.2,10.5,2.65,19142.0,17.7,73.29,None,168.5,0.321
179,210,17,2022-12-31 23:38:10,389.9,2.94,39.0,3.01,-1.74,10414.0,5.8,95.86,Ephemeral,426.6,0.886
180,449,51,2019-03-31 15:57:16,1961.4,9.08,76.3,0.74,4.39,24468.0,98.3,22.73,Perennial,433.4,0.38
181,154,46,2024-09-04 20:01:59,2637.4,5.02,33.6,2.7,9.54,22434.0,26.0,67.39,Ephemeral,60.6,0.069
182,260,51,2022-04-07 09:37:14,1545.9,9.06,51.2,15.89,2.51,25660.0,22.8,57.63,None,93.5,0.923
183,427,53,2024-12-09 05:49:29,1686.4,6.83,84.0,11.08,2.96,22257.0,43.1,7.7,Seasonal,222.9,0.511
184,217,47,2023-11-21 05:35:11,989.6,0.15,23.6,16.09,6.23,3971.0,11.6,24.4,Ephemeral,427.6,0.321
185,134,20,2022-06-20 03:10:53,3314.8,4.92,77.7,3.61,4.16,49270.0,79.6,42.92,Ephemeral,367.3,0.518
186,271,46,2022-06-03 13:55:58,939.1,8.98,55.0,16.09,5.29,24261.0,1.6,59.33,Perennial,145.0,0.263
187,182,2,2019-01-13 05:31:28,4722.8,8.25,30.5,8.32,2.97,25607.0,60.3,69.24,Seasonal,195.0,0.414
188,90,62,2022-07-17 08:24:44,3694.8,6.78,2.3,7.29,2.38,38912.0,58.7,48.32,Ephemeral,298.9,0.609
189,445,22,2019-09-30 13:32:37,3192.8,1.39,76.5,2.23,6.95,9699.0,56.6,38.58,Ephemeral,394.8,0.069
190,11,53,2023-09-22 20:19:44,4542.4,2.81,21.2,0.74,-0.06,26869.0,98.8,33.52,None,246.4,0.756
191,134,20,2021-05-08 11:05:18,4248.4,3.99,87.3,8.88,9.63,2660.0,23.0,35.35,Seasonal,413.8,0.885
192,146,5,2021-02-05 21:41:08,559.8,3.98,43.6,11.41,1.21,37721.0,24.3,98.14,Perennial,33.7,0.707
193,315,31,2019-10-29 21:00:39,1183.2,5.18,87.8,6.95,9.74,9918.0,57.2,47.22,None,89.6,0.766
194,37,17,2020-03-07 02:05:38,414.6,0.92,90.8,15.91,5.45,38844.0,93.2,91.55,Perennial,54.6,0.462
195,444,1,2019-04-14 02:29:03,3434.1,8.63,29.3,10.38,0.9,45149.0,51.0,84.9,Seasonal,412.6,0.296
196,115,9,2022-12-07 06:30:35,3651.0,8.5,22.1,17.04,3.78,12809.0,10.1,60.74,Ephemeral,93.2,0.505
197,183,43,2021-06-20 13:10:28,4624.8,3.91,66.4,18.98,2.06,49747.0,4.4,84.69,None,315.6,0.771
198,447,12,2022-03-06 16:54:50,4984.2,6.56,29.1,0.52,0.86,20059.0,7.5,38.09,None,17.7,0.402
199,357,2,2020-06-03 00:10:25,1516.4,8.15,83.8,9.27,5.61,47288.0,29.2,76.43,None,395.8,0.859
200,345,12,2020-03-11 17:22:45,1579.1,1.21,90.3,1.25,5.78,5836.0,45.5,75.97,Ephemeral,198.2,0.737
201,411,33,2021-04-19 04:38:25,3102.9,2.94,54.2,10.07,4.96,44047.0,66.7,45.02,Perennial,189.1,0.796
202,211,39,2018-07-10 14:20:47,1072.3,3.32,47.6,12.81,2.57,33644.0,2.1,56.42,Seasonal,379.2,0.056
203,195,6,2024-08-22 04:17:20,4693.8,0.92,65.7,6.3,8.23,20543.0,76.3,62.41,Seasonal,434.8,0.294
204,192,15,2021-08-29 14:40:06,2295.1,3.55,12.4,1.24,8.78,49271.0,68.0,81.95,Perennial,102.2,0.23
205,168,14,2020-11-17 01:44:37,807.0,9.42,50.2,4.14,7.83,46149.0,67.6,34.81,Ephemeral,463.5,0.409
206,488,17,2022-10-05 06:07:52,4349.9,4.9,97.3,13.03,1.36,2086.0,16.0,57.02,Seasonal,355.0,0.379
207,477,40,2023-09-21 08:53:16,1498.9,8.37,74.5,0.95,5.81,29285.0,67.7,39.1,Seasonal,223.2,0.765
208,243,37,2020-05-28 19:31:41,2768.6,3.8,47.3,15.35,8.71,11914.0,55.7,10.87,None,161.4,0.557
