report_id,state_id,district_id,event_id,report_datetime,reporter_id,reporter_type,lat,lon,observation_type,damage_severity,weather_at_site,rainfall_observed_mm,visibility_m,verification_status,ai_validation_score,photo_path
20,4,36,519,2021-04-26 13:32:59,FIELD_5199,District Admin,25.22421,90.73323,Flooding,Severe,Heavy Rain,492.4,103.9,Archived,0.5,
21,2,17,911,2022-11-14 19:22:30,FIELD_6168,Police,23.54819,92.93108,Crack Observed,Moderate,Clear,199.9,37.2,Submitted,0.46,photos/FR00021.jpg
22,3,28,,2021-08-08 05:26:22,FIELD_1886,NDMA Officer,29.13885,93.05217,Flooding,Minor,Cloudy,206.7,182.4,Submitted,0.9,photos/FR00022.jpg
23,4,39,412,2023-02-09 08:51:36,FIELD_3705,District Admin,27.37096,90.97687,Village Isolated,None,Rain,264.7,0.6,Verified,0.03,photos/FR00023.jpg
24,4,38,,2018-07-06 18:58:31,FIELD_3949,Police,29.68053,98.79086,No Activity,Moderate,Cloudy,25.8,29.2,Archived,0.36,
25,8,59,23,2023-08-26 21:53:27,FIELD_9711,District Admin,25.48722,92.29939,Flooding,Severe,Heavy Rain,933.3,25.3,Submitted,0.3,photos/FR00025.jpg
26,6,51,581,2020-12-12 19:38:05,FIELD_5871,Citizen,29.41811,91.13712,Village Isolated,None,Cloudy,915.2,71.8,Under Review,0.6,photos/FR00026.jpg
27,4,38,964,2024-02-05 16:17:08,FIELD_6398,Police,29.91768,98.47034,Flooding,Minor,Cloudy,526.3,21.0,Submitted,0.54,photos/FR00027.jpg
28,7,56,784,2020-05-02 19:17:40,FIELD_3154,Citizen,29.44043,97.33555,Village Isolated,Severe,Rain,184.7,72.5,Under Review,0.69,photos/FR00028.jpg
29,6,51,742,2023-01-13 11:58:34,FIELD_1672,District Admin,29.32316,91.09966,Landslide Observed,Severe,Heavy Rain,727.9,170.5,Archived,0.33,
30,6,48,397,2018-02-16 06:29:58,FIELD_5819,Citizen,26.55359,95.06562,Crack Observed,Minor,Clear,884.8,169.1,Submitted,0.51,
31,2,17,,2020-10-29 20:14:17,FIELD_1438,Forest Guard,23.95031,92.61854,Damage,None,Rain,346.7,70.5,Verified,0.37,
32,4,33,,2019-02-21 15:32:35,FIELD_3499,Forest Guard,23.4918,100.12938,No Activity,Minor,Rain,447.0,167.3,Under Review,0.93,
33,4,37,379,2019-01-28 01:29:06,FIELD_4552,Citizen,26.63742,94.80532,No Activity,Moderate,Rain,736.7,162.4,Verified,0.48,photos/FR00033.jpg
34,1,3,,2020-10-25 04:13:21,FIELD_6966,Citizen,27.15087,98.79281,Village Isolated,Minor,Heavy Rain,461.8,53.0,Submitted,0.44,
35,5,44,808,2018-12-31 18:56:14,FIELD_3523,GSI Geologist,29.25406,98.91247,Village Isolated,Moderate,Rain,901.6,186.0,Under Review,0.43,
36,6,47,385,2024-08-07 08:27:05,FIELD_3507,Forest Guard,29.50868,99.39364,Road Blocked,None,Heavy Rain,360.4,161.1,Rejected,0.82,photos/FR00036.jpg
37,5,45,283,2023-06-02 23:53:17,FIELD_1809,NDMA Officer,28.49533,95.32044,Village Isolated,Minor,Rain,336.4,48.1,Rejected,0.35,photos/FR00037.jpg
38,2,22,373,2019-01-18 05:29:05,FIELD_7946,Citizen,22.82538,96.53065,Flooding,Moderate,Cloudy,373.0,194.0,Under Review,0.7,photos/FR00038.jpg
39,3,27,56,2021-01-11 10:20:02,FIELD_1127,GSI Geologist,25.24559,90.83129,Damage,Severe,Clear,502.7,151.8,Submitted,0.29,
40,1,6,338,2024-07-07 18:01:16,FIELD_3599,NDMA Officer,26.5983,97.19569,Flooding,None,Cloudy,223.1,111.2,Submitted,0.78,photos/FR00040.jpg
41,8,62,,2018-04-22 23:50:43,FIELD_9577,Citizen,26.78994,92.39738,Crack Observed,Minor,Clear,979.5,6.7,Rejected,0.79,photos/FR00041.jpg
42,4,39,,2019-06-23 03:35:21,FIELD_1716,District Admin,27.20712,91.35023,No Activity,Minor,Clear,33.0,141.6,Verified,0.71,photos/FR00042.jpg
43,3,28,,2018-01-08 13:51:39,FIELD_4869,Citizen,29.06336,92.95776,Crack Observed,None,Cloudy,943.6,198.9,Submitted,0.56,photos/FR00043.jpg
44,4,34,,2018-11-05 15:18:12,FIELD_7753,Forest Guard,26.21965,97.52768,No Activity,None,Cloudy,747.7,54.6,Verified,0.74,photos/FR00044.jpg
45,2,20,95,2024-07-07 15:29:41,FIELD_7631,Forest Guard,23.11256,93.36451,Village Isolated,None,Rain,148.9,163.2,Rejected,0.27,
46,3,30,199,2024-06-24 06:54:37,FIELD_9108,Citizen,25.8307,92.80779,Damage,None,Heavy Rain,239.6,118.8,Rejected,0.52,photos/FR00046.jpg
47,4,36,845,2022-10-26 23:41:09,FIELD_3765,GSI Geologist,25.59014,90.49888,No Activity,None,Clear,306.0,190.0,Under Review,0.82,
48,6,51,721,2020-10-13 01:36:21,FIELD_6411,Forest Guard,29.47658,90.61161,No Activity,Minor,Cloudy,196.0,55.8,Verified,0.63,photos/FR00048.jpg
49,4,38,868,2021-03-11 04:21:57,FIELD_5395,Citizen,29.80191,98.64701,No Activity,None,Heavy Rain,667.7,161.6,Submitted,0.96,
50,4,35,,2019-03-30 06:39:02,FIELD_4981,Police,23.00616,91.7687,Damage,Moderate,Rain,383.7,98.1,Verified,0.9,
51,2,14,,2018-06-15 09:23:46,FIELD_7337,Police,22.7546,93.09592,Flooding,Severe,Cloudy,514.7,98.4,Rejected,0.71,photos/FR00051.jpg
52,8,62,514,2024-09-11 19:38:43,FIELD_6401,GSI Geologist,26.89556,92.54635,Crack Observed,None,Rain,675.8,89.9,Under Review,0.65,photos/FR00052.jpg
53,6,51,846,2022-10-11 21:36:20,FIELD_1034,NDMA Officer,29.75629,90.85795,Village Isolated,Minor,Clear,849.7,26.4,Under Review,0.64,photos/FR00053.jpg
54,3,28,,2019-10-30 11:17:53,FIELD_7786,District Admin,28.86417,93.20779,Road Blocked,None,Clear,367.6,21.5,Under Review,0.36,photos/FR00054.jpg
55,6,52,,2018-09-30 17:21:39,FIELD_9357,Forest Guard,28.25359,99.6549,No Activity,Minor,Heavy Rain,715.4,173.1,Verified,0.05,
56,5,41,586,2023-08-05 11:05:08,FIELD_1355,GSI Geologist,23.17501,94.25626,No Activity,Minor,Clear,235.4,63.3,Archived,0.32,photos/FR00056.jpg
57,5,41,,2019-08-01 06:37:13,FIELD_9203,Forest Guard,22.70492,94.15908,No Activity,None,Cloudy,186.2,98.0,Archived,0.69,
58,2,18,,2021-06-03 15:04:50,FIELD_1664,Police,28.66517,98.42227,Damage,Severe,Heavy Rain,43.2,72.7,Verified,0.6,photos/FR00058.jpg
59,3,23,859,2020-07-06 23:59:49,FIELD_7658,GSI Geologist,27.92559,91.83408,Crack Observed,Severe,Rain,847.2,94.6,Verified,0.35,photos/FR00059.jpg
60,1,7,822,2022-04-15 06:03:54,FIELD_4174,NDMA Officer,26.23346,92.09432,Village Isolated,Severe,Heavy Rain,479.1,179.4,Rejected,0.12,
61,1,5,,2019-03-11 18:12:36,FIELD_2781,Forest Guard,23.8998,95.29187,Crack Observed,None,Rain,339.2,187.2,Under Review,0.11,photos/FR00061.jpg
62,2,16,159,2023-03-09 22:15:34,FIELD_3068,Forest Guard,23.26454,90.5431,Village Isolated,Moderate,Clear,179.6,85.0,Rejected,0.4,
63,2,15,,2021-01-10 10:34:58,FIELD_6566,Citizen,26.70007,98.56539,Landslide Observed,None,Cloudy,250.5,65.2,Rejected,0.15,photos/FR00063.jpg
64,1,9,691,2022-01-09 18:36:20,FIELD_1941,District Admin,27.43027,93.47993,No Activity,Minor,Clear,7.7,177.9,Rejected,0.9,photos/FR00064.jpg
65,8,59,448,2022-12-05 00:53:47,FIELD_1044,GSI Geologist,25.64182,92.2041,No Activity,Severe,Clear,971.5,16.6,Archived,0.09,
66,7,56,208,2021-02-07 22:32:27,FIELD_4074,Citizen,29.61742,97.8358,Damage,Moderate,Cloudy,16.7,173.0,Rejected,0.53,photos/FR00066.jpg
67,5,45,84,2022-01-09 19:25:38,FIELD_1918,Forest Guard,28.95592,95.02776,Crack Observed,Minor,Cloudy,145.3,21.7,Archived,0.23,
68,1,12,272,2020-11-04 17:18:13,FIELD_6421,Police,26.77716,98.08829,Landslide Observed,Severe,Cloudy,720.7,60.9,Submitted,0.32,
69,4,33,,2019-11-19 17:37:01,FIELD_4118,GSI Geologist,23.64424,99.70534,No Activity,Minor,Cloudy,224.3,83.3,Verified,0.01,photos/FR00069.jpg
70,6,50,310,2018-06-14 11:08:04,FIELD_1047,Citizen,23.7317,92.52903,Damage,Minor,Clear,405.6,198.2,Verified,0.45,photos/FR00070.jpg
71,5,41,99,2024-05-08 21:18:34,FIELD_5416,Forest Guard,23.06417,94.05413,Landslide Observed,Severe,Cloudy,341.0,140.0,Archived,0.17,photos/FR00071.jpg
72,6,54,884,2024-12-21 21:28:30,FIELD_8711,NDMA Officer,29.4021,91.898,No Activity,Minor,Heavy Rain,529.2,90.8,Archived,0.44,
73,4,39,,2023-11-12 23:02:41,FIELD_4915,NDMA Officer,27.7134,90.98755,Damage,Severe,Clear,685.6,144.2,Archived,0.08,
74,6,50,254,2023-01-04 12:26:08,FIELD_4471,Forest Guard,24.04608,92.15288,Village Isolated,None,Clear,519.1,142.7,Rejected,0.72,
75,3,23,821,2021-01-07 18:29:14,FIELD_3445,Police,27.91069,91.89085,Village Isolated,Moderate,Rain,467.1,132.8,Under Review,0.87,
76,2,17,891,2023-07-07 08:48:20,FIELD_6248,Forest Guard,23.53061,92.91669,Road Blocked,Moderate,Heavy Rain,110.7,132.3,Verified,0.41,photos/FR00076.jpg
77,8,60,674,2018-07-21 11:55:49,FIELD_2987,Citizen,24.63451,96.02687,No Activity,Severe,Clear,26.4,121.3,Verified,0.44,
78,5,42,,2024-12-05 19:36:50,FIELD_2101,Police,21.893,97.26396,No Activity,Severe,Clear,872.4,198.9,Under Review,0.69,photos/FR00078.jpg
79,4,34,,2023-09-04 05:30:57,FIELD_9583,Forest Guard,26.20554,97.73916,No Activity,None,Heavy Rain,784.9,16.9,Archived,0.46,photos/FR00079.jpg
80,4,33,,2020-11-09 10:54:25,FIELD_7992,Police,24.02991,99.73851,Flooding,None,Rain,434.0,192.8,Under Review,0.2,
81,4,39,713,2023-01-16 21:31:15,FIELD_3740,District Admin,27.62119,91.25701,Landslide Observed,Minor,Clear,970.9,73.7,Verified,0.86,photos/FR00081.jpg
82,4,37,679,2022-07-07 15:53:43,FIELD_3862,GSI Geologist,26.74284,94.54989,Landslide Observed,Severe,Heavy Rain,356.9,84.9,Rejected,0.88,photos/FR00082.jpg
83,3,27,194,2019-02-11 03:01:04,FIELD_2851,Forest Guard,25.12716,90.43429,Flooding,None,Rain,509.6,188.8,Rejected,0.5,photos/FR00083.jpg
84,3,24,629,2020-10-31 21:10:04,FIELD_6028,District Admin,24.4167,99.3539,Crack Observed,Moderate,Rain,386.6,115.7,Under Review,0.75,
85,1,10,863,2023-12-06 14:11:44,FIELD_7225,GSI Geologist,23.47065,97.45499,No Activity,Severe,Cloudy,381.5,98.2,Archived,0.09,photos/FR00085.jpg
86,4,38,216,2019-10-24 10:02:38,FIELD_2250,District Admin,29.69034,98.71475,Damage,None,Cloudy,39.6,128.3,Archived,0.13,photos/FR00086.jpg
87,6,47,383,2020-10-26 21:09:03,FIELD_3915,Forest Guard,29.46729,99.12195,Flooding,Moderate,Clear,135.8,135.1,Archived,0.96,
88,4,33,,2023-01-10 19:58:22,FIELD_4227,GSI Geologist,23.56638,99.76999,Flooding,Minor,Clear,452.1,114.1,Verified,0.8,
89,2,15,,2020-11-08 19:39:42,FIELD_1132,District Admin,27.03507,98.62351,Crack Observed,Minor,Heavy Rain,373.5,151.6,Submitted,0.32,photos/FR00089.jpg
90,5,45,743,2018-09-03 01:32:24,FIELD_8515,GSI Geologist,28.72291,95.28362,Road Blocked,Severe,Cloudy,669.3,42.3,Rejected,0.21,
91,8,60,71,2018-04-09 08:33:40,FIELD_3305,Forest Guard,24.81866,95.88007,Road Blocked,Severe,Rain,515.6,146.6,Verified,0.38,photos/FR00091.jpg
92,3,24,361,2023-03-16 19:57:30,FIELD_5203,District Admin,24.45469,99.06577,Road Blocked,Severe,Heavy Rain,535.8,178.0,Under Review,0.98,photos/FR00092.jpg
93,4,35,17,2019-12-09 20:10:47,FIELD_5466,GSI Geologist,23.16254,91.75521,Damage,Severe,Clear,785.8,13.5,Rejected,0.15,photos/FR00093.jpg
94,6,48,267,2022-12-22 02:11:09,FIELD_3461,NDMA Officer,26.86494,94.79538,Landslide Observed,Severe,Clear,504.9,175.5,Archived,0.42,photos/FR00094.jpg
95,5,40,220,2023-05-05 01:25:41,FIELD_5020,GSI Geologist,28.28263,97.8436,No Activity,Minor,Cloudy,528.7,159.3,Submitted,0.1,
96,3,32,,2021-05-14 03:41:05,FIELD_1871,Police,25.24069,95.81013,Landslide Observed,None,Rain,841.6,175.8,Verified,0.38,
97,8,61,332,2018-01-11 02:04:33,FIELD_3914,NDMA Officer,26.5778,90.36539,Damage,Moderate,Rain,709.0,158.6,Archived,0.71,
98,5,43,,2018-09-16 23:46:26,FIELD_8287,District Admin,29.64579,97.61371,Flooding,Minor,Cloudy,276.2,76.6,Submitted,0.92,photos/FR00098.jpg
99,8,60,949,2024-02-18 06:26:33,FIELD_1829,Forest Guard,24.56021,95.99421,Landslide Observed,Moderate,Clear,51.5,115.6,Rejected,0.11,
100,1,9,,2024-04-18 18:15:46,FIELD_3905,NDMA Officer,27.66454,93.54538,Road Blocked,Moderate,Rain,633.1,97.5,Under Review,0.07,photos/FR00100.jpg
101,7,58,447,2022-07-01 20:48:44,FIELD_6501,GSI Geologist,27.05086,94.579,Landslide Observed,Moderate,Cloudy,674.1,87.0,Rejected,0.73,
102,4,34,963,2020-10-18 08:34:08,FIELD_8063,Police,26.00647,97.81041,Damage,Minor,Clear,439.2,122.5,Rejected,0.73,photos/FR00102.jpg
103,4,37,,2020-08-02 13:12:21,FIELD_3920,District Admin,26.66462,94.82313,Landslide Observed,Severe,Clear,650.4,32.0,Archived,0.91,
104,1,8,,2019-11-04 07:53:13,FIELD_9408,GSI Geologist,24.09605,98.84365,Flooding,None,Cloudy,580.5,56.9,Verified,0.41,
105,7,58,,2018-12-02 18:28:47,FIELD_8376,GSI Geologist,26.99637,94.50736,Landslide Observed,Moderate,Clear,619.3,101.2,Rejected,0.7,photos/FR00105.jpg
106,4,33,534,2020-07-12 15:55:18,FIELD_9908,NDMA Officer,23.6892,99.89379,Flooding,Moderate,Heavy Rain,186.6,159.9,Submitted,0.25,
107,7,57,973,2021-07-17 12:44:05,FIELD_6114,GSI Geologist,23.6732,92.87827,Flooding,Severe,Rain,191.4,29.9,Submitted,0.56,
108,1,7,,2019-03-03 20:50:18,FIELD_4567,NDMA Officer,26.09648,92.09319,Village Isolated,None,Cloudy,887.2,47.2,Verified,0.54,photos/FR00108.jpg
109,1,1,152,2020-02-22 07:25:08,FIELD_7464,District Admin,27.34424,90.47614,No Activity,None,Clear,629.7,199.8,Verified,0.01,
110,2,16,991,2020-01-22 01:33:33,FIELD_9796,Forest Guard,23.69284,90.54748,No Activity,Severe,Heavy Rain,474.1,5.9,Verified,0.62,photos/FR00110.jpg
111,5,42,957,2022-07-22 00:06:04,FIELD_9085,Police,22.12267,97.27493,Flooding,None,Heavy Rain,910.0,60.5,Archived,0.7,photos/FR00111.jpg
112,3,32,138,2020-11-16 06:11:13,FIELD_3924,GSI Geologist,25.17252,95.80459,Damage,Severe,Clear,241.1,43.7,Submitted,0.88,
113,1,5,,2023-02-02 23:57:32,FIELD_9078,District Admin,23.85303,95.23594,Village Isolated,None,Cloudy,344.7,36.6,Rejected,0.29,
114,6,48,545,2019-07-07 15:49:50,FIELD_8952,Forest Guard,26.84717,94.71052,Damage,Moderate,Rain,699.3,43.9,Submitted,0.8,
115,8,60,196,2023-09-15 12:52:55,FIELD_3726,Forest Guard,24.9494,95.97196,Crack Observed,None,Clear,478.1,196.8,Submitted,0.27,photos/FR00115.jpg
116,2,15,937,2018-09-03 16:07:41,FIELD_9537,Citizen,26.92216,98.70736,Crack Observed,Minor,Cloudy,70.8,16.1,Under Review,0.68,photos/FR00116.jpg
117,5,44,,2024-01-06 21:51:38,FIELD_8660,Police,29.1157,98.55487,Landslide Observed,Minor,Clear,815.1,196.7,Submitted,0.5,
118,6,47,941,2020-05-27 20:39:03,FIELD_7545,District Admin,29.7926,99.10282,Damage,Minor,Heavy Rain,377.9,83.2,Under Review,0.13,
119,4,35,832,2018-08-15 16:14:27,FIELD_5214,Citizen,23.11791,91.64708,Village Isolated,Minor,Rain,748.3,32.6,Rejected,0.58,
120,2,13,845,2020-10-14 05:10:22,FIELD_2102,GSI Geologist,26.10316,99.45194,Village Isolated,Severe,Heavy Rain,208.2,137.8,Submitted,0.92,photos/FR00120.jpg
121,8,59,,2020-11-30 11:57:48,FIELD_2757,Police,25.66989,92.47783,Road Blocked,None,Cloudy,401.9,71.1,Archived,0.01,photos/FR00121.jpg
122,6,47,,2019-03-19 07:19:10,FIELD_3304,District Admin,29.36693,99.06671,Village Isolated,Moderate,Heavy Rain,866.2,97.4,Archived,0.79,photos/FR00122.jpg
123,8,62,727,2023-10-09 19:23:09,FIELD_3826,District Admin,26.86803,92.56291,Flooding,Severe,Cloudy,516.0,88.3,Archived,0.82,photos/FR00123.jpg
124,4,37,362,2021-10-08 17:26:36,FIELD_6245,District Admin,27.03382,94.56482,Damage,Severe,Clear,903.2,88.2,Rejected,0.95,photos/FR00124.jpg
125,6,49,913,2020-08-08 03:05:09,FIELD_4372,District Admin,29.62285,98.5294,Landslide Observed,Severe,Heavy Rain,162.0,48.1,Under Review,0.73,
126,4,38,690,2024-12-04 03:08:51,FIELD_9725,NDMA Officer,29.96691,98.32385,Crack Observed,Severe,Cloudy,705.0,59.6,Rejected,0.72,photos/FR00126.jpg
127,8,59,,2018-08-24 12:15:40,FIELD_5142,NDMA Officer,25.35253,92.27094,Crack Observed,Severe,Heavy Rain,45.5,103.6,Under Review,0.06,photos/FR00127.jpg
128,3,31,657,2024-06-17 15:33:04,FIELD_2052,GSI Geologist,28.13542,95.20474,Crack Observed,None,Clear,209.6,25.7,Submitted,0.28,photos/FR00128.jpg
129,5,43,219,2019-02-07 23:49:35,FIELD_2711,NDMA Officer,29.90964,97.50367,No Activity,Minor,Clear,870.8,161.0,Rejected,0.84,
130,1,1,114,2021-02-12 07:47:17,FIELD_6471,Police,26.93497,90.09075,No Activity,Minor,Cloudy,47.3,94.5,Verified,0.68,
131,2,15,366,2023-11-22 08:43:48,FIELD_8606,District Admin,26.90216,98.83348,Flooding,Severe,Heavy Rain,377.8,156.2,Archived,0.8,photos/FR00131.jpg
132,6,49,597,2021-11-11 09:21:20,FIELD_9046,Forest Guard,29.46539,98.91639,No Activity,None,Rain,864.8,43.5,Under Review,0.46,
133,6,51,,2022-11-18 14:42:04,FIELD_4657,Citizen,29.59783,90.87632,No Activity,Moderate,Clear,277.7,95.3,Submitted,0.27,
134,2,17,758,2024-11-16 21:13:14,FIELD_2384,Police,23.82397,93.15154,Flooding,None,Cloudy,280.5,107.7,Submitted,0.5,photos/FR00134.jpg
135,5,43,320,2023-05-01 02:10:10,FIELD_2752,GSI Geologist,29.91185,97.34363,No Activity,Minor,Rain,619.8,181.4,Submitted,0.77,photos/FR00135.jpg
136,2,21,,2021-01-28 18:05:26,FIELD_5569,GSI Geologist,24.07058,99.15063,Crack Observed,Moderate,Cloudy,583.5,89.6,Archived,0.32,
137,3,27,,2021-11-18 00:16:59,FIELD_1138,District Admin,25.09771,90.61419,Landslide Observed,None,Clear,767.7,39.4,Archived,0.66,
138,5,44,368,2020-11-11 16:54:09,FIELD_4588,Police,29.41046,98.61415,Village Isolated,Minor,Rain,937.0,169.9,Under Review,0.76,photos/FR00138.jpg
139,5,46,424,2022-04-13 19:24:47,FIELD_9611,Citizen,23.19632,97.74423,Damage,Moderate,Cloudy,975.0,159.8,Submitted,0.74,photos/FR00139.jpg
140,1,9,10,2024-06-07 02:39:16,FIELD_6084,Forest Guard,27.84044,93.1155,Damage,Severe,Clear,782.3,59.0,Submitted,0.69,
141,3,32,16,2018-03-13 09:56:12,FIELD_6089,Citizen,25.663,95.70299,No Activity,None,Heavy Rain,81.8,83.7,Rejected,0.15,photos/FR00141.jpg
142,6,50,,2018-07-04 05:17:23,FIELD_5239,Citizen,24.10984,92.68541,Crack Observed,None,Heavy Rain,82.2,161.0,Submitted,0.5,photos/FR00142.jpg
143,1,1,,2018-05-27 01:02:09,FIELD_5673,Police,26.90962,90.22805,Village Isolated,Moderate,Clear,463.6,26.9,Under Review,0.66,photos/FR00143.jpg
144,4,37,896,2023-02-10 08:52:21,FIELD_1980,District Admin,26.75683,94.91579,Flooding,Severe,Rain,798.1,45.5,Submitted,0.8,photos/FR00144.jpg
145,4,39,513,2020-03-22 06:39:06,FIELD_7618,Citizen,27.7024,91.18955,Road Blocked,Minor,Heavy Rain,22.3,171.0,Submitted,0.11,photos/FR00145.jpg
146,2,13,,2020-06-15 01:34:57,FIELD_5015,District Admin,26.29679,99.89188,Road Blocked,Severe,Rain,922.3,137.9,Rejected,0.1,photos/FR00146.jpg
147,1,11,609,2018-06-26 16:29:51,FIELD_1353,District Admin,22.4904,91.15733,Village Isolated,Moderate,Heavy Rain,270.8,145.8,Verified,0.35,
148,5,44,30,2024-08-26 17:27:11,FIELD_6416,District Admin,29.5845,98.88157,No Activity,Moderate,Rain,91.4,129.9,Verified,0.21,
149,2,22,,2018-03-25 22:40:56,FIELD_3252,NDMA Officer,22.65339,96.11793,No Activity,Severe,Heavy Rain,102.5,147.4,Archived,0.2,photos/FR00149.jpg
150,3,24,181,2020-04-02 15:18:23,FIELD_3686,Police,23.90483,99.35884,Damage,None,Heavy Rain,654.0,189.2,Rejected,0.82,photos/FR00150.jpg
151,5,43,,2021-06-25 19:53:01,FIELD_2780,Police,29.94007,97.39155,Village Isolated,Minor,Rain,734.6,82.6,Submitted,0.53,photos/FR00151.jpg
152,2,22,450,2020-09-11 01:07:30,FIELD_9770,District Admin,22.72911,96.64786,No Activity,Moderate,Rain,60.0,21.3,Archived,0.58,photos/FR00152.jpg
153,2,20,188,2020-12-15 03:21:21,FIELD_7069,Citizen,23.48064,93.33284,Road Blocked,Minor,Clear,693.7,189.8,Rejected,0.88,
154,4,34,,2020-09-09 06:01:15,FIELD_1746,Forest Guard,25.66491,97.74132,Flooding,Severe,Heavy Rain,808.3,72.1,Rejected,0.91,
155,2,18,485,2020-06-05 07:35:16,FIELD_5480,Citizen,28.8379,98.65425,No Activity,Minor,Cloudy,33.9,85.4,Submitted,0.05,
156,4,37,524,2022-08-25 09:49:01,FIELD_8117,District Admin,27.02146,94.6146,Flooding,None,Rain,806.2,160.5,Under Review,0.46,
157,7,57,576,2020-06-20 18:52:14,FIELD_7223,NDMA Officer,23.52018,93.20815,Crack Observed,Severe,Cloudy,121.3,177.2,Rejected,0.02,
158,3,24,,2023-02-17 14:50:04,FIELD_8128,NDMA Officer,24.44626,99.39258,Landslide Observed,None,Clear,573.5,198.3,Verified,0.14,photos/FR00158.jpg
159,2,17,451,2019-02-27 18:33:23,FIELD_6907,Police,23.8614,92.83218,Damage,Severe,Heavy Rain,296.6,24.9,Under Review,0.77,
160,3,24,,2023-11-22 15:50:05,FIELD_5868,District Admin,24.35474,99.40361,Flooding,Minor,Rain,937.8,92.0,Archived,0.36,photos/FR00160.jpg
161,2,16,806,2020-04-02 01:39:27,FIELD_7785,Police,23.749,90.75052,Village Isolated,Minor,Rain,604.5,149.7,Rejected,0.71,
162,3,30,897,2019-08-23 18:31:41,FIELD_2789,Forest Guard,25.44038,92.61798,Flooding,Minor,Cloudy,439.4,21.3,Verified,0.13,
163,5,44,,2019-10-11 07:27:17,FIELD_7457,Police,29.0152,98.53317,Road Blocked,None,Heavy Rain,102.4,81.7,Rejected,0.71,photos/FR00163.jpg
164,2,18,285,2023-08-25 07:01:32,FIELD_7006,NDMA Officer,28.97954,98.59846,Landslide Observed,Moderate,Heavy Rain,231.4,15.9,Submitted,0.96,
