record_id,district_id,state_id,datetime,temperature_c,relative_humidity_pct,pressure_hpa,wind_speed_kmh,wind_direction_deg,visibility_m,cloud_cover_oktas,dewpoint_c,weather_condition,station_elevation_m
138,30,3,2021-01-30 02:37:34,32.0,50,963.0,4.8,209,1635,6,9.5,Cloudy,3251.0
139,34,4,2021-04-05 17:35:17,21.7,100,1000.1,21.8,293,5438,8,4.2,Rain,3578.0
140,56,7,2018-11-04 09:03:39,28.8,64,978.3,63.7,202,3447,0,8.5,Heavy Rain,2776.0
141,22,2,2022-05-20 03:04:51,25.2,82,903.0,23.3,71,7034,2,0.9,Thunderstorm,4066.0
142,1,1,2019-03-18 18:38:29,17.9,48,995.4,21.1,308,5862,4,6.7,Heavy Rain,4330.0
143,61,8,2020-03-03 11:56:46,30.8,98,901.6,38.2,110,4557,8,14.0,Thunderstorm,3521.0
144,22,2,2019-06-23 02:21:58,14.6,100,994.3,43.1,339,3304,2,-2.3,Fog,3493.0
145,33,4,2021-05-16 16:50:19,17.6,86,912.2,76.3,342,4486,7,-3.9,Heavy Rain,3178.0
146,52,6,2022-01-11 06:01:41,31.7,73,948.5,12.9,242,888,4,2.2,Cloudy,2084.0
147,32,3,2021-03-01 00:30:54,35.0,99,969.9,46.9,172,4278,0,14.8,Cloudy,2246.0
148,32,3,2019-05-08 01:41:45,10.8,100,961.5,39.1,262,7341,0,-0.9,Thunderstorm,918.0
149,37,4,2018-04-16 03:03:40,18.3,84,924.3,29.3,276,6779,2,4.4,Cloudy,1823.0
150,28,3,2024-05-06 16:55:43,14.4,81,921.5,64.9,13,1470,5,9.4,Heavy Rain,2561.0
151,6,1,2020-09-11 07:05:03,22.1,41,1003.0,75.8,251,9230,2,11.0,Heavy Rain,4322.0
152,45,5,2018-02-07 17:07:15,18.1,59,1007.3,17.5,212,9099,0,12.7,Rain,3035.0
153,13,2,2019-11-15 07:19:38,22.6,88,1009.7,9.2,311,5828,0,-1.2,Thunderstorm,3844.0
154,62,8,2024-05-11 07:34:41,6.4,40,952.6,77.6,287,3088,4,2.9,Fog,1275.0
155,19,2,2020-05-13 15:04:18,17.4,73,951.9,19.8,86,2656,4,7.4,Clear,3481.0
156,48,6,2019-01-03 19:08:37,16.0,93,983.4,76.5,4,3550,7,9.0,Thunderstorm,1410.0
157,28,3,2020-04-17 05:18:32,15.2,87,962.3,59.7,118,3152,3,14.9,Fog,2983.0
158,20,2,2021-03-09 01:55:08,27.2,84,908.3,5.7,349,4456,1,4.4,Fog,4229.0
159,11,1,2018-09-20 23:07:12,23.2,45,999.9,64.2,31,1855,8,11.0,Rain,2564.0
160,50,6,2024-07-24 13:50:04,17.0,77,924.1,28.5,133,9721,1,7.5,Cloudy,4221.0
161,56,7,2021-12-07 22:22:12,27.3,44,960.1,46.1,56,1169,2,13.6,Rain,3366.0
162,38,4,2018-05-07 15:36:38,33.5,83,971.3,38.3,21,9359,7,12.5,Heavy Rain,1701.0
163,52,6,2019-07-01 06:09:26,17.2,59,967.3,1.0,30,8181,3,5.4,Rain,1354.0
164,60,8,2018-07-05 06:14:12,29.0,79,910.4,45.1,357,8928,6,2.2,Cloudy,3240.0
165,24,3,2024-04-03 13:17:16,9.5,87,967.6,71.1,271,8100,7,8.0,Fog,1264.0
166,43,5,2020-07-12 14:52:48,16.8,59,962.0,10.5,310,7211,5,11.6,Thunderstorm,2703.0
167,30,3,2018-12-25 06:15:12,25.1,47,973.6,16.8,70,6238,0,14.0,Rain,1020.0
168,53,6,2024-10-27 22:51:43,11.4,84,1008.1,32.4,111,9170,0,14.4,Heavy Rain,4115.0
169,24,3,2020-03-12 23:50:09,11.6,85,935.0,30.2,120,9573,7,8.1,Fog,4152.0
170,8,1,2024-02-05 21:12:09,7.5,98,1005.7,32.3,302,4010,7,11.0,Thunderstorm,4333.0
171,38,4,2023-10-02 03:38:18,13.4,47,905.3,56.2,178,9672,5,-4.6,Cloudy,3439.0
172,13,2,2019-11-10 00:56:35,19.2,87,996.8,14.8,10,6760,3,-3.6,Heavy Rain,2975.0
173,58,7,2019-06-20 04:24:05,28.2,48,932.5,2.1,242,7644,2,-0.5,Heavy Rain,997.0
174,62,8,2021-07-24 08:31:07,32.9,58,923.2,65.1,123,5841,7,5.0,Thunderstorm,1813.0
175,61,8,2019-10-27 08:16:29,20.5,71,905.0,39.6,131,8369,6,-4.5,Rain,2360.0
176,19,2,2022-07-01 05:36:37,5.6,53,981.2,60.7,98,4169,4,0.2,Clear,3767.0
177,49,6,2022-10-08 21:40:40,33.8,56,943.0,62.4,256,3532,8,9.9,Heavy Rain,4016.0
178,40,5,2018-10-07 12:16:39,21.2,68,1006.0,13.5,75,8331,3,2.7,Thunderstorm,2082.0
179,52,6,2020-01-20 00:13:10,11.0,75,971.6,78.2,357,2839,6,9.4,Rain,4228.0
180,44,5,2021-04-09 23:22:40,26.1,76,909.9,35.3,78,2794,0,1.9,Rain,2412.0
181,53,6,2018-10-21 07:30:40,23.7,47,1004.1,18.4,345,9988,3,-3.7,Cloudy,2387.0
182,15,2,2023-10-16 04:08:47,32.0,46,978.0,39.4,342,6093,6,14.9,Heavy Rain,1630.0
183,9,1,2019-04-10 20:29:44,9.5,86,924.9,39.9,350,3303,4,3.8,Rain,4348.0
184,21,2,2021-12-14 23:43:50,11.6,69,978.4,55.3,265,1618,5,4.2,Cloudy,1728.0
185,44,5,2018-06-16 03:06:23,26.1,97,963.9,65.6,149,4496,2,10.3,Cloudy,4181.0
186,46,5,2019-11-28 00:41:10,30.3,70,932.3,14.2,47,5940,3,5.2,Cloudy,4020.0
187,6,1,2018-07-19 14:17:00,18.5,57,926.4,24.5,127,9803,5,0.5,Heavy Rain,3226.0
188,6,1,2024-04-06 06:33:57,25.9,52,969.3,41.3,355,2541,3,0.3,Fog,2117.0
189,44,5,2024-11-16 06:20:41,17.7,47,963.1,46.3,42,2374,2,14.4,Cloudy,3461.0
190,59,8,2024-02-07 09:10:06,9.5,58,976.2,56.7,175,8198,2,5.3,Rain,1111.0
191,23,3,2019-05-28 12:53:02,32.1,79,979.6,34.9,298,5310,7,4.4,Heavy Rain,2405.0
192,46,5,2020-03-19 20:49:16,7.9,42,959.0,27.5,91,7349,6,12.1,Clear,3999.0
193,54,6,2023-09-03 23:23:08,20.8,69,902.0,3.3,50,4911,6,14.0,Clear,1243.0
194,22,2,2018-10-23 18:55:22,27.6,78,918.5,76.7,153,7424,4,14.1,Rain,1555.0
195,30,3,2022-10-04 05:13:30,33.2,92,1009.3,2.6,162,9400,3,5.6,Thunderstorm,4098.0
196,56,7,2022-08-04 13:50:46,27.6,85,966.4,48.8,351,4285,0,12.3,Thunderstorm,3645.0
197,15,2,2024-12-25 23:05:28,6.2,64,901.3,64.8,190,8832,7,0.2,Heavy Rain,2856.0
198,50,6,2019-10-09 05:44:42,24.3,92,937.4,57.8,169,477,0,4.7,Heavy Rain,1722.0
199,62,8,2021-08-15 09:51:34,10.2,60,998.8,6.1,231,8267,3,7.3,Heavy Rain,3637.0
200,15,2,2022-07-30 07:26:52,25.7,80,999.6,26.5,353,7825,4,5.5,Heavy Rain,1249.0
201,42,5,2022-05-08 14:16:24,27.8,88,923.9,79.0,224,7227,1,13.9,Fog,1152.0
202,19,2,2023-11-12 21:49:57,16.8,80,1002.2,71.3,223,9319,2,0.2,Clear,3062.0
203,46,5,2020-05-11 16:14:47,16.0,60,909.6,23.7,122,9365,2,-0.0,Cloudy,2257.0
204,45,5,2018-12-26 08:39:05,22.0,66,1005.9,74.2,359,7747,2,6.1,Clear,4497.0
205,3,1,2022-04-29 04:53:27,10.0,41,913.9,59.3,186,8592,5,4.9,Cloudy,2171.0
206,53,6,2021-06-22 14:32:35,12.3,74,974.5,0.2,318,1637,6,1.1,Cloudy,3639.0
207,21,2,2019-12-26 00:10:46,22.6,40,929.1,44.3,249,2939,4,12.1,Rain,2371.0
208,32,3,2023-08-09 02:45:44,14.9,90,956.5,69.7,312,8469,0,6.9,Heavy Rain,1737.0
209,30,3,2022-10-24 03:58:46,29.8,69,956.1,77.5,80,9902,7,-0.3,Heavy Rain,1436.0
210,38,4,2020-12-10 01:14:26,20.2,88,924.2,52.3,153,2674,3,-4.3,Rain,2976.0
211,39,4,2019-07-09 11:10:06,29.2,60,961.5,9.9,78,753,7,-4.9,Cloudy,4283.0
212,27,3,2023-01-29 07:58:29,29.8,61,981.8,41.8,249,9712,8,6.8,Fog,2718.0
213,31,3,2022-03-26 15:47:44,22.1,73,957.1,20.9,239,8974,0,7.8,Heavy Rain,3685.0
214,17,2,2020-07-03 00:03:56,19.9,60,950.3,5.8,204,3413,0,9.2,Thunderstorm,1213.0
215,13,2,2019-12-17 09:09:48,5.7,57,971.4,17.4,113,5549,6,0.5,Heavy Rain,1075.0
216,59,8,2023-01-07 02:13:44,15.2,67,926.4,5.9,336,2488,1,4.5,Fog,3483.0
217,13,2,2022-11-06 04:30:10,13.8,45,987.3,64.4,123,8320,1,7.7,Thunderstorm,2131.0
218,41,5,2021-04-10 11:23:17,21.7,91,1012.2,21.8,194,3317,5,-4.1,Rain,4336.0
219,30,3,2021-11-30 11:06:55,6.1,73,959.8,63.0,125,4387,7,0.1,Rain,3148.0
220,44,5,2018-12-13 14:09:32,9.4,74,1008.1,72.8,169,6026,8,6.7,Rain,3341.0
221,18,2,2018-09-21 05:54:56,12.1,95,990.1,49.2,123,6778,8,-2.0,Clear,1974.0
222,16,2,2022-06-07 05:18:31,27.4,88,950.3,72.7,203,6997,6,-4.5,Clear,3938.0
223,46,5,2021-03-09 05:29:21,29.2,51,955.8,9.8,59,3271,2,5.1,Thunderstorm,1981.0
224,60,8,2024-05-23 15:36:30,20.5,59,932.5,57.9,68,6518,8,7.2,Thunderstorm,1223.0
225,21,2,2021-12-08 17:40:33,11.6,43,939.9,45.3,125,6894,2,11.2,Rain,2904.0
226,40,5,2018-12-06 21:12:41,16.9,42,926.0,40.1,49,6292,1,4.4,Heavy Rain,4323.0
227,37,4,2021-06-21 04:50:10,33.0,99,980.3,61.4,184,8224,4,13.8,Clear,1913.0
228,59,8,2021-06-26 05:03:08,13.7,40,979.5,65.1,150,6506,1,-0.7,Cloudy,3683.0
229,21,2,2019-05-28 11:41:47,10.6,46,929.9,63.8,154,4778,3,9.9,Heavy Rain,1831.0
230,37,4,2018-11-05 13:38:18,31.9,70,927.4,63.5,283,9655,3,-4.7,Thunderstorm,2824.0
231,34,4,2018-06-24 19:17:16,5.2,83,924.2,57.5,37,622,4,14.1,Cloudy,3564.0
232,39,4,2022-10-26 05:42:59,31.5,75,993.8,9.0,37,1412,1,5.8,Heavy Rain,2694.0
233,56,7,2021-08-18 21:05:52,26.1,82,903.3,10.9,95,6014,6,4.1,Fog,3647.0
234,39,4,2022-04-03 03:34:17,34.1,81,909.7,30.0,180,8636,8,14.1,Thunderstorm,3626.0
235,8,1,2019-06-02 15:45:08,15.8,67,949.9,44.0,308,9814,7,13.2,Cloudy,4315.0
236,33,4,2024-12-06 08:18:07,10.0,55,987.1,26.3,24,6455,7,11.2,Thunderstorm,2836.0
237,41,5,2023-05-13 10:27:15,20.0,72,1011.8,18.1,351,2977,1,0.2,Heavy Rain,1906.0
238,36,4,2021-01-19 21:52:41,30.1,95,964.9,68.4,12,882,6,10.9,Clear,2172.0
239,57,7,2023-12-12 20:09:39,7.8,96,926.1,8.9,298,3775,0,-4.9,Clear,1713.0
240,39,4,2023-04-27 03:31:14,28.6,53,910.6,26.4,154,452,8,9.8,Cloudy,3683.0
241,16,2,2019-02-04 17:11:14,15.6,85,909.7,8.2,218,7298,4,-1.4,Rain,2979.0
242,35,4,2024-06-02 05:14:54,14.5,67,1004.2,73.1,222,7229,2,1.9,Clear,3625.0
243,15,2,2022-03-20 15:43:33,17.5,71,925.7,9.5,130,5246,8,12.6,Rain,4380.0
244,5,1,2023-12-22 20:56:48,32.3,54,950.0,22.9,38,9965,1,2.2,Thunderstorm,2599.0
245,37,4,2018-09-04 07:43:41,23.7,45,941.3,40.3,327,7705,1,-3.7,Rain,1681.0
246,23,3,2019-02-21 06:51:07,5.3,97,989.1,3.2,231,4526,7,2.8,Cloudy,3042.0
247,9,1,2021-05-26 23:00:36,15.0,60,907.8,64.9,19,3669,7,-2.4,Cloudy,1472.0
248,3,1,2023-09-22 19:56:49,25.9,48,925.4,40.6,205,3668,8,3.4,Thunderstorm,1443.0
249,37,4,2020-03-27 05:13:45,28.4,42,909.5,41.0,331,8305,7,-3.4,Cloudy,2042.0
250,57,7,2020-12-02 01:32:47,22.9,43,1002.4,0.6,48,4707,8,8.3,Cloudy,3699.0
