image_id,state_id,district_id,acquisition_datetime,lat_nw,lon_nw,lat_ne,lon_ne,lat_se,lon_se,lat_sw,lon_sw,sensor,image_type,resolution_m,cloud_cover_pct,processing_level,filename,incidence_angle_deg
39,2,1,2021-12-01 17:03:14,23.48765,91.5817,23.58765,91.6817,23.58765,91.5817,23.48765,91.6817,Sentinel-1A,SAR,20.6,8.3,Raw,S2_000039.tif,3.89
40,59,8,2019-06-01 07:19:18,25.27869,92.43764,25.37869,92.53764,25.37869,92.43764,25.27869,92.53764,Sentinel-2A,Optical,20.6,51.1,Analysis Ready,S2_000040.tif,0.93
41,56,7,2022-07-13 21:58:03,29.85213,97.05766,29.95213,97.15766,29.95213,97.05766,29.85213,97.15766,RESOURCESAT-2,Optical,29.5,28.5,Raw,S2_000041.tif,4.01
42,50,6,2018-11-04 19:59:34,23.57655,92.58965,23.67655,92.68965,23.67655,92.58965,23.57655,92.68965,Sentinel-1A,SAR,18.6,42.7,Raw,S2_000042.tif,3.74
43,20,2,2024-06-03 06:37:10,23.02804,93.37925,23.12804,93.47925,23.12804,93.37925,23.02804,93.47925,Sentinel-1B,SAR,10.8,97.9,Raw,S2_000043.tif,2.89
44,35,4,2019-05-12 01:52:47,23.31506,91.50904,23.41506,91.60904,23.41506,91.50904,23.31506,91.60904,Sentinel-1A,SAR,11.7,65.4,Raw,S2_000044.tif,3.79
45,40,5,2024-11-07 15:09:17,28.00712,97.60818,28.10712,97.70818,28.10712,97.60818,28.00712,97.70818,Sentinel-1B,SAR,27.8,17.8,Raw,S2_000045.tif,1.57
46,49,6,2023-01-03 19:17:20,29.79245,98.66856,29.89245,98.76856,29.89245,98.66856,29.79245,98.76856,Landsat-9,Optical,28.2,31.3,Analysis Ready,S2_000046.tif,3.08
47,45,5,2020-02-22 13:00:07,28.97689,94.88371,29.07689,94.98371,29.07689,94.88371,28.97689,94.98371,Landsat-9,Optical,16.4,84.3,Raw,S2_000047.tif,2.8
48,24,3,2023-07-26 06:21:49,23.92457,99.25841,24.02457,99.35841,24.02457,99.25841,23.92457,99.35841,Sentinel-1B,SAR,8.8,50.7,Raw,S2_000048.tif,2.67
49,12,1,2021-01-28 22:37:55,26.63225,98.36858,26.73225,98.46858,26.73225,98.36858,26.63225,98.46858,Sentinel-2B,Optical,4.4,13.0,Preprocessed,S2_000049.tif,2.88
50,6,1,2024-12-02 10:36:41,26.08696,97.48292,26.18696,97.58292,26.18696,97.48292,26.08696,97.58292,Sentinel-1A,SAR,19.0,97.5,Analysis Ready,S2_000050.tif,1.03
51,29,3,2018-12-05 11:50:57,25.52799,99.07113,25.62799,99.17113,25.62799,99.07113,25.52799,99.17113,Sentinel-2A,Optical,18.3,98.7,Analysis Ready,S2_000051.tif,4.72
52,23,3,2019-07-26 20:56:36,28.26278,91.29395,28.36278,91.39395,28.36278,91.29395,28.26278,91.39395,Sentinel-2B,Optical,28.6,45.8,Raw,S2_000052.tif,2.02
53,26,3,2023-02-18 07:07:26,24.16857,90.22724,24.26857,90.32724,24.26857,90.22724,24.16857,90.32724,Landsat-9,Optical,5.4,33.5,Raw,S2_000053.tif,0.8
54,4,1,2019-11-21 13:52:58,26.47742,90.23328,26.57742,90.33328,26.57742,90.23328,26.47742,90.33328,Sentinel-2A,Optical,26.2,85.3,Raw,S2_000054.tif,3.63
55,52,6,2019-05-21 00:13:25,28.98418,99.80646,29.08418,99.90646,29.08418,99.80646,28.98418,99.90646,Sentinel-1B,SAR,16.6,0.3,Preprocessed,S2_000055.tif,0.86
56,25,3,2019-11-20 09:10:56,26.37084,96.76461,26.47084,96.86461,26.47084,96.76461,26.37084,96.86461,Sentinel-1B,SAR,16.2,84.7,Raw,S2_000056.tif,0.68
57,59,8,2021-06-24 09:36:09,26.02888,92.67564,26.12888,92.77564,26.12888,92.67564,26.02888,92.77564,Sentinel-1B,SAR,25.6,0.3,Analysis Ready,S2_000057.tif,4.12
58,39,4,2020-04-22 09:15:57,27.15997,91.39911,27.25997,91.49911,27.25997,91.39911,27.15997,91.49911,Sentinel-2A,Optical,22.8,52.4,Raw,S2_000058.tif,3.96
59,51,6,2021-04-15 06:01:27,29.48567,90.51267,29.58567,90.61267,29.58567,90.51267,29.48567,90.61267,RESOURCESAT-2,Optical,28.7,59.3,Analysis Ready,S2_000059.tif,3.76
60,29,3,2019-06-27 06:20:46,25.87398,98.70622,25.97398,98.80622,25.97398,98.70622,25.87398,98.80622,Sentinel-2A,Optical,18.6,5.4,Preprocessed,S2_000060.tif,1.34
61,59,8,2019-04-18 14:18:38,25.77686,92.75121,25.87686,92.85121,25.87686,92.75121,25.77686,92.85121,Sentinel-2A,Optical,5.9,7.8,Preprocessed,S2_000061.tif,0.87
62,8,1,2019-02-02 15:34:34,24.16787,98.77412,24.26787,98.87412,24.26787,98.77412,24.16787,98.87412,Sentinel-1B,SAR,18.3,10.0,Preprocessed,S2_000062.tif,2.72
63,41,5,2022-01-01 02:58:37,23.20021,94.66574,23.30021,94.76574,23.30021,94.66574,23.20021,94.76574,Sentinel-1B,SAR,9.6,19.8,Analysis Ready,S2_000063.tif,4.79
64,3,1,2019-07-14 09:00:35,27.15686,98.97868,27.25686,99.07868,27.25686,98.97868,27.15686,99.07868,Sentinel-1A,SAR,12.4,88.2,Raw,S2_000064.tif,0.39
65,7,1,2019-11-29 01:29:14,25.91327,92.33949,26.01327,92.43949,26.01327,92.33949,25.91327,92.43949,Sentinel-2B,Optical,10.1,46.7,Analysis Ready,S2_000065.tif,3.08
66,58,7,2018-01-23 11:52:36,27.29445,94.33961,27.39445,94.43961,27.39445,94.33961,27.29445,94.43961,Landsat-8,Optical,21.7,43.4,Analysis Ready,S2_000066.tif,4.72
67,54,6,2020-06-18 22:11:31,29.76431,91.49997,29.86431,91.59997,29.86431,91.49997,29.76431,91.59997,Sentinel-1B,SAR,16.4,57.5,Raw,S2_000067.tif,0.8
68,15,2,2022-06-22 23:34:29,27.42753,98.31379,27.52753,98.41379,27.52753,98.31379,27.42753,98.41379,Sentinel-2B,Optical,12.3,18.5,Analysis Ready,S2_000068.tif,2.34
69,8,1,2023-01-29 12:41:13,24.27934,98.25314,24.37934,98.35314,24.37934,98.25314,24.27934,98.35314,RESOURCESAT-2,Optical,25.2,13.5,Preprocessed,S2_000069.tif,4.72
70,45,5,2019-03-27 13:53:52,28.35599,94.94027,28.45599,95.04027,28.45599,94.94027,28.35599,95.04027,Sentinel-1B,SAR,21.5,27.8,Preprocessed,S2_000070.tif,0.7
71,52,6,2024-08-19 20:47:35,28.54702,99.34137,28.64702,99.44137,28.64702,99.34137,28.54702,99.44137,Sentinel-2A,Optical,8.8,13.2,Raw,S2_000071.tif,0.73
72,13,2,2019-02-15 09:19:54,25.85299,99.50215,25.95299,99.60215,25.95299,99.50215,25.85299,99.60215,Sentinel-1A,SAR,18.8,68.3,Preprocessed,S2_000072.tif,4.3
73,55,7,2018-09-23 09:49:14,28.88097,94.47742,28.98097,94.57742,28.98097,94.47742,28.88097,94.57742,Sentinel-2B,Optical,13.2,89.7,Analysis Ready,S2_000073.tif,4.28
74,48,6,2024-10-27 03:35:03,26.49047,94.51603,26.59047,94.61603,26.59047,94.51603,26.49047,94.61603,Landsat-9,Optical,23.9,83.5,Preprocessed,S2_000074.tif,0.92
75,18,2,2022-12-19 18:28:19,29.0094,98.60159,29.1094,98.70159,29.1094,98.60159,29.0094,98.70159,Sentinel-2A,Optical,25.6,7.7,Preprocessed,S2_000075.tif,2.88
76,40,5,2018-09-01 10:55:28,28.46087,98.18184,28.56087,98.28184,28.56087,98.18184,28.46087,98.28184,RESOURCESAT-2,Optical,8.5,44.8,Raw,S2_000076.tif,2.02
77,40,5,2024-07-09 05:04:34,28.16996,97.50059,28.26996,97.60059,28.26996,97.50059,28.16996,97.60059,Sentinel-2A,Optical,28.9,34.4,Preprocessed,S2_000077.tif,0.43
78,31,3,2024-11-06 10:33:07,27.84087,95.50609,27.94087,95.60609,27.94087,95.50609,27.84087,95.60609,Landsat-9,Optical,14.6,5.4,Raw,S2_000078.tif,4.65
79,2,1,2023-07-16 02:31:41,24.27491,91.53067,24.37491,91.63067,24.37491,91.53067,24.27491,91.63067,Sentinel-1A,SAR,9.2,1.1,Preprocessed,S2_000079.tif,0.74
80,24,3,2022-03-28 17:56:15,24.14765,99.21378,24.24765,99.31378,24.24765,99.21378,24.14765,99.31378,Sentinel-1B,SAR,26.4,41.4,Raw,S2_000080.tif,3.09
81,40,5,2019-05-01 12:25:44,28.44534,97.55846,28.54534,97.65846,28.54534,97.55846,28.44534,97.65846,Sentinel-2B,Optical,16.7,58.3,Analysis Ready,S2_000081.tif,2.64
82,9,1,2023-12-15 23:23:42,27.46495,93.08322,27.56495,93.18322,27.56495,93.08322,27.46495,93.18322,Landsat-8,Optical,28.2,87.9,Preprocessed,S2_000082.tif,0.91
83,4,1,2023-03-04 14:13:42,26.50534,90.73127,26.60534,90.83127,26.60534,90.73127,26.50534,90.83127,RESOURCESAT-2,Optical,8.6,58.7,Raw,S2_000083.tif,3.31
84,55,7,2023-05-08 20:22:15,29.40154,93.90126,29.50154,94.00126,29.50154,93.90126,29.40154,94.00126,RESOURCESAT-2,Optical,16.7,89.7,Raw,S2_000084.tif,4.97
85,61,8,2020-05-31 13:04:53,26.94633,90.51807,27.04633,90.61807,27.04633,90.51807,26.94633,90.61807,Sentinel-2A,Optical,20.0,73.5,Analysis Ready,S2_000085.tif,1.77
86,15,2,2018-05-09 00:01:12,27.11579,98.43218,27.21579,98.53218,27.21579,98.43218,27.11579,98.53218,Landsat-8,Optical,9.7,64.5,Preprocessed,S2_000086.tif,2.66
87,50,6,2024-12-09 07:38:36,24.26474,92.24418,24.36474,92.34418,24.36474,92.24418,24.26474,92.34418,Sentinel-1B,SAR,27.9,70.6,Analysis Ready,S2_000087.tif,1.46
88,10,1,2019-03-18 02:06:39,23.74373,97.177,23.84373,97.277,23.84373,97.177,23.74373,97.277,Sentinel-2B,Optical,13.6,93.7,Raw,S2_000088.tif,0.18
89,51,6,2022-10-14 03:09:44,29.82661,90.8616,29.92661,90.9616,29.92661,90.8616,29.82661,90.9616,Sentinel-1A,SAR,19.4,48.2,Preprocessed,S2_000089.tif,2.2
90,20,2,2021-04-28 03:41:30,22.93822,93.23825,23.03822,93.33825,23.03822,93.23825,22.93822,93.33825,Landsat-9,Optical,24.4,83.5,Analysis Ready,S2_000090.tif,1.23
91,46,5,2019-08-22 13:40:33,23.56355,97.33709,23.66355,97.43709,23.66355,97.33709,23.56355,97.43709,Landsat-9,Optical,29.1,62.6,Raw,S2_000091.tif,0.45
92,48,6,2023-06-24 04:38:26,27.03221,94.63479,27.13221,94.73479,27.13221,94.63479,27.03221,94.73479,Sentinel-2A,Optical,9.5,3.8,Analysis Ready,S2_000092.tif,1.62
93,31,3,2021-10-06 10:08:55,27.834,95.62531,27.934,95.72531,27.934,95.62531,27.834,95.72531,Landsat-9,Optical,13.6,12.4,Analysis Ready,S2_000093.tif,0.83
94,44,5,2021-08-10 08:43:12,28.96612,99.18532,29.06612,99.28532,29.06612,99.18532,28.96612,99.28532,Sentinel-1B,SAR,22.5,16.9,Analysis Ready,S2_000094.tif,2.62
95,57,7,2019-07-17 14:12:40,23.70151,93.50961,23.80151,93.60961,23.80151,93.50961,23.70151,93.60961,Sentinel-2B,Optical,17.5,79.4,Raw,S2_000095.tif,0.99
96,29,3,2020-07-22 04:03:12,26.43525,98.84097,26.53525,98.94097,26.53525,98.84097,26.43525,98.94097,Landsat-9,Optical,22.9,35.9,Raw,S2_000096.tif,0.58
97,11,1,2024-04-30 19:44:01,22.78845,90.64692,22.88845,90.74692,22.88845,90.64692,22.78845,90.74692,Sentinel-1A,SAR,4.1,36.2,Analysis Ready,S2_000097.tif,1.12
98,45,5,2024-08-08 11:08:35,28.36656,94.60184,28.46656,94.70184,28.46656,94.60184,28.36656,94.70184,RESOURCESAT-2,Optical,7.4,46.1,Raw,S2_000098.tif,4.04
99,39,4,2024-08-29 11:26:45,27.50155,90.73644,27.60155,90.83644,27.60155,90.73644,27.50155,90.83644,Sentinel-2A,Optical,25.1,38.4,Raw,S2_000099.tif,0.44
100,31,3,2020-02-22 04:40:54,27.53253,95.07464,27.63253,95.17464,27.63253,95.07464,27.53253,95.17464,Sentinel-2A,Optical,24.2,15.5,Raw,S2_000100.tif,0.18
101,56,7,2020-06-08 18:29:57,29.27911,97.27724,29.37911,97.37724,29.37911,97.27724,29.27911,97.37724,Sentinel-2B,Optical,21.2,19.5,Preprocessed,S2_000101.tif,4.13
102,16,2,2020-04-18 01:15:48,23.99893,90.96774,24.09893,91.06774,24.09893,90.96774,23.99893,91.06774,Landsat-9,Optical,13.1,98.6,Raw,S2_000102.tif,4.91
103,8,1,2019-10-13 14:57:11,23.9203,98.2306,24.0203,98.3306,24.0203,98.2306,23.9203,98.3306,Sentinel-2A,Optical,9.1,89.0,Raw,S2_000103.tif,4.83
104,13,2,2020-11-01 09:36:12,26.23619,99.30927,26.33619,99.40927,26.33619,99.30927,26.23619,99.40927,Landsat-9,Optical,18.7,5.6,Preprocessed,S2_000104.tif,2.09
105,55,7,2019-10-27 02:55:32,29.17523,94.57304,29.27523,94.67304,29.27523,94.57304,29.17523,94.67304,Sentinel-2B,Optical,8.1,82.0,Preprocessed,S2_000105.tif,0.63
106,5,1,2024-02-24 03:00:53,24.02113,95.16207,24.12113,95.26207,24.12113,95.16207,24.02113,95.26207,Landsat-9,Optical,5.0,67.3,Raw,S2_000106.tif,1.42
107,34,4,2024-11-30 09:41:57,25.48828,97.89884,25.58828,97.99884,25.58828,97.89884,25.48828,97.99884,Sentinel-1A,SAR,22.9,74.1,Analysis Ready,S2_000107.tif,4.4
108,14,2,2020-10-23 14:37:53,22.66291,92.60833,22.76291,92.70833,22.76291,92.60833,22.66291,92.70833,Sentinel-1A,SAR,4.7,24.6,Analysis Ready,S2_000108.tif,0.73
109,4,1,2023-06-18 02:34:32,26.96605,90.02327,27.06605,90.12327,27.06605,90.02327,26.96605,90.12327,Sentinel-2A,Optical,11.2,47.1,Raw,S2_000109.tif,4.62
110,33,4,2022-03-29 06:14:02,23.25929,99.82382,23.35929,99.92382,23.35929,99.82382,23.25929,99.92382,Landsat-9,Optical,14.5,46.8,Raw,S2_000110.tif,3.73
111,42,5,2020-07-18 03:37:13,22.29241,97.32929,22.39241,97.42929,22.39241,97.32929,22.29241,97.42929,Sentinel-2A,Optical,18.6,94.0,Preprocessed,S2_000111.tif,3.94
112,4,1,2021-05-26 09:58:38,26.30627,90.70422,26.40627,90.80422,26.40627,90.70422,26.30627,90.80422,Landsat-8,Optical,5.5,64.1,Analysis Ready,S2_000112.tif,3.14
113,49,6,2020-02-11 02:27:19,29.883,98.47572,29.983,98.57572,29.983,98.47572,29.883,98.57572,Landsat-8,Optical,15.9,48.8,Raw,S2_000113.tif,3.53
114,19,2,2020-08-02 06:05:55,24.10437,96.50811,24.20437,96.60811,24.20437,96.50811,24.10437,96.60811,Sentinel-1B,SAR,20.3,26.5,Preprocessed,S2_000114.tif,0.31
115,55,7,2021-03-11 14:59:13,29.23317,94.24296,29.33317,94.34296,29.33317,94.24296,29.23317,94.34296,Sentinel-2B,Optical,13.3,56.4,Analysis Ready,S2_000115.tif,4.7
116,44,5,2023-10-30 03:40:14,29.12148,98.74115,29.22148,98.84115,29.22148,98.74115,29.12148,98.84115,Landsat-9,Optical,5.7,5.6,Raw,S2_000116.tif,3.83
117,24,3,2021-11-11 07:45:08,24.00492,99.37968,24.10492,99.47968,24.10492,99.37968,24.00492,99.47968,Sentinel-1B,SAR,4.2,63.0,Analysis Ready,S2_000117.tif,3.49
118,5,1,2020-02-11 07:07:39,23.85855,95.40807,23.95855,95.50807,23.95855,95.40807,23.85855,95.50807,Sentinel-2A,Optical,25.7,34.3,Preprocessed,S2_000118.tif,2.28
119,39,4,2022-10-31 08:57:46,27.62526,91.62549,27.72526,91.72549,27.72526,91.62549,27.62526,91.72549,RESOURCESAT-2,Optical,15.5,24.8,Analysis Ready,S2_000119.tif,4.82
120,42,5,2019-05-09 09:55:54,22.15121,97.28307,22.25121,97.38307,22.25121,97.28307,22.15121,97.38307,Landsat-9,Optical,13.9,29.4,Analysis Ready,S2_000120.tif,4.87
121,5,1,2024-09-03 02:51:40,23.7845,95.14353,23.8845,95.24353,23.8845,95.14353,23.7845,95.24353,Sentinel-2A,Optical,8.6,80.4,Raw,S2_000121.tif,1.08
122,27,3,2024-12-26 22:07:20,24.79581,90.75141,24.89581,90.85141,24.89581,90.75141,24.79581,90.85141,Sentinel-2B,Optical,10.5,47.4,Preprocessed,S2_000122.tif,4.38
123,2,1,2023-05-30 12:50:47,24.38722,91.29767,24.48722,91.39767,24.48722,91.29767,24.38722,91.39767,Sentinel-2B,Optical,28.7,13.6,Raw,S2_000123.tif,3.17
124,12,1,2020-10-29 06:14:42,27.02676,97.80468,27.12676,97.90468,27.12676,97.80468,27.02676,97.90468,Sentinel-1A,SAR,7.2,19.9,Preprocessed,S2_000124.tif,4.4
125,20,2,2019-04-20 11:52:41,23.62077,93.50459,23.72077,93.60459,23.72077,93.50459,23.62077,93.60459,Sentinel-2A,Optical,24.8,31.0,Preprocessed,S2_000125.tif,0.26
126,6,1,2018-06-14 16:40:20,26.12343,97.51372,26.22343,97.61372,26.22343,97.51372,26.12343,97.61372,RESOURCESAT-2,Optical,21.4,63.3,Preprocessed,S2_000126.tif,4.67
127,13,2,2018-07-08 21:38:28,26.44208,99.27257,26.54208,99.37257,26.54208,99.27257,26.44208,99.37257,Landsat-9,Optical,8.9,79.6,Analysis Ready,S2_000127.tif,0.42
128,27,3,2022-07-11 04:40:40,24.94421,90.87669,25.04421,90.97669,25.04421,90.87669,24.94421,90.97669,Landsat-8,Optical,27.4,36.6,Analysis Ready,S2_000128.tif,2.3
129,13,2,2018-08-19 20:56:37,26.22622,99.84333,26.32622,99.94333,26.32622,99.84333,26.22622,99.94333,Sentinel-1A,SAR,7.7,55.5,Preprocessed,S2_000129.tif,4.71
130,33,4,2021-07-16 22:47:30,23.83926,100.19228,23.93926,100.29228,23.93926,100.19228,23.83926,100.29228,Sentinel-2B,Optical,19.0,23.4,Preprocessed,S2_000130.tif,1.09
131,2,1,2019-03-28 08:51:18,23.8487,91.35965,23.9487,91.45965,23.9487,91.35965,23.8487,91.45965,Sentinel-1A,SAR,17.5,52.8,Preprocessed,S2_000131.tif,4.76
132,44,5,2023-10-19 14:09:58,29.3057,98.44479,29.4057,98.54479,29.4057,98.44479,29.3057,98.54479,Sentinel-2B,Optical,22.1,75.5,Analysis Ready,S2_000132.tif,3.42
133,30,3,2023-01-29 02:12:15,26.09329,92.44967,26.19329,92.54967,26.19329,92.44967,26.09329,92.54967,Sentinel-2B,Optical,21.2,94.6,Preprocessed,S2_000133.tif,0.82
134,14,2,2022-05-16 01:03:24,22.52569,93.06427,22.62569,93.16427,22.62569,93.06427,22.52569,93.16427,Sentinel-1B,SAR,21.7,31.3,Raw,S2_000134.tif,2.19
135,33,4,2019-01-19 10:51:22,24.23038,99.71968,24.33038,99.81968,24.33038,99.71968,24.23038,99.81968,Sentinel-1B,SAR,21.0,70.2,Raw,S2_000135.tif,2.24
136,25,3,2020-03-30 10:29:27,26.05722,97.31694,26.15722,97.41694,26.15722,97.31694,26.05722,97.41694,Sentinel-1A,SAR,21.5,90.2,Raw,S2_000136.tif,3.37
137,58,7,2020-04-18 14:20:43,26.99168,94.87513,27.09168,94.97513,27.09168,94.87513,26.99168,94.97513,Sentinel-2A,Optical,16.6,89.9,Raw,S2_000137.tif,0.59
138,3,1,2023-08-27 15:57:18,27.77162,98.99527,27.87162,99.09527,27.87162,98.99527,27.77162,99.09527,Landsat-9,Optical,9.7,8.4,Preprocessed,S2_000138.tif,2.95
139,14,2,2021-09-28 06:42:40,22.69519,93.16389,22.79519,93.26389,22.79519,93.16389,22.69519,93.26389,Landsat-8,Optical,10.2,31.0,Preprocessed,S2_000139.tif,1.28
