road_id,state_id,district_id,road_code,road_type,road_name,start_lat,start_lon,end_lat,end_lon,length_km,width_m,surface_type,condition,historical_blockages,landslide_vulnerability,daily_traffic_vehicles
81,10,1,RD00081,Forest Road,SH-43,23.81243,97.65222,23.86243,97.70222,19.8,3.9,Concrete,Fair,11,Low,16.7
82,8,1,RD00082,ODR,NH-23,24.2257,98.52581,24.2757,98.57581,18.7,10.1,Concrete,Good,12,Medium,460.5
83,59,8,RD00083,NH,NH-30,25.6494,92.37745,25.6994,92.42745,33.6,9.3,Bituminous,Poor,1,Medium,106.7
84,47,6,RD00084,SH,SH-72,29.63421,99.05158,29.68421,99.10158,48.1,8.3,Earthen,Poor,9,Medium,419.7
85,6,1,RD00085,SH,NH-170,26.56453,97.30396,26.61453,97.35396,18.1,6.6,Earthen,Fair,17,High,489.6
86,30,3,RD00086,MDR,SH-30,25.72521,92.77311,25.77521,92.82311,50.0,4.9,Gravel,Poor,20,Medium,450.1
87,14,2,RD00087,NH,NH-471,22.5642,92.77881,22.6142,92.82881,4.7,4.2,Bituminous,Fair,6,Medium,222.8
88,57,7,RD00088,Forest Road,SH-87,23.71926,93.29016,23.76926,93.34016,25.5,8.8,Earthen,Fair,7,Low,224.1
89,11,1,RD00089,Forest Road,SH-34,22.60472,90.79551,22.65472,90.84551,39.9,5.7,Gravel,Poor,8,Low,47.7
90,43,5,RD00090,NH,NH-429,29.7383,97.70188,29.7883,97.75188,23.0,3.6,Bituminous,Good,19,Medium,453.7
91,8,1,RD00091,Forest Road,SH-78,24.11294,98.49354,24.16294,98.54354,49.6,8.9,Gravel,Poor,10,Medium,0.1
92,25,3,RD00092,MDR,SH-14,26.61289,96.69121,26.66289,96.74121,6.7,8.3,Gravel,Fair,4,Low,310.7
93,9,1,RD00093,Village Road,SH-54,27.40281,93.23596,27.45281,93.28596,37.6,5.2,Gravel,Poor,7,Low,240.5
94,24,3,RD00094,NH,NH-107,24.32656,99.3681,24.37656,99.4181,5.8,7.2,Bituminous,Good,11,Low,84.3
95,31,3,RD00095,Village Road,SH-18,27.86806,95.22082,27.91806,95.27082,31.1,11.7,Concrete,Good,8,High,176.5
96,18,2,RD00096,SH,SH-17,29.02692,98.74572,29.07692,98.79572,19.4,5.1,Concrete,Good,4,High,443.9
97,7,1,RD00097,Forest Road,SH-44,26.33322,92.05148,26.38322,92.10148,25.0,11.5,Earthen,Poor,3,High,106.8
98,35,4,RD00098,SH,NH-408,23.37175,91.54402,23.42175,91.59402,40.5,3.4,Earthen,Fair,9,Low,257.9
99,24,3,RD00099,MDR,SH-4,24.32088,99.27417,24.37088,99.32417,26.9,5.1,Earthen,Good,8,High,110.0
100,61,8,RD00100,ODR,NH-77,26.69764,90.26904,26.74764,90.31904,9.4,10.7,Gravel,Good,6,Low,13.4
101,49,6,RD00101,ODR,SH-60,29.43285,98.63383,29.48285,98.68383,38.6,8.6,Gravel,Poor,12,High,152.9
102,4,1,RD00102,Forest Road,NH-372,26.62218,90.27114,26.67218,90.32114,11.9,8.6,Earthen,Good,0,Medium,432.2
103,35,4,RD00103,ODR,SH-56,23.17345,91.58153,23.22345,91.63153,15.6,3.9,Gravel,Poor,20,Low,206.7
104,7,1,RD00104,NH,SH-43,26.31943,92.26891,26.36943,92.31891,13.0,11.9,Earthen,Good,14,Low,299.0
105,48,6,RD00105,Village Road,NH-144,26.71629,95.02901,26.76629,95.07901,11.5,9.4,Earthen,Poor,3,High,47.4
106,19,2,RD00106,SH,NH-203,24.18892,96.52519,24.23892,96.57519,34.5,8.8,Concrete,Fair,9,Low,484.4
107,6,1,RD00107,SH,NH-336,26.45821,96.97243,26.50821,97.02243,3.1,10.8,Bituminous,Good,2,Medium,133.1
108,50,6,RD00108,MDR,NH-439,23.77951,92.22091,23.82951,92.27091,9.5,9.1,Earthen,Poor,2,Medium,34.2
109,13,2,RD00109,MDR,SH-94,26.12826,99.67102,26.17826,99.72102,14.4,6.4,Gravel,Good,9,High,406.5
110,58,7,RD00110,SH,SH-45,27.28978,94.36692,27.33978,94.41692,15.9,10.7,Earthen,Fair,1,Low,63.5
111,39,4,RD00111,ODR,NH-79,27.31058,91.0627,27.36058,91.1127,16.5,8.8,Earthen,Poor,14,Low,429.5
112,26,3,RD00112,Village Road,SH-63,23.67188,90.24856,23.72188,90.29856,23.7,9.9,Earthen,Fair,12,Medium,427.8
113,53,6,RD00113,ODR,SH-17,28.16762,91.10534,28.21762,91.15534,19.6,3.2,Bituminous,Good,3,High,19.2
114,3,1,RD00114,SH,SH-39,27.47413,98.94023,27.52413,98.99023,39.9,11.7,Gravel,Good,19,Medium,65.7
115,27,3,RD00115,Forest Road,SH-17,25.363,90.57161,25.413,90.62161,16.7,11.7,Earthen,Fair,15,Medium,342.7
116,22,2,RD00116,NH,NH-33,22.56493,96.25157,22.61493,96.30157,16.6,8.4,Earthen,Poor,3,Low,108.4
117,36,4,RD00117,Village Road,SH-13,25.51485,90.60105,25.56485,90.65105,48.3,6.6,Concrete,Good,5,High,205.9
118,25,3,RD00118,SH,SH-91,26.39796,96.89078,26.44796,96.94078,6.3,9.5,Concrete,Poor,19,Medium,4.8
119,32,3,RD00119,MDR,NH-131,25.4155,95.84971,25.4655,95.89971,48.0,4.3,Concrete,Poor,13,Low,176.8
120,61,8,RD00120,Forest Road,NH-65,26.75331,90.00699,26.80331,90.05699,19.7,11.6,Earthen,Good,19,Medium,460.4
121,42,5,RD00121,ODR,SH-1,22.03509,97.31692,22.08509,97.36692,31.1,6.5,Earthen,Good,4,High,358.4
122,24,3,RD00122,NH,NH-498,24.20487,99.3529,24.25487,99.4029,6.2,3.5,Concrete,Good,15,High,99.7
123,8,1,RD00123,ODR,NH-437,24.23785,98.85713,24.28785,98.90713,8.9,6.4,Earthen,Poor,18,Low,407.8
124,40,5,RD00124,ODR,SH-38,27.9875,97.87541,28.0375,97.92541,6.6,5.9,Earthen,Poor,1,Low,222.1
125,40,5,RD00125,ODR,SH-83,27.91655,97.63163,27.96655,97.68163,26.8,11.2,Bituminous,Poor,0,Low,456.7
126,51,6,RD00126,Village Road,NH-209,29.75111,90.86186,29.80111,90.91186,1.3,5.5,Earthen,Good,5,High,350.5
127,6,1,RD00127,MDR,NH-470,26.47108,96.98047,26.52108,97.03047,2.5,11.8,Gravel,Fair,7,Low,30.4
128,30,3,RD00128,Village Road,NH-159,25.74989,92.49072,25.79989,92.54072,12.2,3.3,Concrete,Good,4,Low,294.9
129,54,6,RD00129,Village Road,NH-463,29.50568,91.78071,29.55568,91.83071,49.3,6.5,Gravel,Good,20,High,402.3
130,16,2,RD00130,NH,SH-50,23.45055,90.72464,23.50055,90.77464,32.1,9.2,Concrete,Good,16,High,426.0
131,40,5,RD00131,Village Road,SH-80,28.0966,97.59738,28.1466,97.64738,20.2,3.1,Concrete,Good,14,High,483.0
132,27,3,RD00132,Forest Road,SH-15,25.274,90.63403,25.324,90.68403,27.5,6.8,Concrete,Poor,16,Medium,289.9
133,29,3,RD00133,MDR,NH-114,26.11003,98.93766,26.16003,98.98766,13.6,10.3,Earthen,Poor,11,High,217.4
134,15,2,RD00134,SH,SH-41,26.82442,98.73956,26.87442,98.78956,9.3,11.2,Earthen,Poor,13,Medium,371.6
135,29,3,RD00135,Forest Road,SH-90,26.03401,98.64829,26.08401,98.69829,9.7,4.3,Bituminous,Fair,11,Medium,460.1
136,9,1,RD00136,Forest Road,NH-215,27.76988,93.30646,27.81988,93.35646,8.9,9.4,Gravel,Fair,13,High,341.8
137,8,1,RD00137,Forest Road,NH-163,24.21437,98.71282,24.26437,98.76282,10.5,11.4,Gravel,Fair,17,Low,21.0
138,27,3,RD00138,SH,SH-30,25.27321,90.69363,25.32321,90.74363,15.3,9.2,Gravel,Poor,7,High,256.0
139,12,1,RD00139,Village Road,SH-93,26.90855,97.88013,26.95855,97.93013,15.6,11.4,Earthen,Fair,8,High,125.6
140,9,1,RD00140,Forest Road,SH-62,27.47962,93.59271,27.52962,93.64271,13.0,8.7,Earthen,Poor,11,High,301.5
141,62,8,RD00141,Village Road,NH-409,27.12787,92.42463,27.17787,92.47463,35.8,5.3,Concrete,Poor,1,Low,485.2
142,13,2,RD00142,ODR,SH-27,26.33337,99.65251,26.38337,99.70251,28.4,5.6,Bituminous,Poor,0,Medium,204.5
143,18,2,RD00143,ODR,NH-356,28.68111,98.51901,28.73111,98.56901,11.4,10.8,Earthen,Good,2,High,330.4
144,37,4,RD00144,Village Road,SH-46,26.90351,94.50026,26.95351,94.55026,40.1,7.0,Gravel,Poor,13,High,176.2
145,15,2,RD00145,NH,NH-179,27.01255,98.64083,27.06255,98.69083,41.4,9.0,Gravel,Good,5,High,63.1
146,40,5,RD00146,NH,NH-359,28.04669,97.57538,28.09669,97.62538,36.9,3.4,Gravel,Fair,16,Medium,459.1
147,30,3,RD00147,ODR,SH-17,25.50975,92.55164,25.55975,92.60164,24.1,5.7,Concrete,Fair,6,High,326.2
148,22,2,RD00148,NH,NH-497,22.74671,96.49745,22.79671,96.54745,5.2,8.7,Bituminous,Good,15,Medium,379.5
149,35,4,RD00149,SH,SH-5,23.04807,91.63391,23.09807,91.68391,15.4,10.2,Gravel,Fair,19,Medium,104.7
150,62,8,RD00150,SH,SH-93,26.9077,92.18714,26.9577,92.23714,37.4,3.3,Gravel,Good,5,Low,230.6
151,27,3,RD00151,Village Road,NH-150,25.21047,90.69527,25.26047,90.74527,49.2,8.1,Bituminous,Good,1,Low,378.0
152,56,7,RD00152,Forest Road,NH-305,29.39084,97.36099,29.44084,97.41099,17.7,4.7,Concrete,Good,3,Medium,437.7
153,11,1,RD00153,Village Road,SH-14,22.74122,91.01152,22.79122,91.06152,15.6,5.2,Bituminous,Good,3,Low,259.5
154,46,5,RD00154,MDR,SH-80,23.03176,97.49233,23.08176,97.54233,12.8,8.3,Bituminous,Poor,14,High,339.9
155,60,8,RD00155,Village Road,NH-287,24.64209,95.88222,24.69209,95.93222,7.0,10.5,Concrete,Fair,3,High,142.2
156,59,8,RD00156,ODR,SH-61,25.71296,92.51442,25.76296,92.56442,13.6,4.1,Concrete,Fair,10,Low,137.4
157,39,4,RD00157,ODR,NH-285,27.30573,91.24687,27.35573,91.29687,21.9,11.3,Bituminous,Fair,4,Low,239.5
158,3,1,RD00158,NH,SH-18,27.30102,98.89651,27.35102,98.94651,23.3,9.6,Bituminous,Fair,16,Low,266.0
159,57,7,RD00159,Village Road,NH-105,23.48484,93.03106,23.53484,93.08106,28.4,5.0,Gravel,Good,1,High,110.8
160,61,8,RD00160,Village Road,SH-52,26.88245,89.95768,26.93245,90.00768,17.2,10.9,Concrete,Poor,6,Medium,94.1
161,62,8,RD00161,Village Road,SH-64,26.92886,92.1918,26.97886,92.2418,23.5,8.3,Earthen,Fair,17,High,56.1
162,28,3,RD00162,NH,NH-279,29.15631,93.12692,29.20631,93.17692,22.8,9.8,Concrete,Good,1,High,174.6
163,34,4,RD00163,ODR,SH-89,25.9368,97.48163,25.9868,97.53163,23.8,6.0,Earthen,Good,3,Medium,158.6
164,35,4,RD00164,SH,NH-453,23.27682,91.50778,23.32682,91.55778,37.1,11.7,Earthen,Fair,10,Medium,135.1
165,28,3,RD00165,NH,SH-25,29.1874,93.05728,29.2374,93.10728,32.6,10.5,Bituminous,Good,4,Low,180.5
166,54,6,RD00166,SH,NH-141,29.692,91.63663,29.742,91.68663,48.4,9.1,Bituminous,Fair,19,Medium,322.4
167,45,5,RD00167,MDR,SH-21,28.64923,95.13056,28.69923,95.18056,33.9,8.2,Concrete,Poor,9,Low,410.9
168,34,4,RD00168,MDR,NH-305,25.78862,97.51032,25.83862,97.56032,22.6,10.8,Earthen,Good,4,Low,276.0
169,20,2,RD00169,ODR,NH-12,23.30629,93.51205,23.35629,93.56205,23.3,11.4,Gravel,Good,20,Low,462.1
170,16,2,RD00170,NH,SH-15,23.62682,90.77759,23.67682,90.82759,38.1,8.5,Earthen,Good,13,Low,298.5
171,42,5,RD00171,ODR,SH-16,22.08091,97.02263,22.13091,97.07263,36.7,6.0,Earthen,Fair,4,Medium,441.0
172,26,3,RD00172,MDR,NH-494,23.87721,90.17059,23.92721,90.22059,29.2,5.8,Earthen,Fair,16,High,351.4
173,28,3,RD00173,Village Road,NH-42,29.00377,93.03299,29.05377,93.08299,44.8,7.2,Earthen,Fair,2,Low,215.2
174,8,1,RD00174,Village Road,SH-17,24.03756,98.58304,24.08756,98.63304,37.3,3.5,Earthen,Poor,13,Medium,310.6
175,15,2,RD00175,ODR,SH-26,26.75671,98.55684,26.80671,98.60684,43.8,7.2,Earthen,Good,17,Low,116.3
176,28,3,RD00176,ODR,NH-229,29.18158,93.25693,29.23158,93.30693,15.4,11.1,Bituminous,Poor,3,Medium,264.6
177,12,1,RD00177,SH,NH-167,26.80921,97.98338,26.85921,98.03338,39.3,8.6,Bituminous,Poor,3,Medium,313.7
178,60,8,RD00178,Forest Road,NH-400,24.63323,95.9501,24.68323,96.0001,36.4,4.5,Earthen,Poor,16,Low,145.7
179,30,3,RD00179,Village Road,NH-11,25.62355,92.81053,25.67355,92.86053,30.1,10.4,Concrete,Fair,3,Medium,143.5
180,40,5,RD00180,Village Road,SH-61,27.91054,97.75312,27.96054,97.80312,30.8,11.0,Bituminous,Poor,16,Medium,408.5
181,54,6,RD00181,NH,NH-267,29.44325,91.66726,29.49325,91.71726,2.6,11.6,Earthen,Poor,12,Medium,463.0
182,59,8,RD00182,SH,SH-4,25.74238,92.432,25.79238,92.482,35.1,6.3,Gravel,Good,16,Low,49.5
183,33,4,RD00183,ODR,SH-71,23.79074,100.06699,23.84074,100.11699,48.9,9.7,Gravel,Fair,14,Low,86.1
184,34,4,RD00184,MDR,NH-250,25.99415,97.42893,26.04415,97.47893,39.6,6.6,Concrete,Good,17,High,495.6
185,31,3,RD00185,NH,NH-408,27.76274,95.55574,27.81274,95.60574,23.5,7.7,Gravel,Fair,18,Medium,193.1
186,30,3,RD00186,ODR,NH-149,25.48461,92.53721,25.53461,92.58721,25.3,3.3,Concrete,Poor,2,Medium,341.3
187,43,5,RD00187,Forest Road,SH-72,29.97284,97.67332,30.02284,97.72332,25.4,11.5,Concrete,Fair,9,High,88.5
188,39,4,RD00188,MDR,NH-364,27.34074,91.08845,27.39074,91.13845,22.6,9.3,Concrete,Poor,5,High,260.0
189,9,1,RD00189,Village Road,SH-11,27.44497,93.23048,27.49497,93.28048,24.7,10.2,Earthen,Fair,4,High,273.5
190,5,1,RD00190,NH,SH-80,23.58083,95.12652,23.63083,95.17652,35.9,6.6,Bituminous,Good,5,High,452.0
191,35,4,RD00191,ODR,SH-16,23.23655,91.48833,23.28655,91.53833,49.4,11.7,Bituminous,Good,13,Medium,20.0
192,53,6,RD00192,SH,NH-16,28.2997,91.45141,28.3497,91.50141,5.2,11.2,Earthen,Fair,11,High,324.6
193,8,1,RD00193,Village Road,NH-247,24.34951,98.80631,24.39951,98.85631,37.6,3.2,Earthen,Fair,16,Medium,279.5
194,7,1,RD00194,Village Road,NH-152,26.18614,92.08774,26.23614,92.13774,2.4,11.4,Concrete,Poor,11,High,109.3
195,49,6,RD00195,Village Road,SH-21,29.25209,98.81769,29.30209,98.86769,15.3,3.8,Earthen,Poor,16,High,291.6
196,56,7,RD00196,Village Road,NH-418,29.46077,97.6112,29.51077,97.6612,16.7,4.1,Gravel,Fair,12,Low,352.9
197,11,1,RD00197,NH,SH-65,22.88635,90.82009,22.93635,90.87009,36.3,7.2,Bituminous,Poor,5,Medium,143.2
198,9,1,RD00198,ODR,NH-352,27.55982,93.4771,27.60982,93.5271,17.6,6.7,Concrete,Fair,0,Medium,52.5
199,18,2,RD00199,SH,NH-226,28.77247,98.59306,28.82247,98.64306,19.7,8.7,Bituminous,Poor,20,Low,436.9
200,5,1,RD00200,Forest Road,SH-21,23.55344,94.98631,23.60344,95.03631,9.0,5.8,Gravel,Good,20,Low,111.5
201,14,2,RD00201,ODR,SH-58,22.55155,92.87157,22.60155,92.92157,37.7,11.2,Earthen,Poor,2,Medium,488.3
202,21,2,RD00202,ODR,NH-472,24.11863,99.55664,24.16863,99.60664,14.8,7.4,Gravel,Good,9,Low,429.1
203,31,3,RD00203,Village Road,NH-67,28.03738,95.29378,28.08738,95.34378,15.7,9.3,Bituminous,Poor,3,High,434.0
204,49,6,RD00204,NH,NH-317,29.34184,98.61044,29.39184,98.66044,2.0,6.0,Bituminous,Poor,7,Medium,192.4
205,30,3,RD00205,SH,NH-170,25.68152,92.78914,25.73152,92.83914,43.7,3.5,Concrete,Poor,11,High,490.5
206,47,6,RD00206,MDR,NH-28,29.54425,99.11852,29.59425,99.16852,14.4,5.8,Bituminous,Fair,3,Medium,416.7
207,11,1,RD00207,MDR,SH-15,22.62762,91.01806,22.67762,91.06806,11.8,4.3,Gravel,Fair,11,High,313.2
208,47,6,RD00208,ODR,SH-86,29.61133,99.0855,29.66133,99.1355,42.6,8.3,Bituminous,Poor,12,High,288.1
209,62,8,RD00209,MDR,SH-78,26.91023,92.45474,26.96023,92.50474,11.6,3.7,Gravel,Good,4,Low,146.1
