record_id,slope_id,district_id,datetime,lat,lon,los_displacement_mm,vertical_displacement_mm,horizontal_displacement_mm,displacement_rate_mm_yr,phase_difference_rad,coherence_loss_pct,strain_rate,coherence,satellite,orbit_direction,movement_class
37,93,29,2022-01-05 02:42:24,25.971908,99.058289,5.57,5.01,1.67,4.43,3.96,24.98,0.0259,0.889,ALOS-2,Descending,Active
38,153,27,2019-01-27 13:00:10,25.329309,90.810956,-36.18,-32.56,-10.85,0.2,0.15,21.74,0.0033,0.51,Sentinel-1,Ascending,Slow Moving
39,156,3,2023-04-25 10:42:28,27.602016,98.683288,2.28,2.05,0.68,0.68,2.05,1.27,0.0152,0.744,ALOS-2,Ascending,Very Active
40,126,31,2018-10-17 20:48:24,27.86167,95.25569,-40.41,-36.37,-12.12,1.5,2.42,11.34,0.0338,0.823,Sentinel-1,Ascending,Very Active
41,243,37,2020-01-07 19:10:59,26.722979,94.56793,-21.03,-18.93,-6.31,7.23,0.9,21.01,0.0376,0.928,Sentinel-1,Descending,Stable
42,294,22,2020-08-14 07:29:57,22.426143,96.537481,-43.7,-39.33,-13.11,0.09,2.58,1.06,0.0225,0.942,Sentinel-1,Ascending,Very Active
43,214,18,2021-04-06 11:43:27,28.971618,98.801064,-26.12,-23.51,-7.84,1.95,2.23,24.5,0.0399,0.574,Sentinel-1,Ascending,Active
44,107,47,2023-12-02 21:04:22,29.356888,99.187232,-13.26,-11.93,-3.98,0.22,3.48,4.99,0.0001,0.905,ALOS-2,Descending,Very Active
45,247,49,2019-07-12 11:28:15,29.688061,99.057319,-18.48,-16.63,-5.54,1.95,2.16,7.19,0.0388,0.605,COSMO-SkyMed,Ascending,Stable
46,471,58,2023-05-07 23:58:33,27.218379,94.346235,-25.9,-23.31,-7.77,11.88,3.76,6.98,0.0065,0.953,ALOS-2,Descending,Stable
47,350,18,2022-01-15 22:57:02,29.0033,98.429622,-19.66,-17.69,-5.9,5.05,1.13,24.42,0.0291,0.834,ALOS-2,Ascending,Slow Moving
48,361,43,2021-07-10 05:51:27,30.037962,97.480362,-39.56,-35.6,-11.87,1.57,0.07,24.42,0.0495,0.728,ALOS-2,Descending,Slow Moving
49,427,53,2020-12-10 14:11:24,28.403369,91.356338,2.79,2.51,0.84,7.42,2.81,12.34,0.0437,0.77,Sentinel-1,Ascending,Very Active
50,177,17,2024-05-20 08:08:05,24.106804,92.72764,-3.59,-3.23,-1.08,11.78,1.24,6.27,0.0438,0.656,COSMO-SkyMed,Ascending,Stable
51,153,27,2021-05-27 11:10:05,25.329309,90.810956,-27.58,-24.82,-8.27,14.68,2.59,1.19,0.0173,0.758,ALOS-2,Ascending,Stable
52,337,59,2018-07-26 14:10:48,25.341129,92.354098,-32.3,-29.07,-9.69,11.03,2.47,17.86,0.0374,0.82,ALOS-2,Ascending,Slow Moving
53,36,33,2021-12-11 10:44:10,23.734202,100.15709,-4.84,-4.36,-1.45,4.28,4.61,22.51,0.0032,0.604,ALOS-2,Descending,Active
54,463,56,2018-10-21 12:28:29,29.365963,97.846457,4.48,4.03,1.34,10.17,1.52,20.26,0.013,0.497,ALOS-2,Ascending,Slow Moving
55,140,5,2023-01-02 22:34:38,23.883246,95.296468,8.92,8.03,2.68,7.3,4.9,3.23,0.0015,0.46,COSMO-SkyMed,Descending,Active
56,476,22,2022-11-09 22:42:20,22.652412,96.58018,-13.0,-11.7,-3.9,4.66,1.19,3.5,0.0306,0.401,COSMO-SkyMed,Ascending,Stable
57,15,17,2024-09-19 08:30:58,23.810648,92.715141,-4.01,-3.61,-1.2,9.13,2.86,6.03,0.0434,0.5,ALOS-2,Ascending,Slow Moving
58,31,57,2022-04-24 17:53:30,23.900617,93.129951,-28.2,-25.38,-8.46,13.37,2.92,4.08,0.0232,0.931,Sentinel-1,Descending,Active
59,294,22,2024-05-12 21:19:05,22.426143,96.537481,-45.32,-40.79,-13.6,2.85,3.73,5.03,0.0142,0.814,Sentinel-1,Ascending,Slow Moving
60,169,36,2023-03-07 00:56:50,25.251692,90.375718,-21.05,-18.95,-6.32,1.9,1.3,14.78,0.0188,0.72,ALOS-2,Ascending,Stable
61,499,9,2024-04-14 01:17:21,27.665229,93.397675,-21.41,-19.27,-6.42,5.66,4.55,6.08,0.0141,0.92,Sentinel-1,Descending,Slow Moving
62,156,3,2018-08-23 19:16:43,27.602016,98.683288,-30.33,-27.3,-9.1,13.56,3.08,7.75,0.0153,0.909,ALOS-2,Descending,Stable
63,423,20,2019-04-22 12:58:44,23.408365,93.288048,-14.07,-12.66,-4.22,1.73,2.45,5.21,0.0469,0.336,ALOS-2,Descending,Very Active
64,34,25,2023-12-11 08:45:09,26.518582,96.569829,-48.36,-43.52,-14.51,8.93,2.49,21.05,0.0044,0.494,ALOS-2,Descending,Stable
65,78,21,2023-03-06 05:50:26,23.984472,99.453272,-17.34,-15.61,-5.2,11.67,3.93,0.39,0.003,0.618,COSMO-SkyMed,Ascending,Active
66,183,43,2024-03-17 13:13:53,30.016291,97.643172,2.79,2.51,0.84,13.27,4.91,8.39,0.0139,0.349,Sentinel-1,Descending,Stable
67,91,53,2024-06-28 14:42:18,27.871598,91.324592,-27.43,-24.69,-8.23,1.76,2.85,22.03,0.0048,0.659,COSMO-SkyMed,Ascending,Stable
68,24,8,2024-12-21 09:46:44,24.422764,98.934733,-5.08,-4.57,-1.52,12.24,2.72,5.68,0.0355,0.431,Sentinel-1,Ascending,Stable
69,252,46,2021-06-18 14:00:05,23.303143,97.376284,6.01,5.41,1.8,10.94,2.13,1.76,0.0218,0.687,ALOS-2,Ascending,Active
70,260,51,2019-01-25 03:46:45,29.718081,90.680899,8.5,7.65,2.55,3.49,0.22,15.9,0.0286,0.95,Sentinel-1,Ascending,Stable
71,215,22,2019-04-13 06:44:41,22.777328,96.620786,-32.46,-29.21,-9.74,4.24,3.16,8.13,0.0096,0.562,COSMO-SkyMed,Descending,Active
72,320,23,2019-09-01 14:00:22,27.83514,91.587757,-7.04,-6.34,-2.11,14.91,1.07,9.91,0.0398,0.708,Sentinel-1,Ascending,Stable
73,159,55,2020-03-27 04:14:46,28.682887,94.211199,-22.26,-20.03,-6.68,12.99,1.66,3.82,0.0271,0.87,ALOS-2,Descending,Slow Moving
74,479,15,2023-04-17 08:24:50,26.846962,98.462449,-0.1,-0.09,-0.03,11.19,1.8,1.4,0.0042,0.618,ALOS-2,Descending,Slow Moving
75,108,42,2023-10-25 16:35:28,22.138296,97.018494,5.35,4.81,1.6,6.98,0.44,15.44,0.0409,0.977,COSMO-SkyMed,Ascending,Active
76,13,31,2022-08-23 16:36:00,28.234302,95.257204,-19.84,-17.86,-5.95,1.19,3.36,1.87,0.0023,0.674,COSMO-SkyMed,Descending,Stable
77,180,62,2020-06-15 06:14:23,27.108415,92.327563,-18.57,-16.71,-5.57,0.75,3.04,7.16,0.0408,0.536,ALOS-2,Ascending,Slow Moving
78,139,3,2018-02-16 15:15:42,27.411413,98.746416,-48.58,-43.72,-14.57,6.92,4.0,1.24,0.0445,0.489,ALOS-2,Descending,Very Active
79,475,57,2022-06-01 16:37:47,23.555858,93.277727,-12.62,-11.36,-3.79,1.59,1.36,0.93,0.0076,0.895,ALOS-2,Descending,Stable
80,423,20,2024-08-04 01:13:02,23.408365,93.288048,-4.67,-4.2,-1.4,10.29,4.76,13.26,0.0249,0.55,Sentinel-1,Descending,Very Active
81,185,1,2022-10-12 08:19:07,27.261587,89.954368,-24.44,-22.0,-7.33,9.76,1.63,18.43,0.0381,0.513,Sentinel-1,Ascending,Slow Moving
82,264,39,2018-09-20 13:13:52,27.661056,91.296424,-49.19,-44.27,-14.76,1.83,3.48,4.3,0.0123,0.463,ALOS-2,Ascending,Stable
83,122,33,2020-06-02 16:27:32,23.835846,99.749724,-24.67,-22.2,-7.4,1.84,3.43,21.68,0.007,0.733,Sentinel-1,Ascending,Active
84,282,32,2024-07-25 08:32:12,25.26955,95.836337,8.61,7.75,2.58,1.5,0.79,5.78,0.0137,0.646,ALOS-2,Descending,Very Active
85,331,24,2018-03-20 10:19:19,24.03039,99.164713,-38.63,-34.77,-11.59,8.36,3.1,24.72,0.0335,0.777,ALOS-2,Descending,Active
86,193,62,2019-05-27 11:34:13,27.274468,92.477288,6.55,5.89,1.96,1.79,1.41,8.05,0.0249,0.52,Sentinel-1,Descending,Slow Moving
87,302,59,2022-08-27 15:43:24,25.339381,92.599878,-24.35,-21.92,-7.3,9.45,1.47,0.35,0.0066,0.848,Sentinel-1,Ascending,Stable
88,315,31,2024-07-20 03:48:44,28.121064,95.109972,-31.31,-28.18,-9.39,12.74,3.09,10.94,0.0066,0.834,COSMO-SkyMed,Descending,Very Active
89,482,6,2018-11-02 05:11:47,26.428947,96.96086,-4.09,-3.68,-1.23,5.76,3.8,8.31,0.0461,0.929,ALOS-2,Descending,Stable
90,82,20,2022-07-11 02:19:08,23.307983,93.374618,-35.97,-32.37,-10.79,3.53,3.12,17.13,0.002,0.588,Sentinel-1,Descending,Very Active
91,383,6,2021-01-12 10:58:38,26.710904,96.968593,-2.54,-2.29,-0.76,1.41,1.33,15.56,0.0072,0.58,Sentinel-1,Descending,Slow Moving
92,76,7,2023-06-28 20:53:26,26.280037,92.083953,-31.94,-28.75,-9.58,8.47,1.97,14.62,0.0097,0.662,COSMO-SkyMed,Ascending,Very Active
93,458,31,2018-10-19 04:11:07,27.969395,95.561385,-26.07,-23.46,-7.82,3.09,1.76,24.98,0.0402,0.831,ALOS-2,Ascending,Stable
94,112,20,2024-10-22 01:44:42,23.283767,93.789626,-16.97,-15.27,-5.09,7.5,0.23,20.42,0.0389,0.575,Sentinel-1,Ascending,Slow Moving
95,452,34,2023-02-16 22:19:17,25.755499,97.685292,-20.72,-18.65,-6.22,12.78,4.78,12.24,0.0105,0.65,COSMO-SkyMed,Descending,Slow Moving
96,156,3,2020-12-06 19:34:15,27.602016,98.683288,-23.34,-21.01,-7.0,5.52,0.09,23.16,0.0207,0.417,ALOS-2,Descending,Slow Moving
97,301,14,2024-05-20 00:49:08,22.73079,92.906822,-30.02,-27.02,-9.01,10.01,0.46,9.74,0.01,0.931,ALOS-2,Ascending,Slow Moving
98,149,8,2021-09-05 12:39:13,24.381092,98.526048,-31.87,-28.68,-9.56,13.25,1.04,6.1,0.022,0.455,COSMO-SkyMed,Ascending,Slow Moving
99,473,11,2020-03-13 21:40:47,22.542228,90.916608,-11.98,-10.78,-3.59,14.43,0.88,21.06,0.016,0.946,ALOS-2,Descending,Very Active
100,178,33,2018-02-13 16:55:34,23.623086,99.765544,-8.79,-7.91,-2.64,6.45,4.91,18.13,0.0042,0.541,Sentinel-1,Ascending,Very Active
101,251,21,2024-03-09 15:30:28,23.850747,99.338708,-31.19,-28.07,-9.36,9.35,2.8,13.24,0.0321,0.886,Sentinel-1,Ascending,Active
102,215,22,2022-06-12 06:02:10,22.777328,96.620786,-14.03,-12.63,-4.21,1.03,3.46,14.79,0.0377,0.811,COSMO-SkyMed,Ascending,Active
103,328,58,2023-04-04 09:33:23,27.480763,94.533497,-37.35,-33.62,-11.21,9.56,0.5,18.42,0.0305,0.436,ALOS-2,Ascending,Very Active
104,438,41,2024-06-25 01:38:05,22.650436,94.33568,-14.69,-13.22,-4.41,0.85,1.65,5.15,0.0347,0.954,ALOS-2,Ascending,Slow Moving
105,386,9,2018-03-28 07:01:01,27.803067,93.583435,-2.86,-2.57,-0.86,8.76,1.73,18.93,0.0051,0.415,Sentinel-1,Descending,Slow Moving
106,166,39,2024-05-05 09:52:18,27.31121,91.401515,-42.5,-38.25,-12.75,10.6,1.74,19.84,0.0326,0.423,Sentinel-1,Descending,Slow Moving
107,440,51,2022-10-12 21:25:44,29.312801,91.037932,-48.81,-43.93,-14.64,2.46,1.85,12.78,0.041,0.806,Sentinel-1,Ascending,Active
108,427,53,2023-09-24 00:55:25,28.403369,91.356338,-5.07,-4.56,-1.52,0.96,3.88,12.31,0.0174,0.862,ALOS-2,Ascending,Stable
109,459,55,2021-11-21 04:15:40,28.697562,94.01477,3.71,3.34,1.11,10.11,3.95,17.83,0.009,0.38,ALOS-2,Descending,Slow Moving
110,95,4,2018-11-20 02:08:48,27.01344,90.096229,-28.23,-25.41,-8.47,5.18,0.11,22.89,0.0436,0.671,ALOS-2,Ascending,Slow Moving
111,488,17,2024-03-18 01:14:49,23.704532,93.17451,-1.99,-1.79,-0.6,9.5,3.93,2.75,0.0167,0.54,Sentinel-1,Descending,Active
112,165,26,2024-03-22 05:05:10,23.722243,90.254701,-37.48,-33.73,-11.24,2.76,4.27,14.44,0.0172,0.88,Sentinel-1,Ascending,Very Active
113,460,49,2018-07-22 14:17:08,29.547111,98.666982,-13.68,-12.31,-4.1,3.13,1.31,24.53,0.0265,0.428,Sentinel-1,Descending,Slow Moving
114,400,48,2022-12-22 21:17:06,26.969184,95.065953,9.01,8.11,2.7,6.23,0.61,5.52,0.004,0.954,ALOS-2,Descending,Very Active
115,376,55,2023-02-28 08:58:57,29.03955,94.528524,-24.87,-22.38,-7.46,11.72,2.17,15.9,0.0272,0.944,COSMO-SkyMed,Descending,Stable
116,174,33,2024-05-06 13:30:12,23.852207,100.184189,-28.96,-26.06,-8.69,4.65,2.22,14.21,0.01,0.565,Sentinel-1,Descending,Active
117,248,28,2024-08-05 07:34:47,29.176629,93.211558,-27.89,-25.1,-8.37,5.59,0.88,11.82,0.029,0.509,Sentinel-1,Descending,Stable
118,104,21,2020-02-17 16:00:09,24.26011,99.403686,-31.02,-27.92,-9.31,10.81,3.06,16.21,0.0112,0.835,ALOS-2,Ascending,Active
119,76,7,2022-06-27 05:47:36,26.280037,92.083953,-21.89,-19.7,-6.57,3.43,0.12,15.22,0.0396,0.833,ALOS-2,Descending,Very Active
120,379,43,2019-02-15 13:36:50,29.554443,97.854936,-6.39,-5.75,-1.92,4.93,3.89,4.67,0.0264,0.428,ALOS-2,Ascending,Stable
121,236,28,2020-12-10 22:02:06,28.919885,93.039243,4.15,3.74,1.25,4.0,2.49,10.88,0.0437,0.664,Sentinel-1,Ascending,Slow Moving
122,151,43,2019-03-21 22:25:27,30.048814,97.400382,-40.56,-36.5,-12.17,6.08,2.7,3.11,0.0288,0.57,Sentinel-1,Descending,Slow Moving
123,59,29,2022-08-04 13:10:20,26.111958,98.738146,-33.04,-29.74,-9.91,5.61,3.87,4.78,0.0216,0.415,ALOS-2,Descending,Stable
124,199,1,2024-02-14 07:54:27,26.941851,90.298705,8.24,7.42,2.47,6.57,4.74,20.3,0.0283,0.658,Sentinel-1,Ascending,Slow Moving
125,281,58,2021-07-26 03:26:59,27.261658,94.336423,-26.62,-23.96,-7.99,0.92,4.46,19.51,0.0346,0.429,ALOS-2,Descending,Very Active
126,117,50,2019-09-24 15:28:14,24.087047,92.629185,-23.12,-20.81,-6.94,1.74,0.55,12.21,0.0453,0.974,ALOS-2,Descending,Slow Moving
127,95,4,2019-06-16 13:36:26,27.01344,90.096229,-6.3,-5.67,-1.89,11.36,0.27,22.05,0.0436,0.44,COSMO-SkyMed,Descending,Active
128,53,12,2024-11-09 05:49:13,27.111035,97.946169,-30.89,-27.8,-9.27,11.76,0.46,2.66,0.0139,0.965,ALOS-2,Ascending,Active
129,229,62,2021-10-08 01:46:14,26.748917,92.010198,-12.0,-10.8,-3.6,13.15,4.79,15.85,0.0264,0.367,Sentinel-1,Descending,Active
130,67,48,2020-09-22 19:37:54,26.942407,94.764725,-12.66,-11.39,-3.8,2.9,3.28,12.1,0.0195,0.754,ALOS-2,Ascending,Stable
131,141,24,2018-06-11 03:31:13,24.047224,99.397024,1.15,1.03,0.34,9.04,4.82,12.89,0.0454,0.915,COSMO-SkyMed,Ascending,Slow Moving
132,17,21,2022-04-19 00:46:36,24.223339,99.611262,-39.84,-35.86,-11.95,1.61,3.0,12.58,0.0109,0.683,ALOS-2,Descending,Very Active
133,242,17,2021-10-02 16:34:55,24.057441,93.082815,-33.51,-30.16,-10.05,8.71,4.95,16.92,0.0314,0.506,Sentinel-1,Ascending,Slow Moving
134,326,3,2022-07-10 20:44:51,27.458315,98.886333,-26.71,-24.04,-8.01,14.19,0.86,1.09,0.028,0.699,Sentinel-1,Ascending,Active
135,115,9,2018-08-20 04:30:53,27.539125,93.695468,0.71,0.64,0.21,7.34,2.1,23.77,0.0057,0.593,COSMO-SkyMed,Ascending,Active
136,183,43,2021-07-05 23:02:49,30.016291,97.643172,-27.2,-24.48,-8.16,9.47,0.59,13.11,0.0077,0.462,ALOS-2,Ascending,Active
137,144,5,2024-02-25 06:16:02,23.842084,94.761016,5.8,5.22,1.74,9.87,0.67,14.77,0.013,0.599,COSMO-SkyMed,Ascending,Slow Moving
138,165,26,2020-09-12 04:46:06,23.722243,90.254701,3.49,3.14,1.05,13.85,2.13,16.38,0.0307,0.667,Sentinel-1,Ascending,Very Active
139,159,55,2023-01-04 13:52:55,28.682887,94.211199,-38.71,-34.84,-11.61,9.2,3.78,3.53,0.0377,0.305,Sentinel-1,Ascending,Very Active
140,62,43,2024-07-14 11:52:00,29.791729,97.703065,-10.38,-9.34,-3.11,4.12,2.29,16.12,0.0262,0.839,ALOS-2,Descending,Very Active
141,69,58,2024-08-01 15:00:08,27.388109,94.162353,-25.99,-23.39,-7.8,2.87,0.88,10.11,0.0093,0.794,ALOS-2,Ascending,Slow Moving
142,196,48,2024-12-05 15:55:44,27.015245,94.710167,-15.25,-13.72,-4.58,6.31,4.58,10.81,0.0269,0.663,Sentinel-1,Ascending,Stable
143,182,2,2020-10-03 05:22:31,23.972727,91.641004,-39.39,-35.45,-11.82,10.51,3.59,16.48,0.0055,0.876,COSMO-SkyMed,Descending,Active
144,417,57,2019-02-10 11:29:45,23.438549,93.308675,-35.62,-32.06,-10.69,14.98,2.64,22.51,0.0,0.32,ALOS-2,Descending,Stable
145,269,36,2021-06-17 18:07:54,25.138725,90.660817,-16.77,-15.09,-5.03,4.06,4.74,8.61,0.0491,0.378,COSMO-SkyMed,Descending,Slow Moving
146,262,52,2020-09-21 20:37:23,28.615591,99.768697,-19.23,-17.31,-5.77,8.9,2.85,10.4,0.0473,0.474,COSMO-SkyMed,Ascending,Stable
147,76,7,2019-09-30 23:25:50,26.280037,92.083953,-33.2,-29.88,-9.96,11.2,0.55,12.18,0.0138,0.689,Sentinel-1,Ascending,Slow Moving
148,1,54,2023-05-31 18:54:36,29.299517,91.869569,-30.28,-27.25,-9.08,8.76,1.94,22.08,0.0116,0.461,Sentinel-1,Descending,Stable
149,166,39,2020-10-01 19:51:06,27.31121,91.401515,-17.46,-15.71,-5.24,6.15,4.13,16.53,0.024,0.623,COSMO-SkyMed,Ascending,Active
150,229,62,2020-07-07 04:18:01,26.748917,92.010198,-19.47,-17.52,-5.84,14.0,3.21,3.2,0.0478,0.403,Sentinel-1,Ascending,Very Active
151,59,29,2023-11-15 14:27:06,26.111958,98.738146,-34.91,-31.42,-10.47,4.51,1.68,18.2,0.0499,0.335,Sentinel-1,Descending,Active
152,368,31,2023-10-07 15:52:19,27.880544,95.274703,-10.69,-9.62,-3.21,2.91,1.34,4.68,0.0131,0.694,Sentinel-1,Descending,Slow Moving
153,173,36,2018-11-02 19:43:52,25.403382,90.934537,-20.06,-18.05,-6.02,4.15,0.99,1.61,0.0369,0.876,COSMO-SkyMed,Descending,Stable
154,299,45,2023-06-02 17:49:36,28.971276,95.15497,-0.13,-0.12,-0.04,9.3,4.7,19.54,0.0001,0.877,Sentinel-1,Ascending,Active
155,327,20,2021-06-06 15:51:43,23.55346,93.495437,6.1,5.49,1.83,12.69,0.33,12.51,0.0358,0.874,COSMO-SkyMed,Ascending,Slow Moving
156,392,54,2022-04-09 17:00:00,29.301955,91.601051,-28.94,-26.05,-8.68,7.81,1.88,1.68,0.0141,0.699,Sentinel-1,Ascending,Slow Moving
157,106,23,2023-04-04 21:07:19,27.633732,91.865192,-20.37,-18.33,-6.11,0.66,1.85,11.61,0.0349,0.643,ALOS-2,Ascending,Active
158,372,26,2020-04-21 11:27:56,23.909378,90.209233,-29.76,-26.78,-8.93,1.07,0.3,7.25,0.0498,0.987,Sentinel-1,Descending,Slow Moving
159,201,13,2020-05-05 06:24:30,26.469822,99.874325,-38.74,-34.87,-11.62,8.33,4.7,8.29,0.046,0.684,Sentinel-1,Ascending,Slow Moving
160,200,32,2020-11-14 04:21:31,25.253819,95.955728,-46.34,-41.71,-13.9,14.41,2.63,13.21,0.0068,0.681,Sentinel-1,Ascending,Very Active
161,151,43,2022-06-24 00:59:15,30.048814,97.400382,-26.69,-24.02,-8.01,8.08,4.95,22.96,0.0416,0.855,ALOS-2,Ascending,Very Active
162,493,34,2019-09-29 14:56:16,25.807601,97.549356,-49.95,-44.96,-14.98,10.08,4.74,10.07,0.0341,0.381,COSMO-SkyMed,Descending,Slow Moving
163,320,23,2022-02-22 14:26:33,27.83514,91.587757,-4.41,-3.97,-1.32,13.55,1.76,2.49,0.0136,0.685,COSMO-SkyMed,Ascending,Slow Moving
164,294,22,2018-04-28 09:47:48,22.426143,96.537481,0.72,0.65,0.22,4.98,3.75,8.28,0.0353,0.739,ALOS-2,Descending,Stable
165,264,39,2018-08-12 00:05:53,27.661056,91.296424,-3.92,-3.53,-1.18,6.16,2.84,1.12,0.0259,0.8,Sentinel-1,Descending,Slow Moving
166,52,54,2020-06-05 01:48:12,29.502734,91.868619,-49.31,-44.38,-14.79,6.42,2.03,7.63,0.03,0.613,Sentinel-1,Ascending,Very Active
167,109,47,2023-01-11 19:50:39,29.656228,99.463175,-46.58,-41.92,-13.97,6.79,2.55,7.37,0.011,0.852,ALOS-2,Ascending,Active
