event_id,state_id,district_id,datetime,lat,lon,magnitude_ml,depth_km,pga_g,epicentral_distance_km,fault_type,fault_strike,source_agency,seismic_hazard_index
26,41,5,2020-09-04 12:34:56,21.0029,94.8795,1.2,35.5,0.8875,112.9,Strike-Slip,E,USGS,0.532
27,60,8,2021-08-25 07:41:40,25.9719,95.5972,3.8,67.0,0.0445,25.9,Strike-Slip,NW,NCS,0.085
28,60,8,2024-09-02 03:26:31,24.7639,96.3847,1.8,33.6,0.5597,221.1,Reverse,E,NCS,0.504
29,26,3,2020-10-21 05:44:36,22.998,88.8438,4.6,56.5,0.7146,414.2,Oblique,NE,IMD,1.644
30,62,8,2021-05-26 16:03:15,28.0559,92.7899,2.7,67.7,0.4019,278.2,Normal,NE,ISR,0.543
31,33,4,2024-07-22 08:43:54,24.2863,99.5607,7.1,15.1,1.0795,456.5,Oblique,E,USGS,3.832
32,44,5,2022-01-09 21:37:09,29.6814,99.0443,6.8,26.7,0.6116,58.4,Oblique,E,USGS,2.079
33,16,2,2023-03-17 23:37:36,23.9195,92.0537,1.9,59.1,1.4545,327.9,Oblique,NE,IMD,1.382
34,16,2,2021-10-29 07:51:46,24.9116,91.1093,3.0,2.1,1.1106,142.9,Reverse,N,ISR,1.666
35,51,6,2022-02-09 10:01:11,31.1291,92.8215,2.4,5.3,0.2241,224.6,Reverse,E,IMD,0.269
36,53,6,2024-09-08 03:27:48,28.3869,92.2384,5.3,48.9,0.647,258.0,Normal,NE,IMD,1.715
37,47,6,2018-01-05 02:10:50,29.4762,100.3918,6.4,26.6,0.3049,241.1,Normal,NE,NCS,0.976
38,12,1,2019-05-21 07:25:58,26.9505,98.8761,4.2,40.0,0.1232,437.1,Reverse,E,ISR,0.259
39,1,1,2020-04-22 02:35:41,25.4703,89.3884,3.1,17.0,0.4518,365.2,Reverse,E,USGS,0.7
40,4,1,2018-08-08 03:53:10,25.1946,91.1605,6.1,21.4,1.4488,215.8,Strike-Slip,N,NCS,4.419
41,15,2,2019-04-29 09:54:32,27.8827,98.4684,6.5,32.5,1.341,495.0,Strike-Slip,E,NCS,4.358
42,21,2,2022-11-08 11:32:22,25.8769,99.0829,4.6,8.3,1.1311,300.0,Normal,E,USGS,2.602
43,12,1,2023-02-21 16:08:49,27.3104,96.1312,2.4,39.3,0.4134,121.7,Normal,N,NCS,0.496
44,3,1,2020-04-08 08:00:59,28.6854,98.8154,3.0,36.9,1.0279,24.2,Normal,NW,IMD,1.542
45,60,8,2021-09-13 21:30:14,23.5909,94.2646,1.7,8.6,0.2536,51.1,Reverse,E,IMD,0.216
46,49,6,2019-10-22 17:51:55,30.8257,97.9672,6.2,20.5,0.0242,362.9,Reverse,NE,IMD,0.075
47,49,6,2022-04-15 12:42:36,27.5724,100.6092,2.2,32.7,0.022,332.9,Oblique,NW,NCS,0.024
48,34,4,2021-11-27 19:13:06,24.8862,96.3096,2.0,10.9,1.2654,399.1,Normal,E,USGS,1.265
49,34,4,2023-08-23 15:50:05,23.9793,95.7727,4.7,11.0,1.09,87.4,Strike-Slip,E,NCS,2.562
50,52,6,2018-08-30 01:39:38,28.7271,98.0363,1.6,21.9,0.5935,299.1,Strike-Slip,NE,IMD,0.475
51,7,1,2019-08-18 13:11:09,26.2889,94.1685,3.9,66.8,0.0421,18.8,Strike-Slip,N,USGS,0.082
52,52,6,2022-10-19 02:14:38,27.8371,101.2328,3.0,14.3,1.3309,199.7,Normal,N,IMD,1.996
53,61,8,2024-03-11 05:55:55,27.5575,89.9993,5.2,34.4,0.7896,395.1,Oblique,NW,USGS,2.053
54,24,3,2023-10-07 02:51:34,22.3212,97.3023,6.7,47.6,1.4265,338.1,Strike-Slip,NW,ISR,4.779
55,40,5,2020-08-19 05:24:29,27.2969,98.4361,2.2,10.5,0.0946,374.5,Strike-Slip,N,ISR,0.104
56,25,3,2019-08-16 15:54:37,24.8678,96.1511,1.2,35.8,0.8479,349.1,Normal,NE,IMD,0.509
57,14,2,2023-01-19 00:34:45,23.7018,94.4913,5.5,51.4,0.1377,374.2,Reverse,NW,ISR,0.379
58,24,3,2022-08-10 17:07:18,26.1592,100.5057,4.2,59.9,1.2722,286.4,Strike-Slip,N,ISR,2.672
59,15,2,2023-02-06 19:17:41,25.5951,98.4226,3.2,49.7,1.2846,251.0,Reverse,E,NCS,2.055
60,59,8,2022-12-23 19:36:14,25.5971,93.074,6.8,1.8,0.4681,12.3,Strike-Slip,NE,ISR,1.592
61,7,1,2020-08-10 19:47:19,25.0777,92.0967,7.1,47.2,0.2899,421.3,Oblique,NW,ISR,1.029
62,14,2,2022-12-08 10:25:11,21.6883,93.8838,5.3,69.8,0.4545,423.1,Strike-Slip,N,IMD,1.204
63,33,4,2023-09-25 20:36:25,23.7066,99.7857,2.3,58.2,1.2589,361.8,Oblique,NE,NCS,1.448
64,51,6,2019-07-15 13:20:07,28.7363,90.6839,6.5,67.9,0.6884,128.6,Normal,NE,IMD,2.237
65,17,2,2018-09-16 05:56:09,23.8295,92.276,2.2,65.2,1.1645,75.5,Normal,NE,NCS,1.281
66,57,7,2019-11-28 22:48:05,24.1043,92.2715,5.0,5.8,0.2009,60.1,Reverse,NE,IMD,0.502
67,32,3,2019-05-15 13:38:11,26.6738,94.376,2.4,36.0,1.4158,53.2,Strike-Slip,N,USGS,1.699
68,41,5,2018-06-18 09:46:36,22.8194,94.6677,2.1,35.6,0.5504,3.9,Reverse,E,ISR,0.578
69,7,1,2021-01-29 17:54:31,25.7113,94.072,3.8,67.8,1.0932,427.1,Strike-Slip,NW,NCS,2.077
70,33,4,2020-08-23 15:48:35,22.2034,99.5544,5.7,16.6,0.193,103.7,Oblique,E,NCS,0.55
71,18,2,2019-01-25 22:23:31,28.8088,97.8108,5.8,8.9,1.2589,458.1,Normal,N,IMD,3.651
72,49,6,2024-02-07 06:48:40,30.9423,98.6194,3.3,66.3,0.7938,423.4,Normal,N,ISR,1.31
73,38,4,2019-06-07 20:27:14,30.8253,97.239,4.8,17.0,0.5218,0.3,Oblique,N,NCS,1.252
74,41,5,2019-03-28 11:04:01,22.8361,95.2157,2.9,37.7,0.6506,481.8,Reverse,NE,ISR,0.943
75,23,3,2022-07-04 12:12:33,26.8881,92.0626,4.6,53.6,1.409,249.9,Strike-Slip,E,NCS,3.241
76,39,4,2021-10-23 18:59:19,28.8088,91.3371,1.5,40.9,0.448,490.1,Normal,E,USGS,0.336
77,43,5,2020-10-19 04:11:28,31.2309,96.1945,4.7,10.5,1.3732,245.3,Oblique,NW,IMD,3.227
78,13,2,2018-12-27 13:58:53,25.1086,99.0062,7.0,22.2,1.3067,321.0,Strike-Slip,NW,ISR,4.573
79,18,2,2024-01-12 06:35:31,28.2482,97.8036,4.8,21.0,0.5553,52.0,Normal,NW,IMD,1.333
80,36,4,2018-05-10 05:14:03,23.4495,89.4012,7.1,4.3,0.5273,439.3,Reverse,NE,NCS,1.872
81,1,1,2024-03-08 03:54:12,26.6424,90.6215,5.8,52.3,0.9092,239.5,Normal,NE,NCS,2.637
82,54,6,2022-09-05 00:54:38,30.2069,91.706,2.6,50.2,0.5536,367.5,Oblique,E,NCS,0.72
83,17,2,2023-01-18 18:57:54,22.1752,92.3444,6.1,37.8,1.4143,62.2,Strike-Slip,NE,ISR,4.314
84,44,5,2022-04-19 00:33:15,31.1911,99.8802,1.7,36.7,0.3849,469.0,Reverse,NE,ISR,0.327
85,52,6,2019-06-12 06:54:16,29.3456,98.1925,4.7,22.2,0.8909,496.0,Reverse,NE,NCS,2.094
86,31,3,2019-01-08 09:42:26,29.0331,96.0046,1.8,23.0,0.8492,100.9,Normal,E,IMD,0.764
87,33,4,2019-11-21 16:47:31,23.3726,98.3124,2.5,57.1,1.1371,244.8,Normal,NW,ISR,1.421
88,5,1,2020-02-21 22:14:08,24.5486,96.2449,1.9,18.6,1.4865,81.1,Oblique,NW,IMD,1.412
89,50,6,2024-01-26 06:49:21,24.1556,94.289,6.8,13.7,0.6104,289.8,Reverse,NE,NCS,2.075
90,59,8,2021-07-24 11:27:09,24.4981,94.1335,4.4,11.6,1.4823,414.5,Normal,N,IMD,3.261
91,31,3,2020-01-27 15:23:36,27.4802,93.6253,3.3,52.8,0.8045,449.1,Oblique,E,USGS,1.327
92,12,1,2024-07-26 05:26:36,28.3225,98.1239,3.2,51.9,1.3783,278.0,Reverse,NE,USGS,2.205
93,4,1,2019-03-22 14:46:39,26.2887,88.9211,6.3,28.1,0.6278,208.6,Normal,NE,ISR,1.978
94,27,3,2024-04-14 17:00:23,26.5055,89.9553,1.8,20.6,1.1919,16.6,Reverse,E,IMD,1.073
95,19,2,2024-10-24 18:38:49,25.0237,94.6443,4.5,21.4,0.2937,481.2,Strike-Slip,NE,IMD,0.661
96,16,2,2020-03-13 05:35:04,25.4999,92.0387,7.0,45.4,0.7987,164.5,Oblique,N,NCS,2.795
97,46,5,2018-05-20 17:49:06,21.648,98.7027,4.9,10.4,0.9584,98.3,Oblique,E,ISR,2.348
98,31,3,2019-01-18 03:20:56,29.4729,95.0224,1.3,68.2,0.3701,259.0,Oblique,NE,IMD,0.241
99,25,3,2020-01-19 14:55:25,28.4519,98.0649,3.5,19.5,0.1478,471.7,Reverse,E,ISR,0.259
100,47,6,2024-10-24 07:36:29,27.9832,97.4601,5.4,40.0,0.9523,242.4,Normal,E,IMD,2.571
101,51,6,2022-07-28 21:07:02,30.4663,89.411,3.4,8.2,1.4334,149.7,Strike-Slip,N,USGS,2.437
102,8,1,2020-06-10 19:44:32,23.6887,99.9855,2.2,39.0,1.3262,92.7,Oblique,E,ISR,1.459
103,18,2,2023-09-21 17:11:33,27.2028,98.4653,1.5,17.4,0.2526,235.5,Strike-Slip,N,IMD,0.189
104,47,6,2019-07-01 19:21:43,28.099,98.6453,5.9,53.0,0.3166,172.3,Reverse,NE,IMD,0.934
105,39,4,2022-09-12 14:49:02,27.4322,92.0989,2.6,14.2,0.675,493.8,Reverse,NW,USGS,0.878
106,62,8,2019-02-22 07:17:21,28.7601,92.8843,3.7,66.8,0.1632,317.3,Normal,NW,IMD,0.302
107,30,3,2018-10-13 04:01:33,26.9611,93.6911,2.9,56.4,0.9393,22.0,Normal,NE,IMD,1.362
108,61,8,2022-01-31 03:51:25,25.2319,89.3248,1.7,6.4,0.7151,283.8,Strike-Slip,E,NCS,0.608
109,4,1,2018-09-10 00:13:45,25.467,88.7916,4.2,17.9,0.3427,187.5,Strike-Slip,NE,IMD,0.72
110,27,3,2020-02-20 22:10:01,24.2832,91.3099,1.1,43.8,0.5932,49.6,Oblique,E,ISR,0.326
111,60,8,2020-12-05 19:04:43,23.1294,97.1562,3.1,50.3,0.2476,274.3,Oblique,NW,IMD,0.384
112,45,5,2021-09-07 01:04:18,29.8719,95.6071,4.4,57.6,1.0552,474.1,Normal,E,NCS,2.321
113,56,7,2023-11-27 12:33:07,28.4594,97.699,7.1,26.2,0.3359,248.9,Strike-Slip,N,NCS,1.192
114,20,2,2022-05-12 18:49:02,24.4406,93.0827,2.7,37.2,0.9185,476.4,Reverse,E,NCS,1.24
115,22,2,2024-05-12 11:55:04,23.1537,96.3007,5.1,66.9,0.9064,433.5,Strike-Slip,N,ISR,2.311
116,42,5,2020-07-22 21:01:47,23.389,96.2947,1.7,63.7,0.1754,202.6,Strike-Slip,NW,IMD,0.149
117,2,1,2018-09-19 05:33:00,25.3138,90.0063,7.1,66.7,0.7299,151.9,Strike-Slip,NW,NCS,2.591
118,32,3,2024-10-24 15:15:59,27.2947,94.4789,6.7,43.6,0.5093,358.0,Normal,NE,ISR,1.706
119,27,3,2019-05-30 16:47:28,26.6753,89.4305,3.5,51.1,0.3396,255.1,Strike-Slip,NE,USGS,0.594
120,4,1,2024-03-31 19:59:20,28.6573,88.813,2.3,43.6,1.1171,9.6,Strike-Slip,N,IMD,1.285
121,1,1,2022-07-22 04:32:38,27.7718,88.3546,2.5,10.8,1.0691,191.2,Normal,NE,USGS,1.336
122,58,7,2021-10-18 09:41:26,28.3725,92.4602,2.9,11.5,0.4004,51.8,Reverse,N,IMD,0.581
123,43,5,2019-06-01 12:38:53,31.3229,98.8086,6.1,36.1,1.4739,276.4,Strike-Slip,NE,USGS,4.495
124,23,3,2019-08-29 07:25:16,26.2834,91.7853,5.4,48.1,1.4872,461.4,Normal,E,IMD,4.015
125,20,2,2023-01-27 20:32:31,24.24,94.8632,4.7,25.1,1.2027,176.5,Oblique,NW,USGS,2.826
126,51,6,2020-09-20 21:14:41,31.4026,90.9065,1.7,10.7,0.8746,376.1,Normal,N,ISR,0.743
127,29,3,2018-09-28 07:50:50,25.994,99.7487,4.7,6.2,0.586,331.2,Oblique,NE,NCS,1.377
128,56,7,2024-01-05 07:50:15,29.3317,99.4547,4.9,48.0,0.2828,306.4,Oblique,N,IMD,0.693
129,19,2,2022-09-12 13:18:59,23.7283,94.7097,5.5,16.6,1.4439,113.5,Strike-Slip,NE,NCS,3.971
130,59,8,2019-11-10 16:21:06,27.4326,92.401,3.8,50.8,0.695,347.5,Reverse,E,NCS,1.32
131,52,6,2019-08-08 21:03:46,29.1922,100.9629,6.0,38.2,0.173,426.0,Oblique,NW,USGS,0.519
132,36,4,2021-08-25 18:13:27,26.9006,89.0279,1.1,12.6,1.308,492.8,Reverse,E,IMD,0.719
133,42,5,2024-04-25 03:19:51,23.3279,98.191,3.0,52.1,0.8925,172.0,Reverse,N,ISR,1.339
134,38,4,2022-12-07 05:02:50,31.4689,98.7611,6.5,11.7,1.3824,422.4,Strike-Slip,NW,IMD,4.493
135,32,3,2022-12-22 01:54:45,25.0049,95.3746,4.1,29.3,0.4897,166.6,Strike-Slip,NW,ISR,1.004
136,42,5,2021-01-13 05:26:21,21.83,95.5598,6.2,23.1,1.2342,273.7,Strike-Slip,NW,ISR,3.826
137,2,1,2022-06-28 05:18:39,22.7647,92.3431,1.9,50.1,0.0088,157.6,Strike-Slip,NE,USGS,0.008
138,12,1,2018-11-06 21:55:57,26.3956,98.5488,2.9,42.5,0.2486,297.2,Reverse,E,USGS,0.36
139,26,3,2021-09-17 19:43:44,22.119,90.7067,5.5,69.5,1.4801,151.0,Normal,NE,ISR,4.07
140,21,2,2023-05-31 09:16:27,25.3788,98.8858,4.4,54.2,0.398,121.8,Reverse,NE,ISR,0.876
141,19,2,2018-05-30 16:00:17,24.756,97.2767,5.5,66.9,0.2112,126.0,Strike-Slip,E,USGS,0.581
142,9,1,2018-12-05 11:30:35,26.8831,94.8367,2.1,62.1,0.8189,164.7,Oblique,NW,NCS,0.86
143,53,6,2018-10-23 09:30:22,29.2653,91.0611,6.2,62.7,1.3526,312.7,Strike-Slip,E,USGS,4.193
144,17,2,2021-07-09 08:37:48,24.0381,93.311,5.8,63.2,1.0932,313.4,Oblique,E,ISR,3.17
145,32,3,2019-03-22 22:41:38,25.9908,94.7977,5.7,45.4,0.7064,117.5,Reverse,E,IMD,2.013
146,41,5,2024-09-22 01:37:10,21.5075,93.0875,5.8,67.9,0.9735,183.0,Oblique,NE,USGS,2.823
147,59,8,2018-03-26 21:21:13,25.2549,94.1239,3.3,63.1,0.932,211.6,Oblique,E,NCS,1.538
148,17,2,2019-10-11 09:23:37,22.0743,92.0068,1.2,6.3,0.3721,316.8,Oblique,N,USGS,0.223
149,59,8,2022-08-22 10:57:27,26.7339,92.0109,6.4,27.8,0.637,411.6,Reverse,E,NCS,2.038
150,39,4,2022-03-19 10:01:59,27.5437,92.2054,5.1,29.1,1.4835,467.6,Strike-Slip,E,ISR,3.783
151,55,7,2022-10-29 22:43:20,27.9945,94.0709,3.6,59.2,1.0503,360.3,Normal,E,IMD,1.891
152,24,3,2022-10-18 16:35:27,25.7832,98.2509,4.1,13.2,0.9829,327.6,Strike-Slip,N,USGS,2.015
153,60,8,2022-05-10 06:11:17,24.8812,94.7897,1.6,26.5,1.3331,366.5,Normal,NE,IMD,1.066
154,49,6,2018-02-02 11:26:15,29.529,98.1826,6.7,52.3,1.1305,477.8,Reverse,N,IMD,3.787
155,3,1,2019-08-22 00:46:29,26.3466,100.3366,1.3,31.4,0.3358,245.3,Normal,NE,IMD,0.218
156,49,6,2020-12-30 03:07:26,28.806,99.0791,2.3,21.7,0.2136,327.3,Reverse,E,IMD,0.246
157,12,1,2019-04-26 19:27:01,26.5403,99.1437,1.1,39.4,0.3038,424.3,Oblique,NE,NCS,0.167
158,31,3,2019-10-08 04:12:49,28.6774,95.3793,5.0,25.9,1.2277,342.1,Reverse,E,NCS,3.069
159,41,5,2019-03-07 21:21:47,24.0341,95.7598,1.9,35.6,1.4726,96.3,Strike-Slip,NE,USGS,1.399
160,46,5,2019-10-10 07:45:14,23.3352,99.0366,1.7,49.8,0.1034,285.7,Reverse,NW,USGS,0.088
161,53,6,2022-12-07 11:23:06,26.8112,92.8583,5.0,2.4,0.0268,304.0,Normal,NE,USGS,0.067
162,7,1,2022-08-20 00:35:10,26.1892,91.6647,6.8,43.7,0.9464,349.8,Reverse,NE,USGS,3.218
163,48,6,2024-03-24 06:24:15,25.1971,96.8845,5.1,56.0,1.0417,95.3,Normal,E,ISR,2.656
164,56,7,2024-11-06 05:45:49,28.5539,97.1389,1.8,65.1,0.7126,384.2,Normal,N,ISR,0.641
165,36,4,2019-04-08 09:35:24,24.7378,91.1798,1.6,65.6,0.1615,147.2,Oblique,NW,IMD,0.129
166,49,6,2024-07-28 13:38:45,28.1062,100.1153,1.3,13.9,1.3351,16.4,Normal,NW,USGS,0.868
167,19,2,2024-10-29 05:39:09,25.5674,95.1122,4.0,8.8,0.627,245.0,Reverse,E,NCS,1.254
168,33,4,2019-02-15 12:17:03,24.5722,101.5677,2.6,13.8,0.7904,161.8,Reverse,E,IMD,1.028
169,7,1,2020-05-07 18:58:53,26.0157,93.0353,6.9,8.6,1.2061,149.6,Normal,NW,ISR,4.161
170,31,3,2024-06-12 15:23:39,26.7928,94.5512,6.7,64.4,1.2423,331.0,Oblique,E,ISR,4.162
171,42,5,2022-06-12 00:04:34,22.6808,96.6999,3.4,57.4,0.6966,60.0,Oblique,NW,ISR,1.184
172,31,3,2024-09-19 16:55:27,28.5487,95.1845,6.6,44.3,0.4021,324.9,Strike-Slip,NW,ISR,1.327
173,25,3,2024-09-13 14:42:16,25.8654,96.643,6.2,27.1,0.3908,218.4,Oblique,NE,IMD,1.211
174,49,6,2022-09-15 16:00:27,30.5177,98.8092,3.0,22.5,0.9274,37.4,Oblique,NE,USGS,1.391
175,45,5,2023-11-10 04:27:11,26.7757,96.5422,2.7,38.7,1.2391,182.9,Normal,NE,IMD,1.673
176,3,1,2022-05-02 10:28:40,26.4668,97.9881,1.9,34.9,0.4065,380.1,Oblique,NE,IMD,0.386
177,54,6,2019-04-16 00:34:53,30.4037,92.6756,1.6,14.3,0.9319,29.7,Oblique,NE,IMD,0.746
178,38,4,2018-07-16 07:33:11,27.774,98.4305,6.4,7.9,0.8308,203.7,Reverse,N,ISR,2.659
179,6,1,2024-05-04 07:01:23,24.8604,96.246,1.9,21.4,1.2272,230.5,Strike-Slip,E,USGS,1.166
180,11,1,2022-03-11 00:13:17,24.3045,92.4342,5.4,41.7,1.1749,7.7,Reverse,NW,IMD,3.172
181,50,6,2022-12-22 03:08:18,22.1051,92.0917,3.1,42.4,0.6472,444.2,Oblique,E,USGS,1.003
182,54,6,2021-11-09 18:41:21,30.9109,89.9473,2.9,57.6,0.3649,252.7,Reverse,E,IMD,0.529
183,29,3,2020-06-15 20:06:20,25.6178,100.8366,3.9,43.7,1.0789,222.5,Oblique,E,USGS,2.104
184,9,1,2018-02-20 00:47:04,29.2278,92.8993,3.5,22.3,1.272,442.0,Reverse,NW,IMD,2.226
185,62,8,2018-03-27 07:13:06,28.6767,90.9361,2.5,18.0,0.4007,120.3,Oblique,N,NCS,0.501
186,62,8,2019-01-08 17:14:13,26.5411,91.2844,3.5,55.4,0.2434,450.0,Strike-Slip,N,USGS,0.426
187,17,2,2022-01-30 13:17:47,22.0259,92.0412,6.6,42.9,0.0336,406.3,Reverse,NE,USGS,0.111
188,58,7,2019-09-28 21:26:05,26.6645,95.5718,4.9,4.6,0.5331,280.9,Reverse,NE,IMD,1.306
189,16,2,2023-12-04 03:23:10,22.5037,91.4981,4.4,38.8,0.8231,166.8,Normal,NW,NCS,1.811
190,16,2,2023-12-21 00:50:50,24.7618,89.6128,6.1,64.9,1.2824,93.0,Strike-Slip,NE,USGS,3.911
191,39,4,2021-03-08 15:05:11,26.0157,91.4497,5.6,54.7,0.6604,104.9,Reverse,NE,ISR,1.849
192,11,1,2018-05-03 00:43:26,24.4061,91.5028,3.8,41.2,0.5313,324.5,Reverse,NW,NCS,1.009
193,40,5,2020-11-21 03:42:55,29.5741,99.5491,7.1,15.8,0.021,346.0,Normal,N,IMD,0.075
194,29,3,2023-02-11 23:18:20,24.1451,98.9322,5.8,16.3,1.2868,336.3,Strike-Slip,N,IMD,3.732
195,46,5,2018-02-25 23:26:06,24.2888,96.1836,2.7,17.3,1.0962,447.0,Reverse,NE,USGS,1.48
196,23,3,2018-08-01 22:54:46,27.7607,91.8979,6.4,35.0,1.4746,343.8,Normal,NW,USGS,4.719
197,24,3,2023-09-03 21:38:26,24.0519,99.8919,4.0,56.5,0.8477,236.1,Strike-Slip,NE,USGS,1.695
198,57,7,2022-10-13 07:13:19,25.4746,93.8048,1.7,17.4,0.7554,81.7,Strike-Slip,NE,ISR,0.642
199,34,4,2019-07-20 12:53:36,25.6502,97.2953,1.6,17.1,1.3709,279.6,Reverse,E,NCS,1.097
200,55,7,2024-02-27 00:52:54,29.7173,95.1681,6.6,43.9,0.6969,112.4,Oblique,N,IMD,2.3
201,25,3,2018-03-05 04:21:36,26.0511,97.1993,6.6,17.3,0.5987,49.3,Oblique,NW,USGS,1.976
202,37,4,2023-03-10 18:14:47,26.8389,93.8129,2.7,37.6,1.0853,112.0,Normal,NE,IMD,1.465
203,48,6,2020-06-02 09:39:07,27.4935,94.3403,7.0,65.1,0.1899,355.9,Reverse,N,ISR,0.665
204,21,2,2018-08-23 07:24:29,24.3361,98.3994,6.6,47.2,0.7738,40.9,Oblique,NE,IMD,2.554
205,62,8,2018-01-23 17:34:53,28.7376,91.513,2.4,49.2,0.6848,374.7,Reverse,NW,ISR,0.822
206,25,3,2020-05-14 18:03:40,25.9193,95.2162,2.8,23.3,0.0295,407.0,Strike-Slip,N,ISR,0.041
207,36,4,2021-07-23 00:10:31,25.0617,91.006,3.4,43.5,0.0187,177.0,Normal,N,NCS,0.032
208,34,4,2023-09-17 13:59:57,26.1189,96.8407,4.4,4.1,0.9049,197.4,Reverse,NE,NCS,1.991
209,47,6,2023-05-09 19:54:09,29.332,98.7486,2.9,46.1,0.9927,401.2,Normal,NE,USGS,1.439
210,61,8,2023-02-27 03:40:02,25.4586,90.0119,5.0,54.0,0.0644,173.1,Strike-Slip,NW,IMD,0.161
211,61,8,2023-04-11 00:26:17,24.9624,89.0356,3.2,30.6,1.06,80.0,Normal,NW,USGS,1.696
212,46,5,2020-08-17 22:11:33,21.419,96.0405,5.2,59.3,0.6871,293.0,Normal,NW,ISR,1.786
213,24,3,2023-01-30 11:38:25,23.2412,97.5758,4.8,1.3,0.2061,381.3,Strike-Slip,NE,IMD,0.495
214,35,4,2023-05-19 12:05:19,23.9513,90.0963,1.4,37.8,1.05,481.1,Strike-Slip,N,USGS,0.735
215,47,6,2018-10-10 08:13:37,29.9704,99.5865,4.9,69.9,0.6016,38.8,Oblique,NW,NCS,1.474
216,18,2,2023-08-11 16:48:19,30.0333,97.2189,7.0,1.7,1.0139,49.4,Strike-Slip,NW,NCS,3.549
217,44,5,2019-03-04 01:32:33,28.3659,100.3382,5.0,33.1,1.2336,212.4,Reverse,NW,ISR,3.084
218,33,4,2022-07-16 22:07:11,23.9418,98.5356,5.5,48.2,0.1746,118.1,Reverse,N,NCS,0.48
219,61,8,2020-06-02 15:17:41,26.7155,88.88,2.8,48.2,1.2458,68.3,Oblique,NE,USGS,1.744
220,24,3,2019-03-31 10:34:23,23.0222,101.0617,3.6,19.0,0.8531,420.0,Oblique,N,IMD,1.536
221,11,1,2023-09-13 16:56:35,21.34,91.6538,3.5,37.9,0.2347,79.8,Oblique,NW,IMD,0.411
222,23,3,2018-04-01 23:46:09,29.1572,91.3823,5.6,10.1,1.115,54.0,Oblique,N,IMD,3.122
223,42,5,2023-09-07 08:05:53,21.1439,96.1906,5.6,11.2,0.5697,92.0,Reverse,E,NCS,1.595
224,38,4,2021-11-02 07:31:00,28.0137,100.4995,6.0,27.8,0.0034,361.9,Strike-Slip,NW,NCS,0.01
