alert_id,state_id,district_id,prediction_id,alert_type,issued_datetime,valid_from,valid_until,severity_level,population_notified,evacuations_triggered,status,dissemination_channels,language,delivery_success_rate
26,4,38,3146,Advisory,2020-12-28 04:23:49,2024-09-23 18:57:04,2019-03-11 10:29:40,Red,130011,18151,Active,Push Notification,Manipuri,0.72
27,6,47,4978,Drill,2020-06-04 05:14:07,2020-07-26 04:36:17,2019-10-01 07:08:35,Green,271549,39775,Expired,Siren,Bengali,0.75
28,6,51,1961,Early Warning,2022-03-18 13:30:10,2020-01-20 00:21:30,2022-04-02 03:34:26,Red,334638,38923,Active,All,English,0.99
29,8,60,2593,All Clear,2019-02-15 01:21:25,2021-07-31 13:51:34,2021-02-09 07:07:41,Red,286548,44757,Expired,Siren,Mizo,0.35
30,4,38,554,Watch,2018-02-12 20:30:44,2018-05-04 17:42:21,2018-07-07 20:53:04,Orange,497481,26081,Cancelled,All,Mizo,0.59
31,5,45,3296,Advisory,2018-09-14 02:15:47,2018-09-17 17:26:59,2020-08-20 20:19:57,Yellow,41530,33508,Expired,Push Notification,Manipuri,0.53
32,4,38,542,Drill,2020-08-21 15:54:48,2020-01-12 10:05:37,2018-06-29 21:46:49,Red,128277,5650,Superseded,SMS,Assamese,0.73
33,1,4,2534,Early Warning,2023-09-01 10:29:35,2018-02-09 08:22:07,2024-01-09 08:53:42,Yellow,72038,45973,Active,Push Notification,Assamese,0.97
34,4,34,4238,Watch,2024-08-29 15:44:59,2021-03-01 08:35:41,2019-01-30 08:37:55,Orange,393198,17613,Active,SMS,Bengali,0.86
35,2,18,4292,Drill,2018-07-18 10:38:26,2022-11-27 14:15:54,2023-05-04 16:14:22,Orange,40506,32515,Superseded,All,Bengali,0.34
36,7,55,4644,Watch,2019-06-03 11:34:43,2020-03-03 14:50:01,2024-07-30 15:35:11,Orange,54051,37611,Active,Push Notification,Khasi,0.66
37,1,3,101,Emergency,2020-01-30 19:04:40,2021-02-04 20:03:16,2021-04-04 21:01:09,Green,482563,9835,Expired,SMS,Manipuri,0.86
38,5,46,3436,Watch,2019-11-29 13:04:31,2021-07-17 06:20:28,2024-02-16 20:33:36,Orange,167838,17777,Active,All,Bengali,0.38
39,5,44,432,All Clear,2019-07-12 04:53:03,2018-05-23 16:41:02,2021-05-30 15:07:25,Yellow,36237,30480,Cancelled,Radio,Bengali,0.36
40,3,30,66,Advisory,2021-02-20 04:37:16,2022-10-18 16:28:38,2024-09-03 09:05:53,Yellow,159436,48468,Expired,Siren,Bengali,0.71
41,3,32,1601,Watch,2024-03-25 16:25:29,2018-01-20 19:34:08,2021-06-27 22:30:30,Yellow,12635,15269,Cancelled,SMS,Bengali,0.3
42,5,43,3083,Early Warning,2024-04-12 03:25:55,2019-09-30 12:24:04,2022-07-05 01:49:52,Orange,124968,27513,Superseded,SMS,Hindi,0.8
43,1,6,360,Drill,2019-12-21 03:50:44,2021-03-03 07:00:53,2021-11-25 09:06:28,Red,392214,5564,Active,All,Hindi,0.75
44,3,26,614,Emergency,2023-01-13 22:56:49,2023-08-21 03:23:56,2019-02-11 02:18:59,Green,124236,19115,Cancelled,Radio,Mizo,0.58
45,6,54,2673,Advisory,2020-09-15 04:06:08,2019-12-27 19:18:56,2018-08-21 01:05:54,Red,494794,13284,Expired,All,English,0.41
46,1,11,3683,Emergency,2021-12-18 23:35:17,2019-01-11 02:47:00,2022-07-24 01:25:51,Orange,187945,13607,Superseded,Radio,Assamese,0.49
47,1,8,741,Drill,2019-05-05 16:39:15,2023-12-06 02:59:18,2023-02-18 09:29:39,Orange,21244,14091,Cancelled,Push Notification,English,0.8
48,8,62,2915,Drill,2021-05-16 02:07:42,2020-07-17 11:10:43,2020-03-19 07:26:31,Green,430063,11394,Active,Siren,Mizo,0.62
49,6,48,4507,Emergency,2020-02-16 06:21:45,2018-11-13 14:45:44,2024-11-02 14:53:10,Green,416284,9161,Active,SMS,English,0.88
50,2,15,1071,Advisory,2019-09-08 13:52:10,2023-11-03 05:08:16,2023-05-13 06:23:29,Red,491659,42250,Active,All,Manipuri,0.48
51,6,53,615,Watch,2018-03-09 17:32:20,2023-07-01 00:16:27,2021-10-09 16:38:09,Green,424405,8440,Active,Radio,English,0.33
52,3,30,415,Drill,2019-06-06 22:10:58,2021-05-12 05:14:13,2022-03-22 09:51:55,Red,15557,25082,Superseded,Push Notification,Bengali,0.45
53,1,12,2253,Watch,2020-05-19 11:28:04,2018-04-18 15:38:58,2023-03-23 23:06:18,Red,324726,40434,Expired,Radio,Assamese,0.59
54,4,36,3925,Advisory,2018-07-09 10:55:44,2021-04-04 23:41:21,2019-03-03 09:03:32,Green,219899,13071,Expired,All,Mizo,0.31
55,3,25,2942,Advisory,2022-01-30 07:51:51,2022-10-24 10:00:14,2022-04-10 21:09:23,Red,168713,25452,Cancelled,Push Notification,English,0.52
56,2,15,241,Early Warning,2024-11-23 17:22:49,2024-11-17 09:36:12,2022-01-05 11:20:13,Orange,277674,23424,Expired,Push Notification,English,0.47
57,2,16,2184,Watch,2022-07-17 02:46:40,2022-11-24 14:42:53,2024-10-13 09:45:33,Green,203745,23252,Expired,Push Notification,Hindi,0.71
58,6,52,2940,Drill,2023-01-12 22:05:49,2023-12-17 13:35:59,2020-12-28 15:19:17,Green,496893,37201,Expired,All,Hindi,0.89
59,6,52,4033,Watch,2022-08-12 07:44:25,2022-03-04 17:35:25,2018-04-28 22:46:55,Orange,47420,3681,Expired,All,Hindi,0.31
60,3,31,6,Watch,2020-10-27 15:52:44,2020-11-24 16:50:09,2024-02-06 10:44:40,Yellow,93140,21206,Active,SMS,Hindi,0.71
61,8,59,1161,All Clear,2024-08-02 20:57:05,2021-02-07 16:09:32,2018-08-14 08:20:54,Green,195969,46172,Superseded,All,English,0.54
62,2,21,1118,Drill,2019-05-05 08:20:26,2022-02-22 16:15:59,2023-07-10 22:23:21,Red,166447,11416,Cancelled,Push Notification,Khasi,0.71
63,1,12,3100,Watch,2020-08-11 06:23:52,2019-07-07 02:53:24,2024-03-14 09:34:30,Orange,1042,46006,Superseded,All,English,0.43
64,2,21,1810,Emergency,2023-06-11 07:31:12,2019-03-13 23:07:46,2020-10-25 21:42:27,Green,390874,5099,Expired,Radio,Bengali,0.42
65,7,57,727,Emergency,2024-12-27 19:32:41,2018-02-05 09:43:09,2020-04-03 23:40:22,Orange,110034,16353,Active,Radio,Bengali,0.85
66,6,47,11,Emergency,2018-05-30 14:08:04,2024-03-26 01:27:32,2021-07-27 19:36:44,Red,87309,27133,Superseded,Siren,Bengali,0.68
67,1,7,3928,Watch,2024-09-16 11:58:14,2021-11-03 02:25:44,2018-08-18 00:10:13,Yellow,419108,2189,Cancelled,SMS,Bengali,0.48
68,1,7,608,Emergency,2020-11-27 23:04:01,2019-05-15 21:54:31,2024-03-24 04:45:51,Yellow,39422,35851,Active,Radio,Manipuri,0.99
69,7,58,3955,Emergency,2023-12-29 19:40:27,2023-07-24 18:34:17,2019-05-28 15:04:56,Green,318509,28455,Expired,SMS,English,0.53
70,2,13,3353,Drill,2023-12-07 02:45:15,2020-05-24 15:52:54,2020-07-12 23:47:59,Orange,124643,6285,Active,Siren,Manipuri,0.68
71,3,32,1259,Early Warning,2018-06-19 08:10:35,2021-08-21 12:36:41,2018-09-30 06:02:38,Orange,154528,43386,Superseded,Push Notification,English,0.32
72,1,11,2391,Early Warning,2018-09-12 13:35:53,2020-08-16 00:29:44,2024-09-04 12:38:21,Red,208487,30863,Superseded,Radio,English,0.75
73,3,25,1515,Advisory,2021-02-26 17:17:42,2019-08-03 16:37:56,2021-10-16 23:24:49,Red,23492,17255,Superseded,Siren,Bengali,0.46
74,2,18,4623,Drill,2018-07-11 12:09:53,2023-09-05 18:03:21,2018-10-28 10:40:13,Yellow,45035,43787,Cancelled,All,Assamese,0.98
75,4,38,1864,Emergency,2022-09-16 23:33:01,2024-12-17 16:42:56,2022-06-12 14:33:31,Green,219583,35095,Superseded,All,Hindi,0.63
76,1,6,3235,All Clear,2024-01-29 06:29:36,2022-11-10 17:14:42,2022-05-25 16:41:52,Green,419766,37452,Expired,SMS,Mizo,0.61
77,8,61,1370,Watch,2019-10-21 07:40:31,2018-05-13 14:08:44,2021-08-08 09:07:14,Yellow,41187,44769,Superseded,Push Notification,Mizo,0.74
78,6,54,4875,Drill,2020-03-12 05:24:03,2024-11-13 07:54:26,2018-07-28 04:46:24,Orange,45727,25434,Superseded,All,Bengali,0.9
79,4,34,3754,Early Warning,2018-02-08 09:54:41,2021-07-11 15:03:54,2019-04-10 22:08:25,Red,77799,37132,Active,SMS,Manipuri,0.85
80,6,51,2344,Emergency,2022-07-23 03:43:36,2020-03-31 15:27:16,2021-04-05 01:47:28,Orange,343397,31823,Superseded,SMS,Hindi,0.49
81,1,10,4987,Early Warning,2023-10-17 05:05:11,2021-05-14 16:26:45,2020-10-26 21:59:22,Red,362128,15569,Active,Siren,Bengali,0.93
82,1,2,2768,Advisory,2024-12-14 12:42:43,2020-05-21 00:09:41,2022-03-08 09:47:07,Orange,450062,45625,Active,Push Notification,Hindi,0.51
83,6,48,3630,Advisory,2024-08-01 19:55:36,2024-03-14 07:13:22,2021-07-18 20:49:37,Orange,317283,42307,Active,Push Notification,Assamese,0.45
84,6,53,3336,All Clear,2024-04-21 00:50:55,2021-03-07 16:45:56,2024-12-25 19:29:38,Red,29568,33768,Expired,SMS,Bengali,0.8
85,3,26,1112,Watch,2024-08-21 23:31:22,2019-08-22 21:29:03,2019-09-16 15:16:23,Green,438916,3776,Expired,SMS,Assamese,0.34
86,3,24,1632,Emergency,2020-05-01 05:14:34,2022-04-19 08:57:09,2021-05-18 06:09:41,Orange,333237,8118,Active,Push Notification,Bengali,0.64
87,3,29,1455,Advisory,2022-01-14 11:25:12,2019-05-24 00:27:31,2020-03-14 15:04:54,Orange,392771,45144,Active,Radio,English,0.57
88,1,11,4688,Watch,2024-08-19 20:20:56,2023-07-05 08:08:37,2019-12-01 09:34:12,Yellow,355407,13548,Cancelled,Siren,Manipuri,0.31
89,6,50,73,Drill,2022-01-12 23:14:58,2019-06-23 02:46:36,2023-02-11 16:23:32,Yellow,419983,554,Expired,Radio,Manipuri,0.86
90,2,20,2256,Advisory,2021-08-09 17:19:30,2021-11-27 01:22:22,2020-02-22 22:23:09,Red,114504,30585,Cancelled,All,Mizo,0.74
91,4,38,839,All Clear,2018-01-23 19:52:29,2023-07-05 05:19:37,2023-01-19 18:53:22,Orange,319417,18525,Cancelled,SMS,Assamese,0.34
92,2,18,2664,Drill,2020-05-10 06:02:12,2024-01-19 06:59:40,2023-07-18 00:51:39,Orange,156752,12344,Expired,All,Mizo,0.47
93,1,4,4916,Drill,2021-06-09 11:45:45,2019-03-11 17:54:00,2024-02-19 22:46:24,Orange,13445,42952,Superseded,Radio,Bengali,0.93
94,3,26,3181,All Clear,2024-04-07 22:43:37,2024-01-09 21:26:52,2022-11-13 06:34:30,Green,427926,12446,Cancelled,Push Notification,Khasi,0.67
95,6,51,3898,All Clear,2023-09-19 10:08:40,2020-07-21 16:08:54,2019-06-13 03:07:27,Orange,440836,43097,Expired,Radio,English,0.63
96,6,48,2119,Drill,2024-03-03 01:50:05,2020-11-08 18:34:12,2023-07-27 06:11:03,Yellow,46918,14565,Cancelled,Push Notification,Khasi,0.91
97,3,27,2715,All Clear,2021-02-28 18:39:02,2020-07-02 14:02:27,2021-12-11 20:29:55,Orange,446381,7718,Superseded,SMS,Mizo,0.74
98,4,38,584,All Clear,2022-01-07 03:15:05,2019-01-08 06:07:25,2023-10-16 20:30:14,Yellow,200204,34723,Cancelled,Siren,English,0.91
99,1,10,1126,Emergency,2019-09-15 07:11:47,2022-11-05 01:48:31,2021-11-22 14:59:56,Orange,75190,20734,Expired,SMS,Assamese,0.53
100,1,12,2568,Early Warning,2023-05-26 07:40:21,2021-11-05 11:31:54,2020-04-29 19:42:56,Green,109876,49885,Expired,All,Mizo,0.41
101,6,51,722,Drill,2019-02-07 01:12:27,2021-08-27 03:06:34,2021-06-07 07:11:53,Red,225032,31286,Superseded,SMS,English,0.67
102,6,47,3057,All Clear,2018-02-13 17:39:57,2019-08-16 02:25:47,2018-02-25 15:55:23,Orange,354910,270,Expired,Push Notification,Khasi,0.91
103,2,20,1057,All Clear,2018-11-16 02:28:48,2023-01-03 22:28:04,2020-08-09 01:35:45,Red,87666,4278,Active,Radio,Bengali,0.62
104,4,34,4886,Emergency,2022-06-17 09:02:39,2023-11-04 18:02:23,2019-02-20 16:03:47,Orange,179790,32124,Cancelled,Push Notification,Hindi,0.96
105,8,59,3305,Watch,2018-03-01 10:02:37,2024-03-09 05:38:14,2019-02-12 15:24:43,Yellow,110824,48108,Active,All,Manipuri,0.42
106,3,24,307,All Clear,2021-03-11 16:22:31,2023-04-21 00:17:49,2018-05-31 22:54:22,Orange,311487,3143,Active,SMS,English,0.78
107,3,27,3640,All Clear,2021-03-27 09:46:32,2020-02-25 05:31:59,2022-01-13 21:33:16,Green,368081,10035,Expired,SMS,Bengali,0.59
108,1,7,4263,Emergency,2020-04-18 18:57:19,2018-11-22 22:58:20,2022-05-09 10:31:34,Yellow,376940,40481,Active,Radio,English,0.85
109,3,32,1628,Advisory,2023-03-08 02:27:58,2022-06-14 08:36:02,2019-09-19 13:50:34,Yellow,187754,46100,Superseded,Radio,Hindi,0.33
110,3,32,1702,Advisory,2023-11-09 04:12:10,2019-12-30 13:58:49,2018-01-09 12:09:36,Red,6784,44016,Active,SMS,Mizo,0.7
111,3,32,1222,Drill,2018-10-07 21:03:03,2024-02-27 01:45:20,2018-11-11 16:45:55,Green,474464,16770,Expired,Siren,Bengali,0.48
112,1,4,818,Early Warning,2024-12-01 10:58:39,2020-06-21 18:15:33,2021-01-24 03:33:07,Yellow,420367,44352,Cancelled,Siren,Khasi,0.38
113,7,55,376,Drill,2018-01-31 01:13:14,2023-07-04 18:37:39,2019-06-14 18:19:01,Yellow,172412,23430,Superseded,All,Bengali,0.91
114,1,6,3053,Watch,2024-12-07 00:08:30,2018-12-20 15:55:45,2021-05-30 04:08:15,Orange,209946,29919,Cancelled,Siren,Khasi,0.9
115,6,52,3455,Early Warning,2023-07-09 21:30:00,2019-02-16 16:46:45,2023-12-03 22:11:17,Yellow,380948,3843,Expired,SMS,Assamese,0.94
116,3,31,4661,Watch,2023-10-09 16:39:30,2023-03-15 07:33:30,2021-03-25 20:16:12,Red,408606,23501,Active,Push Notification,Assamese,0.94
117,1,8,3370,Early Warning,2021-10-01 04:04:12,2020-03-23 19:16:09,2023-07-28 22:22:08,Green,164851,810,Expired,Radio,Manipuri,0.67
118,5,45,781,Emergency,2021-09-06 19:28:45,2020-12-10 04:57:01,2023-08-25 01:51:09,Yellow,354673,42035,Superseded,Push Notification,Mizo,0.88
119,7,58,448,All Clear,2018-02-06 04:18:14,2021-12-29 00:43:09,2022-03-21 12:07:54,Yellow,455924,10839,Active,Siren,Bengali,0.47
120,2,18,413,All Clear,2022-04-24 23:23:26,2023-06-22 17:12:56,2021-03-22 09:15:55,Yellow,211533,15400,Active,Siren,Assamese,0.86
121,3,29,722,Advisory,2022-03-29 15:35:03,2019-01-04 19:25:26,2022-03-26 06:50:40,Red,390819,42819,Active,SMS,Assamese,0.59
122,4,36,4499,All Clear,2018-01-01 12:39:17,2023-04-08 08:55:05,2023-06-04 18:17:16,Green,159797,33314,Expired,Siren,Bengali,0.55
123,1,4,1827,All Clear,2021-11-12 22:59:32,2024-07-12 06:42:51,2023-04-10 12:30:13,Orange,314647,31007,Cancelled,Siren,English,0.37
124,5,43,1817,Advisory,2018-01-07 19:48:59,2023-05-23 17:12:06,2024-10-21 05:48:55,Orange,153183,35893,Cancelled,SMS,English,0.93
125,3,32,1151,Early Warning,2024-12-28 08:43:55,2020-03-01 01:11:06,2023-03-13 20:24:33,Red,102819,12290,Active,Siren,Hindi,0.62
126,6,51,1562,Early Warning,2024-02-05 23:34:51,2024-06-10 09:08:49,2021-07-11 17:08:57,Orange,24479,41500,Active,Siren,Assamese,0.76
127,8,62,4131,Early Warning,2019-02-23 07:11:18,2022-07-06 18:49:54,2024-04-06 08:05:22,Red,25565,36256,Superseded,All,Assamese,0.95
128,6,50,1452,Drill,2023-11-20 09:40:02,2024-12-07 21:00:37,2019-02-03 20:50:23,Yellow,54392,25389,Cancelled,All,Assamese,0.59
129,4,39,2034,Advisory,2020-04-30 00:47:14,2020-07-02 23:10:08,2021-11-07 22:37:22,Red,422045,8740,Expired,Siren,Manipuri,0.79
130,6,48,4197,Drill,2020-07-17 16:34:43,2024-04-08 05:10:48,2022-09-16 22:01:59,Orange,331755,14243,Expired,Push Notification,Manipuri,0.8
131,5,44,2829,Drill,2023-09-20 23:49:05,2023-07-13 17:57:14,2019-07-07 10:40:33,Yellow,264285,35552,Cancelled,SMS,Mizo,0.55
132,3,31,4775,Drill,2022-11-08 21:52:03,2024-05-12 13:08:01,2022-07-17 18:40:43,Red,150008,27681,Active,All,English,0.32
133,1,10,435,Watch,2023-09-14 09:46:26,2020-04-09 11:20:32,2024-05-19 17:50:56,Green,411945,10547,Cancelled,Radio,Hindi,0.89
134,5,45,2418,Advisory,2019-09-26 19:24:34,2024-12-04 02:11:38,2021-11-07 03:53:32,Green,53829,40377,Expired,All,Assamese,0.47
135,6,51,2357,Emergency,2023-11-23 21:03:31,2021-04-19 02:10:09,2021-07-18 05:25:47,Green,413297,44901,Cancelled,All,English,0.31
136,2,17,1664,Watch,2023-04-13 00:26:00,2023-05-24 02:41:43,2023-12-30 04:57:05,Red,372106,42443,Cancelled,All,Manipuri,0.82
137,2,13,1586,Watch,2020-07-02 23:28:50,2023-10-22 22:44:01,2018-08-20 08:48:38,Red,98129,11389,Active,Siren,English,0.6
138,4,36,2165,All Clear,2019-02-09 02:27:48,2020-03-03 07:22:57,2018-01-18 12:55:54,Yellow,173410,30561,Expired,SMS,Hindi,0.95
139,4,39,417,Emergency,2024-07-31 16:20:29,2024-09-20 03:49:23,2022-11-15 05:53:28,Orange,288542,23467,Active,Radio,Manipuri,0.45
140,1,12,4265,Emergency,2018-07-31 19:36:21,2022-08-15 06:59:29,2022-07-27 12:18:11,Yellow,211606,6025,Cancelled,Push Notification,Hindi,0.76
141,2,22,2956,All Clear,2020-07-01 02:29:27,2022-07-07 04:51:53,2022-01-15 07:55:05,Yellow,294401,49291,Active,SMS,Khasi,0.54
142,2,16,1998,Emergency,2018-05-04 21:27:47,2024-10-09 17:27:56,2018-12-19 05:46:49,Orange,202410,16815,Cancelled,SMS,Manipuri,0.88
143,3,24,4214,Emergency,2024-10-30 06:21:16,2018-05-17 05:49:00,2020-07-09 23:43:06,Red,471058,42698,Expired,Radio,Manipuri,0.36
144,1,7,1372,Drill,2024-07-30 14:48:28,2018-07-23 09:55:58,2019-10-17 21:00:21,Green,351548,41255,Expired,Siren,Mizo,0.37
145,4,35,3566,Drill,2023-07-02 19:05:38,2023-11-02 11:06:51,2019-04-23 16:46:21,Green,12553,30095,Cancelled,SMS,English,0.35
146,1,12,2064,All Clear,2022-09-30 21:46:28,2024-12-27 16:22:37,2019-12-09 06:29:18,Green,477719,16950,Superseded,Siren,Assamese,0.74
147,3,28,2592,Drill,2018-02-22 11:28:55,2019-01-03 13:31:01,2022-07-20 16:08:29,Red,3192,42036,Active,All,English,0.79
148,1,5,2931,Advisory,2022-04-12 06:14:27,2024-09-10 18:54:45,2023-11-01 22:49:11,Green,158094,39751,Active,Radio,Mizo,0.95
149,3,25,3237,Emergency,2024-12-29 05:53:13,2019-05-01 16:19:22,2022-07-16 10:14:23,Green,115372,8937,Superseded,All,Bengali,0.97
150,1,10,2442,Early Warning,2023-10-06 06:19:53,2022-09-16 17:45:16,2022-09-21 13:00:00,Orange,74220,8076,Active,SMS,Manipuri,0.72
151,4,35,4486,Watch,2018-09-22 11:31:06,2024-05-13 21:02:14,2024-04-22 13:03:49,Orange,473818,47575,Cancelled,Push Notification,Assamese,0.93
152,7,55,4199,Watch,2019-03-19 14:13:24,2019-11-17 23:08:39,2023-04-01 14:16:24,Yellow,437748,16563,Expired,SMS,Hindi,0.77
153,4,37,446,Drill,2024-05-22 09:44:11,2022-09-04 17:57:51,2018-08-16 06:03:17,Red,152485,44019,Active,Radio,English,0.44
154,4,38,3992,Watch,2020-10-24 22:02:00,2023-09-17 15:25:31,2023-07-30 11:36:28,Orange,123062,6556,Cancelled,All,English,0.93
155,2,21,3981,All Clear,2021-11-01 02:35:59,2023-08-11 18:05:12,2020-08-07 16:48:59,Orange,363671,38284,Expired,All,Manipuri,0.56
156,2,21,3509,Advisory,2019-06-08 22:40:24,2020-02-04 20:08:55,2024-09-06 23:03:51,Green,116243,46674,Superseded,Radio,Mizo,0.55
157,5,44,2717,Emergency,2022-01-31 03:57:42,2021-01-19 13:42:44,2024-08-04 02:48:42,Red,160255,31914,Active,Push Notification,Khasi,0.72
158,6,54,2299,Advisory,2019-03-11 23:16:51,2024-03-29 01:03:03,2023-05-01 20:05:27,Yellow,40188,47672,Active,SMS,Mizo,0.66
159,1,2,4767,All Clear,2022-12-04 13:58:17,2019-10-24 00:35:10,2018-04-24 21:17:32,Red,289294,17079,Superseded,Push Notification,Bengali,0.57
160,7,58,4831,Watch,2024-03-28 01:21:16,2021-12-14 18:37:43,2022-04-06 22:27:07,Orange,267702,5934,Superseded,Radio,Manipuri,0.31
161,2,16,1359,Emergency,2024-06-10 13:22:37,2019-05-10 16:29:02,2019-07-11 14:01:58,Yellow,297034,37081,Expired,Siren,Bengali,0.33
162,6,49,3995,Advisory,2019-12-22 00:31:32,2021-02-21 19:05:02,2019-12-29 01:41:49,Green,22543,43816,Expired,All,Mizo,0.55
163,3,31,3725,Drill,2018-05-25 06:37:40,2020-10-03 20:29:37,2018-11-17 17:00:53,Green,369060,34168,Cancelled,Radio,Manipuri,0.68
164,1,12,3086,Advisory,2023-07-24 21:33:51,2022-12-31 20:30:33,2023-07-23 20:18:12,Red,471029,5101,Cancelled,Siren,Hindi,0.66
165,3,23,2827,All Clear,2022-02-21 15:01:44,2018-01-21 11:57:32,2022-04-09 03:40:38,Red,462539,9107,Superseded,Push Notification,Hindi,0.35
166,5,42,2301,Watch,2019-10-20 03:51:30,2019-05-04 21:24:52,2021-01-30 09:18:01,Yellow,315732,47009,Active,Push Notification,Assamese,0.87
167,6,47,929,Emergency,2022-02-05 00:29:01,2019-10-17 15:13:31,2023-01-10 12:33:45,Red,84639,42418,Superseded,SMS,Hindi,0.33
168,4,37,4853,Drill,2019-05-16 14:39:34,2022-05-12 17:25:09,2018-05-02 18:16:56,Yellow,467134,37504,Expired,SMS,Hindi,0.48
169,1,12,4233,Drill,2021-06-13 17:00:51,2024-03-11 17:41:57,2023-08-18 23:17:16,Green,430699,18576,Active,Push Notification,Assamese,0.72
170,3,31,3946,Emergency,2019-06-14 22:22:52,2023-02-10 17:46:55,2019-03-20 09:23:16,Yellow,416707,38184,Expired,All,Khasi,0.66
171,1,11,2808,Watch,2021-11-09 21:11:04,2021-03-21 01:28:57,2021-04-12 14:07:17,Green,69417,7115,Active,Push Notification,Manipuri,0.9
172,4,33,3439,Watch,2019-04-10 16:05:27,2022-01-18 11:22:40,2023-03-25 22:56:44,Green,314575,2558,Active,SMS,Assamese,0.76
173,7,58,4944,Drill,2022-08-03 12:04:39,2023-07-11 02:13:37,2021-09-02 14:44:06,Green,273801,27569,Cancelled,SMS,Khasi,0.67
174,2,15,3950,Advisory,2024-09-19 01:31:52,2023-01-05 02:36:31,2024-11-04 20:53:34,Red,388803,49908,Active,Siren,Hindi,0.48
175,6,50,1905,All Clear,2018-09-18 09:53:30,2022-08-17 07:31:25,2021-06-23 14:54:24,Orange,135264,12387,Active,SMS,Manipuri,0.67
