event_id,district_id,slope_id,state_id,event_datetime,detection_datetime,report_datetime,landslide_type,trigger,slope_angle_deg,elevation_m,area_affected_sqkm,volume_cu_m,fatalities,injuries,displaced_persons,road_blocked_km,buildings_damaged,runout_distance_km,verification_status,reported_by
26,9,99,1,2022-09-09 17:45:16,2023-01-11 20:45:07,2022-11-22 02:30:26,Mudflow,Undercutting,19.4,2643,44.59,1703713.0,3,12,2845,17.9,306,3.1,Confirmed,District Admin
27,3,490,1,2024-05-08 01:50:44,2019-11-09 14:48:32,2022-04-23 17:49:24,Translational Slide,Undercutting,22.6,1837,9.59,392347.0,1,4,4206,19.4,1,2.0,Confirmed,Satellite
28,45,5,5,2023-10-02 14:32:45,2019-12-02 07:02:34,2020-09-02 09:02:40,Rockfall,Anthropogenic,42.2,2341,36.06,493405.0,5,10,2199,11.0,447,8.0,Under Investigation,ISRO
29,53,108,6,2023-12-30 03:00:41,2019-07-02 13:57:39,2021-04-22 10:03:40,Debris Flow,Anthropogenic,15.9,644,17.44,534585.0,0,0,4499,5.3,90,2.9,Confirmed,Satellite
30,43,445,5,2024-07-17 03:46:47,2022-12-17 07:20:17,2020-04-15 18:40:51,Translational Slide,Earthquake,63.6,3198,34.44,1630292.0,0,0,4950,11.0,371,4.6,Confirmed,Field Team
31,6,254,1,2020-01-14 14:11:52,2018-03-28 09:10:56,2019-12-29 12:43:38,Rockfall,Rainfall,36.3,456,43.13,442261.0,1,5,1477,13.0,125,4.8,Under Investigation,Field Team
32,7,371,1,2023-11-28 04:46:48,2018-06-29 04:15:49,2018-12-09 08:09:40,Mudflow,Rainfall,35.5,4788,40.42,1235291.0,0,0,901,16.5,490,8.0,Under Investigation,District Admin
33,55,363,7,2018-12-15 06:08:30,2020-09-25 01:34:44,2020-12-31 20:34:07,Debris Flow,Rainfall,52.4,4177,38.01,1700078.0,3,6,2717,9.6,52,5.4,Preliminary,ISRO
34,1,468,1,2020-07-07 00:14:27,2019-04-06 15:10:07,2020-07-08 03:18:22,Debris Flow,Undercutting,14.6,4175,19.33,353975.0,0,0,3151,13.7,472,9.3,Confirmed,GSI
35,39,78,4,2019-12-31 13:33:21,2021-03-21 11:56:06,2021-01-15 15:42:23,Rotational Slide,Unknown,30.4,2634,30.02,1029453.0,0,0,2470,12.5,441,9.4,Confirmed,ISRO
36,21,76,2,2022-05-19 14:46:50,2021-02-14 04:05:20,2019-06-07 05:49:24,Rotational Slide,Anthropogenic,34.0,1513,39.3,960617.0,0,0,3501,19.2,355,9.7,Under Investigation,District Admin
37,9,411,1,2020-10-04 12:26:35,2022-09-24 16:36:49,2020-06-17 22:05:15,Rotational Slide,Rainfall,59.1,3980,24.91,676425.0,1,1,3150,1.7,185,5.8,Confirmed,GSI
38,4,467,1,2021-12-01 11:54:54,2022-09-21 07:13:52,2020-07-08 01:47:08,Debris Flow,Unknown,20.3,2175,43.35,1783051.0,0,0,4517,19.4,375,0.8,Preliminary,District Admin
39,4,360,1,2019-03-11 21:37:04,2020-09-30 02:00:36,2022-09-02 04:48:11,Translational Slide,Unknown,21.4,3730,23.89,719145.0,0,0,2992,2.8,357,9.5,Preliminary,Field Team
40,47,173,6,2022-12-24 20:44:00,2023-08-24 05:00:25,2022-10-02 21:56:29,Mudflow,Unknown,41.9,1663,14.41,124480.0,5,0,4949,15.0,256,3.4,Confirmed,Field Team
41,60,81,8,2021-01-18 02:33:24,2020-01-23 23:35:38,2018-11-13 22:29:30,Rotational Slide,Unknown,41.5,3800,48.9,348732.0,0,0,458,4.4,84,1.0,Preliminary,Field Team
42,13,139,2,2019-03-21 03:04:23,2018-09-25 06:38:00,2021-06-20 06:35:12,Complex,Rainfall,59.1,3029,30.2,1283012.0,0,0,1333,10.8,500,5.9,Confirmed,Satellite
43,51,248,6,2018-07-07 01:20:05,2021-07-12 12:46:22,2019-06-15 22:43:06,Rotational Slide,Snowmelt,60.2,2991,47.18,66781.0,0,0,3261,10.0,51,5.3,Confirmed,GSI
44,38,408,4,2022-04-15 15:37:55,2019-01-18 22:14:56,2020-06-02 21:41:09,Complex,Earthquake,46.3,1631,42.62,648500.0,0,0,645,17.7,264,9.9,Under Investigation,Satellite
45,60,394,8,2021-10-30 14:50:08,2022-05-07 07:13:39,2024-10-21 02:09:36,Complex,Snowmelt,41.9,3258,17.02,317517.0,5,15,327,17.8,73,7.8,Preliminary,Satellite
46,56,497,7,2018-12-24 15:06:29,2019-01-01 02:11:45,2023-03-03 08:30:16,Translational Slide,Unknown,46.6,4155,15.75,736608.0,0,0,4722,7.3,497,5.9,Confirmed,District Admin
47,55,147,7,2022-07-01 13:54:39,2022-08-20 16:28:16,2018-06-24 19:41:03,Complex,Earthquake,22.9,4517,45.87,335779.0,0,0,2569,7.5,4,2.0,Confirmed,District Admin
48,25,82,3,2024-05-24 12:54:04,2024-01-01 14:06:05,2020-01-09 23:06:58,Translational Slide,Snowmelt,52.4,4778,11.23,492253.0,2,4,3816,9.4,33,3.5,Under Investigation,Field Team
49,14,360,2,2023-05-05 03:17:29,2018-05-09 19:49:24,2018-09-13 11:50:27,Translational Slide,Earthquake,20.5,3600,2.01,17349.0,1,5,1748,6.4,487,7.7,Preliminary,District Admin
50,17,326,2,2019-12-23 02:09:04,2020-11-28 05:53:03,2019-01-14 13:21:48,Rotational Slide,Earthquake,30.5,2087,13.77,68902.0,5,15,3438,10.5,246,5.0,Under Investigation,ISRO
51,62,357,8,2022-11-25 11:58:44,2024-06-27 19:09:20,2021-07-20 00:09:57,Translational Slide,Earthquake,30.8,3578,28.56,1180321.0,1,4,1626,1.6,58,8.0,Under Investigation,Field Team
52,17,267,2,2018-01-16 14:53:54,2020-02-08 13:44:34,2019-11-12 19:24:13,Rotational Slide,Earthquake,61.9,1186,6.37,146619.0,20,0,298,4.4,295,9.6,Preliminary,District Admin
53,2,155,1,2021-06-11 16:52:55,2024-01-31 13:33:48,2021-10-07 03:59:11,Translational Slide,Snowmelt,47.2,2078,6.32,160891.0,50,150,3361,7.0,304,2.0,Preliminary,Field Team
54,19,433,2,2022-11-27 20:18:44,2018-03-09 19:59:26,2019-03-01 15:47:48,Mudflow,Undercutting,46.2,2125,31.06,1439061.0,5,0,850,1.8,257,6.0,Confirmed,District Admin
55,55,216,7,2020-05-17 07:49:29,2023-03-16 13:58:52,2022-06-10 00:23:50,Rockfall,Undercutting,62.5,2099,27.62,182584.0,5,0,2872,19.4,135,3.4,Preliminary,ISRO
56,1,461,1,2022-08-26 01:00:01,2019-11-30 18:27:15,2024-03-26 12:12:39,Complex,Snowmelt,66.4,2942,7.75,149931.0,3,15,4914,6.3,219,1.7,Under Investigation,Field Team
57,47,89,6,2022-07-10 10:33:10,2022-05-25 20:58:16,2024-03-14 05:20:13,Debris Flow,Rainfall,42.1,380,21.93,128933.0,3,12,969,12.6,321,7.8,Confirmed,GSI
58,40,363,5,2024-02-05 02:36:24,2020-06-27 09:12:34,2020-10-01 23:49:51,Translational Slide,Anthropogenic,58.0,4172,1.36,50285.0,20,100,2933,3.7,42,9.4,Under Investigation,GSI
59,41,297,5,2019-02-28 03:29:59,2022-01-20 06:25:06,2023-07-05 00:26:04,Translational Slide,Unknown,37.8,502,29.84,186403.0,0,0,760,1.5,214,4.1,Preliminary,Field Team
60,52,83,6,2020-01-07 09:00:57,2021-11-21 15:39:38,2024-02-17 00:10:33,Complex,Anthropogenic,22.1,1787,9.02,259753.0,2,0,960,19.5,310,0.8,Confirmed,Satellite
61,33,390,4,2019-09-17 06:55:23,2019-06-03 08:17:30,2020-03-27 02:22:45,Mudflow,Unknown,20.3,1536,5.83,67808.0,0,0,683,14.6,414,5.2,Under Investigation,Field Team
62,60,99,8,2020-10-21 05:12:43,2024-08-03 09:10:50,2020-04-23 23:31:27,Translational Slide,Snowmelt,17.5,2670,42.32,1529970.0,20,0,4781,15.9,417,3.5,Confirmed,Satellite
63,25,220,3,2020-03-29 18:22:23,2022-08-06 09:38:52,2023-12-13 11:25:01,Debris Flow,Earthquake,54.3,2462,44.9,1847534.0,1,0,4189,5.1,404,2.3,Confirmed,GSI
64,14,337,2,2022-03-03 11:09:49,2024-05-13 10:57:14,2024-04-19 02:24:18,Mudflow,Earthquake,47.2,955,15.79,23243.0,2,10,2694,4.3,287,3.1,Under Investigation,GSI
65,37,458,4,2022-09-24 21:48:27,2021-01-29 13:07:07,2023-01-29 05:38:20,Mudflow,Snowmelt,50.3,4084,15.96,266308.0,0,0,4084,0.9,145,0.7,Under Investigation,GSI
66,59,237,8,2021-03-10 04:53:25,2019-01-25 13:46:19,2021-01-30 10:48:22,Translational Slide,Rainfall,58.2,1300,1.95,52923.0,1,2,133,1.4,252,6.3,Preliminary,District Admin
67,45,233,5,2023-07-14 20:58:07,2019-07-23 03:20:55,2022-11-20 07:10:05,Rockfall,Unknown,26.5,4509,42.17,1979775.0,0,0,391,16.5,417,9.1,Confirmed,GSI
68,17,453,2,2018-06-26 03:03:19,2019-07-19 18:29:07,2019-06-02 10:55:09,Mudflow,Snowmelt,27.3,3952,3.84,65807.0,2,6,2211,14.0,62,5.5,Confirmed,Satellite
69,31,339,3,2023-07-01 08:20:49,2020-09-19 21:41:47,2020-04-23 22:04:04,Translational Slide,Rainfall,51.9,4777,36.57,441242.0,0,0,678,7.1,110,4.9,Preliminary,ISRO
70,32,54,3,2021-10-26 06:52:37,2023-08-29 03:58:08,2020-06-15 11:24:28,Mudflow,Undercutting,50.4,622,38.1,997551.0,0,0,3719,13.1,96,1.2,Preliminary,ISRO
71,44,158,5,2024-06-22 20:06:09,2018-04-28 15:42:33,2023-01-29 11:16:07,Mudflow,Rainfall,61.6,4563,23.1,144410.0,0,0,3775,3.7,77,4.3,Preliminary,Satellite
72,22,28,2,2022-12-13 08:23:06,2019-12-25 19:17:33,2024-10-24 15:33:27,Debris Flow,Unknown,33.7,4823,2.55,50346.0,10,10,2408,3.8,490,1.6,Confirmed,GSI
73,58,19,7,2024-06-14 08:15:04,2019-02-19 07:46:52,2021-01-03 15:13:10,Rockfall,Anthropogenic,24.5,4239,26.65,386359.0,5,25,3314,7.8,305,3.2,Confirmed,GSI
74,12,258,1,2024-12-23 15:47:19,2021-09-22 14:09:00,2023-04-28 13:21:01,Rockfall,Anthropogenic,21.7,4676,42.64,1479986.0,0,0,568,3.3,347,7.7,Confirmed,Satellite
75,23,497,3,2023-04-25 18:00:31,2021-04-05 07:33:32,2019-11-17 04:49:06,Debris Flow,Anthropogenic,45.4,4209,43.67,1054886.0,0,0,4647,13.6,231,5.2,Preliminary,Satellite
76,17,340,2,2023-06-16 08:23:29,2021-01-10 21:33:46,2018-03-26 04:26:54,Rockfall,Unknown,60.8,4676,0.78,14257.0,2,8,4880,9.7,254,0.8,Under Investigation,Field Team
77,24,106,3,2019-01-01 06:58:24,2023-01-15 16:11:16,2021-11-29 10:25:37,Translational Slide,Anthropogenic,17.5,3060,31.97,1544381.0,5,25,4463,18.0,296,5.4,Preliminary,Satellite
78,8,222,1,2023-02-07 18:50:50,2019-09-08 16:18:39,2024-04-05 21:10:19,Translational Slide,Anthropogenic,54.7,3357,17.42,111476.0,0,0,1205,9.3,7,4.8,Confirmed,District Admin
79,53,304,6,2019-05-21 01:31:19,2021-03-06 16:42:49,2024-04-15 04:05:45,Rotational Slide,Earthquake,26.0,1507,0.35,6391.0,3,0,2059,2.8,221,6.1,Confirmed,District Admin
80,15,17,2,2023-04-23 11:15:51,2024-09-11 09:11:36,2022-11-21 21:56:20,Mudflow,Earthquake,21.3,2253,33.96,676680.0,0,0,2140,18.4,128,1.8,Under Investigation,ISRO
81,20,157,2,2018-12-17 09:36:59,2022-12-16 22:20:32,2022-01-04 14:22:27,Translational Slide,Snowmelt,20.2,2476,31.45,872602.0,0,0,786,2.8,14,9.2,Confirmed,Field Team
82,6,387,1,2019-07-30 19:58:19,2021-04-16 01:48:54,2022-05-28 04:25:42,Debris Flow,Snowmelt,57.1,2766,39.35,1158299.0,0,0,4450,18.0,235,8.5,Confirmed,GSI
83,18,425,2,2019-03-15 10:38:06,2023-09-24 23:45:03,2020-04-19 16:09:35,Complex,Snowmelt,35.6,3810,41.11,1180134.0,2,0,994,14.8,327,8.6,Preliminary,District Admin
84,47,480,6,2018-01-27 15:39:44,2020-04-16 03:30:01,2023-09-03 14:25:03,Debris Flow,Anthropogenic,45.7,1506,10.11,43372.0,0,0,4258,1.9,419,2.7,Under Investigation,District Admin
85,53,314,6,2022-12-04 21:39:07,2024-02-18 06:30:30,2021-04-02 09:42:06,Mudflow,Snowmelt,50.5,2390,21.67,697203.0,0,0,1971,3.4,200,4.2,Confirmed,Field Team
86,27,417,3,2022-10-07 04:01:18,2024-12-14 14:02:58,2021-12-23 04:29:56,Complex,Snowmelt,37.2,1342,22.91,656285.0,0,0,279,12.9,183,5.3,Under Investigation,ISRO
87,23,463,3,2023-11-21 12:32:04,2019-07-28 08:50:48,2021-05-25 12:04:58,Complex,Snowmelt,20.3,3847,8.81,74169.0,2,8,2779,9.2,310,6.8,Under Investigation,Satellite
88,50,338,6,2023-11-23 08:08:44,2018-05-01 23:10:14,2019-01-31 21:06:31,Complex,Snowmelt,42.2,1536,16.27,777780.0,0,0,3307,1.4,395,8.2,Under Investigation,ISRO
89,7,461,1,2019-12-14 23:57:24,2018-10-26 14:48:23,2024-10-20 20:53:01,Rockfall,Anthropogenic,59.2,2910,37.82,816260.0,0,0,2051,2.3,193,1.8,Under Investigation,Satellite
90,36,103,4,2020-03-12 08:31:28,2020-02-27 02:37:01,2019-01-30 06:02:51,Rockfall,Rainfall,60.7,3644,33.97,409316.0,2,6,4329,16.2,290,5.7,Confirmed,District Admin
91,12,350,1,2023-12-04 15:12:53,2018-10-03 14:27:40,2022-03-21 02:36:05,Rockfall,Undercutting,25.5,4403,10.45,434210.0,1,2,4576,17.1,255,2.7,Under Investigation,Satellite
92,22,12,2,2020-07-06 09:59:53,2024-06-14 07:54:33,2024-11-08 16:19:25,Mudflow,Rainfall,65.4,4246,12.64,448219.0,0,0,2359,1.5,298,5.0,Preliminary,GSI
93,3,174,1,2022-09-23 08:12:21,2018-09-13 07:31:04,2024-04-28 19:44:53,Debris Flow,Anthropogenic,60.1,1764,44.41,173652.0,0,0,2700,18.5,306,7.5,Confirmed,Satellite
94,31,485,3,2019-06-15 08:46:02,2020-07-21 00:59:03,2018-04-18 06:34:38,Translational Slide,Unknown,63.4,1634,5.29,134013.0,0,0,3534,9.6,282,5.1,Preliminary,Field Team
95,45,65,5,2022-10-27 22:27:35,2022-11-24 01:15:14,2019-01-12 18:00:14,Translational Slide,Unknown,21.6,689,6.97,156544.0,5,10,2881,3.9,290,0.9,Confirmed,ISRO
96,53,30,6,2018-11-10 01:08:28,2019-06-16 19:25:30,2019-05-17 21:04:04,Rotational Slide,Undercutting,55.3,942,9.11,28626.0,0,0,2000,20.0,376,8.2,Confirmed,Field Team
97,46,155,5,2022-02-11 17:18:55,2018-08-10 11:57:26,2024-12-22 15:17:05,Rockfall,Earthquake,51.9,2070,32.72,877399.0,0,0,4435,10.1,118,3.4,Under Investigation,ISRO
98,8,191,1,2019-08-05 01:15:44,2021-01-12 08:37:24,2021-05-15 02:03:17,Mudflow,Snowmelt,35.3,2037,22.07,848490.0,10,0,4087,16.7,196,4.7,Confirmed,ISRO
99,25,95,3,2022-11-01 17:03:42,2021-10-09 08:51:48,2024-08-17 06:48:01,Rotational Slide,Unknown,59.5,3460,15.33,422125.0,0,0,4986,15.1,443,4.6,Under Investigation,GSI
100,52,56,6,2024-03-16 12:46:59,2024-05-16 16:16:10,2022-04-11 14:47:59,Rockfall,Earthquake,24.6,2404,33.93,1461270.0,10,30,3472,11.5,409,7.0,Preliminary,GSI
101,16,395,2,2024-02-02 09:21:36,2024-10-26 00:07:19,2024-05-17 21:20:53,Rotational Slide,Earthquake,15.7,4245,19.79,616692.0,0,0,2052,15.6,225,0.6,Confirmed,District Admin
102,31,327,3,2024-03-29 06:26:03,2022-12-10 05:16:49,2021-02-05 08:55:31,Rockfall,Earthquake,41.3,1527,29.02,142134.0,5,20,2572,19.1,446,6.4,Confirmed,ISRO
103,8,336,1,2018-06-07 05:43:32,2020-11-27 08:01:43,2021-12-18 17:45:02,Mudflow,Earthquake,42.6,1516,43.04,1266006.0,0,0,1867,1.2,259,4.7,Under Investigation,GSI
104,16,105,2,2021-08-27 18:23:53,2024-10-22 11:21:26,2022-03-15 15:18:39,Debris Flow,Earthquake,63.4,639,41.15,879890.0,2,4,1172,0.5,476,1.9,Under Investigation,GSI
105,7,312,1,2020-05-16 10:32:45,2024-07-14 01:42:46,2019-09-07 12:48:41,Debris Flow,Rainfall,54.2,845,39.07,1011949.0,1,2,1760,7.6,289,5.3,Under Investigation,Satellite
106,47,215,6,2024-01-17 23:07:54,2021-07-22 08:12:53,2024-06-14 09:58:15,Rotational Slide,Earthquake,20.8,3606,43.94,1762524.0,2,10,4296,10.4,118,4.8,Under Investigation,GSI
107,45,124,5,2022-12-28 23:56:26,2023-01-13 13:14:36,2019-05-29 17:15:49,Translational Slide,Unknown,54.2,407,18.16,331370.0,1,2,3966,12.1,310,3.0,Preliminary,District Admin
108,21,61,2,2018-11-30 13:26:32,2018-03-05 05:07:26,2020-12-14 17:45:59,Translational Slide,Unknown,24.9,820,49.16,1436680.0,2,2,1473,17.5,426,4.6,Under Investigation,ISRO
109,5,68,1,2023-10-11 16:58:24,2019-05-03 10:57:52,2021-10-10 18:38:39,Debris Flow,Unknown,50.8,3362,45.22,830421.0,1,4,1977,14.2,471,3.9,Preliminary,Field Team
110,41,231,5,2022-11-20 09:48:30,2018-02-01 18:37:23,2023-02-01 12:20:28,Rockfall,Undercutting,63.1,1003,35.04,1294333.0,2,8,4172,1.7,483,7.8,Confirmed,District Admin
111,32,175,3,2018-07-17 18:33:57,2020-01-01 04:02:52,2020-05-12 13:33:17,Mudflow,Undercutting,26.3,2305,26.31,681512.0,10,20,2644,7.7,145,2.1,Preliminary,District Admin
112,32,225,3,2020-07-05 05:18:58,2020-04-27 17:53:32,2019-11-23 00:38:57,Debris Flow,Undercutting,38.8,846,13.05,400666.0,0,0,2282,2.8,3,5.1,Confirmed,District Admin
113,14,145,2,2024-05-28 13:46:28,2022-11-06 15:16:05,2019-07-15 08:46:42,Debris Flow,Anthropogenic,50.1,1707,26.09,1088497.0,0,0,982,8.9,406,2.6,Confirmed,District Admin
114,11,260,1,2021-10-05 08:29:40,2018-06-07 13:06:59,2023-11-06 10:12:53,Mudflow,Unknown,49.2,3856,36.8,1248697.0,0,0,2578,17.8,18,9.5,Under Investigation,GSI
115,16,71,2,2024-07-29 12:55:14,2020-03-24 20:56:05,2023-10-16 23:47:13,Debris Flow,Snowmelt,47.3,4197,33.7,471767.0,0,0,4069,5.7,312,2.5,Confirmed,GSI
116,27,353,3,2020-12-13 19:24:40,2020-08-07 09:42:31,2023-07-01 20:25:38,Rotational Slide,Undercutting,30.0,1668,29.24,942932.0,1,5,1475,17.6,112,1.6,Preliminary,Field Team
117,29,167,3,2020-10-10 21:27:07,2023-06-05 15:38:26,2020-08-19 00:18:17,Mudflow,Earthquake,19.5,1658,8.89,425471.0,2,4,3261,14.1,209,1.1,Preliminary,District Admin
118,44,163,5,2022-08-12 12:51:28,2018-07-06 09:28:26,2020-06-25 18:56:10,Mudflow,Earthquake,44.7,388,21.32,293667.0,0,0,1793,6.8,485,9.7,Under Investigation,District Admin
119,9,310,1,2024-01-20 00:46:01,2018-07-21 16:13:23,2024-01-03 06:10:53,Mudflow,Snowmelt,63.5,2242,40.14,217654.0,2,4,4529,1.3,148,8.1,Preliminary,District Admin
120,27,111,3,2024-03-14 23:15:00,2023-06-10 01:10:18,2021-05-19 00:14:40,Complex,Earthquake,43.4,4425,1.9,3765.0,10,0,4108,8.0,63,8.2,Preliminary,Field Team
121,9,419,1,2021-01-10 02:04:04,2024-01-28 19:58:09,2019-01-27 23:37:50,Translational Slide,Earthquake,51.8,4008,25.28,896706.0,2,0,120,14.9,401,3.6,Under Investigation,GSI
122,20,141,2,2023-02-23 06:06:16,2022-07-23 17:17:30,2021-03-10 22:34:32,Rockfall,Snowmelt,14.9,802,48.47,1416965.0,0,0,762,4.4,372,4.2,Preliminary,Satellite
123,46,56,5,2023-01-27 07:36:01,2021-09-23 04:51:40,2018-12-09 03:35:10,Rockfall,Snowmelt,21.4,2354,19.93,246607.0,0,0,892,12.9,72,4.3,Preliminary,Satellite
124,47,430,6,2024-05-09 07:03:49,2024-05-04 19:26:55,2018-01-23 08:44:13,Mudflow,Snowmelt,22.2,396,24.72,523596.0,2,2,299,6.4,491,6.7,Preliminary,Field Team
125,46,248,5,2023-10-09 17:54:47,2018-02-25 05:33:47,2019-05-13 05:12:28,Debris Flow,Rainfall,60.1,2989,49.64,247718.0,0,0,634,7.5,87,6.4,Under Investigation,Field Team
126,9,384,1,2024-02-19 13:25:00,2024-11-24 11:36:41,2019-11-11 04:18:33,Complex,Earthquake,34.4,2810,14.91,333067.0,0,0,2220,10.4,190,5.4,Preliminary,Field Team
127,30,108,3,2021-09-14 23:46:54,2020-01-05 04:30:04,2018-01-23 09:44:12,Rockfall,Unknown,14.6,690,46.4,419812.0,2,6,80,6.4,169,1.4,Under Investigation,Field Team
128,39,81,4,2018-10-01 11:40:35,2022-10-12 18:46:19,2022-02-13 19:49:25,Rotational Slide,Undercutting,40.5,3871,44.18,790951.0,0,0,2249,5.7,103,1.2,Confirmed,GSI
129,47,111,6,2021-02-20 05:16:36,2024-08-22 19:17:51,2024-11-27 21:58:30,Rockfall,Earthquake,43.1,4293,5.21,208647.0,1,3,2704,11.5,110,1.4,Under Investigation,ISRO
130,10,85,1,2023-05-02 00:20:04,2021-09-01 09:32:48,2019-04-26 07:35:25,Translational Slide,Snowmelt,25.4,1678,44.81,159401.0,1,3,3484,13.3,159,8.5,Preliminary,Satellite
131,6,453,1,2024-10-15 06:10:40,2020-10-23 21:07:35,2022-11-19 20:22:11,Debris Flow,Anthropogenic,29.5,3978,41.7,1495197.0,3,12,3617,9.8,343,3.8,Preliminary,ISRO
132,40,287,5,2020-02-22 12:23:11,2024-07-29 09:21:06,2022-02-19 08:32:58,Debris Flow,Undercutting,16.9,1653,46.67,2323068.0,0,0,4309,3.9,140,6.6,Preliminary,GSI
