slope_id,district_id,zone_id,slope_code,lat_start,lon_start,lat_end,lon_end,slope_angle_deg,slope_length_m,aspect,elevation_min_m,elevation_max_m,geology_type,soil_type,factor_of_safety,stability_class,historical_events,last_survey_date
33,36,106,SL00033,25.657972,90.669672,25.667972,90.679672,21.7,2805,NE,2289,2799,Phyllite,Clay,1.084,Marginally Stable,1,2016-01-09
34,25,173,SL00034,26.518582,96.569829,26.528582,96.579829,18.6,2827,S,2077,2142,Schist,Loam,1.511,Stable,15,2015-06-11
35,45,155,SL00035,28.855661,95.014579,28.865661,95.024579,27.0,3218,NW,2934,3530,Gneiss,Sandy Loam,2.073,Unstable,8,2018-01-25
36,33,128,SL00036,23.734202,100.15709,23.744202,100.16709,51.1,3136,SW,2923,3396,Granite,Rock,2.337,Marginally Stable,4,2010-05-13
37,17,142,SL00037,24.084055,92.941386,24.094055,92.951386,35.9,1984,W,1548,1849,Sandstone,Rock,0.973,Unstable,8,2020-12-16
38,62,186,SL00038,27.133817,92.283757,27.143817,92.293757,23.4,4577,NW,3185,3423,Limestone,Clay,0.922,Stable,2,2024-12-27
39,4,196,SL00039,26.42773,90.100295,26.43773,90.110295,46.5,174,SE,856,1423,Sandstone,Sandy Loam,1.944,Stable,15,2024-10-14
40,32,5,SL00040,25.131467,95.866286,25.141467,95.876286,15.6,4488,S,4636,4703,Limestone,Silt,1.972,Marginally Stable,3,2012-02-29
41,34,39,SL00041,25.792681,97.629669,25.802681,97.639669,27.6,3351,NE,3203,3635,Sandstone,Silt,1.108,Marginally Stable,7,2016-09-23
42,44,21,SL00042,29.393241,98.920131,29.403241,98.930131,53.0,3189,NW,1065,1172,Gneiss,Clay,1.37,Marginally Stable,2,2021-03-18
43,55,112,SL00043,29.066444,94.130162,29.076444,94.140162,63.9,448,SE,1081,1347,Gneiss,Rock,2.3,Critical,8,2011-01-17
44,60,20,SL00044,24.815357,95.751324,24.825357,95.761324,42.2,2676,N,569,831,Limestone,Loam,0.941,Critical,2,2016-09-17
45,11,145,SL00045,22.586283,91.16799,22.596283,91.17799,34.5,1246,NE,4728,5290,Gneiss,Sandy Loam,1.23,Stable,3,2019-10-21
46,15,20,SL00046,26.852556,98.778503,26.862556,98.788503,62.7,2773,N,3549,3878,Sandstone,Silt,2.441,Marginally Stable,11,2022-05-28
47,61,97,SL00047,26.666609,90.179717,26.676609,90.189717,48.0,2519,SE,1002,1127,Granite,Sandy Loam,2.067,Marginally Stable,12,2024-03-20
48,10,190,SL00048,23.656273,97.55132,23.666273,97.56132,19.6,2309,NE,2825,3010,Granite,Loam,1.445,Critical,14,2022-06-29
49,36,132,SL00049,25.322127,90.351057,25.332127,90.361057,32.7,2757,W,1062,1124,Phyllite,Silt,1.734,Critical,2,2022-07-20
50,58,63,SL00050,27.242176,94.18275,27.252176,94.19275,34.0,2298,NW,1437,1636,Granite,Loam,1.111,Critical,8,2019-06-12
51,20,124,SL00051,23.4708,93.469375,23.4808,93.479375,62.2,1701,NW,4361,4520,Schist,Sandy Loam,1.728,Stable,12,2017-06-14
52,54,159,SL00052,29.502734,91.868619,29.512734,91.878619,37.0,4969,E,3827,4184,Phyllite,Rock,2.149,Marginally Stable,15,2017-01-17
53,12,102,SL00053,27.111035,97.946169,27.121035,97.956169,49.7,2085,SW,4322,4757,Phyllite,Silt,2.439,Unstable,3,2022-08-25
54,13,152,SL00054,26.588159,99.539156,26.598159,99.549156,53.4,3881,SE,520,1018,Phyllite,Clay,2.411,Critical,15,2013-02-14
55,41,78,SL00055,22.737613,94.442898,22.747613,94.452898,50.8,4998,NW,3388,3848,Limestone,Rock,0.741,Critical,1,2018-01-24
56,45,138,SL00056,28.789692,95.325241,28.799692,95.335241,20.5,3008,E,2333,2428,Limestone,Silt,1.849,Unstable,13,2012-05-17
57,1,26,SL00057,26.970643,90.256506,26.980643,90.266506,40.9,3304,NW,2110,2672,Schist,Sandy Loam,1.447,Stable,15,2012-05-06
58,19,107,SL00058,24.476129,96.108313,24.486129,96.118313,56.6,2910,NW,1460,1721,Limestone,Silt,1.262,Unstable,15,2012-03-10
59,29,185,SL00059,26.111958,98.738146,26.121958,98.748146,30.0,2910,NE,1242,1460,Gneiss,Loam,0.643,Marginally Stable,5,2017-06-04
60,36,110,SL00060,25.652378,90.474413,25.662378,90.484413,35.3,3640,W,1811,1890,Gneiss,Rock,0.954,Marginally Stable,14,2023-04-14
61,28,100,SL00061,28.71357,92.975678,28.72357,92.985678,28.9,4498,E,812,1236,Phyllite,Loam,1.697,Critical,3,2015-11-20
62,43,126,SL00062,29.791729,97.703065,29.801729,97.713065,44.8,2950,SW,3515,4033,Limestone,Loam,1.715,Unstable,2,2013-01-02
63,21,31,SL00063,23.978944,99.136669,23.988944,99.146669,33.7,3526,E,1458,1900,Sandstone,Loam,1.571,Critical,5,2022-06-12
64,11,126,SL00064,22.615301,90.779459,22.625301,90.789459,57.1,178,NW,739,928,Schist,Silt,2.244,Critical,13,2021-01-11
65,27,182,SL00065,25.413235,90.65512,25.423235,90.66512,19.1,1906,S,552,635,Phyllite,Loam,2.112,Unstable,5,2020-04-04
66,37,191,SL00066,26.930629,94.677688,26.940629,94.687688,40.5,4549,SW,1235,1327,Gneiss,Silt,1.109,Marginally Stable,13,2012-04-18
67,48,168,SL00067,26.942407,94.764725,26.952407,94.774725,65.0,812,NW,3984,4154,Schist,Loam,1.099,Unstable,13,2013-09-21
68,40,36,SL00068,28.17791,97.874118,28.18791,97.884118,55.3,4989,E,3173,3554,Gneiss,Sandy Loam,1.611,Unstable,8,2021-07-16
69,58,174,SL00069,27.388109,94.162353,27.398109,94.172353,52.5,2371,E,3671,3856,Schist,Loam,2.346,Unstable,7,2018-10-23
70,32,37,SL00070,25.473955,95.69653,25.483955,95.70653,35.7,862,W,4002,4579,Gneiss,Sandy Loam,0.743,Unstable,14,2020-12-12
71,21,149,SL00071,23.837284,99.530981,23.847284,99.540981,51.6,3034,NE,4055,4652,Sandstone,Loam,1.806,Critical,6,2021-02-04
72,18,83,SL00072,29.039506,98.567453,29.049506,98.577453,43.9,496,N,4275,4426,Gneiss,Silt,2.098,Stable,3,2013-07-18
73,29,117,SL00073,25.694306,99.121619,25.704306,99.131619,25.1,2572,E,1380,1710,Granite,Sandy Loam,2.276,Unstable,2,2018-05-05
74,43,167,SL00074,29.574415,97.557405,29.584415,97.567405,30.3,847,NE,2218,2269,Schist,Silt,1.416,Stable,4,2023-04-26
75,15,133,SL00075,27.05619,98.322672,27.06619,98.332672,49.8,3559,E,1287,1826,Granite,Loam,2.477,Critical,2,2012-04-19
76,7,81,SL00076,26.280037,92.083953,26.290037,92.093953,34.1,1270,NE,1390,1983,Limestone,Clay,1.819,Marginally Stable,14,2017-11-16
77,47,55,SL00077,29.704848,99.015124,29.714848,99.025124,35.6,810,NE,3924,4117,Granite,Rock,2.234,Critical,11,2019-08-19
78,21,36,SL00078,23.984472,99.453272,23.994472,99.463272,27.4,319,S,2634,2894,Limestone,Rock,2.08,Marginally Stable,12,2016-08-18
79,42,14,SL00079,22.196281,97.397167,22.206281,97.407167,27.0,4192,NE,3461,4051,Granite,Sandy Loam,0.814,Unstable,4,2018-09-04
80,56,146,SL00080,29.383818,97.580514,29.393818,97.590514,23.6,697,N,4158,4277,Granite,Sandy Loam,2.413,Marginally Stable,1,2011-05-11
81,61,102,SL00081,26.711466,90.149042,26.721466,90.159042,40.1,3395,NE,3703,4302,Limestone,Rock,1.405,Marginally Stable,8,2011-11-16
82,20,21,SL00082,23.307983,93.374618,23.317983,93.384618,55.4,4904,NE,4694,5061,Gneiss,Silt,1.221,Marginally Stable,1,2015-06-26
83,6,112,SL00083,26.259592,97.227578,26.269592,97.237578,17.8,1224,N,1738,1955,Sandstone,Sandy Loam,0.827,Unstable,5,2018-05-05
84,9,192,SL00084,27.753774,93.263759,27.763774,93.273759,59.3,3617,S,540,1126,Granite,Sandy Loam,1.237,Stable,15,2020-03-17
85,33,93,SL00085,23.487863,100.191016,23.497863,100.201016,23.3,942,NE,1588,1871,Gneiss,Rock,1.085,Stable,1,2010-04-11
86,16,12,SL00086,23.521359,90.625388,23.531359,90.635388,22.5,3535,SE,589,968,Schist,Silt,1.65,Unstable,8,2011-10-01
87,37,96,SL00087,26.538741,94.784495,26.548741,94.794495,17.6,476,W,2128,2248,Sandstone,Sandy Loam,2.128,Unstable,10,2011-12-09
88,36,117,SL00088,25.082082,90.455703,25.092082,90.465703,43.2,2087,NW,2789,3216,Limestone,Silt,2.005,Marginally Stable,7,2013-05-18
89,1,105,SL00089,26.829746,90.275027,26.839746,90.285027,46.8,111,W,378,742,Granite,Loam,2.407,Marginally Stable,13,2021-01-13
90,62,16,SL00090,27.332336,92.074824,27.342336,92.084824,29.0,4357,W,659,1090,Sandstone,Clay,2.35,Stable,4,2024-04-17
91,53,101,SL00091,27.871598,91.324592,27.881598,91.334592,36.7,2238,SW,1370,1822,Gneiss,Sandy Loam,1.05,Unstable,14,2016-02-06
92,15,20,SL00092,27.214333,98.398767,27.224333,98.408767,53.5,1446,NW,1192,1719,Phyllite,Silt,0.895,Stable,11,2014-08-28
93,29,79,SL00093,25.971908,99.058289,25.981908,99.068289,19.5,430,SE,2792,3177,Schist,Clay,2.17,Marginally Stable,11,2018-11-21
94,33,13,SL00094,23.86091,99.8315,23.87091,99.8415,64.5,3804,SE,554,700,Sandstone,Clay,2.409,Marginally Stable,3,2010-04-08
95,4,200,SL00095,27.01344,90.096229,27.02344,90.106229,56.2,788,S,3349,3475,Granite,Clay,1.904,Marginally Stable,14,2012-11-21
96,6,85,SL00096,26.263517,97.425568,26.273517,97.435568,17.5,3335,NW,3848,3928,Sandstone,Silt,2.161,Marginally Stable,11,2014-10-25
97,59,48,SL00097,25.476889,92.446707,25.486889,92.456707,22.4,4186,W,2313,2853,Granite,Clay,1.83,Unstable,12,2013-01-29
98,27,52,SL00098,25.294892,90.840219,25.304892,90.850219,27.5,3233,SW,4753,5294,Limestone,Silt,2.11,Unstable,10,2018-09-17
99,18,47,SL00099,28.558138,98.72307,28.568138,98.73307,16.5,3964,SW,2601,2889,Schist,Clay,0.711,Marginally Stable,7,2015-12-24
100,35,189,SL00100,22.956245,91.897635,22.966245,91.907635,26.0,1523,E,3481,3773,Limestone,Sandy Loam,1.274,Unstable,0,2017-11-20
101,61,146,SL00101,26.745664,90.109765,26.755664,90.119765,24.4,1538,NW,4332,4420,Granite,Clay,1.63,Marginally Stable,7,2010-06-13
102,34,123,SL00102,25.64851,97.808538,25.65851,97.818538,25.1,1553,SW,1368,1478,Granite,Loam,1.247,Marginally Stable,3,2021-10-21
103,56,94,SL00103,29.707635,97.476854,29.717635,97.486854,62.1,2857,S,3540,3920,Schist,Loam,1.713,Critical,15,2024-07-24
104,21,45,SL00104,24.26011,99.403686,24.27011,99.413686,59.5,4924,E,3223,3660,Phyllite,Sandy Loam,1.024,Marginally Stable,5,2010-01-15
105,61,180,SL00105,26.976719,90.006861,26.986719,90.016861,64.7,2706,SE,565,721,Sandstone,Loam,0.946,Unstable,2,2015-05-04
106,23,82,SL00106,27.633732,91.865192,27.643732,91.875192,19.4,2272,SE,3050,3355,Gneiss,Clay,1.449,Unstable,8,2012-06-04
107,47,1,SL00107,29.356888,99.187232,29.366888,99.197232,36.0,4139,W,1662,2071,Limestone,Silt,2.281,Stable,15,2022-12-19
108,42,195,SL00108,22.138296,97.018494,22.148296,97.028494,18.7,2710,S,573,730,Granite,Sandy Loam,1.16,Marginally Stable,12,2013-08-11
109,47,20,SL00109,29.656228,99.463175,29.666228,99.473175,19.7,3633,E,4254,4748,Schist,Clay,1.939,Stable,10,2014-08-11
110,13,105,SL00110,26.408118,99.864423,26.418118,99.874423,51.5,2536,SE,2473,2621,Granite,Silt,1.855,Critical,4,2011-03-23
111,24,1,SL00111,24.116164,99.13063,24.126164,99.14063,48.1,310,SE,4234,4458,Gneiss,Sandy Loam,0.979,Stable,15,2012-08-04
112,20,102,SL00112,23.283767,93.789626,23.293767,93.799626,28.3,3139,W,4757,5185,Schist,Silt,1.336,Stable,8,2019-11-12
113,30,68,SL00113,25.506545,92.509937,25.516545,92.519937,18.1,2916,W,1092,1374,Limestone,Clay,0.763,Critical,13,2022-01-04
114,44,122,SL00114,29.344629,98.546585,29.354629,98.556585,29.9,384,E,3534,3707,Sandstone,Loam,2.315,Marginally Stable,6,2014-04-28
115,9,11,SL00115,27.539125,93.695468,27.549125,93.705468,36.8,2212,SW,1511,1629,Granite,Silt,2.185,Critical,10,2016-03-12
116,34,118,SL00116,26.198397,97.265218,26.208397,97.275218,50.0,1021,W,4580,4783,Schist,Rock,2.085,Stable,3,2022-08-15
117,50,26,SL00117,24.087047,92.629185,24.097047,92.639185,59.0,4077,NW,3666,3754,Schist,Sandy Loam,1.102,Critical,4,2023-11-13
118,39,175,SL00118,27.558497,90.86877,27.568497,90.87877,59.5,503,NW,3015,3340,Phyllite,Clay,1.912,Unstable,9,2016-12-22
119,18,126,SL00119,29.057441,98.775711,29.067441,98.785711,63.6,3729,SW,2167,2492,Gneiss,Silt,0.855,Stable,6,2019-11-28
120,14,105,SL00120,22.774967,93.087496,22.784967,93.097496,58.4,1402,NE,760,1128,Gneiss,Rock,1.579,Critical,4,2021-10-04
121,57,146,SL00121,23.326569,92.932858,23.336569,92.942858,56.6,3839,N,772,1191,Gneiss,Loam,1.074,Unstable,11,2020-05-30
122,33,102,SL00122,23.835846,99.749724,23.845846,99.759724,16.5,3754,E,3351,3886,Limestone,Rock,1.529,Unstable,11,2013-09-01
123,54,67,SL00123,29.724177,91.76461,29.734177,91.77461,29.3,4787,SE,3466,3742,Gneiss,Loam,0.694,Marginally Stable,8,2024-08-12
124,27,132,SL00124,24.921331,90.830082,24.931331,90.840082,53.4,1183,E,372,430,Schist,Sandy Loam,1.501,Unstable,8,2019-07-04
125,58,97,SL00125,27.409952,94.356399,27.419952,94.366399,25.9,3353,NE,2775,2832,Limestone,Sandy Loam,1.887,Unstable,9,2012-06-04
126,31,17,SL00126,27.86167,95.25569,27.87167,95.26569,31.3,2547,SE,2568,2771,Limestone,Loam,1.096,Stable,12,2024-10-25
127,21,175,SL00127,23.919758,99.081773,23.929758,99.091773,39.9,3528,W,2721,3168,Gneiss,Clay,1.093,Marginally Stable,10,2014-12-27
128,44,137,SL00128,29.383988,98.690641,29.393988,98.700641,62.0,1492,E,3236,3586,Granite,Silt,1.564,Marginally Stable,8,2022-07-16
129,49,47,SL00129,29.700954,99.026955,29.710954,99.036955,47.7,2615,W,2120,2509,Phyllite,Sandy Loam,1.275,Unstable,14,2012-08-22
130,31,14,SL00130,28.179736,95.439945,28.189736,95.449945,62.2,1693,NE,883,1323,Limestone,Sandy Loam,1.497,Critical,1,2013-05-20
131,9,52,SL00131,27.490702,93.694815,27.500702,93.704815,59.6,1577,NE,4048,4597,Phyllite,Loam,0.872,Unstable,1,2010-02-08
132,29,71,SL00132,25.819529,99.010925,25.829529,99.020925,43.8,821,E,1597,2091,Gneiss,Silt,1.53,Critical,13,2020-09-15
133,25,2,SL00133,26.178235,96.665749,26.188235,96.675749,33.7,4450,SE,415,483,Gneiss,Clay,2.295,Marginally Stable,7,2017-09-21
134,20,34,SL00134,23.062825,93.554702,23.072825,93.564702,30.3,2542,S,834,1350,Gneiss,Rock,2.165,Unstable,13,2013-01-01
135,22,126,SL00135,22.486751,96.162856,22.496751,96.172856,62.4,1937,E,3604,3870,Gneiss,Clay,0.636,Marginally Stable,3,2018-03-23
136,46,167,SL00136,23.397976,97.550215,23.407976,97.560215,47.0,4965,N,4680,4840,Gneiss,Clay,1.784,Stable,3,2019-05-08
137,29,98,SL00137,25.768057,98.698443,25.778057,98.708443,50.1,176,S,1983,2463,Gneiss,Clay,1.921,Unstable,4,2019-05-25
138,54,27,SL00138,29.581751,91.721919,29.591751,91.731919,29.1,1736,S,1170,1755,Schist,Sandy Loam,1.546,Critical,9,2013-08-06
139,3,141,SL00139,27.411413,98.746416,27.421413,98.756416,61.7,204,NE,3008,3171,Limestone,Silt,1.046,Marginally Stable,2,2021-06-23
140,5,186,SL00140,23.883246,95.296468,23.893246,95.306468,47.2,2525,S,4041,4566,Granite,Clay,2.478,Marginally Stable,1,2016-07-08
141,24,174,SL00141,24.047224,99.397024,24.057224,99.407024,19.7,1233,E,675,1061,Phyllite,Silt,0.618,Unstable,2,2018-05-11
142,53,88,SL00142,27.936422,91.224367,27.946422,91.234367,63.1,4017,W,2526,2746,Granite,Loam,2.188,Stable,5,2012-04-29
143,27,152,SL00143,25.198905,90.703266,25.208905,90.713266,36.9,336,E,3410,3954,Sandstone,Clay,2.08,Critical,14,2011-01-12
144,5,67,SL00144,23.842084,94.761016,23.852084,94.771016,58.4,4823,SE,4599,4995,Limestone,Rock,2.058,Stable,13,2024-11-03
145,47,64,SL00145,29.617158,99.322526,29.627158,99.332526,47.1,4673,N,1517,1578,Gneiss,Loam,2.194,Critical,15,2013-09-16
146,5,193,SL00146,23.744089,94.898135,23.754089,94.908135,63.5,4609,W,712,1174,Schist,Clay,1.563,Critical,14,2022-11-08
147,29,23,SL00147,26.207854,98.815041,26.217854,98.825041,20.9,245,NE,4374,4837,Sandstone,Clay,2.016,Stable,2,2023-07-21
148,62,159,SL00148,27.131323,92.523467,27.141323,92.533467,43.1,3076,N,4037,4315,Sandstone,Sandy Loam,2.406,Critical,11,2020-02-25
149,8,25,SL00149,24.381092,98.526048,24.391092,98.536048,32.1,3162,NE,2691,2787,Schist,Silt,1.641,Marginally Stable,13,2012-05-26
150,17,157,SL00150,23.640753,92.666347,23.650753,92.676347,57.6,1661,SW,2066,2226,Sandstone,Clay,1.468,Stable,14,2020-04-04
151,43,151,SL00151,30.048814,97.400382,30.058814,97.410382,39.9,4632,W,4644,5188,Limestone,Loam,1.999,Marginally Stable,4,2012-04-28
152,25,169,SL00152,26.515928,97.075718,26.525928,97.085718,40.2,2133,S,3451,3908,Phyllite,Sandy Loam,1.395,Critical,4,2013-02-05
153,27,155,SL00153,25.329309,90.810956,25.339309,90.820956,29.9,4634,SE,4787,5042,Schist,Rock,2.235,Unstable,11,2012-12-22
154,46,167,SL00154,23.507808,97.431788,23.517808,97.441788,42.1,2985,NW,2940,3417,Gneiss,Rock,1.95,Unstable,13,2010-04-15
155,34,28,SL00155,25.663263,97.344996,25.673263,97.354996,48.5,1418,S,1937,2243,Schist,Clay,1.107,Unstable,6,2022-02-20
156,3,92,SL00156,27.602016,98.683288,27.612016,98.693288,58.4,4697,W,2137,2430,Limestone,Sandy Loam,2.011,Stable,12,2018-09-10
157,27,176,SL00157,25.096892,90.693175,25.106892,90.703175,15.6,3729,SE,2358,2784,Limestone,Rock,0.986,Marginally Stable,6,2016-08-06
158,29,46,SL00158,26.283972,98.591481,26.293972,98.601481,63.1,432,W,4509,4844,Limestone,Sandy Loam,0.827,Marginally Stable,5,2023-02-06
159,55,66,SL00159,28.682887,94.211199,28.692887,94.221199,61.9,2742,N,627,985,Sandstone,Rock,0.892,Unstable,2,2017-02-16
160,34,57,SL00160,26.222293,97.570164,26.232293,97.580164,54.3,4499,W,1605,1749,Phyllite,Loam,1.39,Marginally Stable,10,2017-06-05
161,24,76,SL00161,23.990667,99.405493,24.000667,99.415493,41.5,2934,NW,372,668,Gneiss,Rock,0.818,Marginally Stable,1,2017-03-14
162,25,30,SL00162,26.387126,96.870242,26.397126,96.880242,29.1,3171,NW,4534,5082,Granite,Sandy Loam,2.162,Marginally Stable,10,2021-07-11
163,6,25,SL00163,26.290437,97.433966,26.300437,97.443966,41.9,1826,SE,360,844,Granite,Loam,1.791,Critical,2,2013-06-13
164,2,118,SL00164,24.089221,91.118132,24.099221,91.128132,18.7,4671,NE,1758,2041,Phyllite,Silt,2.109,Critical,14,2024-02-19
165,26,111,SL00165,23.722243,90.254701,23.732243,90.264701,20.9,618,N,348,472,Phyllite,Rock,1.819,Stable,9,2016-10-04
166,39,23,SL00166,27.31121,91.401515,27.32121,91.411515,34.1,4470,SE,552,741,Gneiss,Silt,1.501,Unstable,4,2016-09-07
167,44,187,SL00167,29.389764,98.979635,29.399764,98.989635,15.6,141,W,1458,2058,Limestone,Clay,0.834,Unstable,6,2017-09-17
168,14,106,SL00168,22.873777,93.142675,22.883777,93.152675,22.1,2170,SE,1807,1974,Schist,Rock,1.019,Stable,14,2024-06-17
169,36,19,SL00169,25.251692,90.375718,25.261692,90.385718,19.9,3025,E,4291,4581,Granite,Sandy Loam,2.408,Stable,6,2017-02-16
170,32,116,SL00170,25.324508,95.930953,25.334508,95.940953,49.7,3085,SW,1548,2036,Schist,Clay,1.675,Unstable,7,2014-12-20
171,46,190,SL00171,23.307203,97.491108,23.317203,97.501108,33.0,3891,NW,3016,3433,Phyllite,Silt,2.268,Stable,5,2024-06-24
172,39,21,SL00172,27.647376,91.360728,27.657376,91.370728,22.0,726,NE,4712,4781,Limestone,Clay,0.973,Critical,6,2010-10-28
173,36,67,SL00173,25.403382,90.934537,25.413382,90.944537,38.6,1929,S,1517,1704,Sandstone,Rock,1.295,Stable,12,2018-02-28
174,33,3,SL00174,23.852207,100.184189,23.862207,100.194189,55.3,1249,NW,1658,1871,Schist,Rock,2.039,Marginally Stable,15,2018-01-18
175,3,57,SL00175,27.570483,98.76085,27.580483,98.77085,28.2,1793,SW,2217,2664,Sandstone,Silt,0.681,Stable,1,2024-07-18
176,21,27,SL00176,24.258042,99.379324,24.268042,99.389324,56.5,4770,E,2457,2892,Gneiss,Silt,1.699,Unstable,2,2021-08-03
177,17,97,SL00177,24.106804,92.72764,24.116804,92.73764,35.3,4049,N,3126,3689,Schist,Silt,1.525,Marginally Stable,7,2011-09-24
178,33,165,SL00178,23.623086,99.765544,23.633086,99.775544,22.9,3496,SW,1269,1435,Sandstone,Silt,1.856,Critical,6,2023-04-02
179,11,166,SL00179,22.942019,90.680668,22.952019,90.690668,17.2,4299,N,1619,1819,Granite,Loam,0.856,Unstable,5,2021-08-03
180,62,104,SL00180,27.108415,92.327563,27.118415,92.337563,15.9,1874,NW,2622,3154,Sandstone,Loam,2.4,Marginally Stable,13,2023-06-24
181,10,150,SL00181,23.914772,97.44403,23.924772,97.45403,48.0,2907,NW,2466,2586,Schist,Silt,0.919,Critical,4,2012-06-08
182,2,52,SL00182,23.972727,91.641004,23.982727,91.651004,49.2,1553,NW,1525,1614,Limestone,Rock,1.75,Stable,2,2020-10-25
183,43,34,SL00183,30.016291,97.643172,30.026291,97.653172,15.1,3134,N,3834,4426,Sandstone,Loam,1.592,Critical,12,2017-11-11
184,38,190,SL00184,30.013315,98.810114,30.023315,98.820114,43.8,4008,SE,3785,3920,Phyllite,Rock,0.854,Critical,8,2014-03-29
