change_id,image_before_id,image_after_id,state_id,district_id,lat,lon,area_changed_sqkm,change_type,confidence_score,detection_datetime,ndvi_change,ndwi_change,backscatter_change_db,landslide_indicator,validation_status
18,240,2897,23,3,27.92286,91.34018,3.447,Vegetation Loss,0.767,2019-05-20 23:04:28,0.2537,0.0641,0.1209,1,Validated
19,1655,748,61,8,26.96822,90.01003,6.039,Vegetation Loss,0.89,2023-02-24 07:31:57,-0.8466,0.6317,0.0175,1,Unvalidated
20,788,1168,45,5,28.89655,94.92935,9.714,No Change,0.586,2020-05-22 07:38:29,-0.2722,0.1656,0.43,0,False Positive
21,2532,1029,2,1,23.49972,91.60469,5.975,Debris Flow,0.641,2019-01-02 19:51:17,0.6974,-0.7592,0.4557,1,Validated
22,2542,2737,30,3,25.30742,92.51874,6.571,Landslide,0.998,2022-06-13 02:05:12,-0.4789,-0.8299,0.181,1,Unvalidated
23,2488,406,49,6,29.13174,98.57225,0.671,Erosion,0.803,2018-10-17 05:49:04,-0.2581,-0.5439,0.1171,1,Unvalidated
24,679,1656,39,4,27.67644,91.00484,6.236,Erosion,0.779,2019-11-27 00:58:56,0.7107,-0.7575,0.4834,1,Validated
25,1289,575,60,8,24.72716,95.55743,1.19,Landslide,0.973,2018-08-29 16:47:26,-0.3214,0.5695,0.4969,1,Unvalidated
26,1720,467,46,5,23.38215,97.96899,6.143,Flooding,0.683,2022-03-06 05:31:05,-0.1012,0.7448,0.4196,1,Validated
27,2511,2536,32,3,25.13832,95.64447,5.068,Landslide,0.764,2021-04-06 22:48:02,0.5684,-0.3583,0.0905,1,Unvalidated
28,1924,2521,34,4,26.04151,97.72487,9.886,No Change,0.931,2018-08-11 15:55:27,0.7112,0.4653,0.4662,0,Validated
29,1656,2109,44,5,28.83455,98.74797,9.993,Landslide,0.821,2021-12-28 22:23:10,0.3604,0.7099,0.3728,1,Unvalidated
30,1037,1666,1,1,26.79858,90.43439,6.555,No Change,0.662,2019-01-19 18:23:10,-0.7374,0.6595,0.2188,0,False Positive
31,2655,293,19,2,24.45783,95.91414,4.917,Construction,0.822,2022-07-02 20:17:52,-0.6234,0.9128,0.1515,1,False Positive
32,637,2252,23,3,27.52787,91.22527,5.297,Vegetation Loss,0.734,2024-04-21 00:51:55,-0.8087,-0.1823,0.3677,1,False Positive
33,408,721,16,2,23.20367,90.57541,8.82,Debris Flow,0.919,2023-07-23 18:31:11,0.1644,-0.3125,0.0852,1,False Positive
34,2879,2031,35,4,22.7361,91.85242,5.025,Debris Flow,0.591,2020-09-17 09:57:56,0.0057,-0.6069,0.4411,1,Unvalidated
35,1907,1011,53,6,28.28067,91.31668,6.413,No Change,0.999,2021-02-03 14:14:55,-0.3275,-0.1103,0.417,0,Validated
36,2674,717,48,6,26.67635,94.95927,5.479,Landslide,0.98,2024-10-27 00:25:37,-0.1174,-0.6664,0.4815,1,Validated
37,2812,23,58,7,27.38466,94.44334,3.868,Vegetation Loss,0.928,2018-10-09 23:30:50,0.4662,0.2519,0.0592,1,False Positive
38,293,2587,2,1,23.75183,91.70976,0.724,Vegetation Loss,0.683,2019-07-22 05:38:20,0.3668,-0.7124,0.374,1,False Positive
39,1975,1891,30,3,25.21725,92.31405,0.505,Vegetation Loss,0.778,2019-01-22 01:49:27,0.5521,0.6835,0.0229,1,False Positive
40,2877,1233,17,2,23.92103,92.40208,8.754,Debris Flow,0.719,2019-02-11 12:24:58,-0.7126,0.609,0.3516,1,False Positive
41,2041,1284,48,6,27.27425,94.52766,2.463,Construction,0.859,2019-09-02 03:29:29,-0.0999,0.3546,0.3774,1,False Positive
42,2895,1103,61,8,26.39539,90.2341,5.901,Construction,0.843,2022-09-24 21:39:59,0.5969,-0.164,0.4447,1,Unvalidated
43,2752,2249,45,5,28.38057,95.09371,8.471,Construction,0.733,2018-08-06 20:05:44,-0.6777,0.3847,0.1213,1,False Positive
44,2747,1092,41,5,22.61528,94.1778,2.346,Flooding,0.683,2022-10-26 09:34:24,0.9173,0.6586,0.4463,1,False Positive
45,816,1840,55,7,29.17252,94.07154,0.317,Erosion,0.757,2021-12-31 02:59:05,0.947,-0.9717,0.4433,1,Validated
46,1736,1123,22,2,22.20465,95.93017,7.288,Debris Flow,0.593,2020-03-29 15:39:46,0.2316,-0.5266,0.3622,1,False Positive
47,338,1705,4,1,27.02693,90.57141,4.524,Vegetation Loss,0.796,2024-04-29 22:19:03,0.8121,0.9617,0.4732,1,False Positive
48,2348,2899,44,5,29.65827,98.96975,7.216,Debris Flow,0.884,2021-08-22 08:02:41,-0.4165,0.2976,0.2123,1,Validated
49,190,317,38,4,29.74006,98.9877,4.895,Debris Flow,0.622,2020-07-27 08:05:14,0.1112,-0.2876,0.2325,1,Validated
50,1368,469,60,8,24.84552,96.36911,8.026,Vegetation Loss,0.626,2022-05-19 07:04:22,0.2886,-0.4415,0.1764,1,False Positive
51,2797,548,36,4,25.53633,91.01235,0.478,Erosion,0.589,2020-09-25 22:48:24,-0.5451,-0.9412,0.0354,1,Validated
52,2376,693,9,1,27.29261,93.14671,3.511,Construction,0.717,2022-01-17 15:17:04,0.4814,0.9901,0.0182,1,False Positive
53,1687,625,5,1,24.09128,95.04468,9.19,Debris Flow,0.608,2023-01-26 07:25:59,0.4876,-0.1719,0.371,1,Unvalidated
54,2733,873,12,1,27.07697,98.16315,4.269,Debris Flow,0.937,2023-01-10 23:05:43,0.7463,-0.8617,0.2264,1,Validated
55,208,2949,5,1,23.31328,95.34892,8.52,Landslide,0.989,2020-09-04 17:59:28,0.9161,0.5225,0.4234,1,False Positive
56,178,549,38,4,30.22659,98.46802,8.921,Vegetation Loss,0.65,2022-10-10 07:58:44,-0.4424,-0.2713,0.1677,1,Unvalidated
57,1076,2171,26,3,23.67047,90.78475,5.483,Flooding,0.996,2018-07-02 13:19:13,-0.4702,0.209,0.0977,1,Validated
58,1935,2106,59,8,25.49587,92.49754,3.365,Vegetation Loss,0.965,2020-11-03 08:14:05,-0.3415,0.4804,0.3662,1,Unvalidated
59,1378,592,13,2,26.51488,99.71366,3.964,Debris Flow,0.797,2019-06-05 22:51:26,0.4937,-0.9088,0.2316,1,False Positive
60,1822,2957,5,1,23.48306,95.15607,8.294,Construction,0.759,2022-08-11 00:57:12,-0.4159,-0.4269,0.2932,1,Unvalidated
61,1433,2689,24,3,24.61108,99.40663,1.492,Landslide,0.668,2018-07-09 12:51:08,0.6862,-0.9829,0.1532,1,False Positive
62,520,853,36,4,25.63859,90.58553,9.607,Construction,0.729,2020-12-04 02:41:42,-0.6682,0.1256,0.066,1,Unvalidated
63,2179,1002,9,1,27.56539,93.60835,8.899,Flooding,0.857,2022-07-30 14:48:46,0.631,-0.2828,0.0941,1,False Positive
64,2041,206,48,6,27.27425,94.52766,0.843,Landslide,0.592,2020-05-25 04:43:28,-0.8686,0.0129,0.4621,1,Unvalidated
65,987,947,24,3,23.78072,98.8902,2.246,Landslide,0.502,2019-11-16 11:29:14,-0.8469,-0.4413,0.0226,1,False Positive
66,2144,1742,57,7,23.34767,93.48492,0.817,Vegetation Loss,0.964,2018-04-10 13:53:47,-0.6827,0.5573,0.2681,1,Validated
67,58,2371,39,4,27.15997,91.39911,3.364,Landslide,0.711,2018-03-22 12:26:12,-0.468,-0.0456,0.2305,1,False Positive
68,909,372,48,6,26.86387,95.2708,0.073,Landslide,0.994,2022-06-22 23:32:28,0.4953,-0.6061,0.3101,1,False Positive
69,2316,1982,5,1,23.70464,94.56484,7.537,Flooding,0.827,2019-12-31 13:57:16,0.0685,-0.8543,0.2161,1,Unvalidated
70,967,621,60,8,24.31275,96.25679,5.166,Vegetation Loss,0.765,2022-05-21 13:03:32,0.11,0.8898,0.345,1,Validated
71,516,416,4,1,26.35963,89.92804,8.707,Erosion,0.996,2018-11-03 16:42:18,0.0365,0.1405,0.3759,1,Unvalidated
72,2596,1749,40,5,27.96797,97.33147,0.114,Debris Flow,0.721,2019-09-22 09:30:00,0.5536,0.9551,0.4614,1,Validated
73,998,1714,33,4,23.27431,100.19092,5.762,Debris Flow,0.642,2022-10-05 23:15:00,-0.713,0.3904,0.0592,1,Unvalidated
74,1540,1302,24,3,23.77615,98.9949,2.384,Vegetation Loss,0.656,2021-10-24 21:12:49,-0.085,-0.8194,0.4944,1,Unvalidated
75,1485,1045,25,3,26.75617,96.68986,7.355,Construction,0.664,2018-02-22 15:29:02,0.1891,0.4379,0.1822,1,Unvalidated
76,2931,435,39,4,27.20212,91.12217,0.448,Construction,0.794,2022-03-12 03:04:13,-0.3097,0.485,0.2581,1,Unvalidated
77,604,1395,15,2,26.86698,98.16011,8.77,Flooding,0.716,2024-08-25 06:30:31,-0.518,-0.1405,0.088,1,Unvalidated
78,2344,1618,19,2,24.02537,96.77277,5.861,Landslide,0.609,2024-07-09 06:47:50,0.9109,-0.2852,0.1079,1,Validated
79,1528,530,35,4,23.34934,91.17666,4.499,Vegetation Loss,0.836,2024-03-01 03:21:21,0.7767,-0.4808,0.2626,1,False Positive
80,364,1007,19,2,24.26338,96.26391,8.224,Construction,0.562,2024-08-01 13:03:13,0.6369,-0.2162,0.4936,1,Unvalidated
81,612,2058,57,7,23.35797,92.69443,7.133,Vegetation Loss,0.57,2023-01-06 13:51:22,-0.8843,-0.774,0.1708,1,False Positive
82,1291,1160,29,3,26.38104,98.88665,7.111,Vegetation Loss,0.864,2022-09-05 20:43:54,-0.3312,-0.151,0.3641,1,False Positive
83,2137,2083,10,1,23.43209,98.05816,0.904,Construction,0.966,2022-07-11 14:47:22,-0.2045,-0.4113,0.4084,1,False Positive
84,2616,905,39,4,27.89203,91.43846,6.9,Vegetation Loss,0.824,2021-07-28 01:08:39,-0.2626,0.1398,0.4667,1,Validated
85,2417,1723,18,2,28.45422,98.25021,4.63,No Change,0.604,2021-05-29 11:40:50,-0.5253,0.8249,0.1784,0,Unvalidated
86,1651,953,56,7,29.79654,97.44244,8.164,Flooding,0.645,2023-12-07 01:39:36,0.8314,0.2901,0.0704,1,Unvalidated
87,2906,289,20,2,23.54978,93.12259,0.482,Construction,0.978,2020-07-14 12:50:05,0.9209,0.3764,0.1303,1,Unvalidated
88,1291,1813,29,3,26.38104,98.88665,2.981,No Change,0.623,2022-12-21 05:32:30,-0.5714,-0.3054,0.206,0,Validated
89,1329,1851,40,5,27.6021,98.0893,0.877,Erosion,0.833,2023-02-08 17:41:54,-0.6577,0.843,0.0689,1,Unvalidated
90,145,1390,28,3,28.51848,93.56893,0.808,Flooding,0.988,2020-03-27 07:20:49,0.5081,0.1247,0.2548,1,Unvalidated
91,1254,2411,60,8,24.56472,96.11865,6.336,Vegetation Loss,0.802,2024-03-17 14:05:15,-0.5242,-0.5897,0.1596,1,Validated
92,2264,1979,8,1,24.19822,98.52776,2.098,Debris Flow,0.902,2018-08-06 05:26:55,-0.6244,0.3453,0.4262,1,Validated
93,2228,260,5,1,23.56754,94.66541,3.529,Erosion,0.827,2019-04-15 12:02:20,0.4946,0.948,0.1304,1,False Positive
94,586,1657,29,3,26.38971,98.68424,9.424,Landslide,0.872,2021-01-19 22:55:59,-0.0583,-0.4732,0.1967,1,Validated
95,433,2282,15,2,27.27495,98.80234,9.526,Landslide,0.927,2019-09-18 23:19:40,-0.2362,0.1797,0.3181,1,False Positive
96,536,112,24,3,23.7979,99.68578,6.199,Vegetation Loss,0.563,2018-09-25 01:27:43,0.9988,0.2089,0.4083,1,False Positive
97,887,36,33,4,23.65494,100.35805,1.564,Vegetation Loss,0.856,2021-04-30 23:52:26,0.2727,0.6065,0.0786,1,False Positive
98,1901,1355,28,3,29.4055,93.14702,6.694,Debris Flow,0.99,2024-09-22 07:52:17,0.6987,0.1655,0.1865,1,Validated
99,228,2028,56,7,29.73257,97.38808,2.558,Debris Flow,0.968,2018-04-20 13:57:48,-0.4724,-0.2148,0.3183,1,Unvalidated
100,672,227,16,2,23.29903,90.74334,0.265,Construction,0.708,2020-08-28 00:04:08,0.3497,-0.3788,0.4198,1,Validated
101,560,2145,62,8,26.73426,92.41385,3.801,Construction,0.848,2018-03-10 17:43:27,-0.4669,0.2194,0.3851,1,Validated
102,2597,294,55,7,28.69311,94.4558,9.051,Flooding,0.757,2024-04-25 10:23:59,0.9512,0.4175,0.0719,1,Validated
103,959,993,31,3,27.64635,95.57795,4.908,Vegetation Loss,0.75,2021-09-29 06:19:08,-0.851,-0.2452,0.3272,1,Unvalidated
104,1442,2117,62,8,27.12541,92.17541,4.334,Flooding,0.742,2019-03-03 08:41:53,-0.8207,0.3747,0.4051,1,Unvalidated
105,1937,2876,10,1,23.61714,97.66085,9.343,Debris Flow,0.766,2018-12-27 07:39:04,0.6422,-0.4728,0.0485,1,False Positive
106,1904,1748,32,3,25.69514,95.5354,5.888,Landslide,0.524,2023-03-19 21:30:24,0.8619,-0.0785,0.0259,1,Unvalidated
107,1209,2415,16,2,23.9036,91.16128,0.537,Flooding,0.58,2020-05-31 23:24:04,0.0768,0.8978,0.046,1,False Positive
108,1737,2393,21,2,24.1569,99.80997,2.454,No Change,0.536,2018-12-16 22:31:43,0.6963,0.0606,0.3021,0,Validated
109,2756,1060,47,6,29.65748,98.92047,2.503,No Change,0.986,2018-01-14 07:24:50,-0.9353,-0.5199,0.1382,0,Unvalidated
110,2303,1136,8,1,24.46786,98.41066,9.934,No Change,0.881,2022-01-29 09:43:57,0.0356,0.5446,0.352,0,Validated
111,780,507,24,3,23.84981,99.00323,3.848,Debris Flow,0.53,2022-04-12 05:33:10,0.3375,-0.2774,0.0527,1,False Positive
112,1519,223,31,3,27.77353,94.90972,7.167,Erosion,0.658,2019-08-21 05:45:41,0.3148,-0.0788,0.3137,1,Validated
113,2398,814,6,1,26.12063,97.14503,4.555,Construction,0.833,2022-08-05 20:14:36,-0.3206,0.0858,0.4388,1,False Positive
114,1242,2053,4,1,26.5705,90.51974,6.401,No Change,0.566,2019-12-07 19:56:38,0.7306,-0.8654,0.405,0,Unvalidated
115,2169,343,18,2,28.79813,98.72453,5.17,Flooding,0.938,2022-08-27 22:12:16,-0.3654,0.4523,0.1224,1,Unvalidated
116,207,1087,25,3,26.41248,96.79673,4.801,Vegetation Loss,0.967,2019-11-10 11:48:15,-0.2078,-0.1095,0.3551,1,Validated
117,2828,788,36,4,25.43463,90.65514,0.815,Flooding,0.603,2022-09-13 10:33:20,0.5682,0.7633,0.2938,1,Unvalidated
118,1638,993,62,8,27.52571,92.22644,8.093,No Change,0.611,2021-01-17 03:04:31,0.7924,0.5956,0.1299,0,Unvalidated
119,472,1310,21,2,24.60324,99.12116,5.329,Erosion,0.973,2022-11-25 09:27:59,0.6114,-0.6841,0.4143,1,Validated
120,2410,820,47,6,29.15314,99.24344,0.832,Debris Flow,0.583,2018-11-24 17:05:14,-0.9863,-0.5042,0.1022,1,Validated
121,1337,1729,31,3,27.71899,95.53684,3.265,Erosion,0.556,2022-04-06 09:37:12,0.8918,0.8919,0.3013,1,False Positive
122,2294,2908,21,2,24.21394,99.69634,9.698,Construction,0.974,2018-07-01 16:52:25,-0.8135,0.7002,0.1365,1,Validated
123,2875,150,22,2,22.46224,96.82171,6.723,Construction,0.658,2023-03-05 10:17:04,0.6501,0.1087,0.4596,1,Unvalidated
124,2357,1596,49,6,29.50731,98.56644,7.528,Flooding,0.739,2024-02-16 20:00:45,0.5693,-0.5829,0.2345,1,Validated
125,2468,491,24,3,23.97355,99.42002,7.006,Landslide,0.632,2023-06-16 14:10:04,-0.8058,0.5621,0.1435,1,False Positive
126,2444,198,13,2,25.84291,99.85898,4.362,Erosion,0.809,2018-12-15 23:33:51,-0.3186,0.5982,0.1873,1,Validated
127,532,2260,21,2,24.04921,99.8343,5.083,Construction,0.874,2020-02-26 11:07:42,0.3195,-0.0865,0.2995,1,Unvalidated
128,727,2802,28,3,28.95921,93.27042,6.766,No Change,0.537,2023-09-30 20:53:12,0.0873,-0.2397,0.3903,0,Unvalidated
129,1486,1335,58,7,26.97055,94.36196,1.972,Landslide,0.928,2018-10-25 11:45:01,-0.4304,0.339,0.3999,1,False Positive
130,1130,1041,27,3,24.92094,90.19313,4.987,No Change,0.981,2022-01-03 01:42:09,-0.4167,0.3228,0.2635,0,Validated
131,2159,1814,30,3,25.21069,92.80645,0.623,No Change,0.855,2024-07-12 16:22:31,0.0776,0.9564,0.2237,0,Validated
132,1535,80,29,3,25.65554,98.65482,5.459,Construction,0.523,2023-09-26 02:57:14,-0.5183,-0.7225,0.2782,1,Unvalidated
133,2435,2450,25,3,26.49142,97.17334,0.186,Erosion,0.994,2024-05-05 05:53:24,0.5803,-0.146,0.4873,1,Validated
134,1874,308,21,2,23.91213,99.45019,1.49,No Change,0.575,2024-01-11 14:39:42,0.9247,-0.8094,0.0741,0,False Positive
135,555,139,43,5,29.97932,97.16143,8.335,Construction,0.594,2018-09-05 06:29:53,0.3084,0.3735,0.3258,1,Unvalidated
136,2221,1698,26,3,23.72349,90.62996,5.757,Landslide,0.525,2022-10-22 13:46:02,0.3458,0.7982,0.3536,1,False Positive
137,1424,2686,38,4,30.16992,99.03338,2.58,Flooding,0.584,2018-11-03 21:18:37,0.5784,-0.2765,0.1411,1,False Positive
138,2816,231,59,8,25.79939,92.54538,9.355,Construction,0.972,2024-08-09 18:25:35,0.1316,-0.1269,0.1642,1,Validated
139,1997,333,42,5,21.80343,97.11362,1.318,Flooding,0.668,2018-01-06 19:13:14,-0.2725,0.2231,0.0258,1,Validated
140,429,1402,40,5,28.46492,97.39698,7.559,Flooding,0.848,2020-04-20 12:27:58,0.9116,-0.9741,0.012,1,Unvalidated
141,2016,1999,51,6,29.10351,91.3181,9.008,Landslide,0.681,2020-05-22 03:13:14,0.58,0.931,0.2582,1,False Positive
142,1987,2029,19,2,24.15989,96.10856,8.42,No Change,0.815,2023-05-24 11:09:15,0.7401,0.7045,0.0176,0,Validated
143,1011,2937,28,3,29.06114,92.90405,7.454,Vegetation Loss,0.504,2023-02-22 03:16:34,0.9951,0.1012,0.3144,1,False Positive
144,1792,474,61,8,26.33031,90.12708,6.646,Vegetation Loss,0.54,2024-09-26 07:02:39,0.685,0.3582,0.2237,1,False Positive
145,295,2648,25,3,26.14655,96.51343,5.567,Flooding,0.915,2023-04-18 04:20:52,-0.4233,0.9383,0.4401,1,Unvalidated
146,2272,2742,1,1,26.88418,90.48884,8.324,Vegetation Loss,0.556,2022-09-13 22:26:39,0.8036,-0.4152,0.3929,1,Unvalidated
147,2784,1467,47,6,29.16847,99.64476,6.416,Debris Flow,0.971,2021-10-27 09:23:42,0.3034,0.8072,0.036,1,Validated
148,807,2718,37,4,26.82459,94.88554,6.668,Flooding,0.666,2024-12-23 08:34:19,-0.0379,0.2403,0.055,1,Unvalidated
149,2471,562,5,1,23.3622,95.26859,7.172,Construction,0.856,2024-07-23 21:13:42,-0.4614,0.3223,0.3304,1,False Positive
150,2277,2833,60,8,24.58007,95.8024,4.851,Vegetation Loss,0.702,2024-09-05 03:56:38,0.4605,0.8942,0.3278,1,Validated
151,2535,2921,47,6,29.33607,99.07875,4.963,Construction,0.891,2024-02-16 04:18:01,-0.1492,0.727,0.2012,1,Validated
152,1787,586,14,2,22.70925,92.46235,7.793,Flooding,0.919,2020-04-28 23:50:38,-0.6305,0.7249,0.4622,1,Validated
153,2622,2469,9,1,27.62766,93.52514,8.316,Flooding,0.646,2018-07-26 15:17:42,-0.734,0.8574,0.0973,1,Validated
154,541,2349,27,3,24.79773,90.83179,9.571,Erosion,0.511,2022-02-19 04:24:27,-0.6861,0.1853,0.182,1,Unvalidated
155,2666,2159,2,1,23.94253,91.80424,3.522,Flooding,0.608,2024-03-25 07:24:50,-0.8394,0.3657,0.098,1,False Positive
156,1794,1634,17,2,23.45164,92.61602,6.679,Landslide,0.748,2021-02-26 22:36:08,0.4936,0.1327,0.1176,1,False Positive
157,1509,1108,32,3,25.70727,95.77032,0.924,No Change,0.753,2024-06-10 23:41:11,0.5632,-0.9736,0.2175,0,Validated
158,1184,2762,44,5,29.77287,98.29354,1.766,No Change,0.881,2018-10-25 12:38:17,0.7774,-0.5998,0.3443,0,Validated
159,2464,709,41,5,22.45011,93.86363,6.753,Vegetation Loss,0.768,2019-12-30 16:15:39,-0.1574,-0.9792,0.3416,1,False Positive
160,2405,1368,62,8,27.53958,91.79244,4.413,No Change,0.797,2021-06-27 05:25:57,-0.3963,-0.9155,0.0429,0,Unvalidated
161,645,1976,62,8,27.37977,92.73575,2.079,Erosion,0.948,2018-07-08 08:53:47,-0.1641,-0.397,0.0197,1,Unvalidated
162,279,473,34,4,26.14926,97.62015,4.265,Construction,0.654,2018-03-03 01:27:53,-0.5532,-0.0235,0.2726,1,Validated
163,2147,1097,30,3,25.69417,92.66538,4.045,Vegetation Loss,0.788,2022-06-29 19:16:19,-0.239,0.9486,0.4673,1,Unvalidated
164,181,1501,37,4,26.52328,94.29788,7.88,Flooding,0.558,2022-08-04 07:29:06,-0.8713,0.2309,0.0384,1,Validated
165,921,2521,14,2,23.07792,92.73077,9.241,Landslide,0.746,2020-03-11 18:06:45,0.1182,0.1502,0.4992,1,False Positive
166,1327,1059,2,1,23.98124,91.18809,1.637,Landslide,0.517,2020-05-03 12:53:44,0.6872,-0.8029,0.3288,1,Unvalidated
167,2044,2688,23,3,27.87073,92.01584,2.672,Erosion,0.611,2023-03-18 16:11:51,0.7154,-0.4322,0.1241,1,False Positive
168,1100,345,10,1,23.31844,97.43029,4.031,Vegetation Loss,0.76,2018-04-20 15:49:10,0.6008,0.3679,0.0499,1,Validated
169,284,360,58,7,26.84021,94.27735,0.761,Landslide,0.717,2020-03-14 15:13:15,-0.7913,-0.8036,0.0535,1,False Positive
170,1319,2855,10,1,23.50132,97.51627,2.882,Vegetation Loss,0.545,2022-09-08 18:45:02,0.3794,0.8145,0.4631,1,Validated
171,2117,2103,44,5,29.56344,98.84684,2.362,Landslide,0.844,2022-10-22 18:19:40,-0.4272,-0.0936,0.1689,1,False Positive
172,1635,2065,62,8,26.75729,92.48945,9.978,Erosion,0.556,2024-11-30 09:31:49,0.067,-0.7302,0.1887,1,False Positive
173,1608,2300,2,1,24.25676,91.22877,9.94,Landslide,0.573,2023-06-24 12:59:35,0.2686,-0.8406,0.1379,1,False Positive
174,2780,903,11,1,22.46697,91.33322,8.224,No Change,0.846,2020-10-14 06:03:09,0.1132,0.155,0.3141,0,Validated
175,2169,13,18,2,28.79813,98.72453,3.961,No Change,0.572,2022-02-25 04:16:18,-0.4437,0.9351,0.3587,0,Validated
176,2584,1580,54,6,29.08663,91.72596,6.749,Erosion,0.834,2019-05-29 20:38:13,-0.9957,0.2098,0.004,1,Validated
177,1159,1217,58,7,27.12958,94.6738,8.73,Vegetation Loss,0.837,2022-02-22 20:36:50,-0.0184,-0.6805,0.359,1,Validated
178,75,2991,18,2,29.0094,98.60159,5.804,No Change,0.939,2018-12-16 14:02:46,-0.9632,0.5832,0.4499,0,Validated
179,1949,2976,28,3,28.78039,93.5596,2.664,Vegetation Loss,0.515,2023-07-12 18:30:42,0.9593,0.4574,0.2565,1,Unvalidated
180,2128,1736,42,5,21.71738,97.15954,7.076,Flooding,0.822,2019-02-02 17:32:44,0.1725,0.3007,0.4726,1,Validated
181,720,614,62,8,27.20857,92.03139,0.209,Vegetation Loss,0.682,2023-11-14 12:45:19,-0.2953,0.0412,0.4885,1,Validated
182,1768,306,27,3,24.77203,90.23363,4.008,Landslide,0.824,2020-03-08 07:01:09,0.1435,-0.294,0.0463,1,Unvalidated
183,1123,2164,61,8,26.54411,90.21398,5.332,Flooding,0.724,2019-08-06 01:40:14,-0.7654,0.6245,0.2106,1,Validated
184,739,717,16,2,23.76071,90.50075,5.108,Flooding,0.824,2021-02-12 14:49:25,0.81,0.1086,0.3286,1,Validated
185,1466,1818,37,4,26.82016,94.76274,0.083,Flooding,0.738,2022-09-21 15:58:29,-0.6919,-0.251,0.0388,1,False Positive
186,2636,1121,43,5,30.10501,97.15896,4.159,No Change,0.894,2019-03-22 23:12:46,-0.3275,-0.4143,0.016,0,False Positive
187,1317,2105,18,2,28.87656,99.09986,3.406,Landslide,0.579,2020-01-24 02:26:31,-0.441,-0.3038,0.1373,1,Validated
188,565,1460,43,5,29.49233,97.56212,8.906,Vegetation Loss,0.896,2023-04-26 14:41:01,-0.8349,-0.8667,0.4752,1,Validated
189,2590,2372,50,6,23.65336,92.89346,3.512,Flooding,0.745,2024-05-25 03:41:59,0.2945,0.7263,0.3795,1,False Positive
190,1621,1541,62,8,27.29661,92.4574,1.398,Debris Flow,0.96,2023-05-10 10:36:40,-0.4187,-0.0806,0.3233,1,False Positive
191,2105,1490,34,4,26.04617,97.57668,4.357,Landslide,0.842,2019-07-27 17:22:40,0.0919,-0.8788,0.1948,1,Validated
192,1319,735,10,1,23.50132,97.51627,2.046,Erosion,0.646,2024-02-06 02:23:56,0.0109,-0.9636,0.4177,1,Validated
193,1276,2267,32,3,25.4035,96.05347,5.013,No Change,0.984,2024-05-28 00:53:43,0.5494,-0.5313,0.2847,0,Validated
194,2243,505,46,5,23.43312,97.66013,2.901,Vegetation Loss,0.796,2021-12-14 22:47:43,-0.8822,-0.3829,0.3535,1,Unvalidated
