sensor_id,zone_id,slope_id,state_id,district_id,sensor_code,sensor_type,model,lat,lon,elevation_m,installation_date,status,sampling_interval_min,battery_pct,last_communication
48,48,202,3,30,SNS0048,Extensometer,Model-280,25.521401,92.958514,1928,2016-04-16,Inactive,1,72.2,2024-05-29 01:55:18
49,183,5,4,35,SNS0049,Seismograph,Model-884,22.97176,91.184551,4285,2022-06-29,Maintenance,10,68.4,2024-10-16 18:38:37
50,112,278,2,20,SNS0050,Accelerometer,Model-875,23.837347,93.154316,2573,2016-01-08,Faulty,10,69.1,2024-03-04 12:29:51
51,187,383,3,24,SNS0051,Accelerometer,Model-632,24.044751,99.342477,260,2022-10-01,Maintenance,1,65.0,2024-05-07 18:35:02
52,45,103,3,32,SNS0052,Tiltmeter,Model-593,25.191534,95.722688,4163,2017-11-05,Inactive,60,86.4,2024-02-15 01:19:44
53,60,467,4,34,SNS0053,Accelerometer,Model-493,26.398483,97.125647,3457,2024-01-29,Active,15,44.9,2024-10-12 10:19:14
54,6,93,1,11,SNS0054,Rain Gauge,Model-980,22.647517,90.992917,1895,2020-11-03,Faulty,30,20.0,2024-11-28 00:40:28
55,85,443,4,36,SNS0055,Piezometer,Model-120,25.330705,90.390925,4442,2015-06-30,Active,10,91.1,2024-03-05 17:16:38
56,136,415,6,50,SNS0056,Accelerometer,Model-338,24.341818,92.45617,1749,2018-05-19,Maintenance,10,53.4,2024-11-01 20:00:43
57,72,447,2,16,SNS0057,Inclinometer,Model-656,23.20817,90.282742,3081,2022-10-24,Active,1,77.7,2024-04-11 19:27:27
58,65,483,6,54,SNS0058,Accelerometer,Model-707,29.284397,91.363451,2693,2020-05-06,Faulty,10,79.9,2024-05-26 04:32:26
59,27,172,3,23,SNS0059,Soil Moisture,Model-768,28.093123,91.429802,1930,2015-10-16,Faulty,15,53.7,2024-10-20 19:09:02
60,14,207,1,11,SNS0060,Seismograph,Model-918,22.714211,90.962402,858,2023-10-10,Active,15,3.2,2024-06-24 04:28:24
61,41,71,5,46,SNS0061,Crack Gauge,Model-112,22.986363,97.422896,1907,2018-06-17,Maintenance,5,24.4,2024-06-23 05:01:07
62,162,298,6,47,SNS0062,Piezometer,Model-614,29.534089,99.178951,2077,2016-10-22,Faulty,1,29.3,2024-11-15 17:41:54
63,34,342,1,6,SNS0063,Crack Gauge,Model-252,26.847954,97.44008,2185,2023-09-18,Active,60,4.8,2024-07-17 03:54:38
64,154,444,8,59,SNS0064,Seismograph,Model-249,25.414895,92.376751,2720,2024-11-03,Maintenance,15,98.7,2024-08-25 02:42:14
65,45,307,3,32,SNS0065,Inclinometer,Model-135,25.09729,95.749789,2655,2016-06-15,Faulty,1,46.4,2024-01-19 03:34:31
66,96,272,3,28,SNS0066,Crack Gauge,Model-971,29.441616,93.360183,1529,2022-12-02,Inactive,5,30.3,2024-09-10 17:26:21
67,43,62,1,4,SNS0067,Extensometer,Model-330,26.479103,90.206697,3474,2020-05-09,Faulty,1,67.7,2024-04-02 19:41:06
68,123,217,3,30,SNS0068,Extensometer,Model-332,25.788094,92.142296,4395,2018-05-26,Faulty,10,70.4,2024-05-13 01:05:52
69,117,467,5,42,SNS0069,Extensometer,Model-661,22.211878,97.648878,625,2020-09-11,Inactive,30,81.7,2024-01-03 16:30:57
70,48,288,3,30,SNS0070,Extensometer,Model-713,25.526901,92.905324,4298,2020-08-14,Faulty,30,2.8,2024-11-15 19:37:55
71,126,473,4,33,SNS0071,Soil Moisture,Model-695,23.86636,99.597734,2344,2018-02-21,Faulty,15,71.8,2024-01-15 16:03:24
72,10,414,1,5,SNS0072,Extensometer,Model-683,23.892952,95.221934,471,2022-06-20,Inactive,5,99.1,2024-12-07 14:28:39
73,140,405,2,19,SNS0073,GNSS,Model-611,24.067954,95.824772,3702,2017-03-09,Maintenance,1,21.7,2024-06-01 09:29:23
74,140,191,2,19,SNS0074,Seismograph,Model-766,24.066743,95.86129,3299,2020-11-11,Active,1,22.9,2024-07-05 04:53:32
75,171,134,1,8,SNS0075,GNSS,Model-785,24.540485,98.419166,1664,2024-01-08,Faulty,1,46.7,2024-04-20 19:30:13
76,6,287,1,11,SNS0076,Extensometer,Model-593,22.666573,90.968449,2795,2023-11-29,Maintenance,5,49.3,2024-11-08 23:08:27
77,163,322,2,15,SNS0077,Rain Gauge,Model-280,26.940381,98.402848,3712,2024-10-10,Faulty,30,57.2,2024-07-26 22:56:40
78,151,354,3,30,SNS0078,GNSS,Model-178,25.732638,93.099906,1963,2023-11-14,Maintenance,10,96.7,2024-07-05 12:40:43
79,106,52,1,12,SNS0079,Crack Gauge,Model-260,26.564067,98.349062,985,2018-07-20,Inactive,15,26.8,2024-09-14 08:55:36
80,156,242,2,22,SNS0080,Crack Gauge,Model-759,22.185368,96.530967,4283,2024-03-11,Inactive,5,97.4,2024-09-16 10:12:59
81,61,203,3,29,SNS0081,Tiltmeter,Model-362,26.268773,98.417645,3200,2024-09-09,Maintenance,5,14.3,2024-10-01 06:38:15
82,57,201,3,30,SNS0082,Extensometer,Model-446,25.639981,92.829964,3386,2023-03-08,Inactive,5,95.7,2024-02-14 15:47:54
83,106,421,1,12,SNS0083,Tiltmeter,Model-993,26.555669,98.397071,1404,2022-06-06,Maintenance,15,1.4,2024-04-27 03:31:09
84,18,9,6,50,SNS0084,Rain Gauge,Model-986,23.543926,92.856627,1185,2023-10-30,Active,1,16.1,2024-06-12 00:04:07
85,95,247,7,56,SNS0085,GNSS,Model-217,29.436459,97.627484,3164,2023-01-16,Inactive,15,44.7,2024-08-18 10:23:54
86,136,90,6,50,SNS0086,Accelerometer,Model-229,24.333245,92.549829,1712,2020-08-29,Inactive,1,27.1,2024-01-28 21:27:18
87,67,194,4,37,SNS0087,Accelerometer,Model-703,26.516367,94.63406,286,2024-07-20,Inactive,30,84.2,2024-08-03 04:22:51
88,65,439,6,54,SNS0088,Extensometer,Model-624,29.264552,91.347963,3754,2016-12-15,Inactive,5,37.2,2024-12-24 04:19:24
89,6,267,1,11,SNS0089,GNSS,Model-717,22.649917,90.917259,1739,2019-07-27,Active,5,26.9,2024-02-18 05:42:09
90,119,14,6,51,SNS0090,Extensometer,Model-960,30.017647,90.400544,3270,2020-03-22,Inactive,1,58.2,2024-09-11 23:38:53
91,191,161,7,55,SNS0091,Tiltmeter,Model-693,28.575839,93.923493,619,2022-09-08,Active,60,47.3,2024-04-07 10:18:27
92,74,468,3,28,SNS0092,Extensometer,Model-482,28.585849,92.885807,1567,2019-03-06,Maintenance,15,46.3,2024-10-09 07:11:08
93,148,271,5,44,SNS0093,Seismograph,Model-435,29.746046,98.747731,1913,2016-04-21,Active,5,92.7,2024-04-22 21:27:30
94,48,201,3,30,SNS0094,Piezometer,Model-117,25.447899,92.888242,4359,2016-01-02,Active,30,75.2,2024-04-08 12:08:09
95,35,76,2,16,SNS0095,Tiltmeter,Model-249,24.025475,90.784684,4351,2015-02-11,Faulty,10,36.5,2024-12-03 23:12:40
96,151,134,3,30,SNS0096,GNSS,Model-476,25.716339,93.082068,3618,2021-04-25,Maintenance,1,34.1,2024-04-18 17:56:07
97,97,237,2,21,SNS0097,Inclinometer,Model-287,24.433211,99.134896,756,2020-12-19,Maintenance,1,57.5,2024-11-08 10:09:21
98,43,440,1,4,SNS0098,Rain Gauge,Model-861,26.471865,90.245798,3449,2015-09-11,Active,15,69.2,2024-08-29 05:36:46
99,123,43,3,30,SNS0099,Crack Gauge,Model-462,25.820609,92.219378,1052,2020-03-28,Active,60,97.8,2024-07-10 00:54:49
100,172,42,1,5,SNS0100,Rain Gauge,Model-355,23.386003,95.46157,743,2019-07-25,Active,10,39.2,2024-11-26 07:28:05
101,124,316,5,46,SNS0101,Tiltmeter,Model-823,23.594397,97.160787,1814,2017-09-12,Inactive,30,81.8,2024-08-07 23:28:22
102,161,305,5,43,SNS0102,Crack Gauge,Model-755,29.579533,97.899972,2610,2024-04-27,Inactive,10,5.8,2024-09-23 07:29:11
103,17,405,2,17,SNS0103,Crack Gauge,Model-399,24.195705,93.262552,2138,2021-03-12,Active,5,35.4,2024-07-22 18:44:22
104,25,448,2,18,SNS0104,GNSS,Model-409,29.169045,99.089035,2981,2023-06-26,Inactive,15,65.6,2024-10-22 06:10:15
105,68,220,1,8,SNS0105,Crack Gauge,Model-849,24.517926,98.600003,1815,2016-09-18,Active,10,57.2,2024-06-23 09:21:19
106,107,268,8,62,SNS0106,Seismograph,Model-370,27.395081,92.536464,4004,2018-12-12,Maintenance,5,39.4,2024-08-19 23:09:54
107,95,409,7,56,SNS0107,Extensometer,Model-398,29.442479,97.693734,598,2015-11-09,Maintenance,5,63.3,2024-06-26 08:55:00
108,41,218,5,46,SNS0108,Rain Gauge,Model-592,22.97385,97.446607,1989,2023-07-17,Faulty,60,44.3,2024-09-12 14:08:47
109,52,323,6,50,SNS0109,Piezometer,Model-417,24.252633,92.844962,1253,2017-03-05,Faulty,5,84.1,2024-05-25 15:12:51
110,20,305,3,28,SNS0110,Crack Gauge,Model-175,28.623586,92.953582,3961,2016-08-09,Maintenance,30,98.3,2024-04-02 02:22:12
111,99,195,2,15,SNS0111,Soil Moisture,Model-219,26.864584,98.418506,596,2018-11-10,Inactive,10,51.9,2024-02-02 05:22:14
112,171,42,1,8,SNS0112,Seismograph,Model-736,24.45654,98.466648,3752,2015-08-27,Faulty,1,98.4,2024-06-24 19:47:27
113,174,360,4,34,SNS0113,Soil Moisture,Model-682,26.424238,97.157134,3486,2020-11-12,Maintenance,60,47.6,2024-07-05 21:45:45
114,142,274,3,30,SNS0114,Piezometer,Model-653,26.072666,93.054837,4019,2019-06-24,Faulty,15,97.7,2024-06-19 12:29:16
115,8,410,1,10,SNS0115,Extensometer,Model-448,23.435395,97.341477,2557,2024-07-30,Active,30,67.6,2024-12-14 00:15:33
116,174,432,4,34,SNS0116,Tiltmeter,Model-847,26.381202,97.139834,4072,2017-05-04,Faulty,5,21.0,2024-07-20 15:56:48
117,125,121,5,40,SNS0117,GNSS,Model-809,28.160315,97.696175,722,2024-07-31,Inactive,60,6.2,2024-04-21 07:30:37
118,66,158,1,3,SNS0118,Soil Moisture,Model-582,27.877868,98.976168,2117,2018-10-13,Active,10,8.7,2024-04-06 22:43:56
119,153,276,1,3,SNS0119,Inclinometer,Model-888,27.131601,98.812004,3484,2019-12-25,Inactive,60,37.4,2024-04-07 06:18:49
120,166,461,2,19,SNS0120,Accelerometer,Model-490,23.807506,96.033798,1458,2023-02-06,Inactive,60,58.2,2024-07-02 22:49:25
121,29,286,3,24,SNS0121,Extensometer,Model-728,24.093877,99.665945,3609,2023-07-20,Faulty,10,43.4,2024-01-24 00:06:34
122,124,327,5,46,SNS0122,Tiltmeter,Model-676,23.653608,97.236123,1790,2020-04-30,Inactive,10,19.3,2024-04-25 06:39:29
123,1,323,7,56,SNS0123,Rain Gauge,Model-551,29.227992,97.519945,3985,2023-11-19,Faulty,1,7.9,2024-07-27 01:02:31
124,22,278,6,52,SNS0124,Soil Moisture,Model-594,28.859941,100.131906,3641,2024-10-01,Active,1,6.4,2024-04-22 07:09:08
125,91,84,5,46,SNS0125,Crack Gauge,Model-589,23.604307,97.496996,826,2021-04-20,Inactive,1,92.5,2024-11-25 14:13:15
126,176,299,3,23,SNS0126,Soil Moisture,Model-510,27.539798,91.804602,839,2016-10-03,Maintenance,15,92.4,2024-06-08 17:42:26
127,142,439,3,30,SNS0127,Inclinometer,Model-741,26.070595,93.050229,1730,2016-02-15,Faulty,30,98.8,2024-05-12 01:06:51
128,176,79,3,23,SNS0128,Accelerometer,Model-360,27.575482,91.768286,2657,2024-05-24,Faulty,15,92.3,2024-12-20 03:56:39
129,59,214,2,14,SNS0129,Accelerometer,Model-430,22.520159,92.649017,2575,2021-08-15,Active,10,9.6,2024-08-13 06:31:53
130,169,291,6,51,SNS0130,Accelerometer,Model-306,29.265151,90.367413,1271,2017-08-29,Active,1,76.4,2024-07-29 23:25:19
131,112,244,2,20,SNS0131,Inclinometer,Model-974,23.808824,93.171788,4081,2015-01-09,Faulty,15,14.6,2024-07-20 06:36:52
132,68,31,1,8,SNS0132,Extensometer,Model-727,24.539486,98.631905,1566,2022-02-10,Faulty,1,34.2,2024-08-08 10:22:25
133,113,455,5,43,SNS0133,GNSS,Model-138,30.175524,97.834107,1539,2023-05-03,Inactive,10,73.5,2024-03-01 14:10:16
134,177,410,1,3,SNS0134,Inclinometer,Model-976,27.262573,98.779731,3734,2024-06-05,Faulty,1,32.8,2024-07-23 05:14:08
135,188,170,6,49,SNS0135,Inclinometer,Model-202,28.968629,98.440293,780,2015-08-15,Faulty,1,31.4,2024-12-28 13:37:37
136,141,86,4,33,SNS0136,Soil Moisture,Model-519,23.845108,100.130127,1382,2018-06-25,Inactive,30,5.4,2024-05-02 19:28:46
137,199,66,2,17,SNS0137,Rain Gauge,Model-265,23.476428,93.342723,3069,2019-04-20,Faulty,5,68.5,2024-09-14 13:01:14
138,167,138,6,53,SNS0138,Crack Gauge,Model-280,28.107009,91.085093,850,2024-02-22,Inactive,10,46.1,2024-09-25 12:41:04
139,26,440,8,61,SNS0139,Inclinometer,Model-110,26.221767,90.442797,420,2019-11-05,Maintenance,30,35.6,2024-04-24 02:50:08
140,47,432,1,6,SNS0140,Tiltmeter,Model-185,26.65871,96.797984,1743,2024-11-04,Maintenance,1,71.6,2024-05-22 00:02:11
141,176,77,3,23,SNS0141,Crack Gauge,Model-842,27.563154,91.748259,554,2023-06-16,Maintenance,10,30.6,2024-06-15 23:29:07
142,88,58,2,22,SNS0142,GNSS,Model-878,23.053549,96.383107,2683,2019-12-15,Active,60,20.9,2024-11-19 14:55:47
143,187,33,3,24,SNS0143,Accelerometer,Model-312,23.999643,99.28951,2897,2023-04-12,Inactive,5,60.9,2024-01-15 03:33:51
144,63,156,2,17,SNS0144,Extensometer,Model-230,23.517531,93.073302,2248,2019-03-07,Inactive,30,51.5,2024-06-25 00:00:55
145,20,265,3,28,SNS0145,Seismograph,Model-514,28.613905,92.910803,1539,2017-10-28,Inactive,5,8.6,2024-07-18 10:30:00
146,132,161,1,8,SNS0146,Rain Gauge,Model-327,24.444324,98.735027,1942,2019-05-05,Inactive,30,67.4,2024-04-25 03:36:39
147,93,227,3,27,SNS0147,Rain Gauge,Model-192,25.606717,91.154282,2614,2017-02-16,Active,60,38.0,2024-12-22 18:04:52
148,156,408,2,22,SNS0148,Accelerometer,Model-466,22.193109,96.468454,208,2018-01-09,Inactive,60,50.1,2024-09-17 03:09:16
149,26,170,8,61,SNS0149,Soil Moisture,Model-748,26.2459,90.433374,2421,2019-02-06,Maintenance,15,75.0,2024-06-03 03:09:02
150,45,261,3,32,SNS0150,Tiltmeter,Model-426,25.126503,95.749108,3554,2019-04-15,Faulty,15,98.1,2024-02-01 07:08:10
151,76,194,5,45,SNS0151,Piezometer,Model-439,28.656767,94.844274,1323,2019-11-09,Inactive,15,64.8,2024-06-19 17:34:39
152,130,301,5,43,SNS0152,Soil Moisture,Model-481,29.372711,97.443487,4448,2017-01-21,Faulty,15,4.0,2024-12-25 23:03:36
153,3,220,3,27,SNS0153,Inclinometer,Model-990,25.204639,90.877658,1395,2021-05-26,Maintenance,30,74.9,2024-10-31 04:03:25
154,171,195,1,8,SNS0154,GNSS,Model-449,24.460088,98.401676,4222,2019-09-04,Inactive,60,77.5,2024-04-04 08:23:19
155,154,136,8,59,SNS0155,Rain Gauge,Model-843,25.362762,92.430297,1762,2016-07-20,Active,10,11.4,2024-12-03 06:55:38
156,193,18,6,51,SNS0156,GNSS,Model-688,29.428388,90.584906,974,2019-12-18,Active,10,60.9,2024-02-16 16:35:46
157,152,445,4,39,SNS0157,Accelerometer,Model-183,27.419318,90.804469,3021,2024-07-21,Maintenance,1,40.3,2024-11-22 05:26:12
158,186,493,8,61,SNS0158,Inclinometer,Model-756,26.268709,90.464613,432,2024-07-09,Faulty,5,98.7,2024-03-17 01:19:46
159,37,178,1,12,SNS0159,Inclinometer,Model-397,27.122815,98.22269,1815,2017-03-12,Active,1,69.3,2024-11-13 21:24:30
160,9,420,1,4,SNS0160,Soil Moisture,Model-843,26.276185,90.252833,276,2020-09-18,Inactive,10,87.3,2024-11-09 18:59:12
161,53,402,3,26,SNS0161,GNSS,Model-758,24.227748,90.014987,3370,2018-08-17,Maintenance,5,4.5,2024-07-16 05:42:27
162,102,340,5,45,SNS0162,Piezometer,Model-710,28.49076,95.597732,1636,2017-04-16,Maintenance,5,94.9,2024-12-16 09:37:48
163,197,273,6,50,SNS0163,Tiltmeter,Model-818,24.425822,92.320855,256,2015-12-27,Active,1,10.5,2024-01-14 13:09:16
164,7,18,2,17,SNS0164,Accelerometer,Model-786,24.229424,93.208765,331,2019-04-20,Faulty,15,62.8,2024-05-12 17:38:42
165,193,72,6,51,SNS0165,Extensometer,Model-792,29.470466,90.593078,2955,2015-01-15,Inactive,5,69.0,2024-02-06 15:40:07
166,85,70,4,36,SNS0166,Inclinometer,Model-311,25.249615,90.353591,4255,2015-07-14,Inactive,10,58.1,2024-02-16 23:00:20
167,88,358,2,22,SNS0167,Extensometer,Model-733,22.981113,96.314075,3839,2015-04-08,Maintenance,15,57.9,2024-08-18 03:31:02
168,148,467,5,44,SNS0168,Rain Gauge,Model-864,29.721584,98.766334,3072,2021-12-30,Faulty,60,2.3,2024-07-07 22:27:42
169,61,494,3,29,SNS0169,Extensometer,Model-473,26.245994,98.46358,2476,2021-03-05,Inactive,60,24.8,2024-10-19 04:55:50
170,134,181,8,59,SNS0170,Tiltmeter,Model-821,25.417515,91.941456,2721,2022-09-29,Maintenance,10,45.2,2024-01-01 11:24:27
171,26,142,8,61,SNS0171,Extensometer,Model-531,26.224824,90.417644,3633,2023-10-16,Faulty,30,16.5,2024-08-27 20:57:51
172,58,47,2,16,SNS0172,Rain Gauge,Model-632,23.800197,90.7988,1898,2024-06-26,Inactive,30,10.2,2024-02-25 03:02:36
173,23,435,2,18,SNS0173,Rain Gauge,Model-839,28.528513,98.850362,1207,2021-04-30,Maintenance,1,11.1,2024-02-02 14:24:23
174,135,411,1,6,SNS0174,Rain Gauge,Model-555,26.753683,96.869621,2652,2021-02-15,Active,1,99.5,2024-04-01 22:52:30
175,40,236,6,54,SNS0175,Seismograph,Model-488,29.681651,91.923826,4191,2022-01-30,Maintenance,30,43.0,2024-02-11 12:23:52
176,172,386,1,5,SNS0176,Extensometer,Model-281,23.386706,95.484778,1603,2016-10-26,Maintenance,10,7.4,2024-02-03 16:34:37
177,53,75,3,26,SNS0177,Tiltmeter,Model-119,24.239933,90.056781,405,2023-03-09,Maintenance,5,90.8,2024-11-20 11:24:42
178,14,262,1,11,SNS0178,Rain Gauge,Model-285,22.64464,90.974797,4136,2015-04-04,Faulty,10,83.8,2024-05-28 08:34:48
179,152,374,4,39,SNS0179,Crack Gauge,Model-456,27.437256,90.824075,3742,2019-05-25,Active,15,27.5,2024-06-08 16:21:11
180,168,204,3,25,SNS0180,Inclinometer,Model-501,26.952604,96.72281,1510,2024-09-11,Inactive,15,75.4,2024-02-15 02:31:56
181,103,115,8,59,SNS0181,Seismograph,Model-919,25.718995,92.433808,3024,2020-09-23,Inactive,10,20.9,2024-06-03 22:35:49
182,131,298,3,23,SNS0182,GNSS,Model-690,27.432281,91.649287,4420,2016-04-02,Active,1,19.8,2024-01-08 05:54:40
183,4,186,2,16,SNS0183,Tiltmeter,Model-591,23.26829,90.701826,2409,2016-06-06,Faulty,10,54.8,2024-06-25 04:49:46
184,190,40,5,46,SNS0184,Rain Gauge,Model-518,23.214233,98.078275,3547,2015-11-23,Inactive,5,98.4,2024-08-07 05:06:19
185,192,138,5,46,SNS0185,Extensometer,Model-465,22.761955,97.706203,963,2017-12-16,Faulty,30,45.1,2024-12-09 12:41:30
186,83,183,5,40,SNS0186,Accelerometer,Model-869,28.227918,97.800024,1361,2018-12-14,Inactive,1,38.6,2024-01-19 12:21:15
187,20,85,3,28,SNS0187,Crack Gauge,Model-383,28.676712,93.004062,3378,2020-04-16,Maintenance,15,8.4,2024-03-12 02:28:45
188,147,486,4,39,SNS0188,Soil Moisture,Model-253,27.075997,91.409039,556,2017-12-11,Active,60,2.0,2024-09-23 15:25:56
189,105,164,6,51,SNS0189,GNSS,Model-862,29.538704,90.928371,893,2021-07-21,Inactive,60,54.3,2024-09-25 13:13:13
190,58,209,2,16,SNS0190,Accelerometer,Model-828,23.747773,90.719397,3660,2016-04-01,Inactive,15,17.3,2024-04-21 20:38:09
191,168,352,3,25,SNS0191,Crack Gauge,Model-984,26.997136,96.726719,2584,2021-07-09,Maintenance,30,33.8,2024-12-28 05:52:29
192,150,379,3,30,SNS0192,Accelerometer,Model-294,25.576746,92.209418,2507,2022-06-17,Faulty,5,23.8,2024-12-04 11:29:25
193,39,186,6,54,SNS0193,Extensometer,Model-508,29.934799,91.570865,3135,2024-01-18,Active,1,76.4,2024-04-08 09:08:37
