anomaly_id,sensor_id,slope_id,state_id,district_id,anomaly_type,detected_datetime,anomaly_score,severity,magnitude,duration_minutes,status,investigation_start,resolution_datetime,detection_method
110,227,215,2,16,Vegetation Loss,2019-08-06 10:57:25,0.761,Low,376.82,1216.4,Open,2020-10-22 22:29:49,2021-10-18 01:19:18,LSTM Autoencoder
111,291,171,7,56,Seismic Signal,2024-11-13 02:50:11,0.936,Critical,74.34,3183.5,Open,2022-02-13 21:17:53,2024-04-15 12:14:49,LSTM Autoencoder
112,138,138,6,53,Seismic Signal,2019-12-20 06:21:18,0.67,Medium,7.54,1304.1,Resolved,2024-08-24 04:21:40,2020-12-23 01:33:13,Rule-Based
113,158,493,8,61,Sensor Outlier,2022-04-04 22:40:13,0.711,Medium,150.58,4890.2,Open,2022-09-23 15:38:46,2023-06-26 23:10:12,LSTM Autoencoder
114,123,323,7,56,Ground Cracking,2019-06-14 10:08:56,0.81,Medium,330.92,2278.8,Open,2024-02-23 13:05:50,2022-12-06 19:36:22,LSTM Autoencoder
115,14,405,5,46,Rainfall Anomaly,2023-10-03 06:40:45,0.754,Critical,201.34,2612.8,False Alarm,2022-04-25 00:40:24,2019-03-07 04:15:38,Isolation Forest
116,280,453,1,11,Rainfall Anomaly,2021-08-10 08:49:03,0.861,Low,482.07,2061.0,False Alarm,2019-09-05 15:30:20,2024-08-25 09:42:57,Isolation Forest
117,25,363,1,9,Sudden Displacement,2020-05-10 13:24:57,0.828,High,450.52,1351.8,Resolved,2019-07-05 09:37:01,2024-04-02 06:45:29,LSTM Autoencoder
118,246,262,1,5,Rainfall Anomaly,2019-04-11 01:59:36,0.971,Low,485.59,4196.0,Investigating,2019-09-11 05:32:14,2021-02-26 05:52:14,Statistical
119,146,161,1,8,Vegetation Loss,2019-02-16 22:47:45,0.964,Critical,179.78,2301.2,Open,2019-02-25 22:11:37,2019-02-07 19:21:33,LSTM Autoencoder
120,51,383,3,24,Ground Cracking,2024-05-15 02:23:29,0.892,Critical,102.42,4335.7,False Alarm,2019-02-24 19:33:41,2020-01-28 03:00:04,Rule-Based
121,108,218,5,46,Sensor Outlier,2023-04-26 02:50:23,0.744,High,253.38,2996.3,Open,2021-09-13 11:02:36,2019-08-01 04:47:22,Isolation Forest
122,63,342,1,6,Vegetation Loss,2019-09-10 07:50:34,0.512,Medium,201.76,932.8,False Alarm,2023-01-27 14:24:17,2018-04-04 05:47:41,Rule-Based
123,179,374,4,39,Rainfall Anomaly,2022-09-23 01:34:16,0.778,Low,147.07,2709.5,Open,2024-09-14 12:40:51,2020-11-24 01:30:20,Isolation Forest
124,223,79,7,56,Seismic Signal,2024-04-11 13:30:08,0.821,Medium,168.62,1023.0,Investigating,2019-11-28 10:33:38,2023-01-17 22:30:25,Statistical
125,287,429,6,52,Sensor Outlier,2020-11-24 09:22:52,0.573,Low,89.47,4902.7,False Alarm,2023-08-08 06:04:16,2018-01-11 01:26:18,LSTM Autoencoder
126,174,411,1,6,Sensor Outlier,2024-06-10 06:18:36,0.53,Medium,280.98,3932.7,Resolved,2021-03-24 05:17:21,2022-11-13 12:04:48,Isolation Forest
127,173,435,2,18,Seismic Signal,2024-12-22 16:14:30,0.556,Low,71.45,3497.6,Investigating,2018-02-06 20:31:57,2023-01-09 00:44:49,Isolation Forest
128,162,340,5,45,Vegetation Loss,2019-07-08 23:45:35,0.974,High,258.57,327.2,Resolved,2019-03-04 04:43:11,2024-07-17 18:55:08,Statistical
129,199,55,3,24,Slope Deformation,2018-08-20 08:58:36,0.735,High,486.37,3754.6,Open,2021-08-11 18:48:17,2020-05-19 03:49:44,Isolation Forest
130,207,168,4,39,Ground Cracking,2024-06-07 06:11:16,0.679,Medium,441.67,2822.3,Open,2024-06-27 02:49:20,2024-10-19 10:05:56,LSTM Autoencoder
131,148,408,2,22,Rainfall Anomaly,2018-10-08 01:41:10,0.881,Critical,122.12,2498.1,Open,2022-04-25 11:55:07,2020-10-31 01:04:40,Isolation Forest
132,272,243,3,27,Seismic Signal,2020-01-06 13:13:23,0.7,Critical,457.38,3277.8,Resolved,2021-04-14 03:40:15,2020-04-16 09:47:22,Rule-Based
133,156,18,6,51,Pore Pressure Spike,2020-09-26 18:27:22,0.728,Critical,125.8,2646.7,Open,2023-03-19 12:15:58,2020-11-12 04:54:26,Isolation Forest
134,45,323,1,5,Pore Pressure Spike,2021-06-13 09:34:49,0.651,High,12.05,1245.1,Investigating,2018-02-28 14:01:27,2021-01-11 04:04:50,Isolation Forest
135,69,467,5,42,Ground Cracking,2022-04-04 10:06:09,0.737,Medium,335.34,4285.7,Investigating,2022-06-16 21:06:12,2020-03-09 16:35:14,LSTM Autoencoder
136,62,298,6,47,Rainfall Anomaly,2024-07-27 22:34:58,0.928,High,153.96,111.4,Investigating,2021-09-18 06:52:14,2023-01-01 22:13:14,Statistical
137,46,477,2,17,Seismic Signal,2018-07-19 12:29:41,0.788,Critical,333.95,3151.0,Resolved,2022-04-08 06:21:40,2021-10-16 10:34:53,Statistical
138,48,202,3,30,Seismic Signal,2023-10-26 20:11:08,0.814,Low,431.17,3726.8,Investigating,2020-04-27 01:30:09,2024-11-28 15:59:14,Statistical
139,111,195,2,15,Slope Deformation,2024-05-05 16:18:54,0.993,High,143.02,2727.5,Resolved,2021-02-27 20:54:14,2018-05-28 05:53:30,Rule-Based
140,99,43,3,30,Sudden Displacement,2018-11-09 07:03:32,0.629,High,95.56,105.8,Open,2019-09-30 04:03:28,2019-05-27 06:24:31,LSTM Autoencoder
141,208,328,1,8,Seismic Signal,2024-11-29 09:53:22,0.8,Medium,182.14,1234.0,Investigating,2019-01-01 22:24:08,2022-11-10 01:18:32,Statistical
142,140,432,1,6,Ground Cracking,2022-06-10 13:20:26,0.667,Low,245.43,1732.2,Open,2020-09-24 09:42:33,2020-07-28 10:01:10,Rule-Based
143,6,186,7,55,Seismic Signal,2018-07-13 08:51:27,0.716,High,162.7,767.4,Investigating,2019-01-01 06:23:33,2018-04-26 04:48:44,LSTM Autoencoder
144,164,18,2,17,Pore Pressure Spike,2022-05-26 13:14:29,0.869,Medium,356.71,861.4,Resolved,2018-08-26 10:14:44,2024-09-27 00:05:05,Statistical
145,44,34,5,41,Rainfall Anomaly,2022-10-31 13:00:23,0.884,High,71.27,3793.9,Resolved,2020-12-26 00:43:05,2021-05-21 12:03:19,Rule-Based
146,120,461,2,19,Sensor Outlier,2022-11-12 22:37:49,0.51,Critical,61.26,1006.3,Open,2019-01-05 07:57:16,2022-04-14 03:00:04,LSTM Autoencoder
147,67,62,1,4,Slope Deformation,2024-10-27 12:47:06,0.699,Critical,1.8,2080.5,Open,2023-11-07 20:10:13,2024-08-30 12:39:45,LSTM Autoencoder
148,121,286,3,24,Sensor Outlier,2020-07-01 12:17:45,0.916,High,39.62,2550.0,False Alarm,2019-03-01 18:23:53,2018-06-12 10:38:00,Isolation Forest
149,154,195,1,8,Ground Cracking,2023-12-03 12:07:35,0.679,Critical,352.21,608.2,Resolved,2024-01-04 23:36:01,2018-02-21 13:19:32,Statistical
150,184,40,5,46,Pore Pressure Spike,2022-05-18 01:35:13,0.703,Medium,187.26,15.6,False Alarm,2019-06-28 06:52:58,2022-01-21 18:03:48,Isolation Forest
151,90,14,6,51,Rainfall Anomaly,2018-06-17 03:12:05,0.96,Low,70.78,2362.4,Investigating,2019-08-21 17:53:46,2021-07-28 00:03:15,Isolation Forest
152,45,323,1,5,Slope Deformation,2020-02-26 00:01:53,0.76,Critical,319.89,738.4,False Alarm,2019-11-02 00:59:22,2022-02-11 15:37:38,Statistical
153,88,439,6,54,Seismic Signal,2019-10-31 10:22:53,0.566,High,4.84,4889.7,Resolved,2021-04-18 01:25:41,2022-09-14 17:52:56,Rule-Based
154,284,199,1,5,Vegetation Loss,2019-09-07 16:32:16,0.551,High,389.95,210.8,Open,2021-04-10 00:57:25,2019-08-20 15:00:23,Isolation Forest
155,247,22,2,14,Sensor Outlier,2019-08-01 19:27:14,0.566,Medium,345.15,1921.3,Investigating,2019-05-23 22:18:24,2018-08-05 06:38:24,Statistical
156,142,58,2,22,Rainfall Anomaly,2020-08-13 22:41:16,0.962,Low,283.2,2356.4,False Alarm,2021-02-23 15:44:11,2024-12-19 22:10:21,Rule-Based
157,14,405,5,46,Pore Pressure Spike,2018-07-22 17:39:23,0.578,Critical,435.41,1428.5,Investigating,2021-08-05 04:30:27,2023-10-22 23:01:30,Isolation Forest
158,75,134,1,8,Ground Cracking,2018-04-03 15:22:50,0.766,Low,138.24,1464.1,Open,2022-02-14 21:26:59,2022-03-22 09:52:49,LSTM Autoencoder
159,212,445,6,50,Ground Cracking,2022-03-26 18:10:23,0.589,Medium,154.75,789.7,False Alarm,2019-07-22 10:31:05,2020-05-27 23:47:40,Rule-Based
