record_id,district_id,state_id,station_id,datetime,rainfall_1h_mm,rainfall_3h_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_7d_mm,rainfall_30d_mm,antecedent_rainfall_mm,rainfall_intensity_percentile,threshold_exceeded,source
25,29,3,STN003,2021-09-06 04:02:15,0.8,1.3,3.1,10.7,67.7,907.5,230.1,1.2,0,AWS
26,14,2,STN048,2019-10-15 00:13:55,5.7,12.2,22.9,43.0,357.0,5052.8,374.5,0.9,0,Radar_Derived
27,9,1,STN028,2024-01-28 22:42:49,4.1,9.9,20.4,65.6,646.3,7541.4,74.8,0.9,0,Radar_Derived
28,29,3,STN036,2020-07-16 08:28:05,31.4,32.1,43.8,114.4,982.8,6085.0,316.6,1.9,1,Manual
29,31,3,STN016,2021-11-02 13:11:12,30.8,42.7,111.4,391.9,2350.5,27186.0,18.3,1.4,1,Manual
30,22,2,STN014,2021-10-23 16:22:45,8.8,14.6,42.1,140.1,527.5,5608.6,412.5,2.5,1,AWS
31,36,4,STN023,2023-01-10 00:19:45,1.8,3.2,8.1,31.7,147.4,1039.6,454.1,3.0,0,AWS
32,38,4,STN029,2023-02-20 20:02:18,1.1,2.5,7.4,19.3,186.0,1360.8,291.9,1.4,0,Manual
33,26,3,STN042,2023-03-01 07:33:25,18.4,72.9,122.9,347.3,1519.8,22165.0,257.4,1.6,1,Manual
34,48,6,STN043,2022-11-02 15:47:14,2.3,7.2,16.2,19.6,147.4,943.5,301.1,2.1,0,Manual
35,35,4,STN030,2022-11-28 00:00:42,18.9,69.4,102.6,291.9,2778.9,27767.3,296.4,1.1,1,Manual
36,62,8,STN011,2022-09-24 08:02:31,5.3,15.4,33.7,54.6,146.4,2097.7,23.6,2.6,0,AWS
37,37,4,STN033,2018-04-29 22:07:15,12.8,32.2,38.1,124.9,393.5,2237.5,177.9,5.6,1,IMD
38,21,2,STN036,2018-11-07 01:34:43,0.2,0.3,0.8,1.3,5.5,69.8,163.0,1.9,0,Radar_Derived
39,2,1,STN009,2023-01-17 15:10:32,14.6,17.7,29.0,62.1,426.3,4655.5,184.0,1.3,0,Manual
40,23,3,STN032,2021-10-27 18:21:39,8.4,33.0,34.7,70.4,645.7,3796.6,314.6,1.9,0,AWS
41,37,4,STN046,2018-12-06 14:07:19,7.2,26.1,76.1,141.4,366.9,2088.1,172.5,6.8,1,AWS
42,45,5,STN021,2019-06-21 23:54:42,22.7,32.5,93.1,356.3,3261.5,40063.2,322.6,0.9,1,AWS
43,50,6,STN049,2018-11-01 12:41:20,1.0,1.2,2.7,4.2,18.5,257.0,245.7,1.6,0,Manual
44,21,2,STN010,2018-09-03 06:02:50,16.4,23.1,52.2,172.0,1557.2,13327.7,12.9,1.3,1,AWS
45,20,2,STN004,2020-02-12 23:23:43,19.5,29.6,85.1,285.7,2257.8,14481.9,495.6,2.0,1,IMD
46,48,6,STN045,2019-12-10 18:12:49,5.7,10.7,28.6,96.0,634.3,2589.9,398.6,3.7,0,IMD
47,53,6,STN036,2018-06-08 11:45:53,10.8,22.3,47.8,131.4,327.1,1086.9,462.5,12.1,1,Radar_Derived
48,39,4,STN017,2018-12-29 04:51:58,10.7,39.7,65.5,145.4,391.2,5398.8,43.5,2.7,1,IMD
49,14,2,STN020,2020-08-13 08:51:32,12.4,30.0,42.1,118.0,883.2,7232.4,88.0,1.6,1,Radar_Derived
50,28,3,STN035,2022-08-31 02:11:31,2.7,9.3,11.5,15.5,34.2,170.5,43.2,9.1,0,AWS
51,33,4,STN006,2020-07-05 01:05:18,9.0,17.2,18.4,52.5,504.3,1820.0,272.5,2.9,0,IMD
52,38,4,STN025,2022-08-16 09:51:23,1.7,2.3,4.9,14.8,132.5,454.9,77.0,3.3,0,AWS
53,13,2,STN021,2022-05-27 17:46:52,11.9,15.3,44.6,75.8,413.0,5513.9,199.3,1.4,0,IMD
54,20,2,STN046,2018-10-11 15:05:00,19.5,32.2,67.5,181.5,1260.9,17216.7,396.6,1.1,1,Radar_Derived
55,19,2,STN003,2021-08-08 00:07:15,12.8,42.8,44.8,164.1,655.1,9454.6,131.7,1.7,1,Manual
56,28,3,STN002,2023-07-13 02:16:57,7.3,24.2,40.9,142.3,849.2,6081.1,351.7,2.3,1,Manual
57,46,5,STN042,2023-02-25 04:14:04,17.5,57.2,81.1,177.1,1537.6,16830.0,479.8,1.1,1,IMD
58,6,1,STN042,2018-08-13 10:49:56,11.7,27.1,73.0,79.8,279.6,3713.9,306.0,2.1,0,AWS
59,4,1,STN028,2022-06-23 14:01:00,4.2,11.9,21.5,60.0,521.9,4051.4,343.2,1.5,0,AWS
60,56,7,STN046,2019-07-15 07:13:44,6.2,6.7,8.1,24.7,152.7,474.4,13.2,5.2,0,Radar_Derived
61,56,7,STN005,2021-01-28 20:03:35,5.5,9.6,13.8,22.7,51.0,613.6,168.8,3.7,0,Radar_Derived
62,19,2,STN019,2024-01-28 22:33:35,2.1,7.6,10.2,24.5,166.6,510.2,288.9,4.8,0,AWS
63,10,1,STN034,2021-08-24 17:53:44,1.5,3.2,9.3,30.0,145.5,2180.6,56.3,1.4,0,IMD
64,58,7,STN037,2022-09-20 00:13:58,3.7,13.3,34.0,58.0,346.0,3366.4,103.1,1.7,0,Radar_Derived
65,13,2,STN026,2024-04-23 20:12:09,30.5,79.2,84.4,260.3,1376.9,11383.8,259.4,2.3,1,Radar_Derived
66,27,3,STN018,2023-10-20 13:47:30,28.8,51.8,92.5,228.8,619.3,2144.7,114.0,10.7,1,Radar_Derived
67,22,2,STN023,2019-11-22 18:28:30,5.1,7.0,12.0,22.9,139.8,605.5,388.1,3.8,0,Manual
68,52,6,STN006,2022-02-23 14:11:34,1.2,2.3,3.3,7.1,18.1,144.2,190.6,4.9,0,IMD
69,20,2,STN025,2018-05-08 06:56:24,0.8,2.0,2.7,8.8,19.2,134.3,169.9,6.6,0,Manual
70,25,3,STN023,2020-11-23 05:47:25,6.9,12.0,24.2,42.7,375.5,4636.0,422.8,0.9,0,AWS
71,32,3,STN029,2019-01-02 08:51:01,2.2,8.0,18.8,54.4,245.8,3663.0,423.8,1.5,0,Manual
72,44,5,STN027,2022-10-03 00:00:14,48.9,173.8,206.0,796.4,5692.9,26483.4,248.3,3.0,1,AWS
73,62,8,STN015,2023-11-11 12:51:37,6.4,11.5,14.4,18.7,165.6,2416.2,222.5,0.8,0,AWS
74,25,3,STN034,2020-08-07 17:23:42,15.4,18.0,38.9,136.7,963.4,3138.5,395.0,4.4,1,AWS
75,17,2,STN002,2024-10-12 18:05:26,11.5,42.8,45.6,61.1,214.6,2713.0,395.4,2.3,0,IMD
76,16,2,STN018,2023-12-02 20:16:35,3.2,11.6,33.9,116.6,264.8,2990.2,86.4,3.9,1,Radar_Derived
77,60,8,STN037,2021-09-16 22:42:36,4.1,12.8,20.6,31.8,306.5,1857.7,306.5,1.7,0,Radar_Derived
78,28,3,STN037,2021-09-10 09:08:53,0.9,2.9,6.9,24.3,184.3,1335.2,217.6,1.8,0,Radar_Derived
79,22,2,STN011,2023-08-13 00:00:07,5.4,20.5,56.9,208.5,1615.4,6141.8,496.4,3.4,1,AWS
80,18,2,STN020,2023-03-04 18:42:50,3.3,10.7,23.2,39.5,292.0,3735.7,355.8,1.1,0,AWS
81,53,6,STN011,2022-09-27 08:58:46,7.2,17.7,20.9,80.8,712.5,2590.8,222.5,3.1,0,Radar_Derived
82,36,4,STN007,2019-05-29 21:45:39,3.3,9.8,18.6,71.7,566.5,3327.0,428.2,2.2,0,Manual
83,36,4,STN019,2019-01-04 22:58:54,3.4,9.8,27.3,96.7,812.6,5493.6,175.3,1.8,0,AWS
84,51,6,STN035,2020-04-07 20:13:30,1.9,4.9,9.5,19.7,103.3,919.7,496.8,2.1,0,IMD
85,43,5,STN014,2018-07-17 04:26:56,3.9,7.1,13.6,42.6,117.9,470.8,258.8,9.0,0,AWS
86,57,7,STN047,2018-09-23 16:55:29,32.1,97.1,198.4,552.3,1427.1,16637.7,1.0,3.3,1,IMD
87,8,1,STN027,2019-05-04 02:19:59,5.1,9.0,21.8,27.1,76.5,764.3,252.4,3.5,0,IMD
88,49,6,STN037,2023-02-17 11:51:19,1.9,6.3,17.3,42.7,413.2,5272.4,335.3,0.8,0,Manual
89,46,5,STN012,2020-09-14 15:46:42,6.6,12.4,29.1,113.9,679.4,2076.8,234.4,5.5,1,IMD
90,41,5,STN010,2021-10-27 07:11:21,26.8,39.4,98.6,313.7,2020.0,6806.5,484.5,4.6,1,AWS
91,26,3,STN031,2024-05-30 18:03:39,5.3,11.8,29.0,41.9,228.1,3176.7,421.8,1.3,0,AWS
92,54,6,STN037,2022-01-18 14:04:26,3.7,12.1,28.3,39.6,113.5,1317.4,414.6,3.0,0,AWS
93,44,5,STN048,2023-04-19 00:53:48,13.8,48.7,50.8,57.9,229.7,2122.9,30.4,2.7,0,Radar_Derived
94,59,8,STN046,2022-11-16 18:14:10,0.4,1.4,3.6,11.2,73.5,1004.9,257.4,1.1,0,Manual
95,33,4,STN018,2024-08-29 04:43:44,11.8,29.2,47.0,109.1,575.5,6451.0,307.8,1.7,1,Manual
96,4,1,STN031,2021-03-19 21:55:17,16.7,36.5,68.7,156.7,808.8,8996.9,44.9,1.7,1,AWS
97,33,4,STN007,2023-01-04 18:17:31,6.5,13.3,36.2,123.8,439.6,3079.9,66.2,4.0,1,AWS
98,4,1,STN012,2022-11-27 05:25:39,47.9,80.3,115.1,406.9,2079.9,30001.4,127.8,1.4,1,AWS
99,61,8,STN024,2022-12-21 07:15:00,9.5,29.9,31.9,126.9,1018.7,13080.3,387.8,1.0,1,IMD
100,47,6,STN025,2020-07-19 10:05:27,7.2,10.4,13.5,32.3,257.0,1906.2,62.6,1.7,0,AWS
101,31,3,STN049,2024-06-12 18:01:03,12.7,26.3,70.4,114.7,893.1,10900.1,300.2,1.1,1,AWS
102,13,2,STN009,2023-07-11 13:14:13,49.5,68.7,141.9,293.0,1524.2,18717.1,385.4,1.6,1,AWS
103,30,3,STN009,2020-06-16 15:43:11,2.1,6.8,9.6,10.6,89.9,1043.7,412.3,1.0,0,IMD
104,1,1,STN035,2024-07-20 09:09:41,2.3,8.8,9.4,30.4,63.5,341.0,116.6,8.9,0,AWS
105,44,5,STN008,2024-01-11 16:13:34,3.3,7.2,18.2,22.7,110.8,979.7,273.7,2.3,0,IMD
106,18,2,STN030,2020-06-16 14:06:37,7.4,23.2,52.3,170.4,1277.4,5574.7,474.7,3.1,1,Radar_Derived
107,35,4,STN002,2022-05-01 09:23:54,12.2,23.4,57.5,176.7,488.9,4338.3,348.4,4.1,1,AWS
108,30,3,STN040,2019-10-07 13:18:01,3.9,12.2,27.6,64.9,466.1,6940.1,301.3,0.9,0,Manual
109,40,5,STN014,2020-12-13 23:08:33,48.3,79.2,206.4,229.9,1569.3,16263.1,303.6,1.4,1,AWS
110,44,5,STN014,2018-11-25 22:23:01,2.7,3.5,7.1,23.2,199.4,1604.6,172.7,1.4,0,Manual
111,50,6,STN006,2018-05-03 04:21:00,5.0,11.5,32.5,95.8,501.8,5546.5,18.4,1.7,0,Radar_Derived
112,15,2,STN020,2023-07-18 13:30:05,20.5,71.5,154.0,399.7,1588.0,15426.1,179.2,2.6,1,IMD
113,57,7,STN047,2018-01-04 07:33:21,2.0,2.9,5.6,8.4,23.7,171.3,379.7,4.9,0,AWS
114,59,8,STN044,2022-12-15 09:13:36,11.3,25.4,55.7,98.7,463.4,4707.1,3.6,2.1,0,Manual
115,21,2,STN048,2021-03-17 13:23:27,15.1,44.7,62.4,150.4,918.7,5150.6,26.8,2.9,1,IMD
116,2,1,STN043,2019-08-23 23:51:29,28.1,60.1,105.3,321.0,3140.6,22647.1,195.3,1.4,1,Radar_Derived
117,14,2,STN047,2020-02-01 05:46:13,3.4,8.6,13.2,21.7,213.5,1732.1,195.7,1.3,0,IMD
118,38,4,STN008,2018-05-17 19:00:19,8.0,18.3,44.7,142.2,1135.1,6236.8,429.4,2.3,1,AWS
119,27,3,STN020,2021-05-31 14:49:49,8.2,22.2,52.9,158.4,968.3,10039.8,315.1,1.6,1,Manual
120,6,1,STN031,2022-10-31 01:50:52,9.6,10.3,14.4,18.6,98.9,1383.0,385.6,1.3,0,Manual
121,41,5,STN036,2019-03-17 00:18:22,13.9,47.9,116.5,262.8,2546.8,33171.3,127.5,0.8,1,Radar_Derived
122,51,6,STN014,2020-08-15 17:28:49,8.0,9.4,23.9,87.8,675.4,3086.0,471.7,2.8,0,IMD
123,43,5,STN022,2022-05-13 13:22:58,43.7,116.2,219.0,743.8,3290.2,27612.4,45.3,2.7,1,AWS
124,29,3,STN018,2020-10-02 08:22:02,9.3,20.6,33.7,55.4,128.8,630.2,161.7,8.8,0,AWS
125,16,2,STN003,2023-09-27 18:41:37,17.6,38.2,68.2,192.6,1371.0,8476.4,111.1,2.3,1,AWS
126,23,3,STN017,2023-12-05 12:38:21,1.9,2.5,6.6,20.2,103.2,1328.2,252.2,1.5,0,IMD
127,1,1,STN034,2024-02-15 01:13:21,20.2,45.6,72.1,164.5,1519.6,15270.3,29.3,1.1,1,Radar_Derived
128,26,3,STN017,2022-12-13 08:29:27,13.3,36.6,84.7,308.6,1669.0,8737.5,57.9,3.5,1,Manual
129,3,1,STN049,2020-08-31 23:36:52,11.4,35.3,104.4,277.1,1460.4,13191.1,463.1,2.1,1,IMD
130,41,5,STN037,2018-07-01 01:50:53,3.6,7.0,15.4,25.3,126.1,1657.1,208.0,1.5,0,Radar_Derived
131,1,1,STN007,2020-07-04 16:20:20,13.8,45.5,47.9,132.1,1094.2,9610.4,394.9,1.4,1,IMD
132,7,1,STN002,2018-10-08 05:54:18,16.6,59.2,70.4,184.9,1717.7,16674.1,192.4,1.1,1,IMD
133,39,4,STN019,2024-10-24 18:49:37,1.2,4.5,10.1,32.0,73.3,533.3,60.4,6.0,0,IMD
134,43,5,STN048,2024-08-26 07:53:59,8.6,22.3,25.9,59.6,434.0,1702.0,3.9,3.5,0,IMD
135,42,5,STN020,2024-11-04 04:38:54,2.3,3.4,9.1,35.3,228.3,2644.8,390.7,1.3,0,Manual
136,2,1,STN032,2019-02-20 19:27:05,1.7,4.7,6.7,9.5,76.9,488.6,176.5,1.9,0,AWS
137,3,1,STN037,2020-12-22 01:42:03,28.8,100.2,196.0,593.6,5630.3,48725.8,181.6,1.2,1,Manual
138,25,3,STN010,2023-01-13 08:34:00,4.9,6.5,15.5,57.2,563.6,7812.3,394.5,0.7,0,AWS
139,47,6,STN003,2020-07-29 01:24:37,57.0,120.4,138.1,269.8,1993.9,10001.8,58.9,2.7,1,Radar_Derived
140,4,1,STN042,2018-09-17 17:05:57,1.3,4.1,11.2,35.1,289.2,3903.5,307.3,0.9,0,AWS
141,13,2,STN004,2020-01-16 10:22:37,20.8,52.5,104.5,330.4,1019.4,8308.4,75.3,4.0,1,IMD
142,51,6,STN019,2021-10-28 19:27:35,10.7,26.9,59.5,210.6,598.9,1941.6,291.3,10.8,1,Radar_Derived
143,41,5,STN007,2024-05-26 12:55:35,0.5,0.9,1.0,1.5,3.8,45.8,421.3,3.3,0,Radar_Derived
144,1,1,STN034,2019-05-17 12:50:17,15.0,57.4,159.6,527.6,2123.8,25413.0,403.6,2.1,1,IMD
145,57,7,STN035,2018-11-05 22:39:31,23.8,42.1,109.8,291.6,1133.9,9182.6,162.8,3.2,1,Manual
146,37,4,STN023,2018-05-03 12:00:37,11.4,40.5,67.4,251.1,1509.6,12028.0,65.9,2.1,1,Radar_Derived
147,17,2,STN022,2022-06-20 13:38:35,2.5,7.1,14.9,52.1,342.4,1194.1,128.9,4.4,0,Manual
148,6,1,STN020,2019-08-10 21:39:42,0.2,0.6,1.1,3.9,28.1,390.4,89.6,1.0,0,AWS
149,44,5,STN049,2023-12-26 09:29:25,14.0,39.4,108.6,371.3,1322.6,5487.1,469.1,6.8,1,Manual
150,32,3,STN009,2023-11-19 20:25:07,6.3,11.8,28.6,105.0,478.9,6647.0,67.4,1.6,1,Radar_Derived
151,9,1,STN039,2023-01-01 12:05:07,14.2,30.7,77.9,204.1,1119.1,13670.8,154.2,1.5,1,AWS
152,18,2,STN026,2024-02-25 19:58:40,61.8,187.0,367.7,418.4,2161.7,16303.0,419.6,2.6,1,Radar_Derived
153,53,6,STN044,2021-04-24 01:10:04,22.7,78.7,157.0,219.2,590.5,8416.8,161.1,2.6,1,Manual
154,12,1,STN013,2021-10-25 04:21:52,13.6,47.5,47.6,93.4,812.1,10599.7,154.4,0.9,0,Radar_Derived
155,57,7,STN005,2023-01-28 05:06:23,31.2,36.5,92.9,95.2,464.6,5475.7,113.8,1.7,0,AWS
156,50,6,STN006,2020-02-11 23:07:32,3.2,12.0,12.4,35.2,303.9,1750.2,331.9,2.0,0,AWS
157,10,1,STN009,2019-05-22 00:38:05,21.5,80.9,174.5,654.2,5961.6,34068.5,54.5,1.9,1,Manual
158,59,8,STN045,2018-11-04 08:55:01,16.5,43.1,111.2,282.0,1162.4,16137.8,429.1,1.7,1,Radar_Derived
159,57,7,STN031,2024-08-20 17:09:44,20.7,23.5,30.5,115.4,625.1,5857.7,114.0,2.0,1,AWS
160,32,3,STN040,2024-05-06 21:57:47,7.3,18.3,42.2,163.8,1381.2,13539.0,75.3,1.2,1,Manual
161,11,1,STN027,2021-11-09 14:33:49,9.6,32.8,86.0,261.3,1278.5,11099.5,486.2,2.4,1,Manual
162,56,7,STN009,2022-09-05 06:49:44,3.6,9.2,19.0,30.1,242.5,2165.0,313.2,1.4,0,Manual
163,20,2,STN019,2020-01-31 04:40:20,2.3,3.1,8.7,34.0,252.8,3055.5,276.8,1.1,0,Manual
164,3,1,STN016,2020-10-28 10:23:14,8.1,20.9,42.3,102.2,210.2,1291.5,198.4,7.9,1,Radar_Derived
165,25,3,STN025,2018-07-01 17:08:34,7.9,19.6,32.2,99.5,597.4,2358.8,332.6,4.2,0,IMD
166,41,5,STN031,2021-07-07 06:04:43,18.5,30.4,85.8,228.8,1563.5,6617.8,388.6,3.5,1,AWS
167,26,3,STN009,2019-01-26 21:41:02,6.6,12.5,35.0,43.6,362.9,2235.4,1.9,2.0,0,IMD
168,1,1,STN025,2018-12-01 08:59:18,4.4,12.2,33.4,71.7,318.9,3665.4,155.9,2.0,0,AWS
169,14,2,STN005,2024-09-03 19:54:30,1.0,1.4,3.8,6.4,54.7,746.4,392.7,0.9,0,Radar_Derived
170,11,1,STN040,2022-11-06 19:29:01,1.0,3.3,8.2,27.7,122.4,799.8,299.9,3.5,0,Radar_Derived
171,24,3,STN048,2024-02-02 22:22:52,8.0,17.9,20.4,52.9,320.2,4180.0,238.1,1.3,0,Radar_Derived
172,4,1,STN046,2019-06-20 03:23:36,8.9,22.2,33.5,79.4,779.8,4394.2,63.8,1.8,0,Manual
173,38,4,STN003,2020-05-12 06:07:10,1.8,3.0,6.6,11.8,27.5,372.8,6.9,3.2,0,Radar_Derived
174,14,2,STN044,2019-04-27 09:46:56,13.4,49.7,71.4,156.3,891.9,7597.2,361.5,2.1,1,Radar_Derived
175,17,2,STN001,2023-02-24 00:14:25,4.9,17.5,51.9,106.9,224.5,2484.4,224.6,4.3,1,AWS
176,11,1,STN036,2019-09-26 03:55:11,15.5,45.5,57.1,156.6,1475.7,19633.6,251.7,0.8,1,AWS
177,31,3,STN036,2020-12-07 14:08:27,3.0,10.1,22.2,35.4,73.9,487.2,389.6,7.3,0,Radar_Derived
178,37,4,STN011,2018-05-31 12:25:42,34.0,37.3,57.7,118.7,457.3,2369.0,126.2,5.0,1,Manual
179,14,2,STN022,2023-11-05 23:17:37,21.1,56.7,69.5,178.1,796.9,10616.8,216.5,1.7,1,IMD
180,10,1,STN017,2020-01-13 03:01:55,4.9,8.4,17.8,22.5,181.3,585.2,279.6,3.8,0,AWS
181,51,6,STN025,2020-10-30 20:33:06,0.9,2.0,3.4,7.0,34.2,506.8,276.2,1.4,0,Manual
182,37,4,STN017,2019-11-15 02:39:15,6.9,22.5,64.0,104.0,917.8,4883.7,344.7,2.1,1,Manual
183,37,4,STN032,2019-12-28 15:25:29,5.6,13.9,27.5,74.4,363.6,3529.8,36.0,2.1,0,Manual
184,6,1,STN032,2020-11-18 19:04:37,4.2,14.0,41.9,44.9,286.5,2731.2,148.9,1.6,0,Radar_Derived
185,51,6,STN032,2019-06-18 06:12:38,9.3,28.3,56.0,124.2,609.4,2029.8,47.0,6.1,1,IMD
186,15,2,STN040,2019-03-12 10:19:33,34.1,65.6,89.7,143.2,1399.7,12587.1,78.1,1.1,1,IMD
187,17,2,STN038,2024-10-08 00:05:00,20.0,51.5,92.1,313.2,1589.7,20397.9,411.7,1.5,1,Radar_Derived
188,46,5,STN039,2018-03-17 09:53:40,39.5,117.6,251.8,319.5,3147.1,27614.2,265.2,1.2,1,IMD
189,25,3,STN030,2024-11-16 18:24:29,11.0,23.8,32.4,36.0,266.6,1177.9,400.5,3.1,0,AWS
190,30,3,STN012,2022-11-06 09:14:43,1.9,4.0,10.4,28.1,154.8,758.3,133.5,3.7,0,Manual
191,40,5,STN031,2019-03-01 21:54:48,10.4,21.7,51.3,146.4,476.6,6442.4,233.5,2.3,1,IMD
192,8,1,STN044,2021-10-06 09:43:39,1.0,3.9,9.2,14.9,126.2,1484.4,425.0,1.0,0,IMD
193,53,6,STN038,2022-10-03 16:21:26,7.1,21.8,59.6,182.4,977.8,3670.7,463.9,5.0,1,Manual
194,44,5,STN039,2023-04-27 06:22:32,4.8,18.7,50.9,175.8,1519.7,9908.6,106.3,1.8,1,AWS
195,55,7,STN027,2021-01-26 08:56:31,0.5,1.1,1.4,3.1,18.4,148.9,401.0,2.1,0,Manual
196,39,4,STN026,2020-12-16 23:21:33,5.9,19.0,33.6,59.7,398.0,2460.0,221.3,2.4,0,IMD
197,23,3,STN023,2020-09-04 08:54:28,23.8,85.5,196.3,618.5,1878.8,6166.6,182.3,10.0,1,Radar_Derived
198,32,3,STN011,2024-09-25 20:00:35,12.9,39.2,97.8,277.1,1252.1,7166.9,311.9,3.9,1,Manual
199,57,7,STN002,2020-08-28 14:51:52,4.3,11.4,32.9,109.2,639.5,1974.5,114.8,5.5,1,AWS
200,13,2,STN047,2023-12-26 11:59:25,8.7,13.6,30.1,52.5,357.4,2371.5,370.2,2.2,0,IMD
201,45,5,STN018,2018-04-30 15:14:29,2.3,9.0,24.8,31.3,62.9,852.9,109.2,3.7,0,Manual
202,54,6,STN002,2021-07-11 03:02:51,13.4,19.1,32.9,55.6,348.3,3684.9,215.9,1.5,0,AWS
203,58,7,STN019,2022-06-05 14:17:41,5.6,17.2,51.5,198.9,1024.9,8386.4,18.7,2.4,1,AWS
204,55,7,STN009,2023-06-13 06:52:50,8.4,20.4,24.9,69.3,572.5,6586.4,379.0,1.1,0,Manual
205,53,6,STN005,2018-08-07 02:01:11,9.9,22.9,45.0,117.0,872.4,8860.0,57.5,1.3,1,Manual
206,34,4,STN017,2024-08-21 14:30:36,10.0,16.1,22.4,38.3,332.3,2700.1,131.8,1.4,0,AWS
207,57,7,STN021,2023-01-06 20:23:17,12.2,29.5,64.3,229.2,500.4,6356.5,172.0,3.6,1,AWS
208,27,3,STN003,2020-01-31 14:01:46,5.2,13.4,22.4,73.2,181.8,731.3,423.1,10.0,0,IMD
209,61,8,STN011,2024-09-22 05:15:56,12.7,47.8,130.3,353.1,1066.0,9491.5,126.8,3.7,1,Manual
210,62,8,STN044,2019-02-24 22:47:13,24.0,41.9,76.4,191.1,395.9,5542.6,252.5,3.4,1,IMD
211,32,3,STN038,2018-09-28 01:40:51,14.0,49.5,85.5,312.9,2675.1,16606.9,248.0,1.9,1,Radar_Derived
212,34,4,STN014,2024-01-13 21:41:19,5.8,18.5,37.5,59.6,124.3,752.2,420.7,7.9,0,Manual
213,30,3,STN014,2022-11-08 10:42:18,11.7,12.0,19.0,34.0,103.2,538.3,28.9,6.3,0,IMD
214,13,2,STN008,2023-01-25 17:55:52,7.1,24.0,61.7,210.4,852.3,10118.7,41.4,2.1,1,Radar_Derived
215,48,6,STN034,2021-08-26 23:39:32,17.6,67.7,202.3,741.7,4751.8,51832.0,450.5,1.4,1,AWS
216,2,1,STN013,2020-02-02 20:02:29,9.8,20.7,20.9,65.6,310.8,2511.2,312.5,2.6,0,IMD
217,8,1,STN048,2022-01-21 05:13:53,24.3,27.1,34.2,131.4,954.9,7473.5,97.9,1.8,1,IMD
218,62,8,STN039,2019-11-08 07:22:54,33.3,68.5,201.3,792.2,1770.4,17999.5,296.6,4.4,1,Manual
