building_id,state_id,district_id,lat,lon,use_type,construction_type,num_floors,construction_year,occupancy,footprint_sqm,structural_condition,landslide_exposure,replacement_value_inr
20,40,5,27.86654,97.58355,Industrial,Kutcha,6,1966,25,118.1,Poor,Negligible,2539165.0
21,8,1,24.33526,98.8853,Commercial,Timber,5,2011,37,171.3,Good,Negligible,2785334.0
22,22,2,22.72426,96.21867,Industrial,Kutcha,5,1969,43,375.8,Poor,Low,3476457.0
23,23,3,27.77449,91.6964,Industrial,Masonry,6,1959,39,284.3,Poor,Negligible,3066882.0
24,31,3,27.79163,95.54748,Institutional,Masonry,5,1989,28,345.9,Good,Negligible,4629134.0
25,29,3,26.04116,98.83444,Commercial,Steel,6,1976,42,412.9,Good,Negligible,1675052.0
26,7,1,26.2457,92.01785,Industrial,Steel,1,2022,23,19.0,Fair,Medium,2804336.0
27,54,6,29.69887,91.45629,Mixed,Masonry,5,1964,15,100.8,Poor,Negligible,4916652.0
28,36,4,25.20735,90.70254,Institutional,Steel,5,2003,18,292.7,Good,High,747074.0
29,46,5,23.23157,97.78832,Industrial,Reinforced Concrete,1,1973,27,439.5,Good,Medium,3754343.0
30,44,5,29.22862,98.60268,Residential,Reinforced Concrete,3,1976,14,493.8,Dilapidated,High,2959368.0
31,12,1,26.82515,98.09233,Institutional,Timber,2,1960,5,201.8,Fair,Negligible,545606.0
32,18,2,28.66023,98.6337,Institutional,Steel,1,1998,28,470.9,Dilapidated,High,3776476.0
33,16,2,23.46826,90.75704,Residential,Masonry,1,1988,34,48.1,Dilapidated,Low,1954973.0
34,4,1,26.52703,90.44266,Commercial,Kutcha,4,2015,15,375.6,Poor,High,1108614.0
35,49,6,29.39686,98.76082,Mixed,Masonry,2,2006,44,239.1,Poor,High,974015.0
36,53,6,28.02085,91.13258,Commercial,Steel,1,1996,46,25.9,Good,Negligible,686692.0
37,53,6,28.12109,91.28971,Institutional,Masonry,6,2023,21,45.9,Dilapidated,Medium,4577688.0
38,26,3,23.7086,90.4352,Institutional,Timber,4,1992,5,411.5,Poor,Low,3391980.0
39,11,1,22.74489,90.7992,Mixed,Masonry,2,2020,12,333.1,Good,High,505094.0
40,51,6,29.51623,91.0344,Commercial,Kutcha,5,1994,3,284.2,Fair,High,639448.0
41,40,5,27.86279,97.86746,Commercial,Steel,5,2001,43,10.2,Poor,High,2905342.0
42,55,7,28.84409,94.28739,Commercial,Kutcha,5,1966,47,51.6,Poor,Low,4231466.0
43,19,2,24.31831,96.22364,Industrial,Reinforced Concrete,4,1978,26,462.1,Dilapidated,Low,681510.0
44,7,1,26.30724,92.39013,Industrial,Timber,3,2005,10,476.4,Poor,Low,3826427.0
45,43,5,29.83835,97.6068,Residential,Masonry,5,1953,35,287.1,Poor,Medium,1729645.0
46,36,4,25.17787,90.75435,Institutional,Steel,3,1963,45,146.6,Fair,Low,687963.0
47,41,5,22.77721,94.23947,Residential,Steel,1,2002,4,252.8,Good,High,1310206.0
48,62,8,26.86894,92.27516,Mixed,Timber,1,2011,21,364.1,Fair,Negligible,2031753.0
49,6,1,26.60544,96.98514,Residential,Steel,4,1989,13,86.6,Good,Medium,4603888.0
50,35,4,23.25255,91.75451,Commercial,Kutcha,5,1954,12,492.8,Good,Medium,4623721.0
51,19,2,24.15682,96.37472,Mixed,Reinforced Concrete,3,1993,39,472.8,Good,High,3534680.0
52,46,5,23.15075,97.54289,Industrial,Kutcha,2,1981,12,308.5,Dilapidated,High,400484.0
53,57,7,23.64871,93.27235,Commercial,Kutcha,5,1980,40,118.1,Fair,Negligible,3156121.0
54,53,6,27.95236,91.31209,Institutional,Kutcha,2,2000,12,35.7,Fair,Negligible,1143081.0
55,45,5,28.79065,94.94461,Mixed,Kutcha,6,2023,30,58.1,Fair,Medium,2221577.0
56,54,6,29.67619,91.65254,Residential,Reinforced Concrete,3,1971,42,103.2,Good,Low,2131664.0
57,54,6,29.59537,91.5802,Mixed,Steel,3,2007,33,389.1,Poor,Negligible,976062.0
58,19,2,24.381,96.24583,Industrial,Masonry,4,1967,24,312.4,Good,Low,3374599.0
59,39,4,27.57548,91.02867,Institutional,Timber,6,2002,18,207.1,Dilapidated,Low,2769793.0
60,47,6,29.51721,99.40353,Mixed,Reinforced Concrete,5,1965,2,212.3,Poor,Negligible,4718152.0
61,23,3,27.99735,91.70529,Mixed,Kutcha,2,1988,5,73.7,Good,Medium,3557823.0
62,36,4,25.21521,90.79332,Residential,Timber,3,1980,20,377.2,Poor,Medium,4700705.0
63,32,3,25.3314,95.97893,Residential,Kutcha,4,2007,40,274.6,Poor,High,2411034.0
64,48,6,26.6415,94.96215,Institutional,Masonry,3,2022,33,65.7,Fair,Medium,871403.0
65,27,3,25.32797,90.74131,Commercial,Timber,2,1954,37,387.3,Good,Low,3388822.0
66,18,2,28.68837,98.58738,Commercial,Timber,1,2014,47,463.2,Fair,Negligible,3735625.0
67,51,6,29.68524,90.87267,Commercial,Reinforced Concrete,6,2009,37,435.2,Good,Negligible,4978010.0
68,45,5,28.72433,94.92831,Industrial,Steel,5,1999,6,133.3,Poor,Negligible,835936.0
69,19,2,24.29782,96.3669,Industrial,Timber,2,2014,8,310.7,Fair,Medium,1695402.0
70,16,2,23.49411,90.88513,Residential,Kutcha,5,1976,10,436.8,Good,Negligible,948638.0
71,58,7,27.16611,94.42828,Institutional,Timber,3,1950,20,180.1,Poor,Medium,4545236.0
72,30,3,25.54694,92.70426,Residential,Reinforced Concrete,3,1999,44,467.2,Dilapidated,High,3032676.0
73,25,3,26.38467,96.73127,Residential,Steel,6,1996,47,217.5,Poor,High,2024437.0
74,7,1,26.23003,92.26126,Institutional,Reinforced Concrete,6,2006,21,202.2,Fair,Negligible,4277279.0
75,6,1,26.39981,97.21171,Residential,Steel,5,1986,24,18.6,Poor,Low,2507218.0
76,16,2,23.43131,90.52086,Institutional,Masonry,3,1960,38,488.4,Poor,Negligible,4011450.0
77,14,2,22.82567,92.97546,Industrial,Masonry,3,1986,43,399.7,Poor,Medium,2053958.0
78,2,1,24.06029,91.58834,Industrial,Reinforced Concrete,4,1995,33,421.3,Fair,Low,3540195.0
79,14,2,22.68952,92.73333,Mixed,Timber,6,1950,14,271.6,Good,Medium,4070868.0
80,2,1,24.02979,91.39647,Commercial,Steel,4,1963,15,273.7,Dilapidated,Negligible,3421912.0
81,37,4,26.87877,94.61399,Residential,Reinforced Concrete,3,1984,39,253.9,Dilapidated,Negligible,2781399.0
82,12,1,26.87928,97.99595,Commercial,Steel,3,1968,45,379.3,Fair,Negligible,1865204.0
83,26,3,24.0306,90.28063,Commercial,Reinforced Concrete,1,1989,33,495.4,Fair,Low,1807824.0
84,32,3,25.59794,95.95617,Residential,Kutcha,2,1973,44,246.5,Poor,Low,849609.0
85,39,4,27.46981,91.02379,Residential,Kutcha,6,1979,43,166.7,Dilapidated,High,1073781.0
86,43,5,29.85656,97.5333,Institutional,Steel,5,1952,29,175.8,Dilapidated,Low,3436591.0
87,3,1,27.56217,98.93472,Residential,Kutcha,1,1974,35,137.2,Poor,Low,175958.0
88,30,3,25.66234,92.69412,Mixed,Kutcha,6,2021,18,366.2,Dilapidated,High,3136494.0
89,3,1,27.29971,98.79712,Institutional,Masonry,1,2008,44,272.4,Fair,Negligible,4849118.0
90,21,2,24.07403,99.52929,Residential,Steel,3,1997,43,137.4,Good,Negligible,1478537.0
91,4,1,26.5362,90.43967,Residential,Masonry,1,1955,32,398.4,Fair,Low,4602593.0
92,11,1,22.7499,91.11563,Industrial,Timber,4,2006,44,342.5,Poor,Medium,2624554.0
93,18,2,28.70089,98.5638,Institutional,Steel,5,1975,38,257.4,Good,Medium,4495174.0
94,53,6,28.30357,91.47088,Residential,Timber,1,2006,10,394.5,Fair,Negligible,4587305.0
95,34,4,25.87582,97.37521,Commercial,Timber,6,1999,47,226.1,Good,Medium,394835.0
96,10,1,23.80839,97.4428,Residential,Kutcha,5,1966,22,489.7,Dilapidated,Medium,3543863.0
97,37,4,26.94886,94.72708,Industrial,Timber,2,2013,38,291.9,Dilapidated,Negligible,4092769.0
98,20,2,23.22724,93.35383,Residential,Steel,6,1967,14,322.9,Poor,Negligible,3490036.0
99,4,1,26.77973,90.29028,Mixed,Masonry,5,1959,42,161.6,Good,High,4787027.0
100,18,2,28.80976,98.55548,Residential,Masonry,5,1967,22,360.6,Good,Medium,2931133.0
101,7,1,26.48153,92.347,Commercial,Kutcha,5,1989,15,233.5,Good,High,2413125.0
102,4,1,26.79084,90.43083,Residential,Timber,4,2016,21,48.1,Good,Medium,3366133.0
103,62,8,27.01081,92.36603,Institutional,Timber,4,1954,20,467.2,Dilapidated,Low,3645237.0
104,12,1,26.9761,98.07875,Industrial,Reinforced Concrete,5,1973,28,456.7,Dilapidated,Negligible,2220168.0
105,15,2,26.98193,98.47291,Industrial,Reinforced Concrete,2,1969,50,59.8,Fair,Medium,2353763.0
106,57,7,23.56562,93.20607,Mixed,Steel,5,2023,17,85.2,Poor,Negligible,2872865.0
107,58,7,27.39632,94.33098,Residential,Steel,6,2013,47,282.0,Poor,Negligible,4570505.0
108,60,8,24.53473,96.00191,Mixed,Timber,1,1993,50,81.5,Dilapidated,Low,2453982.0
109,23,3,27.77765,91.52994,Commercial,Reinforced Concrete,5,2013,3,196.5,Dilapidated,Low,18998.0
110,49,6,29.51592,98.82914,Mixed,Kutcha,4,2021,30,193.1,Fair,Medium,4370765.0
111,18,2,28.88674,98.62013,Industrial,Timber,3,1999,34,27.5,Fair,Medium,4649302.0
112,1,1,27.08585,90.27604,Mixed,Masonry,5,2023,38,116.0,Fair,Low,4473325.0
113,28,3,28.84444,93.08212,Institutional,Timber,5,1961,4,140.1,Fair,Negligible,398665.0
114,12,1,26.76651,98.05316,Commercial,Kutcha,6,2017,50,264.7,Dilapidated,Low,3676843.0
115,19,2,24.17722,96.28422,Industrial,Steel,1,2014,44,236.2,Good,Negligible,14402.0
116,52,6,28.38171,99.84103,Commercial,Kutcha,3,1982,31,167.7,Poor,Medium,1333575.0
117,9,1,27.51573,93.43912,Commercial,Masonry,6,1961,42,52.1,Poor,High,2203646.0
118,45,5,28.7806,94.89417,Mixed,Masonry,2,2002,8,308.1,Fair,Negligible,2009061.0
119,30,3,25.62949,92.61996,Industrial,Reinforced Concrete,1,1979,23,26.6,Dilapidated,Medium,1356499.0
120,62,8,27.00676,92.38446,Mixed,Reinforced Concrete,4,1997,43,143.4,Dilapidated,Medium,2721873.0
121,34,4,25.96248,97.74682,Mixed,Steel,1,1984,49,276.1,Poor,Negligible,4270439.0
122,49,6,29.3828,98.89699,Industrial,Reinforced Concrete,4,1971,41,332.9,Good,Medium,4030051.0
123,1,1,27.115,90.42358,Mixed,Masonry,1,1977,11,39.4,Good,Low,132315.0
124,9,1,27.50392,93.21805,Industrial,Timber,6,2021,42,32.7,Good,Medium,2635660.0
125,9,1,27.48865,93.24293,Residential,Reinforced Concrete,2,1977,32,57.2,Dilapidated,Negligible,1803658.0
126,36,4,25.41539,90.72107,Institutional,Kutcha,5,2018,47,416.3,Poor,Negligible,4265554.0
127,13,2,26.3626,99.7492,Institutional,Steel,1,1980,1,38.2,Dilapidated,High,460768.0
128,62,8,26.92929,92.22491,Commercial,Masonry,2,2011,32,208.1,Dilapidated,Medium,1210860.0
129,3,1,27.41404,98.79403,Industrial,Reinforced Concrete,6,2016,23,339.3,Poor,Low,3539453.0
130,26,3,23.88492,90.43411,Commercial,Steel,2,1976,39,393.5,Fair,Negligible,486297.0
131,43,5,29.62449,97.70875,Commercial,Masonry,2,1990,37,392.7,Poor,Negligible,2579277.0
132,20,2,23.31937,93.67676,Industrial,Timber,2,2008,29,250.5,Dilapidated,Low,430904.0
133,39,4,27.4451,91.07604,Industrial,Steel,1,1996,28,45.1,Fair,Negligible,2210370.0
134,29,3,25.94371,98.84057,Commercial,Masonry,3,1953,18,249.0,Fair,Medium,4930580.0
135,25,3,26.62724,96.83714,Mixed,Steel,3,2008,12,118.2,Poor,Negligible,1681785.0
136,14,2,22.5953,92.77314,Mixed,Reinforced Concrete,5,2000,9,469.5,Fair,Medium,571229.0
137,35,4,23.04498,91.7089,Institutional,Masonry,6,1977,45,341.6,Poor,High,4294119.0
138,30,3,25.60531,92.71546,Industrial,Masonry,3,1963,7,318.5,Good,High,2138165.0
139,43,5,29.68436,97.4276,Residential,Masonry,6,1955,2,151.8,Good,High,4063977.0
140,4,1,26.86796,90.16634,Residential,Timber,3,1973,8,153.8,Poor,High,4349325.0
141,57,7,23.7923,93.17409,Industrial,Masonry,1,1969,8,359.9,Dilapidated,Low,773356.0
142,60,8,24.61529,96.02729,Residential,Kutcha,4,2016,32,387.0,Good,Medium,3876681.0
143,51,6,29.43887,90.86853,Industrial,Masonry,4,1985,4,27.9,Poor,Low,1046969.0
144,16,2,23.43277,90.72948,Mixed,Reinforced Concrete,6,1967,8,489.4,Dilapidated,Negligible,2798602.0
145,35,4,23.13429,91.67601,Industrial,Reinforced Concrete,5,1997,6,140.0,Poor,High,3236015.0
146,18,2,28.64379,98.69599,Industrial,Reinforced Concrete,4,1991,16,372.2,Fair,Medium,874651.0
147,26,3,23.89234,90.19916,Commercial,Masonry,1,1970,43,171.1,Poor,Medium,2874043.0
148,22,2,22.64961,96.2693,Mixed,Timber,1,1967,37,152.6,Fair,High,4130042.0
149,6,1,26.5923,97.00427,Residential,Steel,1,1989,45,194.0,Good,Medium,1405744.0
150,26,3,23.63854,90.12161,Residential,Kutcha,3,1956,40,476.8,Good,High,1762515.0
151,50,6,24.01659,92.47546,Institutional,Timber,3,2018,30,153.5,Poor,Medium,597082.0
152,18,2,28.70293,98.74066,Commercial,Timber,2,1973,4,67.8,Good,Medium,393142.0
153,40,5,28.0383,97.59219,Commercial,Kutcha,5,1994,6,475.1,Dilapidated,Negligible,2929248.0
154,11,1,22.76567,90.94346,Industrial,Kutcha,4,1985,38,154.4,Poor,Negligible,907309.0
155,53,6,27.94305,91.15303,Institutional,Timber,2,1978,30,117.1,Good,Low,3207210.0
156,13,2,26.11689,99.59355,Residential,Masonry,1,1981,13,73.7,Good,High,1865033.0
157,58,7,27.26434,94.52489,Industrial,Timber,6,2012,41,125.2,Good,Negligible,360206.0
158,51,6,29.56003,90.99584,Residential,Steel,1,1984,49,325.6,Poor,Low,392088.0
159,2,1,23.94226,91.4918,Residential,Reinforced Concrete,2,2007,30,283.5,Good,Negligible,835365.0
160,27,3,25.12155,90.72862,Institutional,Steel,2,1975,11,190.7,Good,High,3866694.0
161,56,7,29.51907,97.63163,Residential,Kutcha,6,2010,25,186.0,Poor,Negligible,2719075.0
162,18,2,28.69666,98.68591,Industrial,Timber,2,1964,13,341.8,Dilapidated,High,465066.0
163,1,1,27.20819,90.28825,Industrial,Kutcha,5,1974,21,150.6,Poor,Negligible,2725603.0
164,1,1,27.24524,90.31036,Industrial,Reinforced Concrete,5,1968,7,222.7,Poor,Medium,184311.0
165,61,8,26.89987,90.25254,Mixed,Masonry,5,2008,11,182.6,Dilapidated,Medium,4229400.0
166,9,1,27.73121,93.49663,Mixed,Kutcha,6,2014,24,297.8,Fair,Low,2651236.0
167,30,3,25.57424,92.77976,Mixed,Masonry,1,1994,35,22.3,Good,High,4175465.0
168,41,5,22.9629,94.19534,Mixed,Kutcha,1,1971,27,153.7,Good,Medium,3098808.0
169,35,4,23.14958,91.78756,Industrial,Reinforced Concrete,5,2003,17,340.0,Fair,Negligible,3665176.0
170,55,7,28.99775,94.18778,Residential,Masonry,5,1952,50,64.4,Fair,Low,461552.0
171,3,1,27.47154,98.82966,Industrial,Masonry,6,1952,4,158.8,Fair,Medium,1261700.0
172,38,4,29.77949,98.45138,Industrial,Masonry,6,2021,19,358.3,Good,Medium,3298025.0
173,45,5,28.89734,95.05161,Commercial,Reinforced Concrete,1,2022,47,369.6,Dilapidated,Medium,43266.0
174,7,1,26.45243,92.37563,Residential,Timber,2,1959,27,453.9,Fair,Low,4208278.0
175,4,1,26.80485,90.24344,Commercial,Timber,4,1965,27,281.4,Fair,Medium,1994652.0
176,56,7,29.62493,97.45833,Mixed,Timber,3,2006,3,58.8,Good,Low,511471.0
177,28,3,29.1563,93.02334,Commercial,Kutcha,4,2011,12,334.5,Good,Negligible,1233376.0
178,18,2,28.87652,98.52182,Commercial,Kutcha,2,1984,50,99.5,Good,Medium,1289792.0
179,42,5,22.01786,97.39401,Commercial,Reinforced Concrete,3,1958,4,194.7,Fair,High,2901295.0
180,57,7,23.44685,92.95924,Commercial,Timber,2,1972,34,76.6,Poor,Negligible,872066.0
181,21,2,24.09978,99.29613,Industrial,Steel,5,1975,47,149.4,Poor,High,4363699.0
182,31,3,28.00841,95.57031,Commercial,Reinforced Concrete,1,2000,31,20.0,Fair,Medium,4012053.0
183,52,6,28.33467,99.87855,Residential,Reinforced Concrete,6,1960,15,41.5,Good,Medium,2148341.0
184,6,1,26.40071,97.07002,Industrial,Timber,4,2015,18,131.3,Poor,Low,2173584.0
185,28,3,28.9151,93.24087,Commercial,Kutcha,6,1972,23,46.1,Fair,Low,3527952.0
186,57,7,23.7309,93.12401,Institutional,Steel,3,1974,46,85.4,Poor,Negligible,3604539.0
187,23,3,27.82018,91.66158,Commercial,Timber,6,2014,43,199.3,Poor,High,135296.0
188,8,1,24.23181,98.7816,Residential,Steel,3,1950,15,222.5,Good,Negligible,690880.0
189,61,8,26.73367,90.13142,Mixed,Kutcha,5,1990,47,292.7,Poor,Low,3128045.0
190,29,3,26.16418,98.64832,Mixed,Masonry,1,1995,37,416.6,Poor,High,1378553.0
191,55,7,28.93151,94.37276,Industrial,Kutcha,5,2023,34,93.5,Poor,Medium,4676619.0
192,3,1,27.22903,98.82885,Commercial,Steel,1,1968,28,93.5,Fair,Medium,2401210.0
193,32,3,25.26903,95.87073,Institutional,Masonry,3,2015,6,459.2,Dilapidated,Medium,260717.0
194,27,3,25.33006,90.55374,Commercial,Masonry,4,1996,24,469.0,Fair,Negligible,2948698.0
195,14,2,22.4471,92.9011,Institutional,Timber,6,1966,13,266.8,Dilapidated,Low,2772996.0
196,41,5,22.91698,94.1712,Industrial,Reinforced Concrete,3,1956,34,267.4,Dilapidated,Low,4026756.0
197,1,1,26.95535,90.36238,Institutional,Timber,1,2020,32,386.7,Poor,Negligible,649043.0
198,51,6,29.6702,91.00558,Residential,Timber,2,1954,42,410.5,Dilapidated,Low,688038.0
199,39,4,27.50038,91.13088,Commercial,Steel,2,2022,26,398.7,Dilapidated,High,1772876.0
200,20,2,23.26499,93.45291,Mixed,Reinforced Concrete,6,2003,10,412.6,Fair,Negligible,1065439.0
201,59,8,25.41281,92.50728,Industrial,Masonry,3,1989,33,145.6,Dilapidated,Low,2758346.0
202,36,4,25.3387,90.59033,Industrial,Masonry,4,1959,36,16.3,Poor,Negligible,836267.0
203,40,5,27.81488,97.827,Residential,Masonry,4,1950,46,446.5,Fair,High,2902150.0
204,7,1,26.43655,92.18265,Residential,Reinforced Concrete,1,2012,29,218.4,Poor,High,2643166.0
205,47,6,29.67563,99.24601,Institutional,Reinforced Concrete,3,1983,20,484.8,Dilapidated,Medium,2132654.0
206,8,1,24.09163,98.54496,Commercial,Reinforced Concrete,2,2005,6,424.3,Poor,Medium,4113029.0
207,14,2,22.61943,92.78778,Residential,Steel,1,1995,26,192.5,Good,High,345639.0
208,56,7,29.43612,97.53506,Industrial,Masonry,3,1976,28,451.2,Poor,High,2846499.0
209,39,4,27.41789,91.08037,Mixed,Kutcha,6,1988,30,434.0,Poor,Negligible,1980186.0
210,55,7,29.10975,94.14247,Residential,Masonry,6,1977,4,470.9,Poor,High,1274196.0
211,22,2,22.4624,96.27864,Industrial,Reinforced Concrete,1,1988,13,164.1,Poor,Medium,2234287.0
212,21,2,24.13903,99.32732,Industrial,Kutcha,6,2000,49,304.5,Good,Medium,2477979.0
213,62,8,27.04002,92.39333,Commercial,Reinforced Concrete,5,1958,25,249.3,Dilapidated,Negligible,3540607.0
214,18,2,28.7613,98.67558,Commercial,Masonry,2,2019,5,456.0,Dilapidated,Medium,1206914.0
215,34,4,25.95171,97.66511,Commercial,Steel,2,2021,35,126.7,Dilapidated,Medium,475106.0
216,22,2,22.76253,96.21467,Residential,Kutcha,6,1976,36,427.7,Poor,Low,2176701.0
217,2,1,23.89209,91.26967,Residential,Masonry,1,1958,50,458.6,Fair,Low,3714702.0
218,28,3,29.15131,93.04756,Commercial,Kutcha,3,1957,36,493.5,Fair,Medium,889511.0
219,51,6,29.44601,90.67634,Institutional,Steel,2,2004,36,319.6,Fair,Low,4154142.0
220,49,6,29.62677,98.8437,Mixed,Steel,6,1969,12,36.8,Dilapidated,Negligible,2201943.0
221,1,1,26.9498,90.10134,Industrial,Kutcha,4,1994,16,380.5,Good,Low,21699.0
222,32,3,25.32212,95.71256,Commercial,Masonry,2,1966,45,59.1,Poor,High,578574.0
223,11,1,22.68321,90.90901,Residential,Masonry,5,1962,2,497.0,Poor,High,3553811.0
224,30,3,25.55319,92.64325,Institutional,Masonry,4,1956,3,276.4,Dilapidated,High,286544.0
225,6,1,26.66416,97.08749,Institutional,Timber,6,1997,6,312.3,Poor,Low,2674740.0
226,33,4,23.64702,99.91,Residential,Kutcha,2,1956,11,448.0,Dilapidated,Medium,133682.0
227,48,6,26.93384,94.76379,Institutional,Reinforced Concrete,2,1955,24,282.3,Good,High,678818.0
228,8,1,24.17322,98.876,Residential,Reinforced Concrete,4,1995,31,256.7,Poor,Medium,835905.0
229,31,3,27.8002,95.22012,Commercial,Steel,6,1978,37,313.2,Dilapidated,Negligible,1339366.0
230,20,2,23.22067,93.70031,Mixed,Timber,2,1956,41,287.7,Poor,Negligible,3382243.0
231,15,2,26.7983,98.45309,Commercial,Masonry,4,2020,11,186.0,Dilapidated,High,4515422.0
232,55,7,28.93908,94.38344,Industrial,Steel,1,2012,47,281.4,Poor,Medium,134581.0
233,32,3,25.27445,95.9395,Mixed,Steel,2,1996,30,443.5,Good,Negligible,3924874.0
234,14,2,22.64672,92.81102,Institutional,Reinforced Concrete,6,1998,1,65.0,Good,Medium,2002128.0
235,44,5,29.45922,98.80727,Residential,Reinforced Concrete,6,1959,4,442.0,Good,High,2733063.0
236,26,3,23.90998,90.21915,Mixed,Masonry,5,2021,26,227.8,Dilapidated,High,1732036.0
237,6,1,26.67951,97.10211,Mixed,Steel,1,2022,30,421.5,Good,Medium,1051679.0
238,33,4,23.83829,100.05576,Residential,Timber,5,1979,35,161.0,Poor,High,2295246.0
239,30,3,25.82243,92.5528,Residential,Kutcha,1,1964,2,484.5,Good,High,1628567.0
240,21,2,24.24869,99.52296,Residential,Reinforced Concrete,2,1989,43,12.1,Fair,Low,2793436.0
241,32,3,25.59855,95.90991,Institutional,Reinforced Concrete,4,1999,33,439.7,Poor,High,1873123.0
242,50,6,23.78006,92.23976,Residential,Kutcha,3,1951,5,213.6,Good,High,2475174.0
243,2,1,23.8132,91.24458,Industrial,Kutcha,1,2005,42,323.4,Good,Negligible,2701030.0
244,22,2,22.617,96.47836,Institutional,Kutcha,5,2004,47,447.2,Poor,Negligible,2056880.0
245,61,8,26.86496,90.2458,Commercial,Kutcha,4,1989,30,127.7,Dilapidated,Low,550397.0
246,45,5,28.65748,95.15363,Institutional,Reinforced Concrete,2,1972,50,66.6,Fair,Low,3268702.0
247,19,2,24.07305,96.27703,Commercial,Reinforced Concrete,6,1991,10,227.2,Dilapidated,Low,69059.0
248,31,3,28.11989,95.47332,Commercial,Steel,2,1956,23,100.0,Fair,Low,4892409.0
249,39,4,27.40879,90.99805,Commercial,Timber,6,2023,46,239.4,Good,Negligible,3359797.0
250,15,2,26.91847,98.57546,Institutional,Kutcha,1,2001,39,319.4,Good,Negligible,4909922.0
251,10,1,23.75203,97.65959,Residential,Masonry,5,1961,4,483.6,Good,High,986590.0
252,28,3,28.96702,92.99519,Institutional,Reinforced Concrete,5,1962,41,238.1,Good,Low,3307483.0
253,9,1,27.75737,93.57818,Industrial,Masonry,6,1968,5,420.6,Good,Negligible,2918095.0
254,11,1,22.9406,91.06922,Residential,Steel,2,1972,14,419.2,Good,Low,1116204.0
255,44,5,29.4357,98.60415,Mixed,Reinforced Concrete,4,2002,13,171.3,Fair,Negligible,3077278.0
256,24,3,24.19587,99.39739,Residential,Kutcha,4,1950,37,75.9,Poor,Negligible,1877833.0
257,48,6,26.8505,94.89762,Industrial,Timber,3,2021,32,427.6,Dilapidated,Medium,2336668.0
258,20,2,23.31379,93.36885,Residential,Masonry,6,1997,16,347.3,Dilapidated,Low,2683424.0
259,42,5,21.98094,97.10358,Industrial,Reinforced Concrete,3,2005,1,213.3,Fair,High,2424555.0
260,21,2,24.21344,99.32914,Commercial,Masonry,6,1993,19,356.0,Good,Medium,547612.0
261,38,4,29.78443,98.79195,Commercial,Masonry,2,1993,29,165.1,Fair,Low,1481128.0
262,41,5,22.95301,94.17116,Institutional,Timber,5,1998,23,315.1,Good,Medium,3377940.0
263,55,7,29.06239,94.08279,Industrial,Kutcha,4,1986,24,265.5,Dilapidated,Medium,2728799.0
264,39,4,27.6042,91.25108,Residential,Steel,4,1965,13,467.9,Poor,Medium,4428028.0
265,55,7,29.06794,94.33553,Mixed,Kutcha,2,2006,25,358.7,Poor,High,102286.0
266,49,6,29.25207,98.93856,Industrial,Steel,4,1989,36,475.8,Good,High,1706967.0
267,52,6,28.60768,99.8096,Commercial,Kutcha,2,1960,35,499.9,Poor,Medium,4571958.0
268,28,3,29.1887,93.00008,Mixed,Steel,1,1988,33,490.6,Dilapidated,Negligible,4193321.0
269,20,2,23.44205,93.39559,Commercial,Steel,2,1983,10,305.8,Good,Medium,3955906.0
270,35,4,23.14177,91.68595,Commercial,Timber,5,1987,27,211.2,Good,High,644182.0
