record_id,slope_id,district_id,slope_angle_deg,slope_aspect_sin,slope_aspect_cos,flow_accumulation,topographic_wetness_index,plan_curvature,profile_curvature,elevation_m,relative_relief_m,valley_depth_m,terrain_form,roughness_index,normalized_height,slope_position_index
80,112,20,88.91,3.1281,-3.0485,43320.0,60.83,-1.5552,0.0479,2244,54.2,747.5,Planar,120.2,0.5978,49.78
81,192,15,85.26,3.0298,-1.3468,27630.0,60.03,-0.5198,-0.1127,598,24.4,373.4,Planar,440.7,0.7912,82.92
82,422,28,69.46,-4.5856,2.9287,38163.0,1.2,-0.7248,0.5574,2521,25.8,1847.1,Planar,69.2,0.252,53.44
83,141,24,66.52,-4.0657,4.1826,11017.0,99.68,-1.7179,1.8864,5694,20.0,1863.8,Convex,194.9,0.2008,2.53
84,481,6,2.52,-1.0465,-2.8671,16259.0,49.12,-0.4387,1.2754,5459,32.0,116.7,Concave,124.7,0.2245,47.68
85,77,47,72.67,-4.7222,-3.3586,32992.0,82.73,0.6309,0.0129,6690,41.3,272.9,Complex,418.0,0.394,44.53
86,347,36,38.17,-3.6325,-2.9521,38959.0,37.82,1.5244,1.9776,6488,51.4,1067.3,Complex,371.6,0.1519,62.47
87,45,11,43.21,2.3079,4.9186,37109.0,35.21,-0.3584,1.968,7304,70.7,1065.4,Complex,462.5,0.0048,9.98
88,224,56,67.12,-0.5701,-1.6405,43207.0,55.71,0.4704,-0.2011,6308,56.7,1352.0,Convex,179.0,0.368,68.96
89,106,23,54.54,4.7388,1.9353,1229.0,63.61,0.8377,0.9303,4706,47.2,173.6,Concave,63.4,0.7565,1.74
90,474,23,4.52,-1.0968,1.7411,37996.0,87.51,1.7839,-1.6496,2651,40.9,1929.5,Complex,481.1,0.7755,19.66
91,6,1,48.42,-4.3385,-4.4478,43932.0,36.11,1.2077,-1.2363,5286,28.2,1001.3,Convex,357.2,0.9899,71.49
92,422,28,46.7,3.548,-1.1568,12415.0,59.68,1.8276,0.2088,6616,60.5,315.4,Planar,258.6,0.9131,69.21
93,263,37,14.19,-2.7895,-1.2449,1879.0,56.28,1.8459,1.6076,7767,1.5,591.5,Concave,32.4,0.0728,68.6
94,176,21,82.77,-2.849,-4.8648,363.0,48.41,1.798,-0.7332,247,12.4,1704.7,Complex,323.1,0.4166,56.47
95,60,36,84.98,-4.6056,-3.802,38416.0,39.02,-1.1179,-1.785,4712,5.6,853.0,Concave,307.3,0.166,31.9
96,166,39,48.34,0.4123,-2.534,39861.0,86.58,1.999,1.9011,3210,89.0,252.0,Complex,67.2,0.1135,2.26
97,3,47,7.34,-2.3266,3.1955,32461.0,6.3,1.2305,1.1659,7636,37.4,262.4,Concave,380.8,0.5061,14.78
98,105,61,51.6,2.0897,0.2953,2569.0,55.97,-0.7267,0.638,6017,22.3,1830.2,Convex,464.4,0.7807,2.33
99,49,36,59.48,0.9169,-2.1304,6601.0,94.02,0.9634,-1.0917,3570,14.1,649.4,Complex,446.0,0.198,47.57
100,313,39,76.74,4.5273,0.1632,39828.0,47.23,1.1309,-0.173,1513,45.8,67.1,Complex,262.9,0.026,9.55
101,164,2,40.16,1.8013,-1.2027,36890.0,18.26,-1.523,1.4232,4118,73.0,1807.1,Convex,442.1,0.4419,71.53
102,499,9,32.89,-4.8437,4.3907,27934.0,49.54,-0.1309,0.8783,4567,61.9,1629.3,Complex,2.1,0.7542,93.43
103,33,36,3.6,4.4988,-1.4561,39981.0,23.24,-1.1303,-1.6694,6569,42.7,36.9,Convex,80.3,0.2798,87.57
104,39,4,20.15,-1.6096,-2.3131,1996.0,93.28,-1.4032,-1.3946,4027,37.4,1019.7,Complex,455.9,0.4476,85.18
105,370,41,89.02,-2.9195,-2.6361,40920.0,64.41,1.3238,1.6847,4119,78.8,542.3,Complex,231.0,0.456,6.34
106,118,39,35.29,-0.8831,-2.3524,31606.0,71.25,-1.565,0.2325,5953,53.8,905.9,Concave,453.7,0.4549,69.23
107,92,15,89.36,1.7662,1.392,12323.0,15.01,-1.953,-0.5963,1102,10.8,1115.3,Planar,401.9,0.4549,56.11
108,332,54,79.59,-2.4661,-0.622,29554.0,81.79,-0.1573,-1.75,2669,4.7,1016.5,Complex,110.8,0.6817,28.87
109,372,26,80.67,-4.1235,-3.2216,27493.0,9.93,-0.7233,-0.6291,3137,8.4,1195.8,Planar,170.0,0.2331,13.66
110,209,48,20.57,-1.8297,3.1289,13538.0,65.73,-0.3778,-1.7006,2736,30.8,213.7,Complex,137.8,0.6254,98.14
111,489,48,81.53,3.9249,3.9417,7133.0,6.84,-0.7394,-1.0042,599,19.2,291.7,Planar,470.8,0.5803,48.67
112,293,43,16.68,3.095,-3.3981,48698.0,16.82,0.8898,0.1112,7154,33.6,1625.7,Convex,21.6,0.8286,63.01
113,312,23,27.86,3.1485,-2.8515,19610.0,49.14,0.8302,-0.6068,6453,24.6,302.0,Complex,244.8,0.6355,52.51
114,465,39,56.7,4.8156,4.5878,47142.0,56.1,0.1773,-0.5709,1123,38.0,1665.0,Complex,288.2,0.4849,62.99
115,6,1,31.22,1.2791,-2.5687,45458.0,67.7,0.4823,-0.4143,954,41.4,1158.0,Concave,40.1,0.2752,78.84
116,175,3,29.86,2.4403,-2.3219,37867.0,76.51,0.2767,1.4687,5118,59.5,1714.1,Convex,378.3,0.0532,89.02
117,25,29,41.38,-1.4129,3.1662,7887.0,4.78,1.852,-0.2244,2588,48.3,820.7,Convex,27.0,0.6654,95.12
118,333,36,18.34,-4.5319,4.8929,10463.0,53.52,-0.6008,0.5484,1526,25.7,294.8,Complex,462.5,0.488,66.43
119,115,9,25.94,1.744,4.5963,14741.0,44.42,1.393,1.2413,7129,20.7,1731.9,Planar,203.2,0.2164,18.97
120,9,21,87.52,0.5241,2.6922,13983.0,25.88,0.4138,1.8572,2913,75.3,392.2,Complex,99.1,0.4955,43.14
121,489,48,4.3,2.4757,2.4166,8512.0,13.44,-1.8261,-1.4908,6028,67.9,299.4,Planar,385.2,0.1197,11.87
122,441,56,87.71,2.7285,4.3483,6902.0,98.38,1.4698,0.276,71,8.8,1669.2,Convex,110.4,0.277,93.26
123,276,62,50.53,-3.9486,-1.6955,16407.0,79.01,-0.2095,-1.4398,6711,70.7,1618.3,Complex,273.3,0.1147,5.55
124,8,39,1.65,3.4156,-4.9753,6288.0,81.5,-1.9264,-0.1185,3881,54.6,791.0,Concave,431.1,0.9106,15.26
125,240,19,70.04,-3.2567,0.0216,7827.0,90.77,0.8275,-0.9187,5740,61.2,1901.8,Planar,366.5,0.8878,68.12
126,341,45,20.89,-1.5908,-4.3864,48244.0,32.67,-1.9079,-0.9059,215,18.2,101.8,Planar,446.0,0.9206,42.57
127,38,62,24.29,0.7391,-0.0089,25350.0,5.66,1.1666,-0.9255,4941,62.1,639.4,Complex,481.0,0.8901,80.29
128,265,14,54.8,-3.6155,-2.2794,34887.0,49.92,-0.2891,-1.0982,4101,75.4,1579.3,Convex,198.5,0.9586,44.35
129,141,24,40.74,4.4008,2.2767,17493.0,5.37,0.7412,-1.4444,4065,45.3,551.5,Planar,179.8,0.6971,96.96
130,328,58,51.8,-3.0285,2.3395,25122.0,29.29,-0.0522,1.5404,6582,71.9,519.4,Concave,107.2,0.111,24.63
131,277,10,54.71,4.7936,0.7644,11667.0,11.85,1.9828,-0.3967,1366,76.8,1590.0,Convex,304.1,0.6173,2.49
132,33,36,50.02,-3.4744,3.7782,34624.0,75.76,-0.4117,0.6979,6994,64.4,1599.3,Convex,204.5,0.6129,59.85
133,222,50,6.5,-3.7607,-0.7596,49172.0,92.7,0.7739,1.6031,4956,63.1,1807.1,Convex,454.2,0.2935,91.11
134,338,44,25.54,2.8193,-3.4675,14458.0,68.62,-1.2894,-0.7562,3154,83.6,1847.0,Convex,193.4,0.3018,87.34
135,358,52,4.28,-3.5189,-4.4587,37328.0,79.28,-1.9476,-1.7211,944,73.0,181.3,Complex,304.7,0.4995,36.25
136,289,31,69.84,-2.1168,-1.1669,26074.0,66.42,-0.9817,-0.8181,3589,67.3,1195.6,Convex,439.6,0.1759,91.64
137,443,9,5.58,-1.0514,-1.7883,24191.0,98.09,1.7746,0.4577,4000,37.0,1192.3,Planar,186.3,0.9465,0.94
138,324,43,52.34,1.6221,-4.8816,13237.0,55.79,1.6316,-1.1348,941,38.8,1243.8,Convex,347.7,0.381,86.41
139,140,5,1.55,-0.3221,0.6352,2467.0,31.91,-0.0515,-1.4644,2625,10.1,1976.1,Concave,259.2,0.9206,31.76
140,145,47,66.8,-1.0201,4.0542,8754.0,13.0,-1.9574,0.582,3975,22.2,828.2,Concave,176.6,0.5573,86.6
141,333,36,54.61,-3.6212,4.1878,42410.0,6.74,-0.9711,0.5715,543,57.7,1751.6,Concave,393.7,0.2852,17.59
142,136,46,25.89,2.7132,0.548,21834.0,93.47,1.3792,0.3814,3728,40.3,281.9,Concave,57.8,0.5597,40.55
143,422,28,7.23,1.3554,-2.9569,24268.0,24.28,1.4268,-1.3407,3050,55.5,290.4,Concave,111.9,0.5606,56.6
144,209,48,12.17,-2.3542,2.8453,864.0,21.43,-1.6058,-1.2199,3260,15.7,734.9,Concave,108.8,0.8099,19.08
145,327,20,21.86,0.3991,1.0948,34124.0,25.99,-0.7347,0.1777,3648,85.0,731.6,Convex,53.3,0.7937,25.14
146,279,26,68.92,-2.1554,-4.4265,43847.0,7.95,-1.2273,-0.8728,4256,71.8,396.6,Concave,85.8,0.0525,92.94
147,220,47,64.3,0.4953,1.6244,38500.0,23.98,-0.8973,-0.1365,494,36.2,1385.7,Convex,228.0,0.2776,5.54
148,76,7,76.21,-1.3537,-1.4234,49962.0,36.06,1.6364,0.63,2765,42.3,924.8,Planar,297.6,0.1867,13.82
149,97,59,19.08,3.1578,-2.3282,32906.0,84.73,1.1823,1.4511,6900,69.5,267.9,Convex,357.2,0.6044,94.55
150,33,36,79.6,-4.6016,-1.196,282.0,39.36,1.2269,-1.2594,6124,36.0,1881.7,Concave,91.9,0.8041,99.84
151,462,13,78.92,4.8546,2.2281,7642.0,37.32,0.6348,1.5978,5259,3.6,1467.0,Concave,41.7,0.882,63.24
152,56,45,81.8,-2.8739,0.2159,17252.0,52.12,0.5185,1.9521,585,14.6,1823.9,Complex,8.5,0.044,48.29
153,461,25,56.7,4.6701,-2.6991,10003.0,61.62,0.4577,1.3456,4703,30.7,117.8,Convex,466.2,0.366,68.84
154,301,14,15.93,-2.1198,4.06,39868.0,33.04,-1.7863,0.8645,2782,16.7,1432.6,Convex,378.2,0.0614,66.08
155,24,8,50.85,1.9688,0.177,6181.0,8.79,0.7445,1.8609,3228,10.1,1995.2,Concave,184.5,0.3119,40.38
156,117,50,80.07,-0.9493,-1.4226,34070.0,33.75,0.3162,0.0133,1008,51.1,1972.3,Concave,50.5,0.044,37.03
157,382,31,76.09,-3.9968,0.8188,24707.0,68.34,0.7972,-0.1039,1682,48.9,35.4,Planar,181.1,0.8588,28.27
158,150,17,63.18,-3.99,-4.1296,85.0,78.19,-1.9757,-1.9413,1371,52.4,787.2,Planar,343.8,0.9478,28.53
159,17,21,21.33,-0.4759,1.2624,15878.0,83.02,1.3767,-1.3528,1925,78.4,1987.5,Complex,388.0,0.1715,73.45
160,16,7,60.68,3.9484,-4.0391,42894.0,59.85,-0.4598,1.9271,6611,44.9,1027.2,Concave,192.5,0.3553,70.49
161,109,47,20.18,-4.8521,-2.7682,36940.0,50.91,0.7394,1.1572,905,83.7,1233.9,Complex,162.5,0.6949,71.28
162,239,11,58.84,-3.6276,1.1104,3366.0,90.86,1.602,-0.7688,1617,16.8,484.6,Complex,35.8,0.5951,35.07
163,80,56,60.0,-2.9019,-3.0073,5317.0,36.8,1.7197,-1.7764,79,9.5,1510.8,Complex,321.5,0.3717,79.83
164,242,17,24.32,-2.4653,-4.0977,34901.0,88.83,-0.7668,1.4408,2653,11.1,1759.9,Concave,285.5,0.2773,76.35
165,454,19,65.85,-1.7844,2.3701,39887.0,44.81,-0.2891,-1.0677,6182,81.6,1438.1,Convex,34.5,0.4432,0.78
166,256,59,51.34,-0.151,2.9581,26059.0,67.35,-0.3863,0.5941,5200,32.5,202.2,Convex,166.1,0.4842,18.2
167,449,51,34.07,-4.0179,-3.1032,30377.0,69.6,-0.5042,-0.6105,7581,51.2,8.4,Concave,366.0,0.9182,77.21
168,111,24,77.19,1.2584,-0.7758,7639.0,86.58,1.626,0.1109,3509,47.2,386.9,Concave,393.8,0.3397,44.5
169,335,8,80.97,2.9748,3.8629,9118.0,49.58,0.3101,-0.3959,5021,30.5,1700.9,Planar,248.3,0.2724,34.99
170,127,21,12.12,-3.586,-4.3321,7104.0,88.66,-0.2997,1.855,1694,18.6,593.2,Convex,204.1,0.0728,20.23
171,369,35,87.16,-3.41,2.7752,37591.0,68.82,-0.8915,-1.7404,3717,18.8,105.2,Planar,130.7,0.3925,98.11
172,363,8,38.08,-4.5445,0.9639,10987.0,75.47,-0.0771,0.7122,3941,10.3,610.3,Convex,18.0,0.6752,26.95
173,339,14,58.63,3.5395,2.2413,45304.0,3.53,0.7043,0.4105,4231,80.6,1823.0,Concave,193.6,0.1252,43.93
174,120,14,58.28,-1.5704,-4.1107,13646.0,0.24,1.472,0.2092,3025,69.4,1178.4,Concave,262.2,0.2584,97.79
175,372,26,47.48,-3.4691,-0.9501,47908.0,86.71,-0.8913,0.1498,1679,57.9,1407.3,Convex,260.4,0.0485,75.39
176,114,44,15.65,-1.394,3.9303,13210.0,21.23,0.5994,0.756,6167,44.6,932.6,Complex,155.2,0.8939,55.43
177,62,43,44.33,-0.6973,-3.2058,90.0,41.36,-0.6106,0.9027,2715,55.0,852.1,Planar,64.3,0.1993,63.74
178,78,21,45.45,-4.7173,-0.4673,34390.0,39.44,0.1833,-0.2464,1480,38.2,535.5,Convex,265.1,0.9379,57.62
179,324,43,31.03,4.9872,0.6196,49678.0,20.39,-0.7574,-0.8225,5078,85.6,192.3,Concave,309.9,0.6064,68.14
180,444,1,42.84,-1.0669,0.5321,15275.0,22.16,0.765,-0.684,7286,22.1,1964.9,Complex,154.5,0.8871,98.25
181,196,48,45.55,4.9956,-0.4937,3957.0,28.67,1.2606,-0.2468,6108,24.1,507.2,Concave,65.6,0.558,94.94
182,9,21,14.07,4.8637,-3.6357,9742.0,7.28,0.2727,-0.1524,1905,86.4,1429.3,Convex,413.4,0.9895,42.79
183,261,20,2.33,0.506,-3.6325,49242.0,49.44,1.9037,-0.5825,4265,14.8,1893.5,Planar,85.3,0.5211,15.08
184,264,39,0.67,0.3626,-1.9658,18371.0,88.75,-1.4922,-1.3505,7286,48.5,685.6,Complex,7.2,0.8661,41.99
185,169,36,25.57,-4.6495,3.2605,22364.0,89.92,-0.3486,-0.6042,5839,64.2,918.6,Planar,102.3,0.9162,75.85
186,289,31,36.97,-2.3283,2.3488,19017.0,53.84,-1.2104,0.1627,3075,47.3,1490.8,Planar,218.2,0.4469,81.11
187,247,49,73.27,4.325,-2.5621,2609.0,5.74,0.079,1.735,1928,43.1,868.6,Concave,446.2,0.4509,33.39
188,381,58,57.55,2.1371,-2.9017,13576.0,92.32,-0.3195,1.9137,838,5.7,991.7,Planar,140.8,0.9588,62.41
189,367,29,39.67,0.168,-1.0636,15625.0,53.59,1.9707,-1.8109,6986,82.3,1858.3,Planar,112.9,0.8525,59.62
190,287,12,50.25,2.9621,4.4164,16747.0,20.24,1.185,0.9191,7914,32.2,857.9,Planar,134.9,0.5844,47.89
191,381,58,5.89,2.2157,-3.2456,45815.0,8.41,1.6048,1.7169,2639,34.6,1164.1,Concave,442.9,0.8308,69.65
192,354,36,49.05,4.6382,-2.8104,11994.0,11.84,0.602,-0.712,4416,3.6,263.2,Convex,258.2,0.2753,40.92
193,447,12,32.34,4.4187,2.4201,6151.0,73.62,0.3429,-1.1007,2468,6.5,1116.6,Planar,392.1,0.0711,65.11
194,448,12,70.85,-1.18,-0.7348,48148.0,77.79,-0.4517,-0.7164,3482,51.1,1096.0,Concave,375.3,0.2639,80.08
195,212,16,48.2,2.7364,-2.5306,26706.0,30.39,-0.196,1.3296,5991,29.7,1677.6,Convex,256.7,0.7193,1.25
196,75,15,72.51,1.6684,0.1316,2997.0,95.05,-1.5011,-0.4815,7815,41.3,834.1,Convex,220.8,0.8066,35.4
197,168,14,87.13,-0.9766,3.7808,7233.0,53.64,-0.2414,-1.9742,1550,60.2,1072.6,Planar,80.4,0.2231,49.22
198,262,52,49.84,2.3475,-2.5076,20981.0,1.3,-1.8443,1.1582,515,44.9,599.7,Concave,403.0,0.469,10.25
199,476,22,5.19,-3.4429,0.571,28121.0,77.08,0.626,-0.7052,5225,68.7,430.0,Convex,414.1,0.7636,57.94
