infra_id,state_id,district_id,infra_type,infra_code,lat,lon,construction_year,condition,capacity,construction_type,landslide_exposure,distance_to_nearest_slope_km
52,4,1,Water Treatment,INF00052,26.71409,90.34638,1997,Fair,4679,Seismically Isolated,Low,5.7
53,26,3,Disaster Relief Camp,INF00053,23.82858,90.29526,2018,Critical,795,Seismically Isolated,Negligible,4.62
54,13,2,Government Office,INF00054,26.08302,99.44873,1979,Fair,1205,Steel Frame,Medium,7.12
55,42,5,Helipad,INF00055,22.16732,97.23044,2006,Critical,1307,Timber,Low,0.45
56,9,1,Helipad,INF00056,27.42004,93.12708,1905,Fair,4688,Timber,Medium,6.07
57,6,1,School,INF00057,26.58422,97.41662,1940,Good,2845,Masonry,High,7.11
58,31,3,Water Treatment,INF00058,28.13428,95.18366,2003,Poor,2639,Steel Frame,High,7.77
59,50,6,School,INF00059,24.14494,92.33301,1916,Critical,4090,Steel Frame,Medium,5.97
60,14,2,Telecom Tower,INF00060,22.88207,92.7555,1997,Critical,498,Seismically Isolated,High,4.89
61,18,2,Helipad,INF00061,29.0379,98.41344,1909,Critical,2185,Seismically Isolated,Negligible,7.04
62,16,2,School,INF00062,23.83176,90.96267,1903,Critical,1155,Seismically Isolated,Medium,4.75
63,46,5,Disaster Relief Camp,INF00063,23.42361,97.50046,1944,Fair,574,Reinforced Concrete,Negligible,1.67
64,17,2,Power Station,INF00064,23.94047,93.03946,1904,Poor,2347,Steel Frame,Negligible,1.77
65,25,3,Government Office,INF00065,26.45466,97.12825,1988,Poor,3395,Reinforced Concrete,Negligible,8.32
66,43,5,Government Office,INF00066,29.7337,97.46975,1914,Critical,2135,Reinforced Concrete,Negligible,1.69
67,26,3,Water Treatment,INF00067,24.06572,90.41984,1957,Critical,3012,Steel Frame,Low,9.25
68,44,5,Telecom Tower,INF00068,29.60047,98.49025,1996,Critical,928,Timber,Medium,7.27
69,19,2,School,INF00069,23.92581,96.56052,1911,Poor,1796,Masonry,Negligible,2.28
70,11,1,Power Station,INF00070,22.85146,91.15317,2013,Fair,4181,Steel Frame,High,3.58
71,5,1,Power Station,INF00071,23.68177,94.87116,1984,Fair,4392,Seismically Isolated,High,4.65
72,43,5,Government Office,INF00072,29.74153,97.54061,1901,Critical,2689,Seismically Isolated,High,2.54
73,12,1,Police Station,INF00073,27.08034,97.85801,1957,Good,824,Steel Frame,Negligible,1.72
74,31,3,Hospital,INF00074,28.17792,95.12062,1955,Fair,1324,Steel Frame,Negligible,7.59
75,48,6,Hospital,INF00075,26.86442,94.83075,2020,Fair,2780,Seismically Isolated,Negligible,4.35
76,26,3,Power Station,INF00076,23.76562,90.45084,1921,Critical,3424,Masonry,High,4.18
77,37,4,School,INF00077,26.51267,94.45558,1925,Critical,1206,Timber,Negligible,9.1
78,10,1,Helipad,INF00078,23.62667,97.86833,2010,Good,3143,Masonry,Low,8.79
79,32,3,Water Treatment,INF00079,25.21319,95.87629,1981,Critical,4295,Timber,Negligible,2.39
80,13,2,School,INF00080,26.56564,99.91032,1979,Fair,603,Seismically Isolated,Negligible,6.51
81,6,1,School,INF00081,26.31898,97.35142,1981,Good,1852,Timber,Negligible,4.86
82,41,5,Telecom Tower,INF00082,23.00479,94.29289,1966,Poor,4735,Masonry,Low,9.09
83,32,3,School,INF00083,25.19433,96.13463,1935,Poor,704,Masonry,High,7.16
84,54,6,Power Station,INF00084,29.87023,91.36739,1931,Poor,3234,Steel Frame,High,3.46
85,22,2,Police Station,INF00085,22.33837,96.56786,1975,Critical,1215,Masonry,Medium,2.55
86,44,5,Police Station,INF00086,29.24037,98.84599,1901,Good,4766,Timber,Negligible,1.81
87,6,1,Police Station,INF00087,26.42392,97.32626,2003,Fair,2002,Steel Frame,Negligible,7.52
88,40,5,School,INF00088,27.81192,97.63734,1957,Critical,910,Seismically Isolated,Negligible,4.17
89,32,3,Government Office,INF00089,25.19208,95.58003,2013,Good,532,Seismically Isolated,Low,6.03
90,52,6,School,INF00090,28.59238,99.57188,1997,Good,763,Steel Frame,High,7.17
91,24,3,Government Office,INF00091,24.4106,98.97416,1981,Fair,3121,Seismically Isolated,Negligible,9.47
92,56,7,Water Treatment,INF00092,29.20155,97.63611,1954,Critical,3332,Steel Frame,Low,1.63
93,18,2,Hospital,INF00093,28.85271,98.61753,1935,Poor,4400,Masonry,Low,0.11
94,13,2,Police Station,INF00094,26.09113,99.79603,1906,Critical,1057,Reinforced Concrete,High,8.54
95,16,2,Disaster Relief Camp,INF00095,23.73376,90.5615,2009,Fair,4393,Masonry,Medium,1.57
96,7,1,Hospital,INF00096,26.11187,92.09018,1917,Critical,851,Timber,Low,8.93
97,26,3,Hospital,INF00097,23.97889,90.61021,1959,Good,4760,Masonry,High,8.62
98,30,3,Water Treatment,INF00098,25.74483,92.57222,2012,Fair,902,Steel Frame,Medium,3.0
99,49,6,Power Station,INF00099,29.62093,98.58717,1947,Critical,1064,Steel Frame,Low,5.14
100,28,3,Government Office,INF00100,29.03104,93.22865,1974,Fair,607,Reinforced Concrete,High,8.64
101,7,1,Police Station,INF00101,26.20273,92.05537,2018,Critical,4447,Timber,Low,1.8
102,29,3,Telecom Tower,INF00102,25.84548,98.83044,1985,Fair,2961,Steel Frame,High,3.33
103,41,5,Police Station,INF00103,22.85504,94.53294,1957,Good,4574,Seismically Isolated,Low,7.05
104,23,3,School,INF00104,28.09071,91.77519,1992,Critical,3591,Steel Frame,Medium,0.77
105,58,7,Water Treatment,INF00105,27.19452,94.28773,1980,Good,3176,Seismically Isolated,Medium,4.04
106,47,6,Police Station,INF00106,29.68984,99.36988,1951,Fair,674,Reinforced Concrete,Medium,0.16
107,62,8,Power Station,INF00107,26.80493,92.26142,1931,Good,648,Masonry,Medium,0.22
108,32,3,Disaster Relief Camp,INF00108,25.62901,95.74458,1993,Fair,973,Seismically Isolated,Medium,4.58
109,8,1,Power Station,INF00109,23.99629,98.84021,1910,Critical,2788,Seismically Isolated,Negligible,5.73
110,20,2,School,INF00110,23.22245,93.41892,2019,Fair,4511,Reinforced Concrete,High,9.3
111,8,1,Telecom Tower,INF00111,24.13178,98.45776,2005,Critical,1833,Seismically Isolated,Low,9.34
112,47,6,Disaster Relief Camp,INF00112,29.35189,99.03586,1936,Poor,4141,Seismically Isolated,Low,7.79
113,25,3,Police Station,INF00113,26.54673,96.97851,1920,Fair,4508,Reinforced Concrete,Medium,5.48
114,51,6,Government Office,INF00114,29.6613,90.8727,1992,Fair,2284,Seismically Isolated,High,9.09
115,9,1,Telecom Tower,INF00115,27.867,93.30294,1917,Good,3996,Seismically Isolated,Negligible,0.91
116,19,2,Hospital,INF00116,24.42134,96.17967,2020,Good,248,Masonry,Low,7.06
117,61,8,Water Treatment,INF00117,26.9904,90.03282,2012,Critical,4261,Steel Frame,Medium,8.33
118,35,4,Hospital,INF00118,22.94434,91.36226,1959,Critical,3107,Seismically Isolated,Medium,7.55
119,2,1,Government Office,INF00119,23.86082,91.29627,1937,Critical,3239,Masonry,High,4.25
120,13,2,Disaster Relief Camp,INF00120,26.2499,99.85477,1921,Critical,3068,Reinforced Concrete,Negligible,2.74
121,51,6,School,INF00121,29.44717,90.79099,1908,Poor,1703,Masonry,Medium,6.08
122,11,1,Power Station,INF00122,22.97701,90.71414,2003,Poor,2820,Masonry,High,3.36
123,15,2,Telecom Tower,INF00123,27.08073,98.70188,1979,Critical,3319,Steel Frame,Medium,2.89
124,41,5,Helipad,INF00124,22.63376,94.55766,2007,Poor,4940,Steel Frame,Medium,4.3
125,55,7,Disaster Relief Camp,INF00125,28.85857,94.04373,1974,Critical,2771,Timber,Medium,8.6
126,11,1,Water Treatment,INF00126,22.94137,90.73836,1966,Poor,4520,Timber,Low,6.02
127,17,2,Power Station,INF00127,23.76752,92.93428,1938,Good,4022,Masonry,High,3.39
128,32,3,Telecom Tower,INF00128,25.53827,95.67544,2005,Good,1018,Reinforced Concrete,High,8.85
129,31,3,Hospital,INF00129,27.71615,95.62027,1925,Good,541,Steel Frame,Low,4.58
130,23,3,Helipad,INF00130,27.6183,91.87022,1987,Critical,3314,Masonry,High,7.16
131,49,6,Police Station,INF00131,29.57819,98.93186,1962,Poor,3997,Steel Frame,High,7.73
132,28,3,Police Station,INF00132,29.2457,93.18697,1970,Poor,3061,Timber,Negligible,2.88
133,58,7,Disaster Relief Camp,INF00133,27.43272,94.21615,2011,Fair,3947,Reinforced Concrete,High,0.02
134,4,1,Power Station,INF00134,26.99869,90.16571,1943,Critical,3029,Reinforced Concrete,Negligible,1.49
135,22,2,Helipad,INF00135,22.42659,96.40015,2007,Fair,951,Seismically Isolated,Medium,9.74
136,27,3,Hospital,INF00136,25.09451,90.51344,2011,Fair,2573,Timber,Low,7.51
137,18,2,School,INF00137,28.86647,98.36996,1913,Good,2325,Reinforced Concrete,Negligible,5.56
138,38,4,Police Station,INF00138,29.74435,98.68023,1949,Critical,4313,Timber,High,6.92
139,32,3,Helipad,INF00139,25.47609,96.10955,1966,Critical,3280,Masonry,High,3.0
140,18,2,Disaster Relief Camp,INF00140,29.01485,98.43184,1930,Critical,3761,Steel Frame,Negligible,4.74
141,39,4,Water Treatment,INF00141,27.30208,91.10512,1978,Critical,2189,Masonry,Low,4.87
142,57,7,Police Station,INF00142,23.38145,92.90578,2005,Good,1873,Seismically Isolated,Medium,1.85
143,40,5,Telecom Tower,INF00143,27.87124,97.66306,1980,Fair,320,Reinforced Concrete,Negligible,9.19
144,41,5,Disaster Relief Camp,INF00144,22.94832,94.45293,1938,Poor,3272,Masonry,High,8.11
145,42,5,Telecom Tower,INF00145,21.81899,97.37408,1993,Poor,1407,Reinforced Concrete,High,5.24
146,32,3,Helipad,INF00146,25.53758,95.95042,1931,Fair,1025,Seismically Isolated,High,0.33
147,54,6,Disaster Relief Camp,INF00147,29.51183,91.63994,2017,Good,4941,Masonry,Medium,0.2
148,61,8,Government Office,INF00148,26.95885,89.89242,1906,Good,4703,Timber,High,6.51
149,19,2,Hospital,INF00149,24.27749,96.35271,1999,Poor,1820,Reinforced Concrete,Medium,5.71
150,32,3,Disaster Relief Camp,INF00150,25.66002,95.84955,1987,Critical,3067,Masonry,Low,4.42
151,60,8,School,INF00151,24.59166,95.59439,1910,Good,4963,Steel Frame,Low,9.9
152,61,8,Police Station,INF00152,26.79315,89.95032,1976,Fair,2051,Masonry,Low,2.9
153,42,5,Water Treatment,INF00153,22.28683,97.18545,1959,Good,2822,Steel Frame,Low,7.56
154,47,6,Telecom Tower,INF00154,29.56273,98.94044,1961,Fair,3493,Reinforced Concrete,Low,3.9
155,34,4,Police Station,INF00155,26.02555,97.78159,1900,Poor,4972,Timber,Negligible,5.27
156,29,3,Power Station,INF00156,26.12181,98.75794,1929,Critical,2468,Reinforced Concrete,High,8.69
157,10,1,Telecom Tower,INF00157,23.53991,97.68619,1952,Poor,2384,Reinforced Concrete,High,8.68
158,45,5,Hospital,INF00158,28.4828,94.9653,1943,Good,1484,Steel Frame,High,3.23
159,56,7,Disaster Relief Camp,INF00159,29.41947,97.65615,1997,Fair,3776,Masonry,Negligible,6.66
160,27,3,Water Treatment,INF00160,25.05596,90.8972,1913,Good,990,Seismically Isolated,High,4.83
161,35,4,School,INF00161,23.09703,91.31512,1971,Poor,121,Reinforced Concrete,High,9.52
162,62,8,Government Office,INF00162,27.32716,92.4363,1928,Fair,1023,Reinforced Concrete,Low,1.5
163,58,7,Government Office,INF00163,27.30342,94.65804,1919,Fair,1885,Seismically Isolated,Negligible,3.22
164,28,3,Helipad,INF00164,29.27504,93.05478,2006,Poor,2281,Masonry,Low,3.88
165,60,8,Police Station,INF00165,24.51458,96.04806,1947,Poor,2849,Seismically Isolated,Medium,1.33
166,26,3,Police Station,INF00166,24.08828,90.37887,2009,Critical,3397,Reinforced Concrete,High,9.95
167,46,5,Water Treatment,INF00167,23.18247,97.6852,2015,Good,3066,Seismically Isolated,Low,1.78
168,28,3,School,INF00168,28.91003,93.12141,2001,Critical,2022,Masonry,High,7.26
169,47,6,Hospital,INF00169,29.4772,98.92538,1947,Fair,1948,Timber,Negligible,0.71
170,20,2,Power Station,INF00170,23.41384,93.4691,1904,Poor,2395,Steel Frame,Low,0.82
171,51,6,Telecom Tower,INF00171,29.81292,90.83653,1963,Fair,1122,Reinforced Concrete,Low,3.73
172,11,1,School,INF00172,22.93909,91.01264,1914,Critical,1789,Reinforced Concrete,Low,9.6
173,47,6,Hospital,INF00173,29.63347,98.92985,1923,Poor,4096,Steel Frame,Low,0.1
174,54,6,Telecom Tower,INF00174,29.85812,91.57857,2003,Fair,2387,Masonry,Medium,6.35
175,30,3,Water Treatment,INF00175,25.42802,92.93212,1908,Critical,1720,Timber,High,4.4
176,17,2,Water Treatment,INF00176,23.87732,92.80531,1912,Critical,2110,Masonry,Low,8.4
177,40,5,Water Treatment,INF00177,27.84893,97.59284,1971,Good,3898,Steel Frame,Negligible,4.7
178,17,2,Police Station,INF00178,23.65588,92.95589,1970,Good,934,Timber,Medium,6.25
179,5,1,Government Office,INF00179,23.96873,95.25937,2011,Fair,136,Timber,High,2.48
180,38,4,Disaster Relief Camp,INF00180,29.59303,98.8259,1964,Good,3056,Reinforced Concrete,High,9.1
181,31,3,Hospital,INF00181,27.98416,95.34162,2001,Good,237,Seismically Isolated,Negligible,8.94
182,26,3,Disaster Relief Camp,INF00182,24.01909,90.34279,1911,Good,1752,Reinforced Concrete,Negligible,0.2
183,37,4,Water Treatment,INF00183,26.97233,94.43876,1902,Good,2679,Reinforced Concrete,High,9.68
184,30,3,Hospital,INF00184,25.43922,92.51894,2000,Fair,4773,Timber,Medium,8.08
185,14,2,Power Station,INF00185,22.62514,92.8311,2015,Critical,3709,Seismically Isolated,Negligible,8.18
186,27,3,Disaster Relief Camp,INF00186,25.06307,90.53593,1965,Fair,3474,Steel Frame,Medium,5.22
187,51,6,Government Office,INF00187,29.78309,91.02006,1979,Fair,3874,Seismically Isolated,Negligible,4.96
188,37,4,Police Station,INF00188,26.53882,94.49557,1957,Poor,4670,Timber,Negligible,0.12
189,51,6,Telecom Tower,INF00189,29.69808,90.80633,1902,Good,456,Steel Frame,Low,4.75
190,40,5,Police Station,INF00190,28.14274,97.62559,1977,Critical,170,Reinforced Concrete,Negligible,2.85
191,58,7,Telecom Tower,INF00191,27.26013,94.26462,1919,Good,1168,Timber,Negligible,7.82
192,22,2,Disaster Relief Camp,INF00192,22.59601,96.30885,2020,Good,4152,Seismically Isolated,Negligible,9.05
193,17,2,School,INF00193,23.99795,92.93272,1975,Poor,743,Timber,Negligible,7.2
194,16,2,Water Treatment,INF00194,23.51382,90.94062,1921,Good,2803,Steel Frame,Medium,8.08
195,45,5,Helipad,INF00195,28.83623,94.83184,1937,Fair,4300,Seismically Isolated,Medium,3.04
196,49,6,School,INF00196,29.37135,98.81897,1909,Good,1778,Reinforced Concrete,Low,8.71
197,11,1,Disaster Relief Camp,INF00197,23.0127,90.87957,1939,Good,1517,Seismically Isolated,Medium,8.18
198,53,6,Hospital,INF00198,28.11482,91.49416,1908,Poor,3864,Timber,High,0.39
199,7,1,Government Office,INF00199,26.45757,92.49695,1931,Fair,1896,Reinforced Concrete,Medium,1.56
200,54,6,Power Station,INF00200,29.50331,91.42332,1975,Poor,2036,Masonry,High,5.32
201,43,5,Telecom Tower,INF00201,30.01894,97.75986,1982,Fair,2823,Timber,Medium,1.75
202,22,2,Hospital,INF00202,22.57791,96.11911,1905,Critical,3228,Seismically Isolated,Medium,4.48
203,10,1,Power Station,INF00203,23.68837,97.38383,2009,Critical,3068,Seismically Isolated,Medium,2.81
204,33,4,Disaster Relief Camp,INF00204,23.88256,99.89734,1953,Good,2906,Masonry,Low,8.79
205,28,3,Telecom Tower,INF00205,28.88652,93.05765,1905,Good,2459,Steel Frame,Medium,7.57
206,2,1,Helipad,INF00206,24.18608,91.29893,1909,Poor,1882,Reinforced Concrete,High,0.69
207,16,2,Hospital,INF00207,23.34205,90.62852,1978,Poor,217,Timber,High,7.17
208,16,2,Disaster Relief Camp,INF00208,23.63891,90.87993,1974,Poor,3343,Timber,Low,9.41
209,11,1,Water Treatment,INF00209,22.77428,91.12867,1989,Fair,2980,Seismically Isolated,Negligible,8.94
210,20,2,Police Station,INF00210,23.58057,93.43061,1916,Fair,1755,Seismically Isolated,Medium,4.38
211,13,2,Helipad,INF00211,26.49231,99.74614,1931,Fair,4974,Steel Frame,High,0.24
212,62,8,Government Office,INF00212,27.04136,92.5082,1980,Critical,4389,Timber,Low,6.06
213,16,2,Helipad,INF00213,23.45062,90.95309,1937,Poor,624,Steel Frame,Negligible,6.75
214,58,7,Government Office,INF00214,27.36223,94.6297,1990,Critical,3586,Timber,Negligible,6.04
215,8,1,Power Station,INF00215,24.11765,98.409,2001,Fair,774,Timber,Negligible,4.26
216,51,6,Disaster Relief Camp,INF00216,29.56658,90.60923,1917,Poor,3127,Masonry,Negligible,2.31
217,37,4,Disaster Relief Camp,INF00217,26.71295,94.73474,1939,Fair,1850,Steel Frame,Low,7.92
218,47,6,Disaster Relief Camp,INF00218,29.87697,99.33446,2009,Fair,2726,Seismically Isolated,High,6.9
219,33,4,Disaster Relief Camp,INF00219,23.74321,99.89508,1998,Good,2774,Reinforced Concrete,Low,8.53
220,25,3,Helipad,INF00220,26.4955,97.01697,2019,Poor,2946,Steel Frame,Negligible,2.08
221,25,3,Telecom Tower,INF00221,26.16609,96.76206,1919,Fair,3516,Timber,Low,0.47
222,9,1,Government Office,INF00222,27.40972,93.129,1977,Fair,965,Seismically Isolated,Low,2.33
223,16,2,Police Station,INF00223,23.34636,90.86865,2006,Fair,1852,Seismically Isolated,Medium,9.4
224,35,4,Water Treatment,INF00224,23.36116,91.80283,1968,Fair,4296,Masonry,Medium,9.08
225,56,7,Police Station,INF00225,29.35115,97.66011,1960,Good,1063,Timber,Low,7.63
226,27,3,Water Treatment,INF00226,25.19346,90.39539,1993,Fair,1553,Timber,High,7.37
227,8,1,Hospital,INF00227,24.00204,98.5913,1950,Critical,3719,Steel Frame,Negligible,9.99
228,4,1,Police Station,INF00228,26.59367,90.2549,1900,Critical,2030,Reinforced Concrete,Negligible,7.97
229,21,2,Police Station,INF00229,24.0337,99.61863,1934,Critical,1686,Timber,Negligible,0.29
230,62,8,Power Station,INF00230,27.09819,92.12802,1980,Critical,4574,Reinforced Concrete,Low,9.34
231,31,3,Telecom Tower,INF00231,27.78719,95.27393,1921,Critical,3760,Reinforced Concrete,High,8.12
232,20,2,Helipad,INF00232,23.34426,93.68252,1935,Poor,118,Masonry,Medium,4.96
233,59,8,Power Station,INF00233,25.77592,92.60758,1972,Critical,1138,Steel Frame,High,7.3
234,4,1,Power Station,INF00234,26.4564,90.59616,2023,Poor,2020,Timber,Negligible,1.38
235,45,5,Disaster Relief Camp,INF00235,28.99544,94.9214,1901,Fair,2172,Seismically Isolated,Medium,9.63
236,30,3,Disaster Relief Camp,INF00236,25.42713,92.87794,2016,Poor,115,Steel Frame,Negligible,9.95
237,13,2,Disaster Relief Camp,INF00237,26.39746,99.73226,1933,Fair,4397,Reinforced Concrete,Negligible,2.97
238,12,1,Telecom Tower,INF00238,26.75372,97.87773,1976,Critical,383,Reinforced Concrete,Medium,9.59
239,47,6,Water Treatment,INF00239,29.42892,99.50578,1943,Poor,2643,Timber,Medium,7.24
240,26,3,Police Station,INF00240,23.83679,90.46652,2010,Critical,1945,Masonry,Medium,5.15
241,27,3,Disaster Relief Camp,INF00241,25.03323,90.73367,1983,Good,842,Reinforced Concrete,Medium,1.95
242,25,3,Helipad,INF00242,26.38662,96.77943,1995,Good,2194,Reinforced Concrete,Medium,3.54
243,53,6,School,INF00243,27.99988,91.33802,1974,Poor,4927,Masonry,High,8.13
244,59,8,Water Treatment,INF00244,25.76134,92.34615,1918,Good,178,Reinforced Concrete,Negligible,7.02
245,26,3,School,INF00245,23.96647,90.10388,2003,Fair,1709,Reinforced Concrete,Low,5.67
246,15,2,Helipad,INF00246,27.17718,98.80115,1970,Poor,285,Masonry,Low,9.2
247,34,4,Disaster Relief Camp,INF00247,26.18368,97.76752,1982,Good,1752,Reinforced Concrete,Negligible,6.77
248,57,7,Water Treatment,INF00248,23.74012,93.22697,1911,Critical,305,Timber,High,2.92
249,25,3,School,INF00249,26.38384,97.00869,1921,Poor,144,Steel Frame,High,2.48
250,40,5,Helipad,INF00250,27.98022,97.46943,1931,Fair,4044,Steel Frame,Low,5.57
251,9,1,Disaster Relief Camp,INF00251,27.66759,93.65114,1905,Fair,2745,Masonry,Negligible,8.73
252,40,5,Disaster Relief Camp,INF00252,28.23277,97.42676,1991,Critical,966,Masonry,Low,7.51
253,26,3,Helipad,INF00253,24.12608,90.09885,1926,Fair,627,Reinforced Concrete,High,2.3
254,55,7,Water Treatment,INF00254,28.86747,94.22163,1916,Fair,2057,Masonry,Negligible,7.58
255,32,3,Hospital,INF00255,25.52392,95.82373,2004,Poor,4085,Masonry,Negligible,2.15
256,37,4,Police Station,INF00256,26.83661,94.88219,1914,Fair,2577,Reinforced Concrete,Negligible,7.52
257,48,6,Helipad,INF00257,27.05739,94.62557,2000,Fair,76,Steel Frame,Low,4.39
258,51,6,Police Station,INF00258,29.48939,91.01575,1993,Good,3555,Masonry,Negligible,9.32
259,57,7,Police Station,INF00259,23.57668,93.20809,1910,Fair,854,Seismically Isolated,Negligible,4.94
260,38,4,Disaster Relief Camp,INF00260,30.03343,98.78177,1934,Poor,1524,Masonry,Low,2.7
261,25,3,Power Station,INF00261,26.42453,96.89334,1935,Critical,4232,Timber,High,1.21
262,15,2,Hospital,INF00262,26.90704,98.47175,1937,Critical,2361,Masonry,Medium,8.94
263,23,3,Disaster Relief Camp,INF00263,28.07022,91.66881,1996,Good,321,Seismically Isolated,High,1.31
264,37,4,Hospital,INF00264,26.71436,94.52023,1903,Fair,3757,Timber,Negligible,2.02
265,45,5,Telecom Tower,INF00265,28.84396,94.94543,1973,Critical,1902,Steel Frame,Low,4.74
266,27,3,Government Office,INF00266,25.45115,90.78146,2011,Fair,4696,Masonry,High,5.71
267,35,4,Helipad,INF00267,23.40089,91.43753,1918,Critical,802,Masonry,Medium,8.87
268,6,1,Police Station,INF00268,26.33346,97.44849,1984,Critical,4047,Steel Frame,Medium,6.32
269,3,1,Police Station,INF00269,27.42793,98.97632,1912,Good,189,Masonry,Low,8.05
270,26,3,Power Station,INF00270,23.95059,90.33219,2012,Critical,4246,Reinforced Concrete,Low,9.16
271,20,2,Police Station,INF00271,23.46962,93.60936,1902,Poor,3904,Reinforced Concrete,Low,8.11
