record_id,slope_id,district_id,measurement_date,depth_m,moisture_content_pct,saturation_ratio,porosity_pct,cohesion_kpa,friction_angle_deg,permeability_cm_s,bulk_density_g_cc,sand_pct,silt_pct,clay_pct,hydrological_group,drainage_class
55,184,38,2018-10-11,1.1,31.0,0.385,42.5,72.0,23.5,19.321,1.5,47,48,5,D,Poorly Drained
56,27,58,2021-03-07,1.6,14.6,0.44,74.0,64.2,15.4,20.246,1.24,50,9,41,D,Well Drained
57,207,34,2021-10-15,1.98,31.2,0.941,71.3,76.9,31.7,3.298,1.61,34,58,8,B,Moderately Drained
58,129,49,2024-01-22,1.93,47.4,0.576,20.2,0.3,41.6,0.152,1.73,60,35,5,C,Moderately Drained
59,25,29,2018-02-27,1.88,44.7,0.339,43.7,24.9,26.0,13.004,0.89,42,39,19,D,Poorly Drained
60,206,9,2022-11-15,1.11,47.8,0.251,63.6,43.9,24.7,23.181,1.47,33,14,53,D,Poorly Drained
61,397,54,2021-12-04,0.69,22.5,0.649,71.7,52.5,43.9,3.334,1.11,30,10,60,A,Poorly Drained
62,298,41,2018-08-18,2.41,6.3,0.738,79.3,48.7,19.4,31.982,2.16,56,10,34,C,Poorly Drained
63,163,6,2023-01-07,1.63,27.1,0.167,36.5,67.8,18.4,33.069,0.8,26,30,44,B,Moderately Drained
64,108,42,2023-02-10,0.67,57.0,0.135,14.3,21.4,16.0,8.503,1.76,54,16,30,B,Moderately Drained
65,340,31,2018-06-03,1.5,24.9,0.398,55.0,26.0,22.6,47.963,1.72,74,21,5,A,Well Drained
66,377,24,2021-08-01,2.02,12.6,0.758,12.0,13.1,27.8,23.005,0.95,60,35,5,B,Moderately Drained
67,440,51,2024-09-18,2.02,41.5,0.501,57.4,72.3,44.1,35.875,2.04,22,16,62,A,Moderately Drained
68,437,26,2020-07-10,1.68,7.6,0.72,10.0,67.0,40.5,11.463,1.87,8,9,83,C,Poorly Drained
69,361,43,2024-01-03,0.41,18.9,0.945,73.7,53.0,19.3,4.611,1.31,45,21,34,D,Poorly Drained
70,178,33,2019-05-16,1.78,12.8,0.696,14.4,16.5,41.0,39.063,0.85,11,33,56,D,Moderately Drained
71,36,33,2019-08-19,1.94,12.8,0.315,60.1,3.2,20.6,7.231,1.51,26,35,39,C,Poorly Drained
72,458,31,2018-05-30,2.79,23.0,0.381,37.2,4.2,20.6,46.608,1.38,67,28,5,B,Well Drained
73,485,57,2021-04-21,1.83,39.8,0.276,24.8,63.7,20.0,2.955,1.26,75,22,3,C,Moderately Drained
74,301,14,2024-09-11,1.53,56.7,0.438,22.1,7.0,30.2,41.36,1.47,15,50,35,A,Well Drained
75,46,15,2020-04-23,2.64,42.3,0.257,36.2,31.8,43.5,28.427,2.17,22,17,61,C,Moderately Drained
76,335,8,2023-04-08,0.42,42.3,0.913,64.1,43.9,26.6,3.949,1.48,66,29,5,D,Moderately Drained
77,487,39,2021-12-04,2.02,29.8,0.948,71.7,45.6,29.0,23.101,1.96,56,39,5,B,Well Drained
78,385,6,2021-09-29,2.98,42.3,0.955,48.5,35.3,19.4,48.82,1.47,73,22,5,A,Well Drained
79,428,54,2018-04-27,1.66,57.9,0.478,54.8,33.5,31.6,11.646,1.29,18,31,51,A,Well Drained
80,262,52,2021-05-01,2.71,21.4,0.216,63.6,47.9,26.6,42.351,1.43,60,35,5,D,Well Drained
81,382,31,2023-03-05,2.22,45.8,0.497,23.3,24.5,33.1,42.902,0.92,63,7,30,C,Well Drained
82,128,44,2021-12-01,0.32,16.6,0.976,35.8,79.2,18.3,5.435,1.77,15,35,50,A,Well Drained
83,447,12,2021-05-20,2.83,46.2,0.615,57.4,37.0,24.7,47.679,1.5,23,11,66,C,Moderately Drained
84,390,28,2019-10-08,1.24,18.6,0.297,11.2,4.6,34.7,35.062,1.68,53,25,22,C,Moderately Drained
85,306,45,2019-12-22,1.71,53.2,0.64,70.2,18.5,39.0,37.291,1.54,74,21,5,C,Moderately Drained
86,55,41,2021-02-13,1.84,48.8,0.706,75.4,9.3,40.0,7.53,1.3,9,12,79,A,Poorly Drained
87,413,7,2024-03-09,0.18,19.7,0.938,52.8,38.0,30.8,32.624,1.45,10,40,50,C,Moderately Drained
88,239,11,2020-10-25,0.21,23.0,0.688,44.7,72.9,39.9,49.396,1.01,37,8,55,C,Moderately Drained
89,199,1,2022-06-29,1.98,48.7,0.518,27.8,36.3,35.6,36.167,1.62,63,25,12,A,Moderately Drained
90,312,23,2019-09-28,2.63,48.6,0.205,34.4,2.6,29.0,41.335,0.82,55,41,4,C,Moderately Drained
91,300,25,2021-10-22,2.15,58.2,0.366,34.1,29.8,26.2,48.768,1.3,48,10,42,D,Moderately Drained
92,304,49,2024-01-15,1.76,11.9,0.913,72.1,43.4,31.3,12.635,1.93,53,42,5,C,Poorly Drained
93,4,19,2018-07-29,2.38,39.0,0.279,33.1,64.3,30.5,40.503,1.67,12,41,47,C,Well Drained
94,413,7,2020-09-11,1.38,40.0,0.665,76.2,22.9,30.8,20.475,1.14,31,56,13,D,Moderately Drained
95,325,10,2024-12-27,2.5,56.6,0.271,62.8,78.1,31.7,21.136,1.84,56,39,5,D,Poorly Drained
96,310,38,2021-06-01,2.7,55.3,0.688,36.4,48.6,30.8,3.432,1.48,74,21,5,C,Well Drained
97,391,33,2018-10-12,1.39,46.3,0.181,33.5,50.2,39.0,8.725,1.02,9,46,45,A,Moderately Drained
98,180,62,2021-05-18,0.38,29.5,0.239,42.3,43.3,25.0,6.451,1.81,39,19,42,A,Moderately Drained
99,244,42,2021-05-15,0.18,21.7,0.206,63.1,11.6,32.6,5.378,1.24,77,18,5,D,Well Drained
100,439,51,2021-04-03,2.7,33.0,0.234,62.3,54.2,23.7,40.766,1.07,58,27,15,A,Well Drained
101,297,55,2018-02-13,1.97,17.6,0.802,76.3,22.9,43.0,4.194,1.6,23,18,59,C,Moderately Drained
102,55,41,2023-04-06,0.28,18.9,0.604,79.5,27.5,41.9,32.942,2.15,36,47,17,B,Well Drained
103,107,47,2019-07-11,0.91,6.3,0.197,66.2,29.9,30.3,11.001,1.01,54,7,39,A,Well Drained
104,297,55,2024-11-11,1.11,41.2,0.633,23.2,40.9,27.5,30.783,1.77,18,41,41,D,Poorly Drained
105,81,61,2021-05-03,1.88,34.3,0.843,76.4,55.7,29.8,22.855,1.26,78,15,7,B,Well Drained
106,115,9,2023-12-11,0.21,15.6,0.539,56.7,49.3,16.8,33.744,2.18,59,30,11,C,Poorly Drained
107,462,13,2022-02-04,0.88,20.9,0.561,21.5,67.1,29.2,14.391,1.98,80,15,5,D,Moderately Drained
108,159,55,2024-04-14,1.95,25.3,0.873,79.5,11.6,39.1,13.287,1.66,30,7,63,C,Poorly Drained
109,319,12,2018-02-22,0.46,33.7,0.543,49.6,79.5,37.3,11.731,1.91,11,57,32,C,Poorly Drained
110,325,10,2020-02-06,0.32,18.2,0.429,66.4,58.2,24.1,43.519,1.03,15,39,46,D,Well Drained
111,216,25,2023-03-14,0.44,10.7,0.429,68.3,34.2,31.7,7.103,1.24,66,29,5,D,Poorly Drained
112,369,35,2024-01-28,1.89,38.5,0.105,23.5,55.0,18.3,20.311,0.95,47,22,31,A,Poorly Drained
113,121,57,2024-03-14,1.04,12.1,0.975,42.1,31.0,25.6,45.234,1.71,14,38,48,A,Poorly Drained
114,370,41,2024-06-28,1.81,33.8,0.812,77.8,39.0,41.6,1.87,1.2,24,32,44,D,Moderately Drained
115,139,3,2024-01-07,1.79,12.8,0.601,12.8,45.5,39.3,28.648,1.27,79,16,5,A,Poorly Drained
116,119,18,2023-09-22,0.66,32.9,0.532,58.8,32.5,34.7,49.067,1.64,30,17,53,A,Moderately Drained
117,377,24,2021-05-02,0.93,56.3,0.129,71.0,29.7,43.4,9.321,2.07,12,20,68,D,Poorly Drained
118,208,34,2020-10-07,1.5,12.5,0.722,71.0,51.8,23.8,1.12,1.33,49,16,35,B,Poorly Drained
119,286,9,2019-03-01,0.78,23.8,0.612,66.8,9.9,32.3,45.932,1.83,25,38,37,D,Well Drained
120,240,19,2023-04-14,0.46,39.0,0.798,56.0,17.3,31.8,9.945,2.02,20,38,42,C,Moderately Drained
121,62,43,2018-10-25,0.93,59.6,0.423,78.7,14.8,24.8,16.916,1.91,78,17,5,A,Moderately Drained
122,342,3,2021-06-20,2.36,19.9,0.444,24.0,26.2,23.9,40.379,1.6,48,47,5,A,Well Drained
123,101,61,2021-09-20,0.6,17.7,0.534,50.9,64.8,20.2,28.928,1.6,8,53,39,C,Well Drained
124,46,15,2019-02-06,2.33,52.3,0.505,45.3,52.8,42.7,16.614,2.14,65,30,5,B,Moderately Drained
125,466,40,2021-03-26,2.95,54.5,0.401,40.7,52.0,21.1,29.874,1.82,22,14,64,D,Poorly Drained
126,59,29,2021-02-12,1.94,44.1,0.969,45.3,67.1,38.8,25.323,0.83,61,34,5,A,Well Drained
127,63,21,2022-09-12,0.79,7.4,0.195,21.8,73.4,28.7,10.406,0.91,27,23,50,C,Poorly Drained
128,242,17,2020-05-20,2.09,17.5,0.33,65.0,39.4,29.0,19.91,1.41,61,10,29,A,Moderately Drained
129,381,58,2022-11-21,1.47,14.7,0.848,70.5,65.5,34.3,1.502,0.92,11,32,57,D,Moderately Drained
130,487,39,2018-12-23,0.16,41.2,0.748,60.6,19.9,15.9,10.002,0.85,50,45,5,D,Poorly Drained
131,427,53,2021-07-24,1.68,5.8,0.244,11.7,54.9,22.5,24.003,2.15,18,33,49,D,Well Drained
132,40,32,2019-02-03,2.36,7.2,0.964,39.5,68.4,17.1,22.672,2.05,76,14,10,A,Well Drained
133,371,53,2024-03-05,2.54,20.4,0.388,51.3,14.8,44.6,29.292,1.32,61,15,24,B,Well Drained
134,426,27,2021-04-14,0.53,27.8,0.626,12.8,60.0,22.2,9.714,0.89,64,29,7,D,Well Drained
135,221,23,2023-09-14,1.71,13.4,0.125,79.7,58.8,39.0,8.369,2.03,52,43,5,B,Poorly Drained
136,60,36,2019-02-19,2.5,31.3,0.87,37.7,75.1,23.1,1.843,0.81,27,54,19,C,Well Drained
137,23,48,2022-02-20,2.23,26.9,0.843,23.5,58.0,20.8,1.224,1.5,62,38,0,D,Moderately Drained
138,331,24,2022-02-23,2.34,32.8,0.483,14.4,3.8,22.4,16.843,1.49,68,16,16,D,Poorly Drained
139,134,20,2019-03-07,0.11,45.0,0.515,23.9,42.4,16.1,19.955,1.38,19,37,44,D,Moderately Drained
140,172,39,2020-06-26,2.34,10.4,0.447,28.9,30.1,24.3,0.973,1.62,10,24,66,C,Moderately Drained
141,318,57,2019-07-31,0.56,31.5,0.381,27.6,47.4,29.1,27.381,1.56,23,29,48,C,Well Drained
142,171,46,2022-06-15,0.68,59.7,0.249,60.6,5.3,41.9,0.217,1.66,49,35,16,D,Poorly Drained
143,212,16,2021-07-10,0.85,47.1,0.368,25.0,70.4,29.9,43.902,0.95,30,15,55,D,Well Drained
144,50,58,2024-09-18,2.67,43.1,0.519,62.4,73.6,29.2,48.754,1.54,54,33,13,C,Moderately Drained
145,332,54,2019-06-30,0.36,53.3,0.201,31.0,51.2,27.1,46.566,0.95,52,5,43,A,Well Drained
146,108,42,2024-04-20,2.94,14.6,0.37,33.0,48.4,15.4,2.878,1.08,42,11,47,D,Moderately Drained
147,43,55,2021-03-27,0.89,12.9,0.985,59.4,69.9,36.0,24.526,1.72,58,6,36,C,Well Drained
148,199,1,2022-02-28,2.4,46.1,0.715,28.3,71.7,31.6,4.313,2.13,69,26,5,C,Moderately Drained
149,207,34,2020-09-18,0.12,5.9,0.185,51.7,8.0,22.8,12.428,1.57,36,31,33,C,Well Drained
150,411,33,2018-09-04,0.16,58.4,0.188,79.3,72.2,33.0,7.132,1.05,34,19,47,A,Moderately Drained
151,227,37,2018-06-13,2.82,27.5,0.775,25.3,8.4,36.2,27.153,2.15,25,22,53,C,Moderately Drained
152,225,42,2022-05-25,1.46,55.8,0.552,78.1,72.7,29.4,46.289,1.45,33,21,46,B,Poorly Drained
153,139,3,2024-07-07,2.6,20.7,0.31,13.7,31.4,31.7,42.235,1.46,31,44,25,C,Well Drained
154,82,20,2022-02-13,2.9,42.4,0.208,45.6,34.7,22.5,27.155,1.45,80,15,5,C,Well Drained
155,381,58,2021-05-16,2.24,59.5,0.701,17.6,73.5,30.7,15.564,0.86,67,26,7,B,Well Drained
156,358,52,2019-07-18,0.43,42.5,0.472,28.1,67.5,21.4,29.342,1.04,55,6,39,B,Moderately Drained
157,451,41,2020-11-11,1.23,7.8,0.957,42.1,46.6,19.0,7.965,1.64,19,52,29,C,Well Drained
158,185,1,2019-02-26,2.41,49.5,0.697,49.1,36.1,44.6,31.446,1.79,51,21,28,D,Poorly Drained
159,413,7,2023-09-09,0.99,7.7,0.58,11.0,24.9,26.1,42.507,1.48,73,26,1,D,Poorly Drained
160,373,44,2018-03-02,2.45,38.8,0.157,42.4,63.3,39.6,44.645,0.97,9,58,33,A,Poorly Drained
161,479,15,2023-10-23,0.77,48.9,0.157,49.8,8.6,19.9,28.262,1.94,26,11,63,C,Well Drained
162,72,18,2019-04-12,0.8,8.5,0.398,49.9,10.8,32.3,14.634,0.97,69,26,5,A,Well Drained
163,46,15,2022-12-14,0.69,13.3,0.238,57.4,63.9,30.4,38.199,1.49,34,45,21,D,Moderately Drained
164,253,56,2022-05-24,0.64,15.3,0.759,51.8,68.5,31.1,17.862,1.15,60,35,5,B,Well Drained
165,209,48,2018-09-01,2.28,25.5,0.422,56.1,32.2,31.3,10.091,1.18,74,21,5,C,Well Drained
166,243,37,2020-10-07,2.93,11.4,0.912,35.6,41.5,16.1,7.51,2.04,53,23,24,C,Poorly Drained
167,449,51,2020-03-24,1.36,12.1,0.622,61.2,70.3,19.9,33.726,1.46,59,36,5,C,Moderately Drained
168,465,39,2023-07-16,2.01,36.6,0.805,33.3,6.8,37.9,32.023,1.27,62,36,2,B,Well Drained
169,268,58,2019-12-24,0.94,23.5,0.388,68.0,52.7,17.4,29.248,1.69,11,13,76,B,Moderately Drained
170,469,21,2018-01-03,0.76,58.8,0.906,60.7,63.3,27.5,21.992,1.87,35,46,19,B,Poorly Drained
171,348,34,2021-02-08,2.64,32.8,0.946,29.5,21.9,16.1,21.636,1.06,23,45,32,A,Moderately Drained
172,486,25,2022-02-23,2.38,48.3,0.362,18.0,56.8,44.2,40.032,1.99,75,20,5,D,Moderately Drained
173,34,25,2020-01-10,0.88,32.0,0.936,25.0,47.8,31.3,45.198,1.61,9,31,60,B,Poorly Drained
174,117,50,2021-09-14,1.23,33.8,0.345,64.8,40.8,23.1,29.741,1.55,45,6,49,D,Moderately Drained
175,133,25,2023-07-26,2.06,27.5,0.843,47.4,42.5,19.8,5.212,1.18,39,13,48,C,Moderately Drained
176,269,36,2018-05-25,1.44,30.2,0.629,27.2,18.5,30.9,21.089,1.63,78,17,5,D,Well Drained
177,261,20,2024-01-21,2.62,23.3,0.909,38.1,19.0,16.1,4.813,1.14,42,20,38,A,Moderately Drained
178,348,34,2024-10-24,1.12,29.2,0.776,59.9,55.1,41.4,15.636,1.49,28,24,48,D,Well Drained
179,32,43,2021-09-05,1.47,49.5,0.635,70.5,5.4,23.1,1.631,2.06,63,32,5,A,Poorly Drained
180,453,58,2021-10-13,2.47,37.2,0.18,26.6,27.4,26.5,34.628,1.82,9,56,35,D,Poorly Drained
181,220,47,2024-05-29,1.01,31.1,0.355,74.2,38.3,21.5,36.379,2.11,11,10,79,D,Poorly Drained
182,359,40,2023-12-28,1.02,5.0,0.469,66.5,21.9,40.0,1.788,1.84,31,36,33,B,Poorly Drained
183,156,3,2022-02-27,2.03,31.8,0.18,35.8,70.7,21.5,6.19,0.97,37,41,22,B,Poorly Drained
184,13,31,2021-12-03,2.12,42.3,0.818,13.3,42.4,15.2,34.148,1.32,67,9,24,A,Poorly Drained
185,427,53,2023-09-30,0.93,32.9,0.542,79.6,79.6,19.9,19.956,1.23,67,28,5,D,Poorly Drained
186,368,31,2021-04-28,1.54,36.7,0.295,37.5,51.2,26.4,36.566,1.09,66,29,5,D,Well Drained
187,156,3,2023-11-17,0.76,53.9,0.106,52.1,63.3,31.0,10.838,1.47,32,52,16,C,Poorly Drained
188,43,55,2020-07-11,0.4,41.5,0.333,31.0,79.7,44.2,26.901,0.93,55,27,18,B,Moderately Drained
189,397,54,2022-12-16,0.81,31.2,0.405,65.2,38.8,32.7,34.995,0.85,50,50,0,B,Well Drained
190,288,37,2024-04-30,2.76,9.1,0.186,28.9,49.6,26.9,30.972,1.02,71,24,5,D,Well Drained
191,178,33,2020-10-20,0.15,55.0,0.838,28.2,42.9,39.0,13.376,1.68,47,39,14,D,Well Drained
192,432,24,2022-10-17,0.32,28.3,0.654,52.4,30.8,15.6,45.978,1.68,46,31,23,D,Moderately Drained
193,326,3,2020-02-23,0.76,24.8,0.584,45.3,21.7,18.4,19.018,1.65,7,6,87,C,Poorly Drained
194,354,36,2019-04-13,1.68,21.2,0.943,45.5,40.5,20.1,7.585,0.83,78,5,17,B,Poorly Drained
195,15,17,2019-01-08,0.5,56.6,0.354,73.5,31.8,28.3,46.879,1.55,42,10,48,B,Well Drained
196,77,47,2022-03-04,1.85,6.4,0.316,78.0,2.9,17.7,6.966,1.13,34,38,28,C,Well Drained
197,20,55,2020-02-23,1.17,26.5,0.154,43.0,49.3,38.5,20.236,1.21,55,31,14,A,Well Drained
198,298,41,2022-11-11,0.73,25.6,0.602,52.2,11.8,36.1,42.744,2.02,66,13,21,A,Well Drained
199,66,37,2024-07-06,0.31,12.2,0.405,43.3,5.9,22.3,15.598,1.48,70,8,22,D,Moderately Drained
200,179,11,2024-08-21,2.86,28.4,0.737,74.2,62.8,28.5,16.323,0.92,55,17,28,B,Well Drained
201,398,46,2021-10-24,1.73,10.7,0.149,17.3,8.2,34.1,5.913,1.99,25,10,65,A,Poorly Drained
202,273,23,2024-07-16,0.44,29.5,0.217,39.8,12.6,43.3,33.624,1.82,33,21,46,C,Well Drained
203,487,39,2018-09-18,2.03,34.0,0.966,47.0,15.8,18.4,48.429,1.8,44,48,8,B,Poorly Drained
204,389,28,2021-04-15,2.15,34.1,0.377,79.8,29.1,31.3,29.733,1.26,20,36,44,B,Poorly Drained
205,133,25,2022-04-20,2.79,39.6,0.732,66.2,46.8,44.2,23.509,1.42,32,5,63,A,Poorly Drained
206,130,31,2023-03-10,2.3,49.9,0.562,69.6,54.5,29.8,24.536,1.98,18,38,44,D,Moderately Drained
207,494,56,2019-08-13,2.63,51.4,0.567,62.9,24.8,25.4,12.598,1.17,15,42,43,D,Moderately Drained
208,92,15,2021-10-24,0.51,8.3,0.152,70.9,32.2,33.1,13.048,1.95,34,24,42,D,Moderately Drained
209,369,35,2024-08-14,1.2,9.1,0.651,73.5,2.1,29.5,19.371,1.48,21,16,63,C,Moderately Drained
210,378,36,2024-06-23,1.24,29.9,0.681,70.4,11.3,32.7,44.193,1.34,52,11,37,D,Moderately Drained
211,241,16,2019-12-13,2.61,18.3,0.824,69.0,25.5,36.1,4.979,1.99,42,14,44,B,Poorly Drained
212,61,28,2024-12-31,1.51,50.4,0.21,77.1,51.9,31.5,42.318,2.17,69,26,5,A,Moderately Drained
213,446,57,2024-12-14,1.29,46.2,0.907,13.4,14.3,42.2,16.805,0.98,19,23,58,A,Moderately Drained
214,59,29,2020-02-16,0.79,6.9,0.144,26.5,12.3,30.5,38.088,1.77,24,21,55,A,Poorly Drained
215,31,57,2021-10-22,1.56,34.1,0.204,66.6,62.8,27.8,31.629,1.01,34,56,10,D,Moderately Drained
216,397,54,2019-03-07,1.66,22.1,0.416,12.9,14.2,41.8,21.601,1.28,58,7,35,C,Moderately Drained
217,98,27,2020-04-05,0.44,21.6,0.768,11.3,47.6,33.7,13.729,0.97,19,33,48,D,Moderately Drained
218,166,39,2021-06-05,2.92,44.3,0.83,53.4,15.6,29.9,25.8,1.47,30,52,18,C,Well Drained
219,210,17,2024-10-23,2.24,45.9,0.369,26.1,28.2,44.2,30.898,1.01,42,23,35,D,Poorly Drained
220,490,11,2020-06-18,2.02,22.1,0.894,63.1,28.8,34.8,0.62,1.36,55,19,26,C,Well Drained
221,417,57,2019-07-12,0.58,20.3,0.949,66.4,6.8,40.1,15.178,1.29,29,14,57,A,Well Drained
222,418,51,2022-11-22,0.66,22.0,0.523,66.0,76.2,36.8,41.6,1.2,43,7,50,A,Moderately Drained
223,281,58,2021-03-18,2.27,39.3,0.58,72.7,2.1,20.1,39.598,2.01,29,36,35,A,Well Drained
224,447,12,2018-12-25,0.62,33.6,0.699,30.9,40.2,41.2,48.192,1.43,27,23,50,A,Poorly Drained
225,368,31,2021-09-13,0.58,18.7,0.777,57.9,16.6,40.7,36.081,1.88,27,7,66,C,Poorly Drained
226,214,18,2019-10-25,2.07,38.4,0.33,22.7,44.6,17.5,26.509,0.98,29,58,13,B,Well Drained
227,471,58,2024-12-31,2.74,51.6,0.908,39.6,3.5,42.0,45.517,1.05,57,38,5,B,Well Drained
228,301,14,2018-07-21,2.24,32.7,0.212,43.3,8.5,24.6,23.873,1.52,41,23,36,B,Poorly Drained
